0fd1fb5 0fc5ae8 001e043 0fd1a3f 0fc5780 
0fcf2c6 0fc2f3a 001f5a3 0fcee51 0fc29fc 
0fd1963 0fc5628 0019182 0fd2316 0fc4f64 
0fcaeb9 0fbeb6d 001414d 0fcb3e0 0fbe56d 
0fd33d5 0fc7084 001d77c 0fd32e4 0fc6ad6 
0fcc60a 0fc02f4 000cdf4 0fcd428 0fbfc10 
0fcf230 0fc2eb3 001f661 0fcee31 0fc2975 
0fd197b 0fc563e 0019351 0fd2391 0fc4f95 
0fcadcd 0fbea76 0014099 0fcb347 0fbe480 
0fd339e 0fc7035 001d7a3 0fd32b8 0fc6a9a 
0fcc79c 0fc0474 000cd96 0fcd5c3 0fbfd9a 
0fcf14f 0fc2dda 001f591 0fced84 0fc2896 
0fd12bc 0fc4f90 00186aa 0fd1d4e 0fc48cc 
0fc9c1f 0fbd8cf 0012108 0fca237 0fbd2c7 
0fd1eee 0fc5b8f 001eb41 0fd1e18 0fc55e2 
0fcb220 0fbef07 000c9f1 0fcc09d 0fbe824 
0fcdb35 0fc17d1 00205b9 0fcd796 0fc1289 
0fd06ff 0fc43e7 001a26e 0fd10fb 0fc3d1d 
0fc99ea 0fbd6ae 00142f9 0fc9fcc 0fbd0ac 
0fd207f 0fc5d2f 001ebb6 0fd1faa 0fc5778 
0fcb5c3 0fbf2ad 000d6cf 0fcc445 0fbebbf 
0fcde53 0fc1adc 002056a 0fcdaae 0fc1588 
0fd0a72 0fc4740 001a3f8 0fd1466 0fc407e 
0fc9d8e 0fbda29 001445a 0fca383 0fbd42e 
0fd23b4 0fc6045 001e8b8 0fd22d3 0fc5a8e 
0fcbac9 0fbf7b1 000d9ea 0fcc954 0fbf0c4 
0fce312 0fc1fb3 00201d8 0fcdf7d 0fc1a49 
0fd0f5a 0fc4c57 001a25b 0fd196c 0fc4587 
0fca340 0fbe01d 0014610 0fca958 0fbda11 
0fd2a22 0fc66ec 001e262 0fd2969 0fc6138 
0fcc0d0 0fbfddb 000dcf6 0fccf74 0fbf6f9 
0fce9ad 0fc265b 001fc12 0fce623 0fc2117 
0fd17b3 0fc548b 0019db0 0fd2188 0fc4de1 
0fcaa5a 0fbe711 0014283 0fcb06f 0fbe12a 
0fd2fc5 0fc6c7a 001dc62 0fd2f29 0fc66fa 
0fcc6de 0fc03e5 000db21 0fcd59d 0fbfd0c 
0fcee11 0fc2acb 001f75b 0fcead0 0fc2580 
0fd1c15 0fc5921 0019b02 0fd2633 0fc5256 
0fcaead 0fbeb9e 0013e6c 0fcb503 0fbe589 
0fd34cb 0fc71ab 001d77d 0fd3431 0fc6bff 
0fccc1c 0fc0942 000db03 0fcdae9 0fc024c 
0fcf221 0fc2ee8 001f3df 0fceed6 0fc298c 
0fd20be 0fc5de1 001992f 0fd2ace 0fc5714 
0fcb305 0fbf017 0013d7f 0fcb988 0fbe9ef 
0fd38e4 0fc75e2 001d34f 0fd3865 0fc7024 
0fcd0d0 0fc0e04 000d8ff 0fcdf89 0fc0701 
0fcf60f 0fc32ea 001ef25 0fcf2a7 0fc2d7c 
0fd24e1 0fc6204 001955a 0fd2ee6 0fc5b44 
0fcb5de 0fbf2e2 001380b 0fcbc3e 0fbeccd 
0fd3a31 0fc7724 001d1c2 0fd3989 0fc7183 
0fcd0e8 0fc0e24 000d50c 0fcdfa2 0fc0735 
0fcf29b 0fc2f8a 001ef9f 0fcef62 0fc2a31 
0fd2053 0fc5d90 001969e 0fd2a4b 0fc56d1 
0fcaea3 0fbebcc 0013185 0fcb557 0fbe5b4 
0fd3240 0fc6f62 001d90f 0fd319e 0fc69c4 
0fcc8c3 0fc0636 000d034 0fcd7b9 0fbff3f 
0fce9c8 0fc26ec 001f4b9 0fce6d2 0fc2196 
0fd18ba 0fc5636 0019b00 0fd22f6 0fc4f71 
0fca788 0fbe4e6 0012f05 0fcae7f 0fbdec4 
0fd2bc4 0fc6915 001df78 0fd2b45 0fc6351 
0fcc403 0fc019f 000d0a6 0fcd340 0fbfa88 
0fce49d 0fc21f6 001f7cb 0fce1d6 0fc1c72 
0fd152c 0fc52ca 001a04c 0fd1f52 0fc4bd9 
0fca3e5 0fbe160 00131e5 0fcab04 0fbdb18 
0fd2985 0fc66e1 001e1fc 0fd28ec 0fc60fc 
0fcc329 0fc00b7 000d4fa 0fcd258 0fbf9a2 
0fce332 0fc206a 001f977 0fce029 0fc1adc 
0fd145f 0fc51df 001a093 0fd1e48 0fc4aec 
0fca0ac 0fbde13 0012c94 0fca7a5 0fbd7d1 
0fd25a4 0fc62ed 001e5e5 0fd24b2 0fc5d13 
0fcbee8 0fbfc74 000d3e2 0fccdf8 0fbf564 
0fcddd6 0fc1b0b 001fb8e 0fcdad6 0fc157f 
0fd116c 0fc4efa 001a3cf 0fd1b31 0fc47fb 
0fc9df6 0fbdb6d 0012c76 0fca50f 0fbd515 
0fd2291 0fc5ff3 001e922 0fd2181 0fc59ed 
0fcbc79 0fbfa38 000d7b2 0fccba3 0fbf306 
0fcd9e9 0fc174f 001fe80 0fcd730 0fc11bc 
0fd0dad 0fc4b5e 001a8be 0fd17a3 0fc4464 
0fc9a38 0fbd7d1 0012d09 0fca174 0fbd16b 
0fd1e52 0fc5bd5 001ed38 0fd1d74 0fc55e1 
0fcba13 0fbf7e7 000d792 0fcc945 0fbf0a5 
0fcd705 0fc148d 001ffda 0fcd462 0fc0ee5 
0fd0cb5 0fc4a77 001ab43 0fd16be 0fc4364 
0fc98ae 0fbd666 0012c7c 0fca01c 0fbcff2 
0fd1def 0fc5b81 001eddb 0fd1d22 0fc557f 
0fcba20 0fbf800 000db2d 0fcc970 0fbf0b7 
0fcd651 0fc13da 001ffe1 0fcd39e 0fc0e2a 
0fd0cb3 0fc4a8d 001ac05 0fd1664 0fc4369 
0fc9801 0fbd5d7 0012bd7 0fc9f73 0fbcf42 
0fd1d07 0fc5abe 001eec9 0fd1c24 0fc54b5 
0fcb9e4 0fbf7e0 000dbae 0fcc92c 0fbf089 
0fcd57c 0fc1321 001ff87 0fcd2ec 0fc0d66 
0fd0bfb 0fc49f7 001acec 0fd15e1 0fc42cf 
0fc97c4 0fbd5a5 0012945 0fc9f43 0fbcf07 
0fd1c73 0fc5a37 001ef2a 0fd1b77 0fc5419 
0fcb950 0fbf759 000db07 0fcc8b9 0fbf009 
0fcd4a8 0fc1256 001ffa3 0fcd214 0fc0cab 
0fd0d3c 0fc4b3d 001ae9a 0fd16f7 0fc4427 
0fc9916 0fbd703 0012c40 0fca082 0fbd069 
0fd1e19 0fc5be9 001ee1b 0fd1d06 0fc55dc 
0fcbc6e 0fbfa8b 000e0f2 0fccbb6 0fbf328 
0fcd6d8 0fc14a1 001fec4 0fcd43f 0fc0edb 
0fd10b7 0fc4eb6 001ada2 0fd1a75 0fc4781 
0fc9af6 0fbd8ee 0012800 0fca264 0fbd238 
0fd2058 0fc5e29 001ebb9 0fd1f0a 0fc57f1 
0fcbf10 0fbfd35 000de09 0fcce2e 0fbf5c6 
0fcd870 0fc163b 001fb95 0fcd58b 0fc1061 
0fd1311 0fc5121 001ace4 0fd1c62 0fc49e6 
0fc9d62 0fbdb5a 0012648 0fca4cf 0fbd4c5 
0fd2397 0fc616e 001e8b6 0fd221e 0fc5b5d 
0fcc3ac 0fc01d1 000e2bb 0fcd2c6 0fbfa76 
0fcdb1d 0fc18e5 001f9b7 0fcd84b 0fc1327 
0fd1727 0fc5535 001ab68 0fd2051 0fc4e18 
0fca169 0fbdf66 001249d 0fca8ce 0fbd8cc 
0fd2627 0fc641a 001e5cd 0fd24a0 0fc5dfb 
0fcc673 0fc04c6 000deed 0fcd575 0fbfd3f 
0fcde1c 0fc1c13 001f51b 0fcdb1a 0fc1626 
0fd1ab4 0fc58e9 001a945 0fd23c4 0fc51b6 
0fca3ed 0fbe20b 00121e3 0fcab4d 0fbdb66 
0fd28b5 0fc66b8 001e346 0fd272c 0fc60ab 
0fcc958 0fc0793 000e151 0fcd86c 0fc0039 
0fcdf63 0fc1d3c 001f3be 0fcdcb1 0fc1789 
0fd1bc7 0fc59d8 001a90f 0fd250e 0fc52d7 
0fca43f 0fbe231 0011eb6 0fcac0f 0fbdbab 
0fd2930 0fc66ef 001e2d0 0fd27ed 0fc610f 
0fccb45 0fc0935 000deec 0fcdaa4 0fc01f7 
0fcdfc9 0fc1d53 001f16f 0fcdd86 0fc17b9 
0fd1e2d 0fc5be5 001a772 0fd27a7 0fc5505 
0fca607 0fbe3ab 0011a1a 0fcae3a 0fbdd4b 
0fd2b2c 0fc68b0 001e0cb 0fd2a6e 0fc62f5 
0fccd96 0fc0b61 000e1b8 0fcdd57 0fc043b 
0fce1b1 0fc1f0b 001ef2b 0fcdfca 0fc199a 
0fd1ff8 0fc5d8a 001a7de 0fd2990 0fc56d4 
0fca886 0fbe606 00119a2 0fcb0fe 0fbdfda 
0fd2b68 0fc68ca 001e0bb 0fd2ab1 0fc6349 
0fcce86 0fc0c36 000e172 0fcde4a 0fc0543 
0fce18b 0fc1ee4 001ee07 0fcdfd5 0fc198e 
0fd213b 0fc5ed3 001a88b 0fd2ad5 0fc582f 
0fca7e6 0fbe569 00118ab 0fcb07a 0fbdf39 
0fd2c0d 0fc696f 001e02c 0fd2b36 0fc63df 
0fcd07e 0fc0e2c 000e6ce 0fce02a 0fc072d 
0fce252 0fc1f9f 001ed7c 0fce079 0fc1a45 
0fd22c0 0fc6050 001a9e7 0fd2c32 0fc59ac 
0fca896 0fbe61c 0011862 0fcb13d 0fbdfed 
0fd2bd8 0fc6931 001e065 0fd2b11 0fc63af 
0fcd05a 0fc0e01 000e4c2 0fce034 0fc0711 
0fce050 0fc1daa 001edeb 0fcdef6 0fc185a 
0fd21e9 0fc5f83 001a9f5 0fd2b9a 0fc58de 
0fca6c4 0fbe461 00115de 0fcafd1 0fbde33 
0fd2a1d 0fc67a3 001e1c3 0fd2996 0fc6204 
0fccf2d 0fc0cff 000e456 0fcdf2f 0fc05e9 
0fcddf9 0fc1b76 001ed78 0fcdc7d 0fc15f1 
0fd210e 0fc5ed0 001aaf2 0fd2a98 0fc580d 
0fca562 0fbe30c 00111ab 0fcae40 0fbdca9 
0fd278a 0fc6500 001e453 0fd269d 0fc5f5a 
0fccd97 0fc0b57 000e4dc 0fcdd6f 0fc044d 
0fcdad6 0fc1844 001ee4a 0fcd96c 0fc12ec 
0fd1d47 0fc5af9 001adf4 0fd26ec 0fc5459 
0fca14f 0fbdee9 0011018 0fcaa78 0fbd8ad 
0fd23eb 0fc6161 001e7e3 0fd2332 0fc5bd5 
0fccb51 0fc091d 000e822 0fcdb60 0fc021a 
0fcd8a8 0fc1618 001f09d 0fcd76b 0fc10b7 
0fd1cc4 0fc5a77 001b0b1 0fd2661 0fc53cf 
0fca08d 0fbde3e 00110bb 0fca9da 0fbd7f8 
0fd2359 0fc60ed 001e875 0fd22ac 0fc5b44 
0fcca42 0fc082f 000e7cb 0fcda72 0fc0118 
0fcd5fa 0fc137b 001f004 0fcd4c0 0fc0e09 
0fd1b31 0fc58f9 001b264 0fd24b3 0fc5247 
0fc9f35 0fbdd07 0011074 0fca89d 0fbd6b8 
0fd2162 0fc5f12 001ead6 0fd20b9 0fc596f 
0fcc9e3 0fc07f2 000ece1 0fcda3c 0fc00e9 
0fcd57a 0fc132d 001f0ac 0fcd4ab 0fc0dc2 
0fd1b69 0fc5959 001b342 0fd251d 0fc52ab 
0fc9e8f 0fbdc63 0010e7c 0fca828 0fbd622 
0fd20e3 0fc5e82 001eaef 0fd2013 0fc58e5 
0fcca64 0fc085e 000e8d8 0fcda77 0fc014f 
0fcd40a 0fc11a5 001eef8 0fcd2e1 0fc0c3f 
0fd1abd 0fc58a2 001b394 0fd2415 0fc5200 
0fc9de9 0fbdbc8 0010c2b 0fca75a 0fbd584 
0fd204c 0fc5e12 001ebb6 0fd1f6c 0fc5868 
0fcc9e2 0fc080b 000eeff 0fcda24 0fc0104 
0fc0a90 0fb49e6 0005108 0fc1bc3 0fb41c8 
0fc7288 0fbb175 00274ce 0fc6f63 0fbab3a 
0fc6f06 0fbae6d 0013fd8 0fc806d 0fba61e 
0fc1726 0fb5637 001742c 0fc1bfb 0fb4f45 
0fcb2d8 0fbf207 00244b2 0fcb754 0fbeaed 
0fc18d9 0fb5831 0005535 0fc2a34 0fb500a 
0fc7ffa 0fbbee6 00269bb 0fc7cef 0fbb8a6 
0fc7c40 0fbbbac 0013de2 0fc8dba 0fbb370 
0fc23a8 0fb62bb 0016997 0fc28b7 0fb5bda 
0fcbe89 0fbfdba 0023889 0fcc317 0fbf6ba 
0fc237c 0fb62dd 0004785 0fc34f8 0fb5ac2 
0fc8834 0fbc740 0025ec1 0fc8557 0fbc112 
0fc85c9 0fbc54b 001378d 0fc9760 0fbbd14 
0fc2a14 0fb6949 00161b1 0fc2f6f 0fb625e 
0fcc497 0fc03e3 00232ea 0fcc958 0fbfcd2 
0fc298a 0fb6908 00047bc 0fc3b32 0fb60e6 
0fc8c07 0fbcb42 0025b25 0fc8967 0fbc4f5 
0fc884f 0fbc815 0013ac0 0fc9a16 0fbbfbf 
0fc2b11 0fb6a8f 0016339 0fc3090 0fb6380 
0fcc366 0fc02f8 00234f1 0fcc830 0fbfbdf 
0fc28cb 0fb6893 0004cb3 0fc3a91 0fb605f 
0fc8a17 0fbc993 0025cf9 0fc8786 0fbc344 
0fc87bf 0fbc7a9 0013f35 0fc994d 0fbbf5e 
0fc2a15 0fb69ad 00161a6 0fc2f86 0fb62b3 
0fcc380 0fc0339 00235d4 0fcc80a 0fbfc1f 
0fc28da 0fb68c5 0004ed2 0fc3a70 0fb6082 
0fc8946 0fbc8d5 0025d01 0fc8660 0fbc26c 
0fc87ed 0fbc7f5 0014305 0fc993b 0fbbf98 
0fc29c1 0fb6979 00160b1 0fc2f30 0fb626a 
0fcc3f3 0fc03cf 0023686 0fcc83a 0fbfca9 
0fc298f 0fb699f 0004ecb 0fc3b21 0fb6154 
0fc8951 0fbc906 0025bf2 0fc8652 0fbc29b 
0fc8afb 0fbcb2d 001462f 0fc9c09 0fbc2b6 
0fc2ba1 0fb6b6d 0015ec9 0fc30f2 0fb6445 
0fcc678 0fc065c 0023563 0fcca7c 0fbff2a 
0fc2d5d 0fb6d69 0004e3c 0fc3ee1 0fb6512 
0fc8bef 0fbcb82 002587a 0fc88c2 0fbc524 
0fc9012 0fbd013 00146e1 0fca0e1 0fbc7ae 
0fc2ecf 0fb6e8f 0015625 0fc3420 0fb675b 
0fcca55 0fc0a37 0023213 0fcce10 0fc02e4 
0fc3137 0fb714c 0004808 0fc42cf 0fb68c7 
0fc8d79 0fbcd2e 00254c8 0fc8a57 0fbc692 
0fc9157 0fbd177 001445e 0fca24b 0fbc8e7 
0fc2e59 0fb6e0d 0014b2e 0fc33db 0fb66cd 
0fcca42 0fc0a0a 002310c 0fccdf9 0fc02ca 
0fc30d6 0fb70c3 0003f3f 0fc427b 0fb685a 
