0fb6e4e 0fae983 0fcaa72 0fbff4f 0fb8935 
0fabeeb 0fa3baa 0fc0354 0fb4fdb 0fad9f9 
0fb1e77 0fa9bc1 0fc6287 0fbafd0 0fb3ac2 
0fad11c 0fa4bf2 0fc163b 0fb616b 0fae929 
0faf1e7 0fa6ff6 0fc34d0 0fb83a8 0fb0f6a 
0fb122a 0fa8cda 0fc558f 0fba218 0fb2a89 
0fac79c 0fa439e 0fc09d6 0fb5841 0fae200 
0fb2c62 0faa941 0fc6e4a 0fbbd75 0fb4838 
0fae19b 0fa5c30 0fc24d4 0fb71a5 0faf94a 
0fb0342 0fa8122 0fc449b 0fb94d4 0fb206d 
0fb2677 0faa145 0fc68d6 0fbb61e 0fb3e9a 
0fadc0c 0fa588d 0fc1e1c 0fb6ce7 0faf68d 
0fb41a0 0fabedc 0fc835e 0fbd2c9 0fb5d88 
0fafa7c 0fa751b 0fc3d52 0fb8a54 0fb120d 
0fb1e05 0fa9bfb 0fc5ec4 0fbaf63 0fb3b42 
0fb4405 0fabee4 0fc858f 0fbd3c1 0fb5c5c 
0fafd7f 0fa7972 0fc3e17 0fb8daf 0fb17a3 
0fb6752 0fae34c 0fca575 0fbf712 0fb824b 
0fb2242 0fa9b5a 0fc6106 0fbb0db 0fb388a 
0fb4949 0fac56c 0fc8552 0fbd9b5 0fb6523 
0fb725b 0faeb36 0fcae90 0fc01c3 0fb8942 
0fb2e32 0faa83b 0fc6872 0fbbe35 0fb46f3 
0fb983b 0fb1375 0fcd2cd 0fc280d 0fbb2a7 
0fb5395 0facbff 0fc8db4 0fbe1fb 0fb6971 
0fb7a8b 0faf6fd 0fcb3ad 0fc0b61 0fb96ce 
0fba388 0fb1e62 0fce13d 0fc33f1 0fbbc6e 
0fb5ed4 0fadb85 0fc9dff 0fbf08d 0fb7a2c 
0fbcd9b 0fb4aba 0fd0b8c 0fc5f87 0fbe9f6 
0fb8d84 0fb0795 0fccc0d 0fc1da3 0fba502 
0fbb773 0fb34bc 0fcf3f5 0fc492b 0fbd48d 
0fbe31a 0fb5d40 0fd210e 0fc737d 0fbfb56 
0fb9ad6 0fb1698 0fcd80c 0fc2c15 0fbb57c 
0fc0337 0fb7f83 0fd3f3f 0fc9454 0fc1f3d 
0fbb962 0fb3312 0fcf64c 0fc4907 0fbd10b 
0fbd887 0fb5572 0fd1369 0fc6976 0fbf5af 
0fbf997 0fb741b 0fd3701 0fc897d 0fc125a 
0fba70b 0fb22ee 0fce452 0fc379d 0fbc1ec 
0fc05a9 0fb8209 0fd42e4 0fc9664 0fc21bc 
0fbb042 0fb297f 0fcf00c 0fc3fed 0fbc75a 
0fbbfef 0fb3c6f 0fcfead 0fc5126 0fbdc98 
0fbd06e 0fb499e 0fd1100 0fc5feb 0fbe7fa 
0fb6a65 0fae4e2 0fcaadf 0fbfa49 0fb840b 
0fbb609 0fb3137 0fcf647 0fc4622 0fbd123 
0fb4f62 0fac7e1 0fc915c 0fbde4a 0fb65be 
0fb4db0 0faca3d 0fc8e9a 0fbde4c 0fb69fb 
0fb51d9 0facbc7 0fc94c7 0fbe157 0fb69ba 
0fadf70 0fa5b37 0fc2214 0fb6fbe 0faf9e7 
0fb2175 0fa9e4b 0fc6377 0fbb17a 0fb3d70 
0fab4f4 0fa2eb0 0fbf84d 0fb4354 0facbc3 
0fab056 0fa2ccc 0fbf154 0fb3fa8 0facc1f 
0fab4ea 0fa2dfe 0fbf696 0fb4242 0facbb9 
0fa43bc 0f9bdfb 0fb8466 0fad187 0fa5c5c 
0fa87eb 0fa030c 0fbc7c7 0fb1617 0faa230 
0fa2110 0f9996b 0fb62aa 0faadb2 0fa369b 
0fa216b 0f99d5a 0fb61cf 0fab044 0fa3c9a 
0fa2da2 0f9a6db 0fb6fa3 0fabb4b 0fa4481 
0f9c738 0f941d2 0fb0962 0fa5559 0f9e06a 
0fa15e1 0f99142 0fb5756 0faa3f6 0fa30ed 
0f9b95a 0f93228 0fafcb3 0fa463a 0f9d053 
0f9c1bb 0f93dab 0fb027d 0fa4fd7 0f9de74 
0f9d623 0f94f54 0fb18a9 0fa63b8 0f9ee3e 
0f97859 0f8f36e 0faba7d 0fa070c 0f992b5 
0f9d08d 0f94c84 0fb1136 0fa5f9e 0f9ec1b 
0f97fda 0f8f9a9 0fac1ec 0fa0e3d 0f996f5 
0f9953e 0f9122a 0fad48c 0fa2552 0f9b1db 
0f9b6d8 0f930b6 0faf66b 0fa458f 0f9ce6e 
0f96766 0f8e2c4 0faa6b2 0f9f700 0f98085 
0f9c920 0f94593 0fb08d0 0fa5980 0f9e42f 
0f9821f 0f8fc27 0fac3f0 0fa121c 0f9993c 
0f99f35 0f91c78 0fadf4e 0fa3107 0f9bbf4 
0f9c903 0f942f6 0fb0b15 0fa5927 0f9e097 
0f980b9 0f8fbf0 0fac294 0fa1196 0f999d5 
0f9ea1a 0f9661d 0fb2ad9 0fa7bcb 0fa04c1 
0f9abdc 0f92525 0faedfd 0fa3c30 0f9c1d3 
0f9d152 0f94e55 0fb126e 0fa6353 0f9ed3b 
0fa02d9 0f97d27 0fb4565 0fa931c 0fa1aa5 
0f9bf7e 0f93afd 0fb011a 0fa4fc7 0f9d8d1 
0fa3027 0f9ac7e 0fb70ab 0fac058 0fa4ae2 
0f9f782 0f97139 0fb38d4 0fa8673 0fa0da7 
0fa230f 0f9a043 0fb6262 0fab3af 0fa3f1d 
0fa5957 0f9d3a4 0fb994e 0fae880 0fa70f8 
0fa1c0e 0f997b7 0fb5b52 0faac08 0fa35aa 
0fa929b 0fa0f21 0fbd132 0fb2303 0faadf5 
0fa6103 0f9daf0 0fba103 0faf047 0fa77e6 
0fa93ed 0fa118f 0fbd2ad 0fb251a 0fab0ae 
0fad441 0fa4f14 0fc14d0 0fb641a 0faeca3 
0faa1e0 0fa1e28 0fbe22f 0fb3282 0fabc6f 
0fb24d4 0faa203 0fc648a 0fbb591 0fb4125 
0faff07 0fa79b5 0fc4065 0fb8e93 0fb1710 
0fb400e 0fabe18 0fc7fab 0fbd105 0fb5de2 
0fb8ec2 0fb09d0 0fccfd9 0fc1e16 0fba80e 
0fb6880 0fae541 0fca9fd 0fbf90e 0fb8474 
0fbf707 0fb749b 0fd37a2 0fc877f 0fc151e 
0fbd737 0fb51fc 0fd1936 0fc6632 0fbf112 
0fc1bab 0fb99a5 0fd5afe 0fcabb0 0fc3b33 
0fc683d 0fbe34c 0fda851 0fcf668 0fc8313 
0fc3abd 0fbb764 0fd7a6c 0fcc9c9 0fc5785 
0fcbcaf 0fc3a0c 0fdfbe2 0fd4bf0 0fcdae1 
0fc8951 0fc03e9 0fdc96f 0fd165f 0fca326 
0fcb363 0fc3156 0fdf221 0fd40af 0fcd352 
0fcdced 0fc57b9 0fe200d 0fd698a 0fcf8ac 
0fc9044 0fc0c09 0fdd324 0fd1e7e 0fcacdf 
0fcf3a0 0fc6ffc 0fe35a0 0fd817d 0fd10b6 
0fca693 0fc2047 0fde9d6 0fd31bb 0fcbec1 
0fcb8bd 0fc3507 0fdfa1b 0fd4325 0fcd5f2 
0fccd66 0fc4652 0fe1086 0fd57e3 0fce4e0 
0fc6866 0fbe389 0fdac31 0fcf55d 0fc82c0 
0fcb370 0fc2f73 0fdf6e8 0fd4166 0fccfba 
0fc501b 0fbc9e8 0fd95ad 0fcdd99 0fc6830 
0fc4fac 0fbccd4 0fd93f2 0fcded3 0fc6d33 
0fc5638 0fbd0c3 0fd9d03 0fce492 0fc6f6a 
0fbec76 0fb6791 0fd31a6 0fc7ad5 0fc06ba 
0fc33ae 0fbaf9a 0fd7739 0fcc2e3 0fc4f8d 
0fbcce5 0fb467a 0fd127e 0fc5b79 0fbe46d 
0fbcc00 0fb48c7 0fd10f8 0fc5c05 0fbe8e0 
0fbd4a3 0fb4e6c 0fd19f9 0fc62ea 0fbecd9 
0fb6b52 0fae6a2 0fcb09c 0fbfa88 0fb857d 
0fbb523 0fb3127 0fcf99f 0fc44c5 0fbd0e7 
0fb5416 0facdec 0fc9a38 0fbe314 0fb6b83 
0fb598c 0fad758 0fc9eb4 0fbeab3 0fb772f 
0fb6a58 0fae562 0fcb063 0fbfa36 0fb8335 
0fb086d 0fa853f 0fc4e61 0fb993c 0fb231c 
0fb56e9 0fad653 0fca066 0fbe991 0fb7480 
0fafd86 0fa7b3d 0fc4a59 0fb8f9d 0fb1737 
0fb0868 0fa89aa 0fc543c 0fb9cb1 0fb27f4 
0fb22f2 0fa9fe7 0fc6d1e 0fbb464 0fb3ca9 
0facac7 0fa4864 0fc128c 0fb5c07 0fae5be 
0fb23e0 0faa261 0fc6af7 0fbb58f 0fb4065 
0fad518 0fa512c 0fc1dd3 0fb6601 0faed37 
0faea8d 0fa6a8c 0fc3237 0fb7dd1 0fb08e7 
0fb003d 0fa7cf1 0fc48da 0fb91e7 0fb1984 
0faa9f6 0fa2841 0fbf1d3 0fb3c7f 0fac57d 
0fb051c 0fa83ab 0fc4c76 0fb9778 0fb2179 
0faac7c 0fa2884 0fbf4a9 0fb3d91 0fac47d 
0facbe5 0fa4b44 0fc11fd 0fb5e81 0fae957 
0fae25d 0fa5e9f 0fc2977 0fb7356 0fafabb 
0fa9315 0fa10fb 0fbd898 0fb24c5 0faadd3 
0faf3fe 0fa7207 0fc3813 0fb8542 0fb0f76 
0fa9fa0 0fa1b48 0fbe4a9 0fb2fc0 0fab6f8 
0fac3fc 0fa4326 0fc07a0 0fb55da 0fae11e 
0fadec0 0fa5a93 0fc236c 0fb6ebf 0faf6a8 
0fa942f 0fa118c 0fbd7c7 0fb250f 0faae74 
0faf7a8 0fa758d 0fc3aac 0fb88df 0fb1327 
0faa8f2 0fa249c 0fbed02 0fb3954 0fac071 
0fad13f 0fa5059 0fc13a6 0fb6375 0faee88 
0faed9c 0fa694d 0fc316a 0fb7df3 0fb05b2 
0faa931 0fa2668 0fbec32 0fb3a47 0fac396 
0fb102d 0fa8d8a 0fc5281 0fba0ff 0fb2b71 
0fac5e8 0fa40c9 0fc09b8 0fb5552 0fadd0f 
0faf228 0fa7007 0fc3404 0fb82e9 0fb0e7f 
0fb1381 0fa8de7 0fc567b 0fba24a 0fb2a99 
0fad374 0fa4ec8 0fc1512 0fb628c 0faec9d 
0fb4017 0fabafe 0fc8068 0fbce83 0fb5983 
0fafa3e 0fa72eb 0fc3b80 0fb87fd 0fb0fad 
0fb2ac0 0faa6a0 0fc69ca 0fbba0b 0fb45ae 
0fb4f4b 0fac7ae 0fc8edf 0fbdca7 0fb6503 
0fb114e 0fa8b73 0fc4f49 0fb9fd2 0fb2984 
0fb7f9d 0fafa01 0fcbc6c 0fc0ddc 0fb9879 
0fb3a82 0fab2ba 0fc7861 0fbc7ff 0fb4f5d 
0fb6bc2 0fae7d6 0fca77e 0fbfb27 0fb8685 
0fb90fe 0fb09e0 0fcccfb 0fc1f26 0fba6b6 
0fb529f 0facd0a 0fc8d06 0fbe1f4 0fb6a98 
0fbbe16 0fb3920 0fcf846 0fc4e07 0fbd775 
0fb741e 0faecfd 0fcafad 0fc0385 0fb89a1 
0fb9ab7 0fb172a 0fcd46c 0fc2c47 0fbb604 
0fbb446 0fb2d74 0fcefe6 0fc4419 0fbcaa2 
0fb670a 0fae20c 0fca2e5 0fbf817 0fb8058 
0fbc893 0fb4419 0fd04ac 0fc5972 0fbe303 
0fb73d8 0faece5 0fcb138 0fc0485 0fb89ed 
0fb90ea 0fb0d5d 0fccc6c 0fc2444 0fbacd6 
0fba31f 0fb1c1c 0fce060 0fc358e 0fbb9de 
0fb4a63 0fac48c 0fc87d7 0fbddc0 0fb6318 
0fb9f2c 0fb19a9 0fcddab 0fc31ce 0fbb8f3 
0fb3c60 0fab42a 0fc7d32 0fbcd03 0fb5212 
0fb4a9f 0fac624 0fc8a7c 0fbdc00 0fb6674 
0fb4f8b 0fac814 0fc90e5 0fbde88 0fb6697 
0fae6bb 0fa610f 0fc27b5 0fb766b 0fb0052 
0fb2b71 0faa633 0fc6c00 0fbbad3 0fb4613 
0fab731 0fa2f62 0fbf936 0fb4541 0facd4f 
0fab32b 0fa2eba 0fbf3c5 0fb42c6 0facef3 
0faaa37 0fa227b 0fbebc9 0fb37f9 0fac0f2 
0fa35c3 0f9af87 0fb766f 0fac40b 0fa4e92 
0fa7246 0f9ecb1 0fbb24c 0fb00de 0fa8c4a 
0f9fe67 0f97680 0fb3fb9 0fa8bff 0fa13f8 
0f9fd09 0f97865 0fb3cc7 0fa8c67 0fa1855 
0f9fbdf 0f9744a 0fb3dcb 0fa89e3 0fa12d4 
0f99558 0f90ffa 0fad7bd 0fa24e5 0f9af3a 
0f9e3a4 0f95f4c 0fb2664 0fa739b 0f9ff1e 
0f98840 0f901dd 0facc39 0fa171d 0f99fa7 
0f99dc4 0f91b06 0fadf70 0fa2de9 0f9baed 
0f9b42d 0f92e11 0faf669 0fa41be 0f9cc66 
0f96187 0f8dc95 0faa3c7 0f9efc1 0f97b95 
0f9be73 0f9399a 0fb002c 0fa4d41 0f9d8da 
0f96b2f 0f8e3e6 0faae36 0f9f917 0f9812a 
0f983a7 0f8ffcc 0fac4eb 0fa130a 0f99f48 
0f99ca4 0f91621 0fadebc 0fa2b08 0f9b3c2 
0f94d40 0f8c87a 0fa8f02 0f9dcf2 0f966b8 
0f9ac47 0f9282a 0faedaf 0fa3c34 0f9c702 
0f95ee7 0f8d88d 0faa26c 0f9ed95 0f9755d 
0f97da3 0f8fade 0fac01d 0fa0dd6 0f999b7 
0f99dd0 0f9182a 0fae1e7 0fa2cda 0f9b507 
0f95537 0f8d106 0fa9956 0f9e4d7 0f96e58 
0f9ba02 0f9365c 0fafdb2 0fa496b 0f9d438 
0f972e1 0f8ed24 0fab745 0fa01e4 0f988b8 
0f9992d 0f916d1 0fadb06 0fa29eb 0f9b45a 
0f9c15a 0f93c3f 0fb041a 0fa50dc 0f9d7f2 
0f97fad 0f8fc37 0fac1e5 0fa1059 0f99867 
0f9ec64 0f96958 0fb2da1 0fa7d1f 0fa0636 
0f9add2 0f92835 0faf012 0fa3d75 0f9c335 
0f9da02 0f957a9 0fb1a9b 0fa6b14 0f9f4fe 
0fa08ba 0f9836f 0fb4ac8 0fa9858 0fa1f27 
0f9cb93 0f947f2 0fb0d51 0fa5c59 0f9e44c 
0fa3c86 0f9b9e4 0fb7de2 0face0f 0fa570c 
0fa01c9 0f97ca2 0fb446d 0fa9230 0fa1800 
0fa3327 0f9b19f 0fb7432 0fac54b 0fa4f38 
0fa68a5 0f9e3f8 0fbaa80 0faf8fb 0fa8007 
0fa31b5 0f9aea6 0fb7339 0fac2da 0fa4b70 
0faad77 0fa2b36 0fbee76 0fb3e98 0fac8d8 
0fa7c41 0f9f77e 0fbbe63 0fb0c0e 0fa937a 
0fab8b0 0fa3753 0fbf941 0fb49da 0fad5c5 
0faf6e4 0fa7297 0fc38ea 0fb867d 0fb0f5c 
0fac893 0fa45c7 0fc0a54 0fb5907 0fae367 
0fb4d45 0facb1f 0fc8e96 0fbde19 0fb69c4 
0fb21ab 0fa9d0c 0fc6426 0fbb180 0fb3a0d 
0fb6249 0fae107 0fca310 0fbf3b9 0fb80a3 
0fba416 0fb1f92 0fce5f3 0fc3399 0fbbdb0 
0fb76ef 0faf400 0fcb81c 0fc0705 0fb92a6 
0fbfd96 0fb7b69 0fd3e55 0fc8dbc 0fc1ab1 
0fbd008 0fb4b3f 0fd1264 0fc5f34 0fbe8f9 
0fc0f67 0fb8e0a 0fd4eea 0fca049 0fc2e61 
0fc480a 0fbc381 0fd87d2 0fcd771 0fc6236 
0fc0cfa 0fb8a14 0fd4b63 0fc9e30 0fc2969 
0fc7d8b 0fbfb1f 0fdbb9a 0fd0e78 0fc9b44 
0fc3567 0fbb02a 0fd7644 0fcc378 0fc4e27 
0fc595b 0fbd7bc 0fd98ce 0fce7fc 0fc7823 
0fc77a3 0fbf25f 0fdb9d3 0fd04b6 0fc91e9 
0fc2322 0fb9fa0 0fd655b 0fcb1ad 0fc3f6f 
0fc7d10 0fbf992 0fdbf76 0fd0abd 0fc9979 
0fc218c 0fb9bac 0fd65c4 0fcad99 0fc3939 
0fc3028 0fbad6c 0fd729b 0fcbdaa 0fc4d92 
0fc3942 0fbb39a 0fd7d72 0fcc637 0fc51f4 
0fbd790 0fb5313 0fd1d88 0fc6577 0fbf24f 
0fc27f6 0fba405 0fd6d5a 0fcb638 0fc43e8 
0fbc3f8 0fb3d59 0fd0b82 0fc518d 0fbdb61 
0fbcc8b 0fb4946 0fd12f6 0fc5c38 0fbe9bd 
0fbd1b9 0fb4b4b 0fd1870 0fc6035 0fbe9fd 
0fb6acb 0fae5fe 0fcb1a1 0fbfa6b 0fb8533 
0fbb4fb 0fb309f 0fcfb6f 0fc447c 0fbd019 
0fb4db8 0fac728 0fc9565 0fbdc31 0fb646a 
0fb568e 0fad3b8 0fc9bf3 0fbe720 0fb7308 
0fb5d8a 0fad7df 0fca477 0fbecc0 0fb756b 
0fafa3d 0fa7660 0fc401f 0fb8b05 0fb149c 
0fb4879 0fac570 0fc8de0 0fbd9f4 0fb641f 
0fae92e 0fa63d8 0fc2feb 0fb79f2 0fb00b8 
0fafa06 0fa7858 0fc3efb 0fb8c97 0fb1744 
0fb0a10 0fa8513 0fc5076 0fb9a84 0fb2248 
0faaf18 0fa2c5d 0fbf693 0fb4094 0fac9eb 
0fb0563 0fa8416 0fc4ed2 0fb97bb 0fb223f 
0faad0d 0fa29a3 0fbf7f0 0fb3ec4 0fac5e2 
0fac3ff 0fa43ee 0fc0c57 0fb577d 0fae26a 
0fada3e 0fa56d3 0fc23aa 0fb6b79 0faf384 
0fa8675 0fa040f 0fbced9 0fb1807 0faa172 
0fae1d4 0fa5ffd 0fc296c 0fb7310 0fafdc2 
0fa8c61 0fa07a1 0fbd4cd 0fb1c91 0faa430 
0faa6c4 0fa2556 0fbec91 0fb38c9 0fac451 
0fabea1 0fa3a8b 0fc0686 0fb4fb6 0fad7c2 
0fa6ab2 0f9e874 0fbb27b 0fafd36 0fa864e 
0fac9c6 0fa488b 0fc1173 0fb5cae 0fae6fc 
0fa7a0f 0f9f64d 0fbc2c8 0fb0b8d 0fa92bc 
0fa9730 0fa1681 0fbdddc 0fb2988 0fab53f 
0fab6fd 0fa32bf 0fbfe79 0fb46b5 0facfa0 
0fa6a35 0f9e768 0fbb0d7 0fafaae 0fa84f5 
0face31 0fa4c5d 0fc147d 0fb5f35 0faea8a 
0fa854c 0fa00db 0fbcc1e 0fb1549 0fa9d2a 
0faaa1a 0fa28d3 0fbef3e 0fb3b90 0fac75b 
0facfad 0fa4ae4 0fc1534 0fb5ef5 0fae7ca 
0fa888d 0fa0564 0fbcca6 0fb18f7 0faa2af 
0fbb89e 0fb3845 0fcfaa0 0fc4bed 0fbd671 
0fba195 0fb1e2e 0fce4cc 0fc334c 0fbba6a 
0fbc902 0fb489f 0fd0a62 0fc5bdd 0fbe738 
0fc1f70 0fb9c07 0fd6121 0fcb02f 0fc3982 
0fbe621 0fb632c 0fd28d9 0fc780e 0fc00e3 
0fc6149 0fbdfbe 0fda236 0fcf2d1 0fc7f05 
0fc449e 0fbc015 0fd8794 0fcd4c1 0fc5d80 
0fc641b 0fbe33b 0fda65f 0fcf65a 0fc8305 
0fcaddc 0fc2a92 0fdf190 0fd3f3c 0fcc933 
0fc63b0 0fbe068 0fda6dc 0fcf4d6 0fc7f2b 
0fcc858 0fc4620 0fe0a4e 0fd59ea 0fce612 
0fc8f93 0fc0a6a 0fdd30f 0fd1fc6 0fca76e 
0fc90f0 0fc0f53 0fdd362 0fd2330 0fcae5b 
0fcbf74 0fc3b3d 0fe02f9 0fd501f 0fcd8d7 
0fc5f02 0fbdb55 0fda1ca 0fcefdd 0fc78b7 
0fcb16f 0fc2f33 0fdf40a 0fd43b9 0fccde2 
0fc6d0c 0fbe7dc 0fdb103 0fcfd8e 0fc847d 
0fc65b1 0fbe3d2 0fda868 0fcf812 0fc82ab 
0fc8c02 0fc07a8 0fdd03d 0fd1d49 0fca541 
0fc24e9 0fba10a 0fd69dd 0fcb6e3 0fc3ec3 
0fc704f 0fbed6d 0fdb448 0fd028b 0fc8c94 
0fc24ea 0fb9e91 0fd69ce 0fcb510 0fc3ba8 
0fc146c 0fb9185 0fd5727 0fca62f 0fc30a0 
0fc328a 0fbaca2 0fd75d4 0fcc243 0fc4a44 
0fbc1f9 0fb3d0d 0fd0563 0fc52c4 0fbda5d 
0fc04e4 0fb81b9 0fd470b 0fc9679 0fc1ff9 
0fbb3a2 0fb2d99 0fcf767 0fc43a1 0fbc99d 
0fba11f 0fb1ecd 0fce449 0fc3347 0fbbd20 
0fbc245 0fb3d72 0fd0702 0fc5391 0fbda9d 
0fb559a 0fad162 0fc9a30 0fbe70b 0fb6eb2 
0fb9cfb 0fb1a43 0fce157 0fc2f38 0fbb8d2 
0fb51b2 0facbcc 0fc9759 0fbe288 0fb685c 
0fb44b7 0fac25a 0fc8961 0fbd7be 0fb611e 
