0fb6bd7 0faa5c8 0fc6333 0fbc96b 0fb74ef 
0fbd38f 0fb0efa 0fccb4e 0fc30f9 0fbdda0 
0fb8631 0fac08c 0fc7e2b 0fbe3dd 0fb8f05 
0fba994 0fae471 0fca0ff 0fc06d0 0fbb395 
0fbb1b0 0faecc4 0fca9bd 0fc0f4c 0fbbaff 
0fb74fc 0faaf31 0fc6c7e 0fbd252 0fb7e2b 
0fbc331 0fafe87 0fcbadb 0fc207a 0fbcd39 
0fb773c 0fab198 0fc6f3d 0fbd4d6 0fb8002 
0fb987b 0fad351 0fc8fe6 0fbf59e 0fba27a 
0fba2ec 0fade00 0fc9af4 0fc0076 0fbac4c 
0fb6621 0faa052 0fc5dae 0fbc377 0fb6f61 
0fbb69c 0faf1e9 0fcae3b 0fc13e1 0fbc0b7 
0fb6d1f 0faa775 0fc6511 0fbcacb 0fb7602 
0fb8d7b 0fac82f 0fc849d 0fbeaa3 0fb9775 
0fb99ee 0fad4d2 0fc91bb 0fbf7a1 0fba348 
0fb58fb 0fa92e8 0fc5034 0fbb67a 0fb620d 
0fba904 0fae406 0fca060 0fc069d 0fbb2fa 
0fb6143 0fa9b45 0fc58f2 0fbbf4e 0fb69ee 
0fb7b5a 0fab5b9 0fc723b 0fbd8f5 0fb8519 
0fb8bc8 0fac65e 0fc8351 0fbe9d4 0fb94e1 
0fb4895 0fa825e 0fc3fc0 0fba693 0fb517e 
0fb9732 0fad209 0fc8e64 0fbf521 0fba0fe 
0fb51c0 0fa8bae 0fc4963 0fbb011 0fb5a45 
0fb675a 0faa1a6 0fc5e3a 0fbc528 0fb70f7 
0fb8033 0fabac1 0fc77bb 0fbde6b 0fb8944 
0fb3b77 0fa7534 0fc328e 0fb997b 0fb4449 
0fb8dfe 0fac8bb 0fc8507 0fbebda 0fb97c5 
0fb503a 0fa8a0b 0fc47ac 0fbae72 0fb58ad 
0fb6628 0faa067 0fc5d09 0fbc403 0fb6fcd 
0fb84fe 0fabf7e 0fc7c88 0fbe336 0fb8e15 
0fb4188 0fa7b3c 0fc38b3 0fb9f93 0fb4a5c 
0fb952c 0facfee 0fc8c53 0fbf318 0fb9efd 
0fb5897 0fa9271 0fc501e 0fbb6d8 0fb6113 
0fb6daf 0faa7e6 0fc647b 0fbcb71 0fb7751 
0fb8edc 0fac967 0fc8664 0fbed15 0fb9808 
0fb4969 0fa831f 0fc4095 0fba777 0fb5240 
0fb9cf7 0fad7b4 0fc940e 0fbfacf 0fba6bb 
0fb5fef 0fa99d3 0fc5783 0fbbe29 0fb6869 
0fb62e0 0fa9d26 0fc59be 0fbc0a0 0fb6c80 
0fb9859 0fad2d2 0fc8fed 0fbf67c 0fba192 
0fb47d3 0fa81a3 0fc3f44 0fba5ef 0fb50b3 
0fb9800 0fad2b7 0fc8f3c 0fbf5e5 0fba1f8 
0fb69ec 0faa3ed 0fc61be 0fbc845 0fb7287 
0fb6768 0faa1c0 0fc5e85 0fbc540 0fb711b 
0fb9d7f 0fad80a 0fc9526 0fbfba3 0fba6bf 
0fb4c6a 0fa8646 0fc43ca 0fbaa71 0fb554b 
0fb9c26 0fad6dc 0fc934c 0fbf9ed 0fba618 
0fb6ea3 0faa89a 0fc6671 0fbcce9 0fb773c 
0fb6a02 0faa452 0fc6128 0fbc7d6 0fb73ae 
0fba089 0fadb0a 0fc9845 0fbfeb7 0fba9d2 
0fb5053 0fa8a19 0fc47c3 0fbae65 0fb592d 
0fb9fb9 0fada65 0fc96ed 0fbfd89 0fba9ab 
0fb7437 0faae37 0fc6c0a 0fbd286 0fb7cd9 
0fb6fc1 0faaa0a 0fc66e5 0fbcd97 0fb797d 
0fba7f5 0fae278 0fc9f90 0fc0613 0fbb150 
0fb56d5 0fa90b9 0fc4e61 0fbb4f9 0fb5fc7 
0fba6e6 0fae1b1 0fc9e36 0fc04c8 0fbb0f0 
0fb7c5f 0fab66b 0fc743b 0fbdab7 0fb851f 
0fb76c6 0fab115 0fc6ddc 0fbd49b 0fb8091 
0fbaf45 0fae9d4 0fca6de 0fc0d5c 0fbb8aa 
0fb5d1e 0fa9715 0fc54b9 0fbbb4d 0fb6621 
0fbabce 0fae6a2 0fca31f 0fc09b5 0fbb5f2 
0fb81ca 0fabbe3 0fc7989 0fbdff5 0fb8a83 
0fb78f3 0fab35b 0fc700d 0fbd6b4 0fb82b4 
0fbb184 0faec3c 0fca949 0fc0fb2 0fbbb09 
0fb5ed1 0fa98db 0fc565f 0fbbcf4 0fb67d6 
0fbac75 0fae755 0fca3aa 0fc0a43 0fbb695 
0fb8263 0fabc8e 0fc7a3c 0fbe09e 0fb8b22 
0fb7867 0fab2dc 0fc6f9f 0fbd636 0fb823d 
0fbb247 0faed10 0fcaa07 0fc1063 0fbbbce 
0fb5e8f 0fa9896 0fc5605 0fbbc86 0fb678a 
0fbab55 0fae639 0fca282 0fc08ff 0fbb579 
0fb8220 0fabc68 0fc7a1e 0fbe067 0fb8b02 
0fb7742 0fab1d3 0fc6e8c 0fbd50e 0fb8131 
0fbb13d 0faec0b 0fca8ef 0fc0f3e 0fbbad1 
0fb5df3 0fa980c 0fc5592 0fbbbf5 0fb6703 
0fba973 0fae461 0fca0c3 0fc0726 0fbb3a9 
0fb81b5 0fabbee 0fc799e 0fbdfdb 0fb8a9b 
0fb766c 0fab0ea 0fc6d9a 0fbd415 0fb8056 
0fbb1ed 0faecbb 0fca9ae 0fc0fe3 0fbbb8c 
0fb602d 0fa9a3d 0fc57c5 0fbbe1a 0fb693d 
0fbad03 0fae7f4 0fca43f 0fc0a9b 0fbb738 
0fb870f 0fac150 0fc7ee0 0fbe516 0fb8fec 
0fb7c3e 0fab6c7 0fc738e 0fbd9ea 0fb8623 
0fbb8a5 0faf38d 0fcb08d 0fc16a0 0fbc247 
0fb6654 0faa078 0fc5e15 0fbc44a 0fb6f6b 
0fbb216 0faed05 0fca970 0fc0fa3 0fbbc47 
0fb8bbe 0fac602 0fc83c7 0fbe9c9 0fb9498 
0fb7e6c 0fab8f1 0fc75df 0fbdc08 0fb8848 
0fbb9b7 0faf498 0fcb1a4 0fc179d 0fbc356 
0fb653b 0fa9f54 0fc5ce6 0fbc30b 0fb6e40 
0fbaf06 0faea06 0fca657 0fc0c92 0fbb93a 
0fb891e 0fac377 0fc811c 0fbe72b 0fb91fe 
0fb7a68 0fab4fe 0fc71cb 0fbd80c 0fb8442 
0fbb5b5 0faf09b 0fcad83 0fc1392 0fbbf44 
0fb6184 0fa9bb6 0fc594c 0fbbf72 0fb6a88 
0fbaa77 0fae58c 0fca1f6 0fc081f 0fbb4ab 
0fb85d7 0fac04b 0fc7df3 0fbe3f4 0fb8eb7 
0fb75f4 0fab083 0fc6d1f 0fbd35a 0fb7fae 
0fbb295 0faed74 0fcaa27 0fc102e 0fbbc11 
0fb5e16 0fa9844 0fc55b6 0fbbbc9 0fb66fb 
0fba716 0fae237 0fc9e7c 0fc0481 0fbb134 
0fb83df 0fabe61 0fc7bf0 0fbe1c5 0fb8ca6 
0fb727a 0faad23 0fc69ee 0fbcff2 0fb7c3d 
0fbb327 0faee29 0fcab22 0fc10ec 0fbbcba 
0fb5f79 0fa99c0 0fc574c 0fbbd25 0fb6861 
0fba591 0fae0ae 0fc9cfc 0fc02d4 0fbafa4 
0fb8317 0fabd85 0fc7b12 0fbe0ca 0fb8bdb 
0fb72c5 0faad6b 0fc6a24 0fbcffe 0fb7c70 
0fbb688 0faf18c 0fcae7b 0fc1409 0fbc00e 
0fb65f3 0faa030 0fc5dda 0fbc375 0fb6ec9 
0fbb0d4 0faebe1 0fca839 0fc0df3 0fbbad8 
0fb8f1f 0fac994 0fc8726 0fbecbe 0fb97dc 
0fb7e88 0fab92c 0fc75ec 0fbdbc2 0fb883a 
0fbc2af 0fafdb3 0fcbab0 0fc2047 0fbcc40 
0fb7289 0faacba 0fc6a46 0fbd016 0fb7b66 
0fbbc03 0faf701 0fcb342 0fc1935 0fbc612 
0fb9e30 0fad897 0fc9621 0fbfc09 0fba6f9 
0fb89a0 0fac415 0fc80cd 0fbe712 0fb933e 
0fbcc24 0fb06eb 0fcc3b7 0fc29e2 0fbd58f 
0fb7826 0fab211 0fc6fb8 0fbd621 0fb80dd 
0fbbd6c 0faf829 0fcb472 0fc1b0a 0fbc740 
0fb9ec1 0fad8d1 0fc9675 0fbfcff 0fba744 
0fb8824 0fac24d 0fc7f17 0fbe5f1 0fb917e 
0fbc999 0fb0431 0fcc0f3 0fc27a5 0fbd2ce 
0fb7455 0faae26 0fc6bab 0fbd281 0fb7cda 
0fbb8bb 0faf36a 0fcafbc 0fc16a6 0fbc27c 
0fb9c9d 0fad6a0 0fc9441 0fbfafb 0fba513 
0fb8549 0fabf75 0fc7c4b 0fbe34c 0fb8ea1 
0fbc7e3 0fb0277 0fcbf4a 0fc2611 0fbd11d 
0fb740f 0faade0 0fc6b7b 0fbd259 0fb7c93 
0fbb9d9 0faf48a 0fcb0dd 0fc17be 0fbc38d 
0fb9fcb 0fad9e3 0fc977c 0fbfe27 0fba832 
0fb86b9 0fac0f7 0fc7db0 0fbe4ab 0fb8ff5 
0fbca40 0fb04fc 0fcc1bb 0fc2884 0fbd379 
0fb7609 0faafee 0fc6d72 0fbd45b 0fb7e7b 
0fbbab7 0faf575 0fcb1ce 0fc18c7 0fbc478 
0fba067 0fada9e 0fc9850 0fbff1a 0fba8fb 
0fb853c 0fabf84 0fc7c71 0fbe37e 0fb8e9f 
0fbc9cd 0fb047a 0fcc140 0fc281a 0fbd30a 
0fb743e 0faae08 0fc6b96 0fbd281 0fb7ca9 
0fbb820 0faf2b8 0fcaefe 0fc15f4 0fbc1b8 
0fb9e84 0fad88e 0fc960f 0fbfccf 0fba6d8 
0fb81fa 0fabc19 0fc78da 0fbdfd7 0fb8b26 
0fbc785 0fb0221 0fcbeeb 0fc2598 0fbd0ac 
0fb71c5 0faab9a 0fc6934 0fbcff2 0fb7a2f 
0fbb413 0faeecf 0fcab16 0fc11ea 0fbbdcc 
0fb9d71 0fad79c 0fc9522 0fbfbbe 0fba5d8 
0fb80f9 0fabb35 0fc77fc 0fbdecf 0fb8a2b 
0fbc853 0fb0309 0fcbfd2 0fc2663 0fbd188 
0fb74e3 0faaece 0fc6c78 0fbd31d 0fb7d53 
0fbb774 0faf227 0fcae8f 0fc154f 0fbc124 
0fba256 0fadc8b 0fc9a21 0fc00a0 0fbaabb 
0fb83ed 0fabe20 0fc7aeb 0fbe1b3 0fb8d11 
0fbcb6b 0fb0611 0fcc2cb 0fc2952 0fbd488 
0fb767a 0fab05a 0fc6df6 0fbd497 0fb7ed8 
0fbb7f5 0faf2b1 0fcaf05 0fc15bf 0fbc198 
0fba3d9 0fade0c 0fc9b98 0fc021a 0fbac3b 
0fb8413 0fabe4b 0fc7b33 0fbe1ee 0fb8d3a 
0fbcac6 0fb057c 0fcc258 0fc28d9 0fbd407 
0fb75e4 0faafc8 0fc6d97 0fbd422 0fb7e55 
0fbb5ce 0faf087 0fcad16 0fc13bc 0fbbf90 
0fba1b9 0fadbec 0fc9996 0fc0007 0fbaa2d 
0fb7f8d 0fab9c1 0fc76b6 0fbdd70 0fb88c6 
0fbc702 0fb01c8 0fcbeac 0fc252b 0fbd05b 
0fb718e 0faab85 0fc6942 0fbcfd0 0fb7a0c 
0fbb0d0 0faeb9d 0fca7f6 0fc0ea4 0fbba93 
0fb9d10 0fad765 0fc9504 0fbfb73 0fba59d 
0fb79f8 0fab450 0fc714b 0fbd7e2 0fb8332 
0fbc215 0fafcfc 0fcb9d9 0fc2037 0fbcb79 
0fb6cfa 0faa716 0fc64d6 0fbcb42 0fb758b 
0fbab96 0fae682 0fca2f1 0fc0971 0fbb567 
0fb996e 0fad3ce 0fc9161 0fbf7a1 0fba1f3 
0fb76eb 0fab137 0fc6e3a 0fbd4b1 0fb8022 
0fbbfee 0fafacb 0fcb790 0fc1dd8 0fbc941 
0fb6bc0 0faa5ce 0fc6364 0fbc9b4 0fb742f 
0fbaa85 0fae55f 0fca1a6 0fc080e 0fbb441 
0fb999f 0fad3fe 0fc918f 0fbf7b5 0fba230 
0fb7769 0fab1c1 0fc6ead 0fbd514 0fb80b0 
0fbc191 0fafc80 0fcb949 0fc1f72 0fbcaf7 
0fb6b4c 0faa558 0fc630d 0fbc93e 0fb73ca 
0fbaedb 0fae9b0 0fca5f8 0fc0c4e 0fbb89b 
0fb9785 0fad1e6 0fc8f4d 0fbf568 0fb9ffe 
0fb7874 0fab2c0 0fc6f82 0fbd5eb 0fb81a8 
0fbc1b2 0fafca7 0fcb92c 0fc1f56 0fbcb06 
0fb68e8 0faa2e8 0fc6049 0fbc694 0fb7152 
0fbada5 0fae87b 0fca488 0fc0ae7 0fbb756 
0fb952a 0facfa1 0fc8ce4 0fbf2fb 0fb9da6 
0fb765f 0fab0bb 0fc6d7f 0fbd3cb 0fb7f96 
0fbbe48 0faf94c 0fcb5d8 0fc1beb 0fbc7a2 
0fb64b7 0fa9ec9 0fc5c51 0fbc277 0fb6d33 
0fba976 0fae469 0fca0b4 0fc06e8 0fbb34d 
0fb8e11 0fac88b 0fc85f1 0fbebee 0fb96a4 
0fb718b 0faabcc 0fc689a 0fbcede 0fb7ac0 
0fbb73f 0faf234 0fcaeb3 0fc14b7 0fbc08d 
0fb5c52 0fa964f 0fc53d6 0fbb9ee 0fb64c1 
0fba27e 0fadd69 0fc99ae 0fbffe0 0fbac4d 
0fb84b1 0fabf2b 0fc7c83 0fbe27b 0fb8d3e 
0fb68e0 0faa322 0fc5fef 0fbc632 0fb721b 
0fbad42 0fae844 0fca4c4 0fc0abb 0fbb697 
0fb5385 0fa8d90 0fc4b15 0fbb12a 0fb5bff 
0fb98dd 0fad3dc 0fc9010 0fbf62a 0fba2a7 
0fb7af6 0fab585 0fc72cd 0fbd8c1 0fb8388 
0fb5e87 0fa98e5 0fc55b2 0fbbbea 0fb67c9 
0fba371 0fade92 0fc9b17 0fc00fe 0fbacd0 
0fb4a6f 0fa8499 0fc422e 0fba832 0fb52f6 
0fb902b 0facb31 0fc8770 0fbed7d 0fb99f6 
0fb733f 0faadd6 0fc6b3d 0fbd10e 0fb7bd4 
0fb591b 0fa9375 0fc5049 0fbb665 0fb6249 
0fb9dc5 0fad8eb 0fc9581 0fbfb55 0fba727 
0fb463f 0fa8066 0fc3e10 0fba3f8 0fb4ec7 
0fb8cf3 0fac809 0fc844c 0fbea4b 0fb96c9 
0fb70a3 0faab5a 0fc68dd 0fbce8f 0fb7958 
0fb5630 0fa90a5 0fc4dba 0fbb3b6 0fb5f86 
0fb9bff 0fad743 0fc93f6 0fbf9a7 0fba585 
0fb4491 0fa7ec4 0fc3c6e 0fba243 0fb4d20 
0fb89a1 0fac4a7 0fc80ff 0fbe6e7 0fb937d 
0fb6e13 0faa8b5 0fc661f 0fbcbd0 0fb76b9 
0fb51ed 0fa8c5e 0fc4944 0fbaf3f 0fb5b3c 
0fb96fb 0fad23a 0fc8ec7 0fbf47c 0fba07c 
0fb3e86 0fa78c9 0fc3659 0fb9c2a 0fb471c 
0fb8177 0fabc92 0fc78e9 0fbdeb8 0fb8b55 
0fb67bf 0faa27a 0fc5fd7 0fbc572 0fb706b 
0fb4b3d 0fa85ac 0fc42a0 0fba879 0fb547f 
0fb9174 0faccb0 0fc8948 0fbeee9 0fb9afa 
0fb3b3c 0fa7568 0fc3301 0fb98c9 0fb43c9 
0fb7e67 0fab972 0fc75be 0fbdba0 0fb8840 
0fb6555 0fa9ff7 0fc5d63 0fbc32b 0fb6e0e 
0fb476c 0fa81b7 0fc3ea7 0fba4e1 0fb50ae 
0fb8e0e 0fac918 0fc85a7 0fbebbc 0fb9771 
0fb37ad 0fa71a4 0fc2f41 0fb9593 0fb4010 
0fb7a79 0fab533 0fc717f 0fbd80f 0fb8420 
0fb6307 0fa9d64 0fc5aa8 0fbc125 0fb6b85 
0fb44ce 0fa7ed8 0fc3bb8 0fba295 0fb4dcd 
0fb887a 0fac34b 0fc7feb 0fbe696 0fb91ba 
0fb34b5 0fa6e70 0fc2c22 0fb92f7 0fb3cfb 
0fb742b 0faaed3 0fc6b3a 0fbd226 0fb7dbc 
0fb5aa9 0fa94f0 0fc525e 0fbb91f 0fb6313 
0fb3e34 0fa782a 0fc3546 0fb9c4b 0fb4725 
0fb80e3 0fabba7 0fc7843 0fbdf0c 0fb8a0a 
0fb2bf4 0fa659f 0fc2345 0fb8a31 0fb3411 
0fb6ac4 0faa548 0fc618f 0fbc89e 0fb7429 
0fb52f9 0fa8d20 0fc4a7b 0fbb154 0fb5b41 
0fb350c 0fa6eed 0fc2bf4 0fb9319 0fb3dde 
0fb786c 0fab328 0fc6fc5 0fbd6b1 0fb8192 
0fb257e 0fa5f35 0fc1ce7 0fb83f1 0fb2dad 
0fb633d 0fa9de7 0fc5a50 0fbc164 0fb6cc4 
0fb4d1d 0fa876b 0fc44e7 0fbabaf 0fb557d 
0fb2e5e 0fa684c 0fc2568 0fb8c8a 0fb3741 
0fb7311 0faadc4 0fc6a5f 0fbd148 0fb7c38 
0fb2141 0fa5ada 0fc188a 0fb7f8d 0fb295f 
0fb5f6f 0fa99d4 0fc563d 0fbbd57 0fb68d1 
0fb4c35 0fa8639 0fc43a3 0fbaa7b 0fb5472 
0fb2d33 0fa66cb 0fc23ec 0fb8b05 0fb35e6 
0fb73c2 0faae49 0fc6af5 0fbd1d2 0fb7cdd 
0fb220f 0fa5ba6 0fc1980 0fb804f 0fb2a28 
0fb6024 0fa9a94 0fc5721 0fbbdf5 0fb6986 
0fb4e3b 0fa8874 0fc45fd 0fbac9a 0fb5696 
0fb2dfe 0fa67e6 0fc2510 0fb8c03 0fb36d7 
0fb75be 0fab071 0fc6cfa 0fbd3c3 0fb7ee4 
0fb24e1 0fa5e82 0fc1c28 0fb8300 0fb2cf0 
0fb61e5 0fa9c5b 0fc58b6 0fbbfa1 0fb6b3d 
0fb530d 0fa8d21 0fc4a7f 0fbb133 0fb5b45 
0fb31a0 0fa6b53 0fc2869 0fb8f5f 0fb3a3a 
0fb79d7 0fab483 0fc7118 0fbd7bd 0fb82ca 
0fb295c 0fa62fe 0fc20ad 0fb876c 0fb3149 
0fb64fc 0fa9f73 0fc5bd4 0fbc2a8 0fb6e3b 
0fb563a 0fa9061 0fc4dcf 0fbb453 0fb5e64 
0fb3369 0fa6d39 0fc2a58 0fb9129 0fb3bfc 
0fb7c57 0fab70c 0fc73b9 0fbda42 0fb8555 
0fb2b21 0fa64b9 0fc2274 0fb8916 0fb3307 
0fb6592 0fa9ff5 0fc5c62 0fbc316 0fb6ebc 
0fb5853 0fa927c 0fc4fec 0fbb657 0fb606c 
0fb3375 0fa6d37 0fc2a6f 0fb912b 0fb3c01 
0fb7c1f 0fab6cf 0fc7377 0fbda05 0fb851e 
0fb2b08 0fa64b5 0fc227c 0fb8922 0fb32fb 
0fb63a4 0fa9e2a 0fc5aa5 0fbc159 0fb6ce1 
0fb5704 0fa9147 0fc4e9d 0fbb510 0fb5f2c 
0fb2fb1 0fa698e 0fc26ca 0fb8d6d 0fb3838 
0fb7902 0fab3c8 0fc7065 0fbd6c2 0fb81f0 
0fb2736 0fa60eb 0fc1eba 0fb8524 0fb2f12 
0fb5e56 0fa98e6 0fc556b 0fbbbe5 0fb678c 
0fb53b1 0fa8dfe 0fc4b53 0fbb197 0fb5bd9 
0fb2b12 0fa6502 0fc2224 0fb88a6 0fb33a6 
0fb745a 0faaf38 0fc6bc5 0fbd208 0fb7d60 
0fb23f9 0fa5dc9 0fc1b8c 0fb81d3 0fb2bee 
0fb5a7b 0fa9505 0fc518c 0fbb7f2 0fb63c2 
0fb509b 0fa8aef 0fc484b 0fbae7f 0fb58e5 
0fb276a 0fa6158 0fc1e8f 0fb8507 0fb3016 
0fb722c 0faad06 0fc699c 0fbcfd8 0fb7b46 
0fb2217 0fa5be9 0fc19a5 0fb7fed 0fb2a18 
0fb58b2 0fa933d 0fc4fa1 0fbb61b 0fb61fc 
0fb50a1 0fa8b01 0fc4837 0fbae78 0fb58eb 
0fb2784 0fa616b 0fc1e78 0fb84f6 0fb3015 
0fb7306 0faade7 0fc6a61 0fbd09b 0fb7c1a 
0fb23bd 0fa5da4 0fc1b4c 0fb818c 0fb2bb9 
0fb597c 0fa942e 0fc508e 0fbb6ed 0fb62cf 
0fb52ef 0fa8d72 0fc4ac4 0fbb0d9 0fb5b4f 
0fb2742 0fa6150 0fc1e8e 0fb84d8 0fb2fec 
0fb748a 0faaf87 0fc6c19 0fbd22b 0fb7db2 
0fb253b 0fa5f20 0fc1ce5 0fb830c 0fb2d43 
0fb58d3 0fa9373 0fc4ffb 0fbb63a 0fb622e 
0fb548b 0fa8f06 0fc4c6a 0fbb263 0fb5ce5 
0fb281c 0fa621d 0fc1f52 0fb8592 0fb30bc 
0fb757c 0fab06d 0fc6ce9 0fbd2e4 0fb7e94 
0fb267e 0fa6074 0fc1e1b 0fb8427 0fb2e7b 
0fb5a15 0fa94c2 0fc512a 0fbb750 0fb635d 
0fb56e2 0fa915f 0fc4e9b 0fbb484 0fb5f2e 
0fb286d 0fa626b 0fc1f84 0fb85b4 0fb30fa 
0fb760c 0fab0ee 0fc6d58 0fbd356 0fb7f23 
0fb26f3 0fa60d6 0fc1e80 0fb8482 0fb2ee9 
0fb586a 0fa9316 0fc4f69 0fbb58b 0fb61a9 
0fb563d 0fa90c3 0fc4df6 0fbb3db 0fb5e90 
0fb265e 0fa6072 0fc1d8b 0fb83b8 0fb2ef7 
0fb743e 0faaf43 0fc6bb1 0fbd1ac 0fb7d6e 
0fb25ab 0fa5faa 0fc1d4f 0fb8358 0fb2db0 
0fb55e4 0fa9094 0fc4cf5 0fbb322 0fb5f3f 
0fb5457 0fa8eec 0fc4c0f 0fbb204 0fb5cbf 
0fb233b 0fa5d48 0fc1a66 0fb8098 0fb2bdb 
0fb7108 0faac15 0fc686e 0fbce64 0fb7a34 
0fb21e2 0fa5bf0 0fc196f 0fb7f70 0fb29e8 
0fb505e 0fa8b1a 0fc4770 0fbad85 0fb59ae 
0fb4ff5 0fa8a90 0fc47b9 0fbad8f 0fb5858 
0fb1d72 0fa5787 0fc14af 0fb7ac0 0fb2610 
0fb6bce 0faa6dd 0fc632c 0fbc912 0fb74fe 
0fb1e47 0fa5865 0fc15e8 0fb7bd8 0fb2657 
0fb4c28 0fa86fa 0fc4355 0fba95a 0fb5585 
0fb4ee8 0fa89a0 0fc46db 0fbac97 0fb5761 
0fb1c01 0fa5621 0fc1332 0fb7939 0fb2491 
0fb6b4b 0faa66d 0fc62bc 0fbc895 0fb7489 
0fb1ea4 0fa58d3 0fc164e 0fb7c30 0fb26b7 
0fb4c43 0fa871e 0fc4360 0fba95f 0fb55a3 
0fb4fa9 0fa8a74 0fc4779 0fbad38 0fb5826 
0fb1cb9 0fa56f1 0fc13f9 0fb79fa 0fb255e 
0fb6daf 0faa8da 0fc650e 0fbcae7 0fb76eb 
0fb2205 0fa5c37 0fc19b6 0fb7f8e 0fb2a1a 
0fb4d99 0fa887b 0fc44ba 0fbaab7 0fb56f5 
0fb52e3 0fa8dad 0fc4a9e 0fbb069 0fb5b5c 
0fb1e99 0fa58d8 0fc15cf 0fb7bd2 0fb2734 
0fb6ebe 0faaa00 0fc6651 0fbcc13 0fb7813 
0fb22b1 0fa5cf8 0fc1a8d 0fb804b 0fb2ad9 
0fb4d24 0fa87fe 0fc4446 0fbaa2e 0fb568c 
0fb52b0 0fa8d7e 0fc4a76 0fbb022 0fb5b3c 
0fb1bcf 0fa5612 0fc12fe 0fb78ed 0fb246c 
0fb6d4c 0faa87e 0fc6495 0fbca4a 0fb7678 
0fb3183 0fa6ba7 0fc2906 0fb8f9d 0fb3985 
0fb0128 0fa3ad2 0fbf84f 0fb5f0b 0fb096a 
0fb4e2b 0fa88e6 0fc45ab 0fbac2a 0fb571b 
0fb0422 0fa3df0 0fbfbeb 0fb6270 0fb0be3 
0fb31b3 0fa6c2f 0fc28eb 0fb8f8a 0fb3ac1 
0fb34e2 0fa6f34 0fc2caa 0fb9315 0fb3cfe 
0fb03fc 0fa3dc3 0fbfb57 0fb61f6 0fb0c38 
0fb51d2 0fa8c7b 0fc4952 0fbafb7 0fb5ab5 
0fb07ef 0fa419c 0fbff9b 0fb6610 0fb0f9e 
0fb33f6 0fa6e4a 0fc2b0a 0fb91ab 0fb3cf2 
0fb3800 0fa7241 0fc2fbf 0fb9615 0fb4010 
0fb0612 0fa3fcc 0fbfd3f 0fb63e1 0fb0e41 
0fb53b7 0fa8e70 0fc4b1a 0fbb182 0fb5c97 
0fb0a42 0fa4410 0fc01ff 0fb686e 0fb11f1 
0fb34c7 0fa6f33 0fc2bfa 0fb928e 0fb3dc8 
0fb39d1 0fa7444 0fc31d7 0fb981b 0fb4204 
0fb0653 0fa403d 0fbfdde 0fb6463 0fb0e9e 
0fb52e0 0fa8dc1 0fc4a8f 0fbb0e8 0fb5bd8 
0fb094e 0fa4326 0fc012f 0fb6780 0fb10f8 
0fb3204 0fa6c60 0fc292d 0fb8fb5 0fb3af1 
0fb36a7 0fa7106 0fc2e94 0fb94d2 0fb3eca 
0fb01bc 0fa3b91 0fbf923 0fb5fa4 0fb09fd 
0fb4e32 0fa8911 0fc45ea 0fbac2a 0fb5731 
0fb03d8 0fa3dce 0fbfbdf 0fb6216 0fb0b96 
0fb2a95 0fa6526 0fc2214 0fb8863 0fb339f 
0fb3082 0fa6b0f 0fc28b4 0fb8eb0 0fb38ad 
0fafbac 0fa3590 0fbf332 0fb5966 0fb03d6 
