0fa246e 0f9bd3c 0fb1624 0fafe22 0fad2b1 
0f926f3 0f8bf69 0fa1951 0f9ff9e 0f9d2d9 
0f9ad4d 0f944e1 0fa9c00 0fa844d 0fa5afa 
0f99155 0f92b56 0fa8547 0fa6a4a 0fa3d24 
0f9a3c6 0f93a30 0fa9291 0fa7aa3 0fa509f 
0fa26b6 0f9c04f 0fb18e0 0fafee8 0fad3e3 
0f9c55e 0f95d39 0fab7b4 0fa9db6 0fa718e 
0fa569f 0f9ee06 0fb456e 0fb2db4 0fb04af 
0fa3698 0f9d10f 0fb2ade 0fb0fdf 0fae330 
0fa3338 0f9ca37 0fb2292 0fb0a86 0fae111 
0faa1a4 0fa3c24 0fb93d6 0fb7a42 0fb4fff 
0fa31fc 0f9cb93 0fb23ce 0fb0a92 0fadf55 
0fab60d 0fa4dfd 0fba43c 0fb8d2d 0fb6574 
0fa90d0 0fa2b8a 0fb8408 0fb69e2 0fb3ebf 
0fa938e 0fa2aa9 0fb8135 0fb6a52 0fb42f0 
0fb10b1 0faaaac 0fc0156 0fbe8a7 0fbc0a4 
0fab23b 0fa4af1 0fba2f3 0fb8a5a 0fb613d 
0fb4dc9 0fae4ce 0fc3ac7 0fc2454 0fbfee1 
0fb3d50 0fad6d8 0fc2f75 0fc1585 0fbecb4 
0fb536c 0fae99f 0fc3ff7 0fc294c 0fc0415 
0fbdeb2 0fb76e9 0fcceb0 0fcb5b6 0fc8fe0 
0fb8888 0fb20c3 0fc78aa 0fc5f84 0fc3857 
0fc27c9 0fbbe36 0fd1517 0fcfcf3 0fcd96e 
0fc16b1 0fbaf3f 0fd0a20 0fceda1 0fcc697 
0fc2337 0fbb833 0fd1244 0fcf822 0fcd426 
0fc9be5 0fc3363 0fd8f67 0fd71bf 0fd4d37 
0fc2b69 0fbc296 0fd1fed 0fd01a6 0fcdb92 
0fca7ab 0fc3d71 0fd9733 0fd7c3f 0fd59e7 
0fc6eb7 0fc0894 0fd63ea 0fd45b9 0fd2042 
0fc5347 0fbea06 0fd4361 0fd285a 0fd0570 
0fcaade 0fc4436 0fd9ce1 0fd8077 0fd5cc7 
0fc1cf5 0fbb57e 0fd0f2a 0fcf346 0fccd0b 
0fc7f52 0fc181e 0fd6e5b 0fd54e8 0fd31af 
0fc3561 0fbd056 0fd29f8 0fd0d25 0fce5a9 
0fc06c0 0fb9d6e 0fcf698 0fcdcb0 0fcb7d3 
0fc4b2a 0fbe6c7 0fd3e58 0fd2299 0fcfc67 
0fbab5c 0fb445b 0fc9eda 0fc82ef 0fc5b1a 
0fbf99c 0fb9225 0fcea10 0fccfeb 0fcab0e 
0fba062 0fb3c3c 0fc9655 0fc78de 0fc4fdb 
0fb6041 0faf759 0fc510a 0fc36da 0fc1091 
0fb995d 0fb349c 0fc8d86 0fc711d 0fc49b4 
0faf67a 0fa9098 0fbeb26 0fbceaf 0fba556 
0fb449d 0fadd10 0fc35d6 0fc1ba3 0fbf508 
0faf244 0fa8e3f 0fbe84c 0fbcb40 0fba0db 
0fabf2c 0fa56e5 0fbaff2 0fb9642 0fb6e9f 
0fb074a 0faa1b7 0fbfb07 0fbdf94 0fbb6d8 
0fa71a4 0fa0b33 0fb65cb 0fb4a31 0fb1fe1 
0facdbb 0fa65e7 0fbbe2f 0fba4f6 0fb7dc7 
0fa896c 0fa2519 0fb7eed 0fb62b9 0fb37af 
0fa5b9a 0f9f349 0fb4c95 0fb3303 0fb0a90 
0faabe4 0fa4686 0fb9f93 0fb8457 0fb5aec 
0fa1c67 0f9b5cd 0fb10a1 0faf525 0faca11 
0fa7cd9 0fa14c2 0fb6d52 0fb53e1 0fb2c6b 
0fa3eeb 0f9d9f5 0fb3495 0fb17f8 0faece3 
0fa14df 0f9ac1d 0fb05a8 0faec04 0fac3d6 
0fa6c07 0fa0626 0fb5f81 0fb442c 0fb1b5a 
0f9e1e6 0f97b28 0fad5bf 0faba2d 0fa8f97 
0fa4663 0f9de52 0fb36ed 0fb1d5b 0faf5c8 
0fa1177 0f9ac01 0fb06ea 0faea15 0fabf0f 
0f9ed5a 0f98461 0fade23 0fac3f9 0fa9bb8 
0fa4f87 0f9e95b 0fb4338 0fb2745 0fafe32 
0f9d0c4 0f969a3 0fac52d 0faa8dd 0fa7e37 
0fa419a 0f9d947 0fb324b 0fb1819 0faf0f9 
0fa1a1b 0f9b46f 0fb0ff3 0faf29f 0fac7ca 
0fa00d5 0f99782 0faf1da 0fad768 0faaf3b 
0fa6f13 0fa08e3 0fb62ce 0fb46a8 0fb1db6 
0f9f6aa 0f98f5c 0faeb30 0facea0 0faa3e8 
0fa6b23 0fa029d 0fb5c0d 0fb41ab 0fb1a3b 
0fa4921 0f9e3ad 0fb3f35 0fb21d2 0faf6ab 
0fa31e7 0f9c8be 0fb22f5 0fb08a5 0fae038 
0faa400 0fa3dd6 0fb9770 0fb7bbc 0fb52c5 
0fa302f 0f9c8e2 0fb246e 0fb085b 0faddb3 
0faa786 0fa3ef2 0fb97c9 0fb7e41 0fb5701 
0fa8872 0fa22eb 0fb7dea 0fb6140 0fb3641 
0fa6ee5 0fa05b9 0fb5f8c 0fb45b6 0fb1d7a 
0fae00b 0fa79a1 0fbd31e 0fbb7ad 0fb8f00 
0fa6ab8 0fa0376 0fb5e8f 0fb42a2 0fb183c 
0fade24 0fa7577 0fbce49 0fbb47c 0fb8db5 
0fabe19 0fa586a 0fbb35f 0fb968a 0fb6c18 
0faa0ac 0fa371b 0fb9152 0fb774a 0fb4f61 
0fb1091 0faaa0a 0fc035b 0fbe859 0fbbfb9 
0fa97b5 0fa2ff7 0fb8af8 0fb6fd7 0fb4568 
0fb0948 0fa9fe7 0fbf81a 0fbdfda 0fbb8cd 
0faea0f 0fa83c0 0fbdd52 0fbc2ca 0fb97e1 
0fac84a 0fa5e1f 0fbb601 0fb9f34 0fb7691 
0fb3558 0facd9d 0fc2429 0fc0d45 0fbe3d8 
0fab5a9 0fa4d02 0fba4a9 0fb8d8f 0fb625b 
0fb1f1f 0fab46b 0fc08d3 0fbf4a8 0fbcd74 
0faf66e 0fa8f57 0fbe61f 0fbcddc 0fba30d 
0fac514 0fa5a71 0fbb02a 0fb9afa 0fb727d 
0fb24cb 0fabd2b 0fc135e 0fbfbdb 0fbd268 
0fa9249 0fa29ae 0fb816e 0fb6a10 0fb3ed6 
0fae616 0fa7bae 0fbd184 0fbbc52 0fb94aa 
0faaae1 0fa43de 0fb9dde 0fb82d1 0fb57cf 
0fa657f 0f9fa60 0fb5430 0fb3b7f 0fb136e 
0fab8d5 0fa5009 0fbaae8 0fb8fe0 0fb6750 
0fa1c6a 0f9b341 0fb104b 0faf34c 0fac92b 
0fa6a0e 0fa0022 0fb5a42 0fb3f67 0fb18d6 
0fa2ef3 0f9c7d9 0fb25bb 0fb065f 0fadbe1 
0f9e659 0f97bb1 0fad89c 0fabbee 0fa93dc 
0fa3a13 0f9d24b 0fb2e14 0fb1087 0fae82d 
0f99811 0f9302d 0fa8cb7 0fa6f80 0fa449a 
0f9d9d5 0f97138 0fac9ab 0fab033 0fa886f 
0f99127 0f92c8d 0fa8633 0fa69a2 0fa3dc5 
0f930c7 0f8c8c3 0fa214c 0fa075d 0f9dda8 
0f96dea 0f9085f 0fa60db 0fa4549 0fa1b08 
0f8b4b1 0f84efe 0f9a97a 0f98c91 0f96026 
0f8e342 0f87bf4 0f9d45a 0f9b973 0f990a0 
0f89562 0f83189 0f98c68 0f96da6 0f940fe 
0f83797 0f7cf39 0f92a1e 0f90dda 0f8e40d 
0f8859a 0f81fcd 0f9799b 0f95c71 0f9329c 
0f7e480 0f77eca 0f8d8a1 0f8bbf2 0f88faf 
0f82c04 0f7c3f8 0f91a6b 0f9014f 0f8d978 
0f7fd70 0f798d7 0f8f113 0f8d498 0f8a976 
0f7bc02 0f75313 0f8ab5d 0f890d8 0f8682b 
0f826f1 0f7c046 0f91813 0f8fc62 0f8d39d 
0f7a5f2 0f73eb2 0f8988c 0f87bd0 0f85100 
0f80992 0f7a0c1 0f8f75e 0f8dda6 0f8b6ed 
0f7fa89 0f79466 0f8edd6 0f8d0bd 0f8a6b5 
0f7d2f2 0f768e0 0f8c1d4 0f8a765 0f87feb 
0f8553f 0f7ed44 0f94604 0f92a6c 0f90317 
0f7e83c 0f77f73 0f8dabd 0f8bdf2 0f894b2 
0f855fc 0f7eb94 0f94433 0f92a34 0f90485 
0f84e5d 0f7e720 0f941f8 0f924bb 0f8fb73 
0f823b2 0f7b917 0f91312 0f8f872 0f8d13e 
0f89fa6 0f83757 0f990c8 0f9752a 0f94db2 
0f82ad7 0f7c2ba 0f91df7 0f90155 0f8d729 
0f88fed 0f8260d 0f97eed 0f964b1 0f93e21 
0f884c2 0f81e1b 0f97950 0f95b7d 0f931b3 
0f855c1 0f7ec09 0f94634 0f92a9c 0f9032c 
0f8d3ce 0f86c63 0f9c686 0f9a947 0f98188 
0f86334 0f7fbd6 0f95825 0f9394c 0f90f29 
0f8ce01 0f864d1 0f9bef5 0f9a254 0f97b91 
0f8ce06 0f8685e 0f9c51a 0f9a486 0f97a0e 
0f8aa68 0f84107 0f99d23 0f97f2e 0f95700 
0f93602 0f8ce12 0fa2a8c 0fa0b6f 0f9e347 
0f8d1e2 0f869ef 0f9c7ae 0f9a803 0f97da1 
0f9462b 0f8db9c 0fa3742 0fa1a7f 0f9f3ed 
0f94be9 0f8e469 0fa41f3 0fa224b 0f9f852 
0f927f3 0f8bd1c 0fa195e 0f9fce2 0f9d4f8 
0f9b271 0f949de 0faa4e5 0fa87fb 0fa6048 
0f94964 0f8e0cb 0fa3d7b 0fa1fba 0f9f5d3 
0f9b7fc 0f94d89 0faa797 0fa8c9e 0fa6681 
0f9bac8 0f95369 0faafef 0fa917e 0fa6805 
0f9975f 0f92c75 0fa883b 0fa6c68 0fa455c 
0fa2905 0f9c028 0fb1b64 0fafe87 0fad802 
0f9cad1 0f9618a 0fabef9 0faa0e6 0fa7844 
0fa49e7 0f9de90 0fb3924 0fb1e22 0faf95b 
0fa5f9c 0f9f743 0fb5404 0fb35c0 0fb0da5 
0fa4de1 0f9e1ad 0fb3dcf 0fb2219 0fafc98 
0faef57 0fa8539 0fbe0d7 0fbc3f8 0fb9f07 
0fa9ce0 0fa3207 0fb9042 0fb7220 0fb4b53 
0fb2575 0fab842 0fc13ea 0fbf8b1 0fbd64e 
0fb41bc 0fad849 0fc34b7 0fc1706 0fbf21a 
0fb30a0 0fac3a8 0fc1ec6 0fc03da 0fbe219 
0fbcab5 0fb6018 0fcba53 0fc9e61 0fc7cc2 
0fb690b 0fafe1e 0fc5a78 0fc3d6f 0fc19f7 
0fbd933 0fb6cf8 0fcc579 0fcac1a 0fc8b73 
0fbd083 0fb677b 0fcc358 0fca53d 0fc831d 
0fb96ed 0fb2a1c 0fc8798 0fc698a 0fc49ce 
0fc08be 0fb9eac 0fcf963 0fcdb7d 0fcbb53 
0fb7f39 0fb158b 0fc71b5 0fc52ed 0fc2f43 
0fbcaa2 0fb6002 0fcbc78 0fc9c9b 0fc7c68 
0fba54d 0fb3ea5 0fc9e2c 0fc7965 0fc558a 
0fb5032 0fae5cb 0fc431e 0fc22cd 0fc00df 
0fbabd4 0fb4488 0fca2ae 0fc7ebe 0fc5cec 
0fb1004 0faa8c4 0fc0ac5 0fbe40f 0fbbec4 
0fb49dd 0fae107 0fc4016 0fc1c5a 0fbfa73 
0fb1b21 0fab5a7 0fc163c 0fbefa3 0fbca4f 
0fabac9 0fa5174 0fbb0e8 0fb8dc9 0fb6a1d 
0fb0f42 0faa890 0fc0618 0fbe306 0fbbf4c 
0fa6f18 0fa08ba 0fb67b1 0fb43e3 0fb1d6b 
0faa4c9 0fa3c20 0fb9859 0fb7835 0fb54f1 
0fa7749 0fa11f8 0fb7048 0fb4d02 0fb25be 
0fa1c4b 0f9b38b 0fb10e9 0faf0cd 0facaf8 
0fa783e 0fa11c5 0fb6dc3 0fb4d80 0fb27a2 
0f9e27b 0f97b99 0fad9d2 0fab8de 0fa9025 
0fa2262 0f9b91c 0fb1507 0faf726 0fad1cf 
0fa02b4 0f99d2c 0fafa84 0fada09 0fab0a7 
0f9b36f 0f949c9 0faa6d1 0fa8919 0fa6193 
0fa1c12 0f9b4bd 0fb1055 0faf243 0facaf8 
0f99543 0f92dfe 0fa8b1e 0fa6c66 0fa4281 
0f9e310 0f97982 0fad48a 0fab8a8 0fa920f 
0f9d17f 0f96b72 0fac839 0faa91f 0fa7efb 
0f98986 0f91fcc 0fa7c6a 0fa5fbb 0fa374e 
0f9f8de 0f99187 0faece7 0facfa3 0faa789 
0f977ec 0f91065 0fa6df0 0fa4f9c 0fa24ea 
0f9c810 0f95e5d 0fab9a2 0fa9df3 0fa76f9 
0f9bcea 0f95691 0fab385 0fa94bd 0fa6a66 
0f977be 0f90dc3 0fa6a78 0fa4dfe 0fa2562 
0f9ead2 0f9830f 0fadef3 0fac1ac 0fa996f 
0f96b91 0f903cd 0fa6206 0fa433d 0fa187f 
0f9ba64 0f95076 0faac48 0fa9067 0fa692b 
0f9b153 0f94a9a 0faa85f 0fa8960 0fa5ebf 
0f96e23 0f903c9 0fa611f 0fa4494 0fa1bd9 
0f9e83f 0f98023 0fadc38 0fabf27 0fa96ba 
0f97072 0f9083c 0fa6699 0fa4830 0fa1d3e 
0f9c6f6 0f95cad 0fab883 0fa9cfd 0fa75ad 
0f9c813 0f9611d 0fabeba 0faa01e 0fa7589 
0f988a5 0f91e41 0fa7b69 0fa5f37 0fa3690 
0fa07fa 0f99fa7 0fafbaa 0fadee0 0fab70b 
0f99240 0f929fd 0fa8813 0fa6a17 0fa3fb6 
0f9e94d 0f97eda 0fada48 0fabf2d 0fa9897 
0f9ec9a 0f98558 0fae289 0fac46a 0fa9aa3 
0f9afbf 0f944ff 0faa1a1 0fa85d2 0fa5de6 
0fa334b 0f9cade 0fb25db 0fb0991 0fae231 
0f9c44a 0f95b85 0fab93d 0fa9b46 0fa717f 
0fa1fe1 0f9b530 0fb1037 0faf538 0facf10 
0fa28be 0f9c1a1 0fb1e3b 0fb001e 0fad6bc 
0f9ed85 0f982bb 0fadf35 0fac357 0fa9bbd 
0fa7479 0fa0bb8 0fb6687 0fb4a64 0fb2377 
0fa081b 0f99f65 0fafc53 0fadec0 0fab51c 
0fa659b 0f9fa96 0fb54ec 0fb3a7a 0fb146a 
0fa7504 0fa0d7e 0fb6927 0fb4bf9 0fb2275 
0fa3bd6 0f9d127 0fb2c1d 0fb11d3 0fae97e 
0fac724 0fa5eaf 0fbb7bf 0fb9da7 0fb75e1 
0fa5ac9 0f9f290 0fb4db1 0fb3232 0fb077e 
0fab3d6 0fa48ff 0fba2ae 0fb89ca 0fb6273 
0fabcda 0fa5567 0fbb152 0fb94f5 0fb6a2a 
0fa7958 0fa0eb8 0fb6af6 0fb5016 0fb2746 
0fafca0 0fa93f3 0fbeff4 0fbd374 0fbab6c 
0fa868d 0fa1ec2 0fb7c73 0fb5e46 0fb3309 
0fad2db 0fa688b 0fbc41d 0fba8fb 0fb8193 
0face62 0fa67d5 0fbc47c 0fba65c 0fb7c2b 
0fa738d 0fa0a3d 0fb65c9 0fb4a5b 0fb21cc 
0fadadd 0fa72a2 0fbce42 0fbb234 0fb89cc 
0fa433d 0f9db73 0fb390b 0fb1b72 0faf05d 
0fa6dca 0fa043a 0fb5e65 0fb4408 0fb1c9d 
0fa4d52 0f9e6b2 0fb432f 0fb256f 0fafae5 
0f9d7a4 0f96e5a 0fac9d1 0faae1f 0fa853b 
0fa312f 0f9c973 0fb244d 0fb0790 0fadf96 
0f98ffa 0f9292d 0fa8694 0fa673e 0fa3c8a 
0f9b2ca 0f949f8 0faa4e6 0fa87d5 0fa6135 
0f98f7c 0f929c9 0fa87c2 0fa663b 0fa3c68 
0f90f10 0f8a601 0fa0441 0f9e43a 0f9bc0d 
0f95e46 0f8f7ca 0fa53f6 0fa33b4 0fa0c53 
0f8b0da 0f84b34 0f9a93d 0f9876b 0f95d0b 
0f8c233 0f85ae1 0f9b5d7 0f99752 0f9703e 
0f896b2 0f83341 0f9900c 0f96d97 0f9432c 
0f81152 0f7aa63 0f9078d 0f8e692 0f8bd5e 
0f865f6 0f8008d 0f95ccb 0f93b3f 0f91308 
0f7c767 0f761d6 0f8c128 0f89dbf 0f8723e 
0f7ebcd 0f78455 0f8e075 0f8c09a 0f89836 
0f7d955 0f77489 0f8d387 0f8b01f 0f88425 
0f76d5b 0f704f1 0f863f3 0f842c1 0f81858 
0f7da3e 0f7734d 0f8cff5 0f8b003 0f886dc 
0f75548 0f6ef2a 0f84d07 0f82bce 0f80099 
0f79120 0f7284a 0f8836f 0f8652b 0f83e40 
0f79b40 0f73512 0f89229 0f8711c 0f84743 
0f74641 0f6dcd3 0f8396e 0f81ae9 0f7f24a 
0f7ca0b 0f762c6 0f8bcf5 0f89ed3 0f87720 
0f75fb4 0f6f93b 0f8558d 0f8350e 0f80ae5 
0f7ae1c 0f744c5 0f89f8d 0f88123 0f85b29 
0f7ca69 0f76427 0f8c0c8 0f89fe5 0f8765f 
0f783c0 0f71a9f 0f87720 0f857fe 0f82fd9 
0f8116f 0f7a96b 0f904cb 0f8e5b1 0f8bede 
0f7ad05 0f7451d 0f8a2f8 0f8827a 0f85928 
0f7fce4 0f79226 0f8ee05 0f8d07d 0f8aac7 
0f81f12 0f7b7f8 0f91537 0f8f4a8 0f8cbe4 
0f7dc37 0f77209 0f8ced5 0f8b03e 0f88952 
0f86dff 0f80587 0f9607c 0f94237 0f91c8f 
0f811a4 0f7a9c8 0f9075e 0f8e701 0f8be7f 
0f86403 0f7f9bc 0f9553d 0f937b1 0f912b9 
0f88912 0f821d5 0f97f86 0f95e76 0f93695 
0f84339 0f7d906 0f936b1 0f9178b 0f8f099 
0f8d3a5 0f86b05 0f9c706 0f9a808 0f98207 
0f875db 0f80de7 0f96c5f 0f94b92 0f92231 
0f8c7c0 0f85d5c 0f9b94b 0f99bcd 0f975c9 
0f8ec76 0f88533 0f9e2db 0f9c292 0f9995f 
0f8a74c 0f83d46 0f99aa7 0f97c7e 0f95417 
0f9392b 0f8d042 0fa2c42 0fa0e5d 0f9e6fd 
0f8da50 0f8714f 0f9d0a6 0f9b0af 0f9864d 
0f92a09 0f8be4b 0fa1b8e 0f9fe83 0f9d7fd 
0f950a1 0f8e7f3 0fa46f3 0fa270c 0f9fda6 
0f90c15 0f8a040 0f9ff1e 0f9e156 0f9b916 
0f9a0c8 0f93698 0fa9372 0fa760d 0fa4f08 
0f94861 0f8deb6 0fa3dad 0fa1e95 0f9f4f2 
0f9a11d 0f9350c 0fa9164 0fa756b 0fa4fb3 
0f9d418 0f96b49 0fac901 0faaa14 0fa81cd 
0f99d5e 0f9313b 0fa8e7f 0fa7226 0fa4b22 
0fa4300 0f9d7c9 0fb33d6 0fb17a0 0faf1fe 
0f9f7d1 0f98cfa 0faebe8 0facd73 0faa517 
0fa5d8a 0f9efa1 0fb4c2d 0fb311b 0fb0cc7 
0fa9d2d 0fa3276 0fb9061 0fb728e 0fb4b97 
0fa70e1 0fa0304 0fb606b 0fb44d9 0fb1fd6 
0fb1ee8 0fab20e 0fc0e76 0fbf2dc 0fbcfc9 
0fad468 0fa682e 0fbc76b 0fba990 0fb83d4 
0fb313f 0fac28c 0fc1f4f 0fc0468 0fbe30c 
0fb6386 0faf81a 0fc5724 0fc3857 0fc149d 
0fb1ec4 0fab001 0fc0fa0 0fbf28e 0fbcfab 
0fbaf00 0fb4180 0fc9dff 0fc82e1 0fc604d 
0fb49ce 0faddca 0fc3b0d 0fc1e61 0fbfa7b 
0fb8d0a 0fb1e92 0fc7f49 0fc5f59 0fc3f43 
0fba956 0fb3d89 0fc9e9e 0fc7d1a 0fc58e3 
0fb4fe8 0fae269 0fc4018 0fc2311 0fbfee6 
0fbcaf6 0fb6005 0fcba54 0fc9de7 0fc7aad 
0fb4dd8 0fae432 0fc41e6 0fc21f5 0fbfbbf 
0fb768c 0fb09d2 0fc6640 0fc48a0 0fc2621 
0fb775c 0fb0e8f 0fc6e25 0fc4b7c 0fc25fb 
0fb03c5 0fa97e1 0fbf70b 0fbd6f4 0fbb267 
0fb67fb 0fafd43 0fc5b59 0fc3b2b 0fc1780 
0fadb8d 0fa72ab 0fbd307 0fbaff6 0fb893c 
0faf9b5 0fa8e2a 0fbecf0 0fbcc4a 0fba93c 
0faf2a7 0fa8a51 0fbeab1 0fbc70e 0fba151 
0fa75f2 0fa0ab6 0fb6b20 0fb4942 0fb240f 
0fad516 0fa6b56 0fbca01 0fba865 0fb845c 
0fbd678 0fb62e2 0fccbbd 0fc9de3 0fc867f 
0fc3473 0fbc3d2 0fd2b77 0fcfca3 0fce499 
0fbab9d 0fb39e3 0fca539 0fc7433 0fc5a48 
0fbf7d3 0fb8659 0fcef8a 0fcbefa 0fca8c1 
0fbc43f 0fb55fc 0fcc2a9 0fc8d20 0fc73cb 
0fb81b4 0fb1015 0fc7bd8 0fc496a 0fc30c4 
0fbd441 0fb657b 0fccf3c 0fc9cde 0fc8371 
0fb3e7e 0facefb 0fc3921 0fc0789 0fbebd0 
0fb7b18 0fb0b34 0fc711b 0fc4305 0fc29f7 
0fb3dc3 0facfe8 0fc3801 0fc078d 0fbeac7 
0faed46 0fa7c6f 0fbe398 0fbb58a 0fb9ac9 
0fb3299 0fac476 0fc2b22 0fbfbc0 0fbe07a 
0fa97ae 0fa2893 0fb91d2 0fb6137 0fb43c0 
0fad450 0fa6460 0fbcbaa 0fb9c76 0fb8267 
0fa9c0c 0fa2e90 0fb9841 0fb65d5 0fb4859 
0fa5144 0f9e0f9 0fb499b 0fb19a6 0fafe10 
0faa267 0fa3441 0fb9c37 0fb6b7a 0fb4f8b 
0fa148c 0f9a565 0fb0ed1 0faddb5 0fac010 
0fa5c2b 0f9ebce 0fb52a7 0fb240c 0fb0988 
0fa33fa 0f9c5c1 0fb2ebb 0fafd3b 0fadfcd 
0f9f67c 0f984fe 0faed7c 0fabe36 0faa2b6 
0fa54f0 0f9e68d 0fb4deb 0fb1d49 0fb01bc 
0f9d1fe 0f961f7 0facc31 0fa9aa1 0fa7d3d 
0fa207b 0f9afbd 0fb171c 0fae7b2 0facdb4 
0fa01a4 0f9935b 0fafcc3 0faca7e 0faad20 
0f9c78f 0f95609 0fabec5 0fa8eea 0fa736f 
0fa2a4b 0f9bb2e 0fb22fb 0faf228 0fad6b4 
0f9aaf6 0f93aff 0faa4c1 0fa7323 0fa55ab 
0f9fc21 0f98b3c 0faf258 0fac2c8 0faa894 
0f9e05c 0f971df 0fadada 0faa897 0fa8b46 
0f9a760 0f935c1 0fa9e35 0fa6e22 0fa52bb 
0fa0d7e 0f99e70 0fb05dd 0fad4d7 0fab996 
0f9931a 0f922ef 0fa8cae 0fa5ad4 0fa3d9f 
0f9e829 0f976ee 0fade24 0faae97 0fa94a6 
0f9d57d 0f966d5 0facfb5 0fa9d93 0fa8086 
0f9a4f2 0f932fa 0fa9b91 0fa6b8a 0fa504a 
