0f7bef0 0f7217c 0f8171a 0f86173 0f78a66 
0f7f68e 0f75ab9 0f84c55 0f8a5cb 0f7bbee 
0f88367 0f7e9ee 0f8d9a0 0f8d071 0f847bc 
0f8510a 0f7b5f2 0f8a778 0f8eb34 0f81ab3 
0f86875 0f7ce0f 0f8bf14 0f8d53a 0f82c2b 
0f8c94e 0f83015 0f92022 0f92761 0f892b7 
0f867ae 0f7cca7 0f8be60 0f90e60 0f82fc8 
0f8f70d 0f85eb7 0f94e5c 0f9403e 0f8be1d 
0f8c476 0f82aa0 0f91be0 0f95f29 0f89157 
0f8d8ab 0f83f77 0f9301c 0f94c43 0f89fdd 
0f939b1 0f8a16c 0f990f6 0f99b76 0f9059b 
0f8d6a6 0f83c10 0f92d1a 0f9792f 0f89fb1 
0f9651d 0f8cd08 0f9bbda 0f9a4fc 0f92c9d 
0f92ffe 0f8962a 0f98690 0f9c4e1 0f8fdb9 
0f945f9 0f8ac85 0f99cba 0f9ad9e 0f90d90 
0f9a394 0f90aaa 0f9fa19 0fa02c9 0f96f82 
0f937a7 0f89bcb 0f98d20 0f9eaea 0f9016c 
0f9c19e 0f92761 0fa178a 0fa19d2 0f98bb4 
0f985b0 0f8e918 0f9dbfc 0fa3106 0f957f3 
0f98f34 0f8f2b2 0f9e59c 0fa0f32 0f95a53 
0f9e363 0f947bd 0fa3a3a 0fa5ae0 0f9b357 
0f9709e 0f8d304 0f9c83b 0fa2d7c 0f93dbd 
0f9f1c2 0f956d7 0fa4aaf 0fa441d 0f9ba45 
0f9ad3f 0f91102 0fa05db 0fa4e6f 0f97bff 
0f9af8f 0f9138d 0fa07a7 0fa2653 0f978a4 
0f9fe19 0f9639f 0fa55cc 0fa6b03 0f9cbe4 
0f987fa 0f8ebe5 0f9df57 0fa396e 0f954c8 
0fa07fa 0f96e8d 0fa600b 0fa52ee 0f9d375 
0f9c4c8 0f929e6 0fa1d0a 0fa6096 0f99565 
0f9c8e4 0f92ebe 0fa2165 0fa3970 0f99368 
0fa1c0e 0f98302 0fa74bb 0fa7d62 0f9eb7f 
0f9a630 0f90b4e 0f9fed9 0fa4da2 0f9742f 
0fa20cc 0f987f9 0fa79c8 0fa7057 0f9ecd9 
0f9d89c 0f93dc7 0fa3134 0fa860b 0f9a916 
0f9d312 0f938a8 0fa2bbe 0fa5f43 0f99d85 
0fa18b7 0f97f94 0fa7198 0fa9c03 0f9e867 
0f99917 0f8fdb3 0f9f19f 0fa6169 0f9667e 
0fa0c83 0f9739d 0fa6577 0fa757b 0f9d746 
0f9c441 0f929b7 0fa1d12 0fa7e7d 0f99403 
0f9c2e5 0f928dc 0fa1ba4 0fa52d4 0f98bf5 
0fa156d 0f97cd1 0fa6e37 0fa9393 0f9e2a7 
0f9a302 0f90832 0f9fb9a 0fa6695 0f96da5 
0fa2101 0f98863 0fa79cb 0fa889e 0f9e8e4 
0f9e0ca 0f9463d 0fa3971 0fa9df5 0f9ada0 
0f9e0f2 0f9468d 0fa39a0 0fa7911 0f9a709 
0fa31b9 0f99809 0fa8a6b 0fab6c3 0f9fc4f 
0f9bc35 0f91fea 0fa14e6 0fa82cd 0f984b3 
0fa3818 0f99df1 0fa9122 0fa9e0e 0f9fe1a 
0f9fb16 0f95f1c 0fa53fd 0faae72 0f9c636 
0f9feed 0f96342 0fa5804 0fa866c 0f9c3d2 
0fa570a 0f9bc7f 0fab02b 0fac7b2 0fa206b 
0f9e8c2 0f94c02 0fa41ab 0fa9c41 0f9b09a 
0fa6925 0f9ced9 0fac1d5 0fabaab 0fa2ef1 
0fa32e6 0f99739 0fa8ad6 0facecc 0f9fd75 
0fa3ae7 0f99fec 0fa9316 0faaa9d 0f9ffee 
0fa97c1 0f9fe43 0faf046 0faf39d 0fa6182 
0fa2bed 0f9902e 0fa8456 0fac73b 0f9f414 
0faad13 0fa13a5 0fb0583 0fae8a0 0fa7315 
0fa75d8 0f9daa3 0face01 0fb078f 0fa4120 
0fa7900 0f9dde3 0fad132 0faea71 0fa3dd1 
0fad0de 0fa36bd 0fb28da 0fb33fc 0fa9a62 
0fa6067 0f9c3c6 0fab7ef 0fb0e24 0fa2851 
0fadb80 0fa4119 0fb3323 0fb32c6 0faa124 
0faa0d2 0fa04cd 0faf822 0fb4c29 0fa6bed 
0fa9f40 0fa0372 0faf675 0fb290a 0fa646d 
0faf766 0fa5ce4 0fb4e8f 0fb6e7d 0fac196 
0fa84eb 0f9e860 0fadbf9 0fb4748 0fa4dc5 
0faff8c 0fa65bb 0fb570c 0fb6a07 0fac645 
0fac8e4 0fa2de5 0fb2093 0fb8846 0fa955a 
0fac973 0fa2ec5 0fb2129 0fb622c 0fa9085 
0fb2758 0fa8e50 0fb7ef9 0fbac63 0faf352 
0fab805 0fa1d0c 0fb0f50 0fb8274 0fa82b4 
0fb37bd 0fa9ec2 0fb8edd 0fba80a 0fb0069 
0fb0535 0fa6a61 0fb5bc5 0fbc8d3 0fad466 
0fb04f7 0fa6a2b 0fb5b75 0fba890 0face01 
0fb6509 0facb98 0fbbb76 0fbf36c 0fb329f 
0faf565 0fa59be 0fb4ba0 0fbd02c 0fac1c5 
0fb73a7 0fadaa7 0fbca7d 0fbee71 0fb3de9 
0fb4204 0faa79a 0fb98ef 0fc0aa5 0fb1204 
0fb3f3d 0faa541 0fb9656 0fbe4fe 0fb092f 
0fba1cd 0fb097d 0fbf911 0fc2de3 0fb6fb9 
0fb35c6 0fa9ac9 0fb8c4e 0fc0d98 0fb0144 
0fbba2e 0fb218b 0fc10b8 0fc2f68 0fb81f0 
0fb8f7d 0faf551 0fbe57a 0fc4ec6 0fb5bae 
0fb8ef4 0faf4c6 0fbe504 0fc2dbc 0fb5436 
0fbf588 0fb5c67 0fc4c08 0fc7a1e 0fbbdc1 
0fb86f8 0faeb98 0fbdd00 0fc54cb 0fb4e71 
0fc03f5 0fb6b6d 0fc5a52 0fc6b8a 0fbc984 
0fbd31b 0fb3979 0fc291f 0fc8290 0fba06f 
0fbc586 0fb2c2a 0fc1b81 0fc5a0d 0fb8e43 
0fc221e 0fb8a27 0fc7823 0fc9e12 0fbf036 
0fba671 0fb0c2f 0fbfc25 0fc71d6 0fb72c2 
0fc13ce 0fb7c0a 0fc69cf 0fc850c 0fbdc9c 
0fbd4c0 0fb3b57 0fc2a68 0fc9be1 0fba2ca 
0fbb54a 0fb1b2a 0fc0aeb 0fc68d1 0fb7ccd 
0fc0535 0fb6c0f 0fc5aea 0fc9c85 0fbd08d 
0fb7ce1 0fae0f1 0fbd245 0fc64c4 0fb470c 
0fbe09a 0fb46a6 0fc3631 0fc7165 0fba7b3 
0fba2a1 0fb06fc 0fbf7fc 0fc83b6 0fb6f3f 
0fb86f4 0faeb2c 0fbdc30 0fc5049 0fb4d66 
0fbe143 0fb4736 0fc369b 0fc81ba 0fbab98 
0fb68ac 0faccb3 0fbbde8 0fc4b43 0fb323f 
0fbdb27 0fb41cd 0fc30ff 0fc569d 0fba1b7 
0fbb246 0fb1771 0fc0832 0fc6981 0fb7dba 
0fba57f 0fb0acc 0fbfba6 0fc36d3 0fb6b20 
0fc0e74 0fb7572 0fc6525 0fc73f7 0fbd893 
0fb9dd0 0fb02e0 0fbf486 0fc4d7e 0fb6854 
0fc1343 0fb7adb 0fc6a5b 0fc63d0 0fbda8f 
0fbee0a 0fb5425 0fc4515 0fc7b61 0fbba3c 
0fbddcd 0fb4423 0fc3572 0fc4899 0fba496 
0fc443f 0fbac51 0fc9d02 0fc8046 0fc0fdc 
0fbd260 0fb3853 0fc2b02 0fc5a5c 0fb9d11 
0fc4475 0fbaca5 0fc9d2a 0fc742f 0fc0c22 
0fc1ed5 0fb8572 0fc7719 0fc9a9d 0fbec28 
0fc0be2 0fb7269 0fc647b 0fc7ad9 0fbd303 
0fc7448 0fbdc24 0fccd15 0fcc729 0fc3dc1 
0fc02b2 0fb67ee 0fc5b17 0fcaeed 0fbca6b 
0fc77df 0fbdf41 0fcd08a 0fccce4 0fc3c6d 
0fc574c 0fbbd11 0fcaf8e 0fcf68e 0fc217c 
0fc4835 0fbadc8 0fca069 0fcd464 0fc0be2 
0fcb75a 0fc1e93 0fd10bf 0fd232e 0fc7e4d 
0fc4e09 0fbb2dd 0fca656 0fd0a81 0fc13c8 
0fcc93d 0fc306e 0fd21ec 0fd2c16 0fc8b6f 
0fcaf3a 0fc14f8 0fd07b4 0fd5a3e 0fc7771 
0fca43f 0fc09c8 0fcfc2f 0fd3d1e 0fc6690 
0fd1744 0fc7e4f 0fd6e7c 0fd8ef9 0fcdd32 
0fcac7f 0fc1141 0fd0470 0fd6d50 0fc72c4 
0fd282f 0fc8fc8 0fd802b 0fd83a1 0fcec43 
0fd0652 0fc6cd6 0fd5e3d 0fda5e3 0fcd080 
0fcf3d7 0fc5a36 0fd4c35 0fd7a5b 0fcb8a0 
0fd5f24 0fcc782 0fdb77c 0fdbec1 0fd2898 
0fcef7c 0fc5538 0fd473d 0fd9c32 0fcb7cf 
0fd67c6 0fcd00a 0fdbff4 0fdba08 0fd2ce6 
0fd471a 0fcae06 0fd9ed1 0fde82a 0fd11cd 
0fd370f 0fc9db7 0fd8ea9 0fdc33e 0fcfb86 
0fda853 0fd1079 0fdffc2 0fe1085 0fd7049 
0fd3aab 0fca044 0fd916d 0fdf48f 0fd02a2 
0fdb046 0fd1851 0fe0753 0fe1133 0fd75a4 
0fd8a92 0fcf174 0fde155 0fe38b3 0fd562a 
0fd700f 0fcd6c4 0fdc70a 0fe0eb6 0fd3687 
0fdd5bf 0fd3e45 0fe2d64 0fe4c5b 0fda0ef 
0fd596f 0fcbeed 0fdb233 0fe1523 0fd2532 
0fdc0d3 0fd2898 0fe1a78 0fe1876 0fd8b03 
0fd8aad 0fcf160 0fde3a2 0fe2e53 0fd5b65 
0fd5a2f 0fcc07e 0fdb388 0fdf65f 0fd23f6 
0fda920 0fd10b4 0fe0258 0fe2ada 0fd7717 
0fd1708 0fc7bb5 0fd6f1d 0fdeff0 0fce3be 
0fd6bc5 0fcd2f3 0fdc483 0fdea7e 0fd364d 
0fd2a50 0fc8faf 0fd82ac 0fdf995 0fcfbd1 
0fcfb5e 0fc6103 0fd53a0 0fdba0d 0fcc64d 
0fd5542 0fcbc63 0fdadc1 0fdee2c 0fd2403 
0fcd0e9 0fc35cf 0fd29fd 0fdbb2d 0fc9fa8 
0fd3771 0fc9f56 0fd9087 0fdc0d3 0fd033a 
0fd0970 0fc7030 0fd626a 0fdd85f 0fcdb26 
0fce6aa 0fc4ccf 0fd3fda 0fda39a 0fcb290 
0fd4ae9 0fcb2fe 0fda3d7 0fde0d7 0fd1a05 
0fccd16 0fc3253 0fd2635 0fdb5b9 0fc9c7a 
0fd3328 0fc9adf 0fd8bec 0fdbb70 0fcfe71 
0fd0523 0fc6b6d 0fd5d74 0fdcd25 0fcd513 
0fce07a 0fc4640 0fd3902 0fd9071 0fca9f4 
0fd3fa1 0fca6ed 0fd97dc 0fdc6c2 0fd0c84 
0fcbe81 0fc22b7 0fd165a 0fd96aa 0fc8a40 
0fd208b 0fc86f2 0fd7842 0fd9bb5 0fce894 
0fcee25 0fc5314 0fd45d2 0fdace3 0fcbb62 
0fcc1b3 0fc2659 0fd196a 0fd6bbb 0fc88d2 
0fd1df9 0fc8471 0fd7563 0fd9c98 0fce896 
0fc9e8c 0fc0238 0fcf634 0fd69f7 0fc694f 
0fd055e 0fc6b8d 0fd5d0e 0fd6f1d 0fccb91 
0fcdd60 0fc4243 0fd34cd 0fd8732 0fca8f8 
0fcbb51 0fc1fd9 0fd1336 0fd5095 0fc815f 
0fd22ee 0fc896d 0fd7a70 0fd8db5 0fced0b 
0fca9b2 0fc0da1 0fd016e 0fd6566 0fc737c 
0fd1267 0fc78df 0fd6a5b 0fd6a4c 0fcd87c 
0fcebb1 0fc50f3 0fd43b4 0fd7573 0fcb78d 
0fcc518 0fc29ed 0fd1d22 0fd3925 0fc8afe 
0fd257c 0fc8c56 0fd7d69 0fd76d0 0fceea0 
0fca602 0fc0a6b 0fcfdfe 0fd4b63 0fc6f1c 
0fd0704 0fc6de0 0fd5f14 0fd4f84 0fccc97 
0fcdc84 0fc422e 0fd345b 0fd66e1 0fca820 
0fcb35e 0fc18c2 0fd0b00 0fd307e 0fc7920 
0fd16d8 0fc7e1f 0fd6da8 0fd6d4b 0fcdf65 
0fc9ac3 0fbff8b 0fcf1ba 0fd46eb 0fc63f4 
0fcfee9 0fc6646 0fd563e 0fd55a6 0fcc488 
0fcd95d 0fc3f6d 0fd3080 0fd79c0 0fca4ab 
0fcb40f 0fc19b7 0fd0ba3 0fd4bb0 0fc79ae 
0fd1a41 0fc8195 0fd7155 0fd90db 0fce301 
0fc9f8a 0fc03fa 0fcf6c9 0fd6f3f 0fc68d2 
0fd02fa 0fc698f 0fd5a60 0fd7e4b 0fcc8cb 
0fcded0 0fc43be 0fd35e4 0fda06f 0fcaa64 
0fcb597 0fc19d1 0fd0caa 0fd6dde 0fc7b61 
0fd1b3b 0fc8147 0fd71e4 0fdad41 0fce404 
0fc9eaf 0fc01f9 0fcf56a 0fd86ed 0fc67e1 
0fd02cc 0fc6892 0fd5991 0fd8b55 0fcc852 
0fce2d4 0fc4790 0fd398d 0fda847 0fcae77 
0fcb9e2 0fc1e39 0fd10d3 0fd6f41 0fc8031 
0fd25b6 0fc8c49 0fd7cca 0fdac62 0fcefb0 
0fcaecb 0fc1333 0fd0659 0fd8623 0fc7a64 
0fd1822 0fc7ea9 0fd6f81 0fd96d3 0fcdfb3 
0fcff96 0fc64a8 0fd5644 0fdc56b 0fccc4a 
0fcdb12 0fc3f85 0fd31da 0fd97e1 0fca223 
0fd4ab6 0fcb0b8 0fda152 0fddcc8 0fd15ba 
0fcd462 0fc3744 0fd2b24 0fdba7d 0fc9f6d 
0fd3bec 0fca0ed 0fd92a5 0fdbfaa 0fd0263 
0fd22af 0fc863d 0fd789b 0fde608 0fced89 
0fcf865 0fc5af5 0fd4de2 0fdbf53 0fcbca5 
0fd67fe 0fccc8b 0fdbd8c 0fe0115 0fd3025 
0fcef77 0fc5199 0fd447b 0fdd97a 0fcb783 
0fd525d 0fcb716 0fda7b4 0fde09d 0fd165c 
0fd36df 0fc9a8b 0fd8be3 0fe0280 0fcffa0 
0fd05b1 0fc68f9 0fd5ae8 0fdc858 0fcc752 
0fd7164 0fcd70f 0fdc6bb 0fdfe7b 0fd3836 
0fcf3c3 0fc5727 0fd48c0 0fdd17f 0fcbd38 
0fd5133 0fcb794 0fda633 0fdcddd 0fd172a 
0fd341c 0fc99ee 0fd87f1 0fde530 0fd016f 
0fcfdcf 0fc6312 0fd511d 0fda769 0fcc50b 
0fd6655 0fccded 0fdb9cd 0fde219 0fd31f2 
0fce5a6 0fc4aba 0fd390e 0fdbad5 0fcb270 
0fd3b73 0fca222 0fd8f0f 0fdb7c9 0fd057d 
0fd1b69 0fc80f8 0fd6ee8 0fdd5bf 0fcead0 
0fcdd28 0fc41b2 0fd3147 0fda11a 0fca574 
0fd435f 0fca9d1 0fd977b 0fde11d 0fd0d11 
0fcc11b 0fc249e 0fd1517 0fdbfb3 0fc8a9d 
0fd1477 0fc7a55 0fd68e0 0fdbe04 0fcd913 
0fcf5ea 0fc5ae1 0fd4a8d 0fdd8f3 0fcbf51 
0fcb5dd 0fc1a10 0fd0af8 0fd9302 0fc7907 
0fd1a28 0fc8022 0fd6f05 0fdc09a 0fcdebc 
0fc9085 0fbf3d7 0fce53d 0fd8cca 0fc5574 
0fcdacf 0fc4070 0fd2fe1 0fd7aac 0fc9b49 
0fcb434 0fc189b 0fd08f1 0fd870e 0fc7afd 
0fc6bf6 0fbcf2e 0fcc08b 0fd376f 0fc2d53 
0fccf07 0fc3439 0fd240a 0fd6223 0fc9371 
0fc495c 0fbac24 0fc9de1 0fd2cee 0fc0e54 
0fc99c3 0fbfef9 0fceeb6 0fd22a7 0fc5a5d 
0fc8237 0fbe72c 0fcd75b 0fd3dcc 0fc4943 
0fc4485 0fba966 0fc9a04 0fcfd6a 0fc064d 
0fcb341 0fc1aaf 0fd0966 0fd2f49 0fc78c5 
0fc3c4d 0fba18f 0fc9230 0fd0626 0fc038c 
0fc94e1 0fbfccf 0fceb77 0fd0110 0fc58bf 
0fc8ceb 0fbf41c 0fce342 0fd2386 0fc57d0 
0fc584d 0fbbec0 0fcae80 0fce73e 0fc1e9b 
0fcd20c 0fc3a72 0fd2939 0fd1607 0fc99f2 
0fc604c 0fbc5f5 0fcb737 0fcf206 0fc28b5 
0fcb699 0fc1e48 0fd0dde 0fcf3ae 0fc79ef 
0fcae0d 0fc14b4 0fd0526 0fd2125 0fc767f 
0fc7545 0fbdaff 0fccc1d 0fced4d 0fc3903 
0fcea28 0fc51fb 0fd4148 0fd2d6b 0fcb042 
0fc74f1 0fbda51 0fccbb9 0fd12c3 0fc3c72 
0fcc8a3 0fc304a 0fd1fae 0fd1792 0fc8bdf 
0fcc161 0fc281a 0fd1828 0fd466e 0fc89f1 
0fc87fd 0fbeda5 0fcde59 0fd173c 0fc4ac7 
0fcff6e 0fc6711 0fd5617 0fd5b43 0fcc4e5 
0fc8dd6 0fbf295 0fce445 0fd46d1 0fc54d5 
0fce389 0fc4a47 0fd3a16 0fd4be0 0fca5ef 
0fcdedd 0fc44b3 0fd351b 0fd79e1 0fca6f1 
0fca49f 0fc0989 0fcfae8 0fd4791 0fc67a3 
0fd1ca6 0fc83ae 0fd72da 0fd88b2 0fce1da 
0fcabcc 0fc103e 0fd024f 0fd7246 0fc72b2 
0fd0128 0fc67aa 0fd57b1 0fd76a1 0fcc3be 
0fcfe4f 0fc6426 0fd548c 0fda83b 0fcc6b6 
0fcc19d 0fc269e 0fd17d2 0fd75c2 0fc84e8 
0fd39ae 0fca0df 0fd8fbe 0fdb61a 0fcff20 
0fcc7c6 0fc2c44 0fd1d89 0fd9fa5 0fc8eb7 
0fd1c0f 0fc829a 0fd71a6 0fda359 0fcde90 
0fd198b 0fc7f41 0fd6eef 0fdd85b 0fce21a 
0fcdd75 0fc4267 0fd3351 0fda9e8 0fca13f 
0fd56be 0fcbe0d 0fdacb5 0fdecbe 0fd1cf4 
0fce50a 0fc49cf 0fd3ad7 0fdd5a5 0fcaca2 
0fd3aab 0fca192 0fd9057 0fdd772 0fcfe4d 
0fd36bc 0fc9d28 0fd8c2d 0fe02ef 0fd0123 
0fcf72c 0fc5cb5 0fd4c82 0fdc53e 0fcbc65 
0fd6eb9 0fcd672 0fdc45d 0fdfc57 0fd36bb 
0fcf942 0fc5e3f 0fd4e6d 0fddc47 0fcc231 
0fd49d9 0fcb0cd 0fd9f34 0fdd3b0 0fd0e36 
0fd40a8 0fca6d6 0fd9580 0fdf770 0fd0ad6 
0fcfbc3 0fc60fc 0fd5084 0fdb771 0fcc0fa 
0fd6f39 0fcd709 0fdc49c 0fdec7b 0fd37e3 
0fcf11f 0fc568f 0fd4612 0fdcaf9 0fcbc40 
0fd3a2c 0fca179 0fd8fb8 0fdbdc1 0fd015d 
0fd2d38 0fc9339 0fd831e 0fdd9d8 0fcf93a 
0fce366 0fc476b 0fd3b28 0fd8eaa 0fca901 
0fd525f 0fcb895 0fdaa5c 0fdbbb7 0fd1eeb 
0fcd2f7 0fc3703 0fd2aff 0fd964c 0fca26c 
0fd1b6d 0fc8145 0fd7363 0fd8f86 0fce2de 
0fd09a5 0fc6f2c 0fd6131 0fdb6e3 0fcd796 
0fcbb22 0fc1fa4 0fd1273 0fd73b6 0fc8487 
0fd26fe 0fc8d93 0fd7e18 0fda358 0fcf3fa 
0fca48a 0fc0851 0fcfb9b 0fd771e 0fc73a9 
0fceb06 0fc50a5 0fd427f 0fd5fac 0fcb5fb 
0fcdade 0fc3fb8 0fd3202 0fd77a0 0fcac18 
0fc8b29 0fbeee7 0fce215 0fd3899 0fc5767 
0fcf5c2 0fc5c4c 0fd4d27 0fd7096 0fcc4b6 
0fc8f70 0fbf502 0fce218 0fd20d4 0fc548b 
0fc625e 0fbc64b 0fcb4c8 0fd36ef 0fc2c6b 
0fc43f5 0fba7eb 0fc967c 0fd0023 0fc089a 
0fc9f99 0fc0523 0fcf237 0fd3f08 0fc67e2 
0fc2816 0fb8b31 0fc7a80 0fd0cfb 0fbefff 
0fc8c66 0fbf20e 0fcdf2a 0fd1c4e 0fc518b 
0fc60b7 0fbc4d4 0fcb362 0fd339e 0fc2af3 
0fc42ae 0fba6c3 0fc9559 0fcfe38 0fc078f 
0fc9e0c 0fc03a7 0fcf0de 0fd3c3a 0fc6686 
0fc275a 0fb8a5d 0fc79b8 0fd0bd4 0fbef62 
0fc8b97 0fbf122 0fcde32 0fd1bb1 0fc50c3 
0fc6181 0fbc581 0fcb3e1 0fd3442 0fc2ba2 
0fc41b0 0fba5b0 0fc9427 0fcfeb7 0fc0681 
0fc9ee6 0fc0483 0fcf174 0fd3e51 0fc6734 
0fc2846 0fb8b6f 0fc7a92 0fd0f66 0fbf041 
0fc8b1a 0fbf0d1 0fcdda5 0fd1e28 0fc501c 
0fc6201 0fbc638 0fcb452 0fd36d5 0fc2c02 
0fc40b0 0fba4de 0fc9303 0fd0084 0fc056f 
0fc9dd3 0fc039a 0fcf038 0fd3ee6 0fc65fc 
0fc2678 0fb8999 0fc7886 0fd0eda 0fbee4e 
0fc87b7 0fbed58 0fcda04 0fd1c00 0fc4cbb 
0fc5f3a 0fbc36d 0fcb15b 0fd3405 0fc2963 
0fc3c53 0fba08f 0fc8eb3 0fcfbdd 0fc0151 
0fc983c 0fbfe19 0fceab7 0fd37e8 0fc60a8 
0fc1f23 0fb8269 0fc713b 0fd0685 0fbe76b 
0fc7d03 0fbe2c8 0fccf6f 0fd1091 0fc4277 
0fc511a 0fbb54b 0fca333 0fd24aa 0fc1bbb 
0fc286a 0fb8c6b 0fc7a7d 0fce839 0fbedf7 
0fc80d8 0fbe679 0fcd2f8 0fd217b 0fc49e1 
0fc01d7 0fb64f1 0fc53b6 0fcec2f 0fbcac2 
0fc5949 0fbbef2 0fcab79 0fcf177 0fc1f25 
0fc2993 0fb8df0 0fc7baa 0fd01df 0fbf467 
0fbf9b1 0fb5e16 0fc4c07 0fcbc65 0fbbf5d 
0fc4d92 0fbb3be 0fca017 0fceba8 0fc16ab 
