0fbac4a 0fcc4c8 0fb3db7 
0fa7ac2 0fc836e 0fa104f 
0fb1e1c 0fc8d16 0fab4dd 
0fb5be4 0fc9259 0faedc4 
0fadea5 0fc8ca9 0fa6c22 
0fa50f8 0fc83c0 0f9e0bd 
0fa76cb 0fc84cc 0fa0c3c 
0fb198b 0fc8e92 0fab048 
0fb57fa 0fc94b2 0fae9e3 
0fada37 0fc8eba 0fa67ce 
0fa4be8 0fc8603 0f9dbc1 
0fa7092 0fc86d1 0fa0618 
0fb131b 0fc9100 0faa9e3 
0fb514d 0fc96c8 0fae32f 
0fad45f 0fc919a 0fa61e3 
0fa4606 0fc895e 0f9d5ce 
0fa6a55 0fc8ac7 0f9ffc5 
0fb0c7c 0fc94dd 0faa32d 
0fb4c49 0fc9bbe 0fade19 
0fad092 0fc9736 0fa5df9 
0fa4215 0fc8f37 0f9d1bb 
0fa65e3 0fc90fe 0f9fb3f 
0fb082e 0fc9b41 0fa9ee3 
0fb4893 0fca208 0fada4f 
0facd22 0fc9d63 0fa5a65 
0fa3e0e 0fc953e 0f9cd94 
0fa60c8 0fc96be 0f9f61b 
0fb030a 0fca12e 0fa99cc 
0fb4423 0fca7ce 0fad610 
0fac9ab 0fca367 0fa572b 
0fa3a7e 0fc9b84 0f9ca3d 
0fa5bbf 0fc9c7d 0f9f137 
0fafcd0 0fca5eb 0fa93a1 
0fb3e89 0fcacb6 0fad079 
0fac46d 0fca815 0fa51de 
0fa34d0 0fc9fdb 0f9c46b 
0fa552d 0fca086 0f9ea8f 
0faf653 0fcaa29 0fa8d12 
0fb384a 0fcb05f 0faca37 
0fabebd 0fcab97 0fa4c46 
0fa2f3c 0fca38c 0f9bef1 
0fa4fe1 0fca4b4 0f9e554 
0faf16c 0fcae36 0fa884b 
0fb3429 0fcb3f4 0fac62e 
0fabb44 0fcaeb2 0fa48ca 
0fa2ba1 0fca67c 0f9bb35 
0fa4ae9 0fca713 0f9e03c 
0faeb90 0fcb01b 0fa8257 
0fb2ec8 0fcb62e 0fac0c8 
0fab678 0fcb156 0fa43ff 
0fa2615 0fcac40 0f9b57b 
0fa4544 0fcb822 0f9d9a6 
0fae4bb 0fcb58e 0fa7b75 
0fb2819 0fcb999 0faba40 
0faaff4 0fcb543 0fa3d8e 
0fa1f73 0fcce29 0f9ae7c 
0fa3dc1 0fd0f59 0f9d16f 
0fadc50 0fcc6c8 0fa72c8 
0fb1fa2 0fcbe77 0fab1bb 
0faa7cb 0fcbb28 0fa354d 
0fa172f 0fd184d 0f9a58a 
0fa344b 0fd9b61 0f9c724 
0fad213 0fce978 0fa6801 
0fb1696 0fcc341 0faa888 
0fa9fad 0fcc4c6 0fa2d0a 
0fa0e17 0fd7cd4 0f99bf3 
0fa2a26 0fe3a4b 0f9bc8f 
0fac904 0fd2284 0fa5eb8 
0fb0e73 0fcc893 0faa098 
0fa97c9 0fcd48e 0fa2528 
0fa05dd 0fdf782 0f9934f 
0fa2066 0fee372 0f9b289 
0fabf1d 0fd7277 0fa5460 
0fb0590 0fcd050 0fa9786 
0fa8f24 0fcef5b 0fa1c25 
0f9fc58 0fe871f 0f9893a 
0fa15cf 0ff91c1 0f9a7a4 
0fab57b 0fddcba 0fa4a3d 
0fafc41 0fcdc9b 0fa8e1f 
0fa863c 0fd1706 0fa131e 
0f9f30f 0ff1ede 0f97fad 
0fa0b5d 0003b12 0f99d29 
0faaab3 0fe5740 0fa3f08 
0faf13f 0fcef60 0fa82dd 
0fa7d1b 0fd4f52 0fa098c 
0f9e958 0ffbae9 0f975bf 
0fa0057 000df03 0f99252 
0faa007 0fee065 0fa341d 
0fae84b 0fd116e 0fa7995 
0fa74a3 0fd98a4 0fa00c8 
0f9dff2 00050f8 0f96c49 
0f9f58b 00178d4 0f987a5 
0fa95d2 0ff6dba 0fa29ac 
0fadfbd 0fd4a91 0fa7062 
0fa6c72 0fdf61a 0f9f809 
0f9d645 000e168 0f962a0 
0f9eb28 0020b96 0f97d6e 
0fa8c15 0fffb21 0fa1fdb 
0fad79b 0fdb2d9 0fa6746 
0fa650f 0fe73ec 0f9efc2 
0f9cea1 0016068 0f95b06 
0f9e294 00289b0 0f97517 
0fa8363 0007892 0fa172f 
0fad038 0fe2a09 0fa5fb4 
0fa5dcd 0fee882 0f9e868 
0f9c5e2 001cae4 0f9526f 
0f9d8de 002f9cb 0f96c01 
0fa7a98 000ecbc 0fa0e9f 
0fac81b 0fe9516 0fa5795 
0fa569f 0ff4c3f 0f9e12e 
0f9be92 0021bc9 0f94b6e 
0f9d04d 00333f7 0f96440 
0fa723d 001508a 0fa067d 
0fac1b3 0fef605 0fa5100 
0fa5033 0ffa94b 0f9dab5 
0f9b6f2 0025f2e 0f94412 
0f9c7a4 00356c7 0f95bfc 
0fa6a2b 001a897 0f9febf 
0faba81 0ff51f1 0fa49cd 
0fa4a12 0000076 0f9d47c 
0f9b044 002982a 0f93d98 
0f9bfe5 0036e54 0f9547a 
0fa61d0 001fbb4 0f9f6a0 
0fab284 0ffb419 0fa41a9 
0fa41bc 0005ef5 0f9cc36 
0f9a6cd 002cf1f 0f93476 
0f9b5bc 0038211 0f94a6c 
0fa5794 0024ca0 0f9ecaf 
0faaa1d 0001b0e 0fa3941 
0fa3a2c 000bf0d 0f9c492 
0f99dbb 002ffe2 0f92b7b 
0f9abac 0039142 0f94049 
0fa4d4f 0029894 0f9e28e 
0faa07f 0008a23 0fa2fae 
0fa313f 00122d0 0f9bbda 
0f9956b 0032aa6 0f92380 
0f9a334 0039cf0 0f93807 
0fa4472 002d862 0f9da24 
0fa9951 000f1f7 0fa28b1 
0fa2ac8 0017d53 0f9b577 
0f98dcc 0034c3a 0f91be4 
0f99a15 003a6b4 0f92ed4 
0fa3a4c 0030c85 0f9d041 
0fa8f72 00154ee 0fa1ef4 
0fa2078 001d530 0f9ab55 
0f9819e 0036b1f 0f90ff3 
0f98c5f 003b2a8 0f92125 
0fa2c6f 0034315 0f9c2a8 
0fa8241 001d4ce 0fa121a 
0fa139a 002429b 0f99ecb 
0f97485 0038aa5 0f90303 
0f97f8d 003be8f 0f91442 
0fa1fd5 0036ea2 0f9b64a 
0fa76f4 00252c7 0fa071b 
0fa08dd 002a528 0f99459 
0f96951 003a1cf 0f8f801 
0f9733d 003ca2c 0f907ff 
0fa12f2 0038e74 0f9a9a7 
0fa6a77 002cb56 0f9fb33 
0f9fd3f 002ffc8 0f98935 
0f95d07 003b504 0f8ebe0 
0f965f4 003d673 0f8fabf 
0fa0572 003a4bd 0f99c70 
0fa5dc7 003373f 0f9ef3f 
0f9f190 003508d 0f97e04 
0f95221 003c37e 0f8e102 
0f95a23 003e1a8 0f8eeec 
0f9fa6b 003b18b 0f9916c 
0fa5335 0037687 0f9e574 
0f9e771 00386ae 0f974a9 
0f94748 003cfe0 0f8d63c 
0f94ef5 003ecf9 0f8e3cc 
0f9ef77 003bd24 0f9869c 
0fa4974 00384ff 0f9dc29 
0f9df23 003940a 0f96ca7 
0f93f3c 003d8e5 0f8ce02 
0f9461e 003f620 0f8dab7 
0f9e72c 003c617 0f97e1d 
0fa424a 0038d5f 0f9d4ea 
0f9d7b1 0039c80 0f96539 
0f93666 003e1b5 0f8c52f 
0f93c01 003ff83 0f8d0c1 
0f9ddda 003cf3a 0f97504 
0fa3a3a 00395fb 0f9ccfd 
0f9d0a2 003a43c 0f95e39 
0f92ef2 003e97f 0f8bdbf 
0f9340a 0040793 0f8c8af 
0f9d640 003d708 0f96d4d 
0fa33c1 0039d5e 0f9c66f 
0f9cb1c 003ab0f 0f958a2 
0f9298a 003eff7 0f8b84d 
0f92ea4 0040dab 0f8c356 
0f9d0ac 003dd62 0f967d5 
0fa2f66 003a2f3 0f9c234 
0f9c7c4 003b00a 0f95556 
0f92684 003f44a 0f8b548 
0f92a8b 004124b 0f8bf35 
0f9ccc5 003e1b0 0f963e7 
0fa2c33 003a72a 0f9bf02 
0f9c59e 003b3a1 0f95334 
0f92484 003f777 0f8b32e 
0f92846 004153d 0f8bcd0 
0f9caa7 003e478 0f961a4 
0fa2b90 003a90b 0f9be3a 
0f9c61c 003b4df 0f9538a 
0f924e6 003f885 0f8b374 
0f9283f 0041642 0f8bcbf 
0f9ca9b 003e58c 0f961aa 
0fa2c67 003a993 0f9bf2a 
0f9c836 003b46f 0f955ae 
0f927b0 003f73b 0f8b63c 
0f92a3f 004150b 0f8bea2 
0f9cbef 003e487 0f962de 
0fa2e0b 003a89d 0f9c0b5 
0f9cb63 003b29e 0f958df 
0f92ba1 003f4ce 0f8ba28 
0f92e67 00411eb 0f8c2c8 
0f9d047 003e0ec 0f96732 
0fa32a0 003a511 0f9c559 
0f9d06a 003af1f 0f95df2 
0f930fa 003f0c1 0f8bf87 
0f9328e 0040e44 0f8c6f8 
0f9d363 003ddf4 0f96a61 
0fa36ef 003a15a 0f9c9c3 
0f9d5f3 003aad4 0f9638a 
0f93699 003ec73 0f8c525 
0f93802 00409b5 0f8cc61 
0f9d837 003d9a4 0f96f2c 
0fa3c34 0039cdc 0f9cefc 
0f9dc78 003a56c 0f96a0c 
0f93d54 003e6b6 0f8cbe1 
0f93e24 00403fb 0f8d281 
0f9de38 003d3a7 0f97522 
0fa4337 00390e7 0f9d57b 
0f9e51b 00395ea 0f971f8 
0f9458a 003df67 0f8d409 
0f94581 003fd3c 0f8d9e6 
0f9e4ff 003cc9d 0f97c0e 
0fa4a47 00369e4 0f9dc54 
0f9ec72 0036b7e 0f97907 
0f94d69 003d737 0f8dbfe 
0f94d62 003f5d2 0f8e1cd 
0f9ec41 003c364 0f9833a 
0fa51f9 003352e 0f9e3a3 
0f9f550 003376c 0f98181 
0f95654 003cc99 0f8e4ce 
0f9558c 003ee4f 0f8e9f8 
0f9f532 003b5c8 0f98c2d 
0fa5c2d 002ee85 0f9ed8c 
0fa003b 002f409 0f98c2e 
0f96274 003bc8d 0f8f0ef 
0f961b0 003e34e 0f8f624 
0f9ff83 003a28b 0f9965e 
0fa668c 0029b99 0f9f79c 
0fa0d0e 002a41d 0f998c2 
0f97080 003a765 0f8fece 
0f96ef7 003d7ec 0f90352 
0fa0cc4 00384c2 0f9a356 
0fa74e2 00229b2 0fa0572 
0fa1b60 00232b3 0f9a6ae 
0f97fa3 003864c 0f90d9e 
0f97ed1 003ca2b 0f91313 
0fa1c88 00351e7 0f9b2cc 
0fa8548 0019101 0fa1582 
0fa2e63 00198b3 0f9b958 
0f9941e 0034bda 0f921c6 
0f9931f 003b721 0f92755 
0fa30f1 002f764 0f9c6a5 
0fa99b9 000c7b7 0fa2990 
0fa445b 000c9f0 0f9cefe 
0f9abe5 002e23d 0f938f0 
0f9aa8d 003990e 0f93ea3 
0fa4859 0026110 0f9dd83 
0fab07e 0ffcfed 0fa404a 
0fa5c51 0ffccac 0f9e707 
0f9c5a3 0023157 0f951db 
0f9c3cb 00353df 0f956f9 
0fa6074 001850b 0f9f4c1 
0fac741 0fec0d2 0fa5753 
0fa7412 0feb78a 0f9ff15 
0f9e062 0012245 0f96c2d 
0f9e048 00253e4 0f9720f 
0fa7b6a 0004ec9 0fa0f5f 
0fae0ef 0fd9acb 0fa71f9 
0fa8fe5 0fd73bb 0fa1c4c 
0fa009c 0ffc811 0f98c5d 
0fa01e4 000ea0f 0f99307 
0fa9b9c 0fef50a 0fa2fca 
0fb0136 0fd0296 0fa938f 
0fab11b 0fce324 0fa3ed4 
0fa206c 0fe56b6 0f9acd6 
0fa20a6 0ff721d 0f9b1ab 
0fab91b 0fdd67a 0fa4df2 
0fb1e84 0fcd09f 0fab157 
0facf51 0fcc3e8 0fa5d66 
0fa413e 0fd39af 0f9ced5 
0fa442e 0fdea6e 0f9d5dc 
0fadb5e 0fd0ed9 0fa7124 
0fb40e2 0fcc74f 0fad3f1 
0faf3b0 0fcc417 0fa81f5 
0fa66ac 0fcbc29 0f9f5a3 
0fa6804 0fcba77 0f9fc3d 
0faff0f 0fcc132 0fa95c7 
0fb63c8 0fcc7aa 0faf6c2 
0fb152b 0fcc508 0faa365 
0fa88aa 0fcbd28 0fa17b1 
0fa8a89 0fcbbd7 0fa1ed6 
0fb2004 0fcc2ee 0fab6ba 
0fb8508 0fcc9d4 0fb180f 
0fb38e7 0fcc76c 0fac71f 
0faac64 0fcbf84 0fa3b53 
0faaba2 0fcbd9d 0fa3fc6 
0fb3fe4 0fcc4cc 0fad684 
0fba42a 0fccb44 0fb372b 
0fb5864 0fcc8e4 0fae69a 
0facc93 0fcc0f8 0fa5b76 
0facbd5 0fcbf1a 0fa5fff 
0fb5f15 0fcc657 0faf5af 
0fbc323 0fccd6c 0fb5617 
0fb775c 0fccba4 0fb0583 
0fae9a5 0fcc40e 0fa7870 
0fae74b 0fcc23f 0fa7b45 
0fb79eb 0fcc9a0 0fb1062 
0fbdc59 0fcd031 0fb6f32 
0fb9066 0fcce14 0fb1ea3 
0fb04d6 0fcc682 0fa93cf 
0fb021c 0fcc4a4 0fa962c 
0fb92c5 0fccc65 0fb2946 
0fbf598 0fcd397 0fb8896 
0fbab45 0fcd1e3 0fb3993 
0fb1fd9 0fcca3c 0faaebc 
0fb1c49 0fcc89d 0fab044 
0fbaaec 0fccfa6 0fb4168 
0fc0b7c 0fcd672 0fb9e74 
0fbbf4a 0fcd45f 0fb4d9f 
0fb3398 0fccccc 0fac288 
0fb2f06 0fccb11 0fac311 
0fbbc5d 0fcd26a 0fb52e9 
0fc1ce4 0fcd8ee 0fbafe0 
0fbd1eb 0fcd6ab 0fb603b 
0fb45cf 0fccef1 0fad4cd 
0fb4003 0fccd4d 0fad41f 
0fbcc3f 0fcd482 0fb62ca 
0fc2cba 0fcdb4c 0fbbfdf 
0fbe246 0fcd951 0fb70d1 
0fb5561 0fcd188 0fae482 
0fb4e00 0fccfd2 0fae222 
0fbd9f1 0fcd737 0fb7081 
0fc3a45 0fcde16 0fbcd73 
0fbeff1 0fcdc6c 0fb7e87 
0fb643c 0fcd554 0faf35b 
0fb5cc2 0fcd383 0faf0e2 
0fbe723 0fcda71 0fb7db3 
0fc476f 0fce185 0fbda80 
0fbfd1f 0fcdf9a 0fb8b93 
0fb70c2 0fcd7a6 0faffd2 
0fb6860 0fcd57f 0fafc75 
0fbf266 0fcdc72 0fb8905 
0fc532f 0fce329 0fbe66f 
0fc0a03 0fce143 0fb989a 
0fb7c75 0fcd951 0fb0b7e 
0fb720e 0fcd765 0fb05ea 
0fbfb2e 0fcdeab 0fb918d 
0fc5c50 0fce5c0 0fbef56 
0fc12ed 0fce376 0fba154 
0fb85cb 0fcdbc4 0fb14bc 
0fb7b5e 0fcd9e5 0fb0f4f 
0fc030e 0fce09a 0fb9974 
0fc61a8 0fce6c7 0fbf4ac 
0fc1806 0fce465 0fba676 
0fb8afd 0fcdc45 0fb19dd 
0fb7f50 0fcd971 0fb132f 
0fc0733 0fce03a 0fb9daa 
0fc6890 0fce743 0fbfbbc 
0fc2085 0fce546 0fbaf07 
0fb9281 0fcdd74 0fb216c 
0fb8429 0fcda97 0fb1814 
0fc0a96 0fce0e0 0fba12f 
0fc6c7c 0fce79a 0fbffc1 
0fc2504 0fce5d1 0fbb39b 
0fb971a 0fcddfc 0fb2635 
0fb8a1c 0fcdbc4 0fb1e35 
0fc1131 0fce25b 0fba7e5 
0fc734b 0fce95d 0fc06b8 
0fc2c00 0fce752 0fbbab7 
0fb9e4e 0fcdfc3 0fb2d5f 
0fb9055 0fcdd6d 0fb244c 
0fc15a0 0fce356 0fbac1c 
0fc768e 0fce9b1 0fc09c4 
0fc2f0e 0fce7d9 0fbbda3 
0fb9f9f 0fcdfdc 0fb2e8a 
0fb8fd8 0fcdd68 0fb23b2 
0fc14ea 0fce423 0fbab65 
0fc7691 0fceae3 0fc09c7 
0fc3031 0fce92c 0fbbeb5 
0fba169 0fce17b 0fb302e 
0fb90e0 0fcdeeb 0fb2493 
0fc1525 0fce531 0fbab8c 
0fc76ab 0fcebaf 0fc09e8 
0fc2feb 0fce986 0fbbe83 
0fba072 0fce1ba 0fb2f58 
0fb8eec 0fcdf0c 0fb22c6 
0fc1344 0fce586 0fba9d9 
0fc7617 0fcec65 0fc097d 
0fc30c4 0fcea76 0fbbf69 
0fba1b2 0fce291 0fb309a 
0fb9041 0fce021 0fb2416 
0fc1442 0fce65a 0fbaad9 
0fc77c2 0fced47 0fc0b3d 
0fc3369 0fceb4d 0fbc231 
0fba4ac 0fce35a 0fb33b1 
0fb9288 0fce0ba 0fb2673 
0fc161c 0fce6b1 0fbacb3 
0fc79df 0fced1c 0fc0d36 
0fc36f7 0fcebcb 0fbc581 
0fba806 0fce3c9 0fb36c2 
0fb94cb 0fce0ce 0fb2874 
0fc181a 0fce6db 0fbae7c 
0fc7cd2 0fcedaa 0fc1013 
0fc3a02 0fcebd7 0fbc888 
0fbaaf0 0fce3ad 0fb399f 
0fb97bb 0fce12f 0fb2b47 
0fc1b39 0fce755 0fbb180 
0fc80c2 0fcee33 0fc13e4 
0fc3e7f 0fcebee 0fbcd00 
0fbaf80 0fce3cb 0fb3e36 
0fb9ba4 0fce116 0fb2f54 
0fc1f6d 0fce786 0fbb5f2 
0fc85ac 0fcedf7 0fc1919 
0fc44f1 0fcebd9 0fbd39f 
0fbb679 0fce36c 0fb4546 
0fba335 0fce0f1 0fb36f5 
0fc2807 0fce7a6 0fbbe97 
0fc8f70 0fcee2c 0fc22ec 
0fc5030 0fcec5e 0fbdee0 
0fbc330 0fce4a5 0fb51fc 
0fbafb3 0fce1c0 0fb4365 
0fc3424 0fce7a8 0fbcab0 
0fc9c9c 0fcee14 0fc3018 
0fc5e9a 0fcec3e 0fbed57 
0fbd1e0 0fce43d 0fb60a7 
0fbbe68 0fce18f 0fb520e 
0fc4351 0fce7e2 0fbd9db 
0fcacf7 0fceeca 0fc4072 
0fc7015 0fced12 0fbfed3 
0fbe3ec 0fce50e 0fb72b1 
0fbd008 0fce21f 0fb63b4 
0fc54be 0fce84c 0fbeb61 
0fcbedc 0fcef12 0fc5281 
0fc8346 0fcedcc 0fc122e 
0fbf81a 0fce645 0fb8709 
0fbe482 0fce34c 0fb7851 
0fc6995 0fce99e 0fc0055 
0fcd485 0fcf072 0fc6853 
0fc998f 0fceee9 0fc289b 
0fc0e6a 0fce706 0fb9d6f 
0fbfa9a 0fce457 0fb8e80 
0fc7f42 0fcead1 0fc161c 
0fcea47 0fcf203 0fc7e33 
0fcafca 0fcf0f7 0fc3ef0 
0fc243f 0fce94b 0fbb359 
0fc0ef8 0fce65a 0fba2de 
0fc924d 0fceca2 0fc291b 
0fcfd37 0fcf44b 0fc90e9 
0fcc24e 0fcf337 0fc5148 
0fc3661 0fceba6 0fbc54b 
0fc2092 0fce8f5 0fbb452 
0fca322 0fcef4d 0fc39c8 
0fd0d6d 0fcf6c7 0fca0e0 
0fcd2bd 0fcf616 0fc6188 
0fc4689 0fcef01 0fbd576 
0fc2f28 0fcec72 0fbc2d0 
0fcaff6 0fcf2bc 0fc4675 
0fd1963 0fcfa8c 0fcacd3 
0fcde0d 0fcf9ce 0fc6cbc 
0fc50c2 0fcf26b 0fbdf6a 
0fc3818 0fcefd3 0fbcb88 
0fcb7e2 0fcf607 0fc4e30 
0fd212b 0fcfd56 0fcb489 
0fce72a 0fcfcdf 0fc75e6 
0fc5a9f 0fcf58e 0fbe95a 
0fc416d 0fcf2d0 0fbd4f3 
0fcc07a 0fcf8ed 0fc56f4 
0fd29e4 0fd00d0 0fcbd7c 
0fcef07 0fd0018 0fc7de8 
0fc611f 0fcf933 0fbefd8 
0fc45db 0fcf701 0fbd942 
0fcc382 0fcfdd0 0fc59da 
0fd2bcc 0fd0525 0fcbf49 
0fcf0fc 0fd043f 0fc7fba 
0fc629f 0fcfcd5 0fbf14c 
0fc470b 0fcfa70 0fbda80 
0fcc4c4 0fd0149 0fc5b2e 
0fd2e60 0fd0980 0fcc1f0 
0fcf4fb 0fd0971 0fc83c4 
0fc66a0 0fd026a 0fbf544 
0fc499d 0fcfff8 0fbdd0c 
0fcc647 0fd06b7 0fc5cbf 
0fd2ffd 0fd0ee1 0fcc393 
0fcf71f 0fd0ea5 0fc85e7 
0fc6930 0fd07b1 0fbf7c7 
0fc4b77 0fd0510 0fbdebc 
0fcc77e 0fd0bb7 0fc5dc3 
0fd31ee 0fd13d0 0fcc56e 
0fcfa99 0fd13d3 0fc8950 
0fc6cd4 0fd0cf2 0fbfb53 
0fc4ee1 0fd0ab0 0fbe215 
0fccb02 0fd118e 0fc6143 
0fd35de 0fd1a1c 0fcc965 
0fcfec7 0fd1a91 0fc8d86 
0fc7095 0fd13c8 0fbff30 
0fc515e 0fd11e0 0fbe4b5 
0fccc43 0fd18de 0fc62a9 
0fd3781 0fd2168 0fccb2b 
0fd005f 0fd2172 0fc8f50 
0fc71fe 0fd1acd 0fc00b8 
0fc52d8 0fd1907 0fbe638 
0fccd96 0fd200e 0fc63f8 
0fd3860 0fd2893 0fccc21 
0fd01f4 0fd2914 0fc90ee 
0fc73c9 0fd22be 0fc0280 
0fc5328 0fd2081 0fbe685 
0fccd57 0fd27c1 0fc63b5 
0fd385b 0fd30c1 0fccba0 
0fd01f1 0fd3158 0fc903a 
0fc7244 0fd2a40 0fc00b7 
0fc4fad 0fd27b0 0fbe2cf 
0fcc7d4 0fd2ec6 0fc5da8 
0fd3139 0fd377f 0fcc3c8 
0fcfaa5 0fd3808 0fc884a 
0fc6ad7 0fd310e 0fbf86c 
0fc45d1 0fd2d72 0fbd8cc 
0fcbda9 0fd34e5 0fc5332 
0fd2785 0fd3cd1 0fcbaac 
0fcf0f8 0fd3d0f 0fc7f55 
0fc6173 0fd3800 0fbee67 
0fc3dbe 0fd3658 0fbceb4 
0fcb45d 0fd3ba7 0fc49c2 
0fd1e86 0fd430a 0fcb1df 
0fce91c 0fd4325 0fc77bd 
0fc5a39 0fd3cf7 0fbe82c 
0fc35ac 0fd3a8f 0fbc80e 
0fcac4e 0fd40bb 0fc4258 
0fd17d1 0fd48a7 0fcab5c 
0fce3e1 0fd48c7 0fc72a4 
0fc546c 0fd41c5 0fbe2c8 
0fc2e8b 0fd3ea3 0fbc16f 
0fca4f4 0fd44f2 0fc3b2a 
0fd1108 0fd4d8b 0fca497 
0fcdd59 0fd4de3 0fc6c2c 
0fc4e4a 0fd46cc 0fbdccc 
0fc2886 0fd43d6 0fbbba9 
0fc9edc 0fd4a21 0fc353b 
0fd0c5f 0fd524d 0fc9ff6 
0fcda81 0fd523c 0fc6950 
0fc4ab0 0fd4ae3 0fbd920 
0fc22e9 0fd4741 0fbb5e6 
0fc99c2 0fd4d4a 0fc2ffa 
0fd0918 0fd55f1 0fc9c60 
0fcd7d2 0fd55ab 0fc6682 
0fc48e4 0fd4e0d 0fbd77d 
0fc226d 0fd4add 0fbb5a2 
0fc9922 0fd50ea 0fc2f90 
0fd0881 0fd593e 0fc9bf2 
0fcd8e5 0fd5964 0fc67b3 
0fc4b29 0fd5263 0fbd9bf 
0fc247a 0fd4f30 0fbb791 
0fc9b51 0fd5593 0fc319c 
0fd0b16 0fd5dbf 0fc9ea7 
0fcdc10 0fd5de6 0fc6ae7 
0fc4d85 0fd564a 0fbdc08 
0fc2571 0fd52b2 0fbb88d 
0fc9bb4 0fd58f2 0fc3218 
0fd0be9 0fd611e 0fc9f8f 
0fcdd8c 0fd6116 0fc6c72 
0fc4f27 0fd5989 0fbddaa 
0fc2640 0fd55c4 0fbb945 
0fc9be4 0fd5bed 0fc3230 
0fd0c25 0fd63b3 0fc9fcd 
