0fa6f00 0f982d2 0f9d1dd 
0fa55c0 0f96f27 0f9b60b 
0faba21 0f9d686 0fa1b2f 
0fb0acc 0fa23c5 0fa6b09 
0fadbbd 0f9efa5 0fa3acc 
0fa6f2c 0f9834f 0f9ce67 
0fa5e67 0f977d6 0f9beee 
0fac32a 0f9df8c 0fa2442 
0fb144c 0fa2d4e 0fa746b 
0fae5d6 0f9f9c7 0fa44b5 
0fa798a 0f98dbd 0f9d896 
0fa68ff 0f98282 0f9c964 
0facd32 0f9e9ac 0fa2e3f 
0fb1e4f 0fa3764 0fa7e6f 
0faefe2 0fa03eb 0fa4ed8 
0fa8334 0f99777 0f9e26b 
0fa72fa 0f98c85 0f9d38b 
0fad813 0f9f483 0fa394e 
0fb29dc 0fa42e0 0fa8a1a 
0fafbdd 0fa0fda 0fa5ae7 
0fa908f 0f9a4d0 0f9efc0 
0fa807f 0f99a1a 0f9e115 
0fae635 0fa02ba 0fa4760 
0fb3884 0fa519d 0fa98a3 
0fb0ab7 0fa1ecc 0fa69a7 
0fa9f9f 0f9b3f4 0f9feb1 
0fa9181 0f9ab2a 0f9f1e8 
0faf715 0fa13b2 0fa5825 
0fb477f 0fa60b3 0faa7d2 
0fb1929 0fa2d5d 0fa7864 
0faaf19 0f9c38a 0fa0e5f 
0faa0e9 0f9ba9b 0fa016c 
0fb0680 0fa231b 0fa67aa 
0fb57ce 0fa70fa 0fab80d 
0fb2979 0fa3d97 0fa887c 
0fabf17 0f9d37e 0fa1e3a 
0fab100 0f9cab2 0fa1174 
0fb16f9 0fa338d 0fa780d 
0fb6831 0fa8158 0fac864 
0fb3a16 0fa4e3a 0fa992f 
0fad091 0f9e4fc 0fa2fda 
0fac350 0f9dcfd 0fa23d1 
0fb29cd 0fa465c 0fa8ae1 
0fb7b9c 0fa94b6 0fadbcb 
0fb4d66 0fa6178 0faac5d 
0fae33a 0f9f799 0fa425d 
0fad5ed 0f9efa4 0fa3687 
0fb3cae 0fa5959 0fa9e0d 
0fb8e70 0faa7aa 0faeedb 
0fb60be 0fa74ec 0fabfec 
0faf73d 0fa0bb8 0fa5692 
0faeb3a 0fa050a 0fa4bc3 
0fb51d3 0fa6e83 0fab2f5 
0fba366 0fabc9a 0fb0397 
0fb7577 0fa89a9 0fad473 
0fb0c7a 0fa20fc 0fa6b86 
0faffda 0fa19ae 0fa6035 
0fb6717 0fa83d2 0fac82a 
0fbb7f2 0fad143 0fb1841 
0fb895a 0fa9da0 0fae88c 
0fb2018 0fa34ac 0fa7f65 
0fb143d 0fa2e12 0fa74cd 
0fb7c25 0fa98cd 0fadd57 
0fbcd71 0fae69a 0fb2dae 
0fb9e8e 0fab2b7 0fafd9f 
0fb359c 0fa4a1c 0fa94c2 
0fb2982 0fa4352 0fa89f5 
0fb9040 0faacea 0faf170 
0fbe04e 0faf97a 0fb40bb 
0fbb11a 0fac53e 0fb1060 
0fb47d4 0fa5c56 0faa732 
0fb3c6c 0fa5648 0fa9d15 
0fba316 0fabfce 0fb0464 
0fbf2a9 0fb0bed 0fb5321 
0fbc31d 0fad760 0fb2271 
0fb59d2 0fa6e74 0fab920 
0fb4e97 0fa6885 0faaef6 
0fbb57c 0fad239 0fb1656 
0fc03e1 0fb1d1e 0fb63f3 
0fbd380 0fae7c9 0fb3281 
0fb6a18 0fa7ec2 0fac926 
0fb5dff 0fa7800 0fabe5f 
0fbc43b 0fae113 0fb254c 
0fc12df 0fb2c3b 0fb7322 
0fbe1e9 0faf647 0fb4109 
0fb7877 0fa8d31 0fad7a3 
0fb6c95 0fa8693 0faccdf 
0fbd2da 0faefa6 0fb33cc 
0fc212a 0fb3a69 0fb8127 
0fbef8b 0fb03cd 0fb4e76 
0fb8568 0fa9a11 0fae474 
0fb792f 0fa932a 0fad98b 
0fbdf0a 0fafbd6 0fb4017 
0fc2d2a 0fb466c 0fb8d55 
0fbfac0 0fb0f06 0fb59be 
0fb8ffe 0faa49c 0faef14 
0fb8366 0fa9d57 0fae3d5 
0fbe8e3 0fb059d 0fb49f1 
0fc360c 0fb4f48 0fb9634 
0fc03c3 0fb1804 0fb62c8 
0fb98f0 0faad98 0faf81f 
0fb8c1c 0faa613 0faeca6 
0fbf19e 0fb0e66 0fb52b6 
0fc3ec5 0fb5809 0fb9efb 
0fc0c14 0fb2064 0fb6b1d 
0fba0a2 0fab556 0faffeb 
0fb93d9 0faadd7 0faf46f 
0fbf8fe 0fb15c1 0fb5a2d 
0fc4565 0fb5ea4 0fba5c3 
0fc125f 0fb26a5 0fb7196 
0fba6bf 0fabb7a 0fb0626 
0fb99c4 0fab3cf 0fafa75 
0fbfed5 0fb1ba7 0fb6029 
0fc4b79 0fb64b4 0fbabcf 
0fc184e 0fb2c8a 0fb7760 
0fbac97 0fac139 0fb0bc4 
0fb9fae 0fab9a0 0fb001d 
0fc04ae 0fb216a 0fb65b1 
0fc5019 0fb6945 0fbb049 
0fc1cb2 0fb30e8 0fb7bc3 
0fbb206 0fac6a9 0fb1134 
0fba5f4 0fabff2 0fb065b 
0fc0a52 0fb271e 0fb6b61 
0fc55aa 0fb6ef1 0fbb5d0 
0fc21a0 0fb35ee 0fb8096 
0fbb5d2 0faca93 0fb14f3 
0fba8bf 0fac2d0 0fb0937 
0fc0ce4 0fb29be 0fb6e04 
0fc584b 0fb718d 0fbb88f 
0fc24e0 0fb392a 0fb83e4 
0fbb962 0face17 0fb187f 
0fbac86 0fac67a 0fb0cd4 
0fc1063 0fb2d10 0fb7173 
0fc5b8c 0fb749a 0fbbc23 
0fc27ad 0fb3bae 0fb88c8 
0fbbc28 0fad0a5 0fb1de2 
0fbaf2e 0fac908 0fb123f 
0fc1358 0fb2fef 0fb770f 
0fc5ed2 0fb77cc 0fbc1a3 
0fc2a5e 0fb3e64 0fb8c14 
0fbbe5c 0fad2e5 0fb2040 
0fbb183 0facb50 0fb14af 
0fc1540 0fb31c8 0fb78fe 
0fc5f3e 0fb7843 0fbc21e 
0fc2a6a 0fb3e81 0fb8c29 
0fbbe0e 0fad29d 0fb1ff3 
0fbb04c 0faca2e 0fb1370 
0fc13f8 0fb3099 0fb77c9 
0fc5edd 0fb77ee 0fbc1d9 
0fc29e8 0fb3e0b 0fb8bdb 
0fbbcf7 0fad192 0fb1f11 
0fbaf68 0fac941 0fb12bf 
0fc1305 0fb2f8d 0fb76d8 
0fc5d55 0fb7642 0fbc027 
0fc281c 0fb3c1c 0fb89c2 
0fbbba6 0fad029 0fb1d82 
0fbae2c 0fac801 0fb114e 
0fc1187 0fb2e0a 0fb7554 
0fc5b0f 0fb7402 0fbbe0e 
0fc2559 0fb3960 0fb8738 
0fbb952 0facdd1 0fb1b57 
0fbac42 0fac60a 0fb0f87 
0fc0ffd 0fb2c78 0fb73da 
0fc59f6 0fb72d1 0fbbce4 
0fc247c 0fb3870 0fb864e 
0fbb7dd 0facc5c 0fb19e2 
0fbaae7 0fac4b3 0fb0e33 
0fc0eee 0fb2b71 0fb72c9 
0fc5866 0fb7150 0fbbb4d 
0fc2277 0fb3675 0fb8434 
0fbb68e 0facb1a 0fb1888 
0fba9a4 0fac384 0fb0ce8 
0fc0cee 0fb297d 0fb70cb 
0fc5604 0fb6ef8 0fbb8f4 
0fc1fbc 0fb33ba 0fb819d 
0fbb33a 0fac7bc 0fb153c 
0fba6c4 0fac094 0fb09f4 
0fc0aed 0fb2768 0fb6ea3 
0fc5486 0fb6d55 0fbb744 
0fc1e30 0fb3218 0fb7fc5 
0fbb14b 0fac5c1 0fb131e 
0fba49d 0fabe66 0fb07a6 
0fc0827 0fb24a2 0fb6bbe 
0fc5189 0fb6a71 0fbb44e 
0fc1b0f 0fb2f0a 0fb7cc2 
0fbae28 0fac2b1 0fb101b 
0fba1c0 0fabb99 0fb04fb 
0fc05ce 0fb2255 0fb6999 
0fc4eed 0fb67dc 0fbb1c2 
0fc184f 0fb2c50 0fb79ff 
0fbaba3 0fac02d 0fb0d7f 
0fb9eda 0fab8b3 0fb01fb 
0fc02a6 0fb1f26 0fb664f 
0fc4c16 0fb6500 0fbaee0 
0fc1567 0fb2971 0fb771e 
0fba8a0 0fabd2f 0fb0a95 
0fb9c2b 0fab60f 0faff71 
0fc00a0 0fb1d26 0fb6483 
0fc49d0 0fb62ad 0fbacbb 
0fc1342 0fb272f 0fb7504 
0fba6e1 0fabb57 0fb08d5 
0fb9ad2 0fab498 0fafe0d 
0fbfee2 0fb1b53 0fb62ab 
0fc47c1 0fb608d 0fbaaa8 
0fc116c 0fb2556 0fb7338 
0fba51a 0fab991 0fb071a 
0fb9953 0fab317 0fafc8a 
0fbfd42 0fb19a6 0fb6107 
0fc4693 0fb5f59 0fba96d 
0fc10c7 0fb24a7 0fb727e 
0fba4db 0fab955 0fb06cd 
0fb98f8 0fab2c9 0fafc30 
0fbfd20 0fb19a1 0fb60fa 
0fc46ce 0fb5fba 0fba9be 
0fc112b 0fb2530 0fb72f0 
0fba50c 0fab98f 0fb06e8 
0fb9953 0fab315 0fafc60 
0fbfe18 0fb1a79 0fb61a5 
0fc47ee 0fb60ac 0fbaa90 
0fc11f1 0fb25cc 0fb736b 
0fba5ec 0faba4f 0fb0797 
0fb9aa7 0fab465 0fafda2 
0fbff70 0fb1bd8 0fb630d 
0fc498e 0fb6259 0fbac40 
0fc13c6 0fb27ac 0fb7563 
0fba76e 0fabbe9 0fb0948 
0fb9bd2 0fab594 0fafeee 
0fc0069 0fb1cc5 0fb6408 
0fc4a2a 0fb62d8 0fbacd1 
