0fdaa0c 0fd8b43 0fdfdfb 
0fc4a04 0fc352b 0fca9fd 
0fc032f 0fbede1 0fc6219 
0fc0d27 0fbf18e 0fc6434 
0fc6180 0fc429c 0fcb4c0 
0fc94c2 0fc7a03 0fced39 
0fc69ed 0fc551d 0fcc987 
0fc2571 0fc0ff8 0fc8400 
0fc3135 0fc1555 0fc87d1 
0fc87ec 0fc68bf 0fcdad6 
0fcbd7e 0fca26f 0fd163e 
0fc94e8 0fc7fb1 0fcf458 
0fc54a1 0fc3ebc 0fcb2aa 
0fc6630 0fc49d6 0fcbc1f 
0fcc38c 0fca3e3 0fd15b2 
0fcff70 0fce3e8 0fd56da 
0fcdbad 0fcc618 0fd3a8c 
0fc9ce2 0fc86bf 0fcfac5 
0fcae10 0fc9195 0fd042b 
0fd09b3 0fce9e4 0fd5bdb 
0fd451c 0fd2999 0fd9c3a 
0fd222f 0fd0c8d 0fd80ae 
0fce4fe 0fccec5 0fd42d7 
0fcf722 0fcdaa7 0fd4d36 
0fd5252 0fd32ba 0fda4ca 
0fd8b14 0fd6fae 0fde331 
0fd6585 0fd5017 0fdc4a3 
0fd2824 0fd120b 0fd85d4 
0fd3c3b 0fd1fd1 0fd9212 
0fd99b8 0fd7a39 0fdec58 
0fdd4d3 0fdb99c 0fe2d16 
0fdb1cf 0fd9c92 0fe1135 
0fd7673 0fd6097 0fdd4a2 
0fd8d79 0fd712b 0fde3ae 
0fdf093 0fdd0f3 0fe4327 
0fe3277 0fe1726 0fe8aa8 
0fe148b 0fdff49 0fe73e8 
0fdde00 0fdc81a 0fe3c1f 
0fdf99b 0fddd2e 0fe4fb3 
0fe60ec 0fe4123 0feb388 
0fea5ff 0fe8a70 0fefe72 
0fe8a5f 0fe74e1 0fee9fa 
0fe56e3 0fe40c6 0feb522 
0fe763a 0fe59a3 0fecc9d 
0fede28 0febe50 0ff319d 
0ff2092 0ff050f 0ff7a67 
0ff02e7 0feed82 0ff63a1 
0fecd3e 0feb74a 0ff2c25 
0fee974 0feccfd 0ff408e 
0ff4ed3 0ff2edb 0ffa2da 
0ff8fbc 0ff73de 0ffe88a 
0ff6f4c 0ff59b5 0ffd13d 
0ff3652 0ff2043 0ff96a1 
0ff4f71 0ff32e9 0ffa6c1 
0ffb16b 0ff9221 0ffea7c 
0ffed8b 0ffd345 0fffcaf 
0ffcb3d 0ffb57b 0fffb3b 
0ff8ec6 0ff78ad 0ffea52 
0ffa5ca 0ff8a26 0ffeddd 
0ffeb43 0ffdb4a 0fffc22 
0fffc69 0fffbb8 0fffcda 
0fff4fd 0ffedca 0fffcdd 
0ffd03e 0ffbb44 0fffcdc 
0ffdb78 0ffc4df 0fffcda 
0fff9fa 0fff48d 0fffcde 
0fffc91 0fffcf1 0fffcdf 
0fffc4e 0fffb1a 0fffcdf 
0fff642 0ffe74d 0fffcde 
0fff730 0ffe951 0fffcdd 
0fffc70 0fffba1 0fffcdd 
0fffc8f 0fffcf7 0fffcdc 
0fffc8e 0fffcdc 0fffcdc 
0fffc8f 0fff8db 0fffcdc 
0fffc8c 0fff893 0fffcdc 
0fffc8e 0fffcd0 0fffcde 
0fffc90 0fffcf7 0fffcdc 
0fffc90 0fffcf5 0fffcd9 
0fffc8e 0fffc86 0fffcd9 
0fffc8d 0fffc7d 0fffcdc 
0fffc8f 0fffcf3 0fffcdc 
0fffc93 0fffcf3 0fffcdc 
0fffc91 0fffcf2 0fffcdb 
0fffc90 0fffc37 0fffcdc 
0fffc92 0fffc12 0fffcdc 
0fffc95 0fffcf0 0fffcdc 
0fffc94 0fffcf3 0fffcdc 
0fffc93 0fffcc6 0fffcde 
0fffc8f 0fff5de 0fffcdb 
0fffc8d 0fff426 0fffcdc 
0fffc8f 0fffc79 0fffcdc 
0fffc93 0fffcf5 0fffcdc 
0fffc17 0fffae3 0fffcdb 
0fff0c3 0ffe1b5 0fffcd9 
0ffefa1 0ffdd42 0fffcdc 
0fffbd7 0fff8d9 0fffcdf 
0fffc91 0fffcf1 0fffcdf 
0fff68f 0fff1c7 0fffcdc 
0ffcd38 0ffba5b 0fffcdc 
0ffcbc7 0ffb2f6 0fffcdd 
0fff4d3 0ffe94b 0fffcdc 
0fffc3f 0fffb79 0fffcd9 
0ffe430 0ffd951 0fffc7e 
0ff9cd4 0ff88ce 0fff109 
0ff9af6 0ff8060 0ffecbe 
0ffdd8b 0ffc4b2 0fffb81 
0fff707 0ffe8cf 0fffcda 
0ffc1de 0ffaff5 0fff74e 
0ff6c2b 0ff585c 0ffccfa 
0ff6afb 0ff507f 0ffc4cb 
0ffb4f0 0ff975a 0fff168 
0ffd8ab 0ffbfdb 0fffcad 
0ff9a41 0ff8739 0ffeab0 
0ff458f 0ff31d2 0ffa8df 
0ff46be 0ff2c33 0ffa19a 
0ff91ce 0ff73bb 0ffe029 
0ffb611 0ff9c74 0fffa80 
0ff7867 0ff6505 0ffd77c 
0ff25ae 0ff11a7 0ff8877 
0ff2816 0ff0d62 0ff8255 
0ff742e 0ff5605 0ffc9ce 
0ff994d 0ff7f87 0fff2c8 
0ff5cb1 0ff4945 0ffc0ee 
0ff09f5 0fef5e8 0ff6bfc 
0ff0c78 0fef1c4 0ff662c 
0ff5914 0ff3b06 0ffafea 
0ff7ede 0ff654e 0ffdbc3 
0ff4297 0ff2f61 0ffa717 
0fef0d5 0fedd00 0ff52f3 
0fef47f 0feda05 0ff4e4f 
0ff419a 0ff23c7 0ff98bc 
0ff67c2 0ff4e53 0ffc541 
0ff2c2b 0ff18f0 0ff905b 
0feda9b 0fec693 0ff3c2c 
0fede9f 0fec3e9 0ff37d6 
0ff2c6a 0ff0e6d 0ff8313 
0ff5226 0ff38ae 0ffaf61 
0ff15ef 0ff02bb 0ff79ad 
0fec3d7 0feafeb 0ff2526 
0fec6f9 0feac66 0ff2007 
0ff1395 0fef5bc 0ff69da 
0ff3823 0ff1ec7 0ff94ed 
0fefaf2 0fee7c8 0ff5e4c 
0fea82f 0fe9443 0ff0953 
0feab2e 0fe90ab 0ff0420 
0fef740 0fed992 0ff4d50 
0ff1bbe 0ff029c 0ff7839 
0fede2c 0fecb36 0ff416b 
0fe8b51 0fe778b 0feec84 
0fe8dc2 0fe734c 0fee6a1 
0fed9eb 0febc39 0ff2fc5 
0feffcb 0fee69c 0ff5bd0 
0fec409 0feb0f7 0ff26d7 
0fe72dd 0fe5ef4 0fed3ae 
0fe778d 0fe5cfe 0fed011 
0fec653 0fea896 0ff1bc0 
0feedc5 0fed48b 0ff4965 
0feb383 0fea05d 0ff1603 
0fe6358 0fe4f6e 0fec405 
0fe67a6 0fe4cfa 0fec00d 
0feb7d4 0fe99dd 0ff0d13 
0fee0bb 0fec744 0ff3c54 
0fea871 0fe94fa 0ff0af9 
0fe5a5b 0fe45f0 0febb08 
0fe60e5 0fe45d6 0feb964 
0feb03c 0fe920c 0ff05b4 
0fed769 0febdc9 0ff3329 
0fe9c92 0fe8912 0feff6c 
0fe4c0e 0fe37af 0fead0b 
0fe51be 0fe36bc 0feaa7d 
0fe9fe7 0fe81d1 0fef573 
0fec510 0feab9b 0ff20c6 
0fe88aa 0fe754c 0feeb51 
0fe36ec 0fe22ab 0fe97bc 
0fe3b14 0fe2031 0fe93a6 
0fe874e 0fe6960 0fedcc7 
0feab42 0fe91f9 0ff06e0 
0fe6d69 0fe5a3e 0fed00e 
0fe1af7 0fe06e5 0fe7bd8 
0fe1e74 0fe03ca 0fe770e 
0fe6a0a 0fe4c54 0febf68 
0fe8d64 0fe7455 0fee8e1 
0fe4f64 0fe3c69 0feb1f0 
0fdfd0c 0fde918 0fe5dcb 
0fe00a6 0fde609 0fe5933 
0fe4cdf 0fe2f3d 0fea234 
0fe710e 0fe5810 0fecc73 
0fe3415 0fe210c 0fe9671 
0fde2d9 0fdceb9 0fe434b 
0fde8ca 0fdcdf1 0fe40d0 
0fe3746 0fe195f 0fe8c06 
0fe5d4a 0fe43fb 0feb823 
0fe21f8 0fe0ea6 0fe83f0 
0fdd2b1 0fdbe5b 0fe32ee 
0fdd9f0 0fdbef6 0fe31f5 
0fe2925 0fe0b2e 0fe7df0 
0fe4f76 0fe3629 0feaa5b 
0fe14a8 0fe0148 0fe7697 
0fdc581 0fdb107 0fe25a8 
0fdccd5 0fdb19d 0fe24aa 
0fe1c50 0fdfe12 0fe70ef 
0fe42b8 0fe2926 0fe9d92 
0fe078a 0fdf3f2 0fe6994 
0fdb811 0fda36d 0fe1878 
0fdbff2 0fda4a0 0fe1824 
0fe102a 0fdf1d2 0fe6514 
0fe36f1 0fe1d40 0fe91f8 
0fdfc18 0fde856 0fe5e39 
0fdae32 0fd9956 0fe0e8b 
0fdb75e 0fd9bcd 0fe0f7b 
0fe0850 0fde9c9 0fe5d43 
0fe2fef 0fe1623 0fe8b0e 
0fdf60c 0fde239 0fe583a 
0fda8c8 0fd93db 0fe092c 
0fdb290 0fd96e8 0fe0aa6 
0fe046a 0fde5c1 0fe5942 
0fe2cf9 0fe130a 0fe87f9 
0fdf37a 0fddf8e 0fe55a6 
0fda68b 0fd91a0 0fe0717 
0fdb134 0fd95b2 0fe099b 
0fe02e6 0fde47e 0fe581a 
0fe2ae1 0fe113f 0fe863f 
0fdf1b0 0fdde09 0fe541a 
0fda52c 0fd9071 0fe05b9 
0fdb004 0fd949a 0fe0848 
0fe0294 0fde443 0fe57ab 
0fe2ac8 0fe1140 0fe85ff 
0fdf158 0fdddce 0fe5391 
0fda581 0fd90e8 0fe05de 
0fdb18e 0fd964e 0fe0993 
0fe043e 0fde615 0fe5909 
0fe2c39 0fe12d5 0fe8715 
0fdf308 0fddf90 0fe54d7 
0fda727 0fd928a 0fe070e 
0fdb297 0fd974f 0fe0a31 
0fe0539 0fde720 0fe59c9 
0fe2ce6 0fe13ae 0fe87bf 
0fdf218 0fddeef 0fe53ff 
0fda3d1 0fd8f89 0fe03da 
0fdadcd 0fd92be 0fe057b 
0fdff6f 0fde172 0fe53fa 
0fe25f1 0fe0cbe 0fe80b3 
0fdea72 0fdd735 0fe4c34 
0fd9dec 0fd898f 0fdfdc5 
0fda92f 0fd8e22 0fe00b7 
0fdfa6c 0fddc84 0fe4ed8 
0fe20ce 0fe07bc 0fe7b71 
0fde5a5 0fdd27c 0fe4745 
0fd9922 0fd84b8 0fdf8c7 
0fda457 0fd8934 0fdfbb0 
0fdf623 0fdd82d 0fe4a72 
0fe1c39 0fe02ff 0fe76b8 
0fde160 0fdce14 0fe42ed 
0fd94f6 0fd807d 0fdf4a9 
0fda0d1 0fd85b4 0fdf84a 
0fdf2ed 0fdd509 0fe4768 
0fe18f7 0fdffed 0fe73b5 
0fdddbf 0fdca9e 0fe3f82 
0fd915c 0fd7cf5 0fdf126 
0fd9cd5 0fd81c7 0fdf45c 
0fdee6a 0fdd0a1 0fe42f4 
0fe142b 0fdfb3d 0fe6ef2 
0fdd8dd 0fdc5d6 0fe3a8e 
0fd8ccc 0fd7886 0fdec6c 
0fd98be 0fd7dc5 0fdefed 
0fde9ea 0fdcc34 0fe3e01 
0fe0e98 0fdf5bf 0fe68f6 
0fdd23d 0fdbf4f 0fe339b 
0fd8594 0fd716d 0fde4ea 
0fd9113 0fd7641 0fde818 
0fde223 0fdc497 0fe3621 
0fe069f 0fdedf7 0fe60c9 
0fdc9dc 0fdb718 0fe2aec 
0fd7d46 0fd6938 0fddc47 
0fd890f 0fd6e52 0fddfbc 
0fdda51 0fdbcdf 0fe2e00 
0fdff31 0fde6a7 0fe5929 
0fdc34a 0fdb0b0 0fe2439 
0fd7730 0fd635a 0fdd616 
0fd8303 0fd6890 0fdd99a 
0fdd492 0fdb76f 0fe281c 
0fdf9c6 0fde18d 0fe5369 
0fdbdb2 0fdab64 0fe1e28 
0fd71b8 0fd5e39 0fdd010 
0fd7deb 0fd63cb 0fdd3e1 
0fdcec1 0fdb1d4 0fe21c0 
0fdf317 0fdda6e 0fe4d1f 
0fdb75e 0fda458 0fe18a1 
0fd6b46 0fd56fe 0fdca7c 
0fd7897 0fd5d85 0fdcf7f 
0fdca86 0fdacaa 0fe1e8d 
0fdeec2 0fdd5c7 0fe4914 
0fdb265 0fd9f39 0fe13ae 
0fd66c8 0fd524b 0fdc5d6 
0fd7446 0fd590f 0fdcb1d 
0fdc6ad 0fda8c6 0fe1ac8 
0fdeb4b 0fdd23e 0fe45ac 
0fdaef9 0fd9ba5 0fe103f 
0fd64ba 0fd5012 0fdc3ab 
0fd72ae 0fd5753 0fdc942 
0fdc4c9 0fda6c2 0fe18ab 
0fde99a 0fdd091 0fe43cf 
0fdad90 0fd9a7d 0fe0e95 
0fd62f1 0fd4e8d 0fdc172 
0fd70d7 0fd559e 0fdc732 
0fdc238 0fda457 0fe1609 
0fde6ce 0fdcde7 0fe40f5 
0fda9e7 0fd96ce 0fe0af8 
0fd5f47 0fd4ad4 0fdbdb4 
0fd6d0d 0fd51e2 0fdc351 
0fdbee0 0fda111 0fe12a8 
0fde34e 0fdca62 0fe3d87 
0fda67d 0fd9347 0fe07a1 
0fd5b6c 0fd46db 0fdba1f 
0fd68b9 0fd4d75 0fdbf58 
0fdba0a 0fd9c20 0fe0e15 
0fdde6f 0fdc57a 0fe38c9 
0fda19a 0fd8e70 0fe02c2 
0fd5651 0fd41c8 0fdb50f 
0fd64d8 0fd4988 0fdbb5a 
0fdb6fa 0fd9904 0fe0ac7 
0fddad7 0fdc1e5 0fe350d 
0fd9d98 0fd8a6c 0fdfeac 
0fd5259 0fd3dc4 0fdb12e 
0fd6047 0fd44f6 0fdb6ce 
0fdb104 0fd9306 0fe04d5 
0fdd33c 0fdba3c 0fe2d6f 
0fd94de 0fd81a3 0fdf5ed 
0fd4846 0fd3392 0fda705 
0fd55b0 0fd3a40 0fdac39 
0fda6bb 0fd88bf 0fdfa94 
0fdc81f 0fdaf23 0fe226b 
0fd8885 0fd754d 0fde998 
0fd3b6b 0fd26b3 0fd9a27 
0fd4825 0fd2cbd 0fd9ea8 
0fd97e9 0fd7a04 0fdebc0 
0fdb7fd 0fd9f15 0fe1256 
0fd77ac 0fd6477 0fdd8b2 
0fd2a9d 0fd15d4 0fd88e1 
0fd35eb 0fd1a80 0fd8c4a 
0fd84c7 0fd66e3 0fdd8a1 
0fda3ef 0fd8b22 0fdfe36 
0fd62ef 0fd4fec 0fdc3e8 
0fd1445 0fcffad 0fd7302 
0fd1f82 0fd0432 0fd75fe 
0fd6e81 0fd50b0 0fdc24e 
0fd8dad 0fd74df 0fde80c 
0fd4c5a 0fd3939 0fdad50 
0fcfde0 0fce92f 0fd5cab 
0fd097e 0fcee0f 0fd5fea 
0fd5840 0fd3a45 0fdabbc 
0fd7767 0fd5e7a 0fdd162 
0fd3614 0fd22dc 0fd96ba 
0fce798 0fcd2df 0fd4642 
0fcf329 0fcd7c1 0fd4990 
0fd4217 0fd243c 0fd95a5 
0fd619a 0fd48d2 0fdbbaf 
0fd2090 0fd0d8b 0fd8171 
0fcd2d7 0fcbe46 0fd321c 
0fcdfab 0fcc45c 0fd3670 
0fd2f16 0fd1146 0fd8291 
0fd4f03 0fd3637 0fda8d8 
0fd0e34 0fcfb07 0fd6ef6 
0fcc09c 0fcabd9 0fd1f9d 
0fccd67 0fcb1e1 0fd23eb 
0fd1d14 0fcfef2 0fd708b 
0fd3d01 0fd23d7 0fd96b4 
0fcfbe5 0fce84b 0fd5ca9 
0fcae4b 0fc9922 0fd0d27 
0fcbbfe 0fca00d 0fd1280 
0fd0c73 0fcedf0 0fd6003 
0fd2ca7 0fd1328 0fd86b2 
0fcec19 0fcd84f 0fd4d47 
0fc9f6b 0fc8a1d 0fcfe70 
0fcad91 0fc9184 0fd0430 
0fcfe32 0fcdf9b 0fd51e0 
0fd1e6e 0fd04d5 0fd786b 
0fcde8d 0fccaaf 0fd3fbc 
0fc926c 0fc7cfe 0fcf16f 
0fca14e 0fc851d 0fcf7f0 
0fcf2f4 0fcd43d 0fd4698 
0fd1469 0fcfaaf 0fd6e0b 
0fcd442 0fcc04d 0fd3547 
0fc886f 0fc72e3 0fce727 
0fc9756 0fc7b12 0fcedd7 
0fce900 0fcca3a 0fd3cb3 
0fd0ace 0fcf102 0fd648a 
0fccabf 0fcb6b9 0fd2bf2 
0fc7f06 0fc6965 0fcdde2 
0fc8f07 0fc72a6 0fce587 
0fce20b 0fcc337 0fd35e2 
0fd03d4 0fcea10 0fd5e08 
0fcc4a4 0fcb091 0fd25e1 
0fc7a8e 0fc64f2 0fcd97f 
0fc8b6a 0fc6f2a 0fce238 
0fcddc8 0fcbf1c 0fd3210 
0fcff14 0fce57e 0fd59c5 
0fcc0ad 0fcacbe 0fd223e 
0fc7669 0fc60e2 0fcd590 
0fc86c6 0fc6a91 0fcddae 
0fcda08 0fcbb6c 0fd2e5b 
0fcfc9c 0fce313 0fd5750 
0fcbdc1 0fca9e7 0fd1f6a 
0fc73d8 0fc5e5f 0fcd31c 
0fc8519 0fc68ec 0fcdc0a 
0fcd7a2 0fcb903 0fd2bd5 
0fcf96e 0fcdfdb 0fd53df 
0fcbb37 0fca749 0fd1c85 
0fc714f 0fc5bce 0fcd02f 
0fc8213 0fc65e8 0fcd8b4 
0fcd472 0fcb5d6 0fd2871 
0fcf5e3 0fcdc60 0fd5057 
0fcb74f 0fca374 0fd18a2 
0fc6d74 0fc57f2 0fccc49 
0fc7e9c 0fc625f 0fcd520 
0fcd1c0 0fcb325 0fd25b0 
0fcf337 0fcd9b2 0fd4d81 
0fcb458 0fca07a 0fd1588 
0fc6a94 0fc5511 0fcc95a 
0fc7bf6 0fc5fb9 0fcd275 
0fcceec 0fcb042 0fd22d4 
0fcf07a 0fcd6e8 0fd4ad0 
0fcb185 0fc9d8f 0fd12b2 
0fc678b 0fc51e4 0fcc62e 
0fc792c 0fc5cc7 0fccf6f 
0fccc4f 0fcad8a 0fd1ff0 
0fced75 0fcd3d0 0fd4788 
0fcae22 0fc9a2e 0fd0f1f 
0fc6471 0fc4edf 0fcc2f3 
0fc7655 0fc5a11 0fccc85 
0fcc9be 0fcab12 0fd1d65 
0fceb10 0fcd17b 0fd4515 
0fcabc3 0fc97d1 0fd0ca0 
0fc624a 0fc4cb3 0fcc094 
0fc7402 0fc57be 0fcca05 
0fcc6ff 0fca863 0fd1a87 
0fce866 0fccef1 0fd426b 
0fca944 0fc9572 0fd0a2a 
0fc5fa2 0fc4a25 0fcbdfd 
0fc7154 0fc5525 0fcc768 
0fcc426 0fca5aa 0fd17c1 
0fce4cb 0fccb71 0fd3ed1 
0fca528 0fc9177 0fd0606 
0fc5b5b 0fc4605 0fcb9be 
0fc6d50 0fc514c 0fcc369 
0fcc0d8 0fca287 0fd147c 
0fce199 0fcc86c 0fd3bc8 
0fca1cf 0fc8e36 0fd02c6 
0fc58b2 0fc4369 0fcb6fc 
0fc6af4 0fc4ef4 0fcc0e2 
0fcbe48 0fc9fee 0fd11a8 
0fcdf2b 0fcc5f6 0fd3902 
0fc9fb1 0fc8c1b 0fd004c 
0fc56a7 0fc4157 0fcb4b9 
0fc69e4 0fc4ddf 0fcbfa8 
0fcbd51 0fc9f09 0fd1099 
0fcde08 0fcc4e8 0fd37bf 
0fc9e69 0fc8ad7 0fcfed3 
0fc55c3 0fc4075 0fcb38c 
0fc6862 0fc4c5a 0fcbddb 
0fcbbca 0fc9d73 0fd0eca 
0fcdc8f 0fcc364 0fd3625 
0fc9d2c 0fc8993 0fcfd8a 
0fc54c1 0fc3f62 0fcb279 
0fc6844 0fc4c24 0fcbda4 
0fcbc5e 0fc9df3 0fd0f48 
0fcdd60 0fcc42e 0fd36de 
0fc9dda 0fc8a4d 0fcfe29 
0fc54ea 0fc3f9c 0fcb295 
0fc685b 0fc4c61 0fcbdbf 
0fcbc41 0fc9e10 0fd0f5c 
0fcdc8f 0fcc38e 0fd365b 
0fc9d5b 0fc89eb 0fcfdea 
0fc558e 0fc4053 0fcb36a 
0fc693d 0fc4d40 0fcbec1 
0fcbd8b 0fc9f43 0fd1093 
0fcdedc 0fcc5c3 0fd3873 
0fc9fd1 0fc8c47 0fd0018 
0fc5810 0fc42b7 0fcb5a1 
0fc6ce3 0fc50d5 0fcc22a 
0fcc177 0fca330 0fd144a 
0fce22c 0fcc924 0fd3b7c 
0fca331 0fc8fc3 0fd034e 
0fc5bc6 0fc4694 0fcb91c 
0fc7066 0fc5490 0fcc554 
0fcc4be 0fca6cb 0fd173a 
0fce58f 0fcccec 0fd3ea5 
