0fd3f26 0fd2361 0fd9e8d 
0fd38fd 0fd2250 0fda140 
0fcde7e 0fcc9b1 0fd494f 
0fcc176 0fca73d 0fd254a 
0fd0948 0fce9e0 0fd660e 
0fd5241 0fd3529 0fdb20b 
0fd384d 0fd21e3 0fda07c 
0fcddd6 0fcc94f 0fd487a 
0fcc034 0fca62f 0fd23c2 
0fd07ef 0fce8b2 0fd6493 
0fd5090 0fd3392 0fdb03a 
0fd3621 0fd1fc3 0fd9e2a 
0fcdb98 0fcc719 0fd4611 
0fcbdc7 0fca3d4 0fd2145 
0fd0562 0fce63e 0fd6214 
0fd4e48 0fd3164 0fdadef 
0fd33f4 0fd1db3 0fd9bef 
0fcd93d 0fcc4e8 0fd43d4 
0fcbadd 0fca118 0fd1e74 
0fd0191 0fce28a 0fd5e50 
0fd4ab3 0fd2ddb 0fdaa31 
0fd3159 0fd1b16 0fd9915 
0fcd6a5 0fcc23c 0fd40fa 
0fcb7d3 0fc9deb 0fd1b12 
0fcff08 0fcdfce 0fd5b6a 
0fd4895 0fd2b87 0fda7b9 
0fd2f91 0fd1914 0fd9729 
0fcd4dc 0fcc043 0fd3f2c 
0fcb598 0fc9b89 0fd18de 
0fcfc46 0fcdce3 0fd589b 
0fd45e8 0fd28ac 0fda4d6 
0fd2d0e 0fd1672 0fd9487 
0fcd234 0fcbd91 0fd3c7d 
0fcb26a 0fc9855 0fd15a0 
0fcf8f4 0fcd98f 0fd5548 
0fd439d 0fd2666 0fda275 
0fd2ad6 0fd1446 0fd9232 
0fccf97 0fcbb03 0fd39dc 
0fcafbe 0fc95cb 0fd12d8 
0fcf6b3 0fcd773 0fd52e8 
0fd412b 0fd241b 0fd9fdf 
0fd28e0 0fd126f 0fd900c 
0fccd69 0fcb8f9 0fd3781 
0fcacca 0fc92fd 0fd0fca 
0fcf210 0fcd2fc 0fd4e33 
0fd3c8d 0fd1fc0 0fd9b07 
0fd2459 0fd0e3d 0fd8b6d 
0fcc901 0fcb4f5 0fd3335 
0fca7dc 0fc8e87 0fd0b06 
0fced51 0fcceb9 0fd49ab 
0fd3752 0fd1ad8 0fd966d 
0fd1f2d 0fd095f 0fd86a6 
0fcc33d 0fcaf8e 0fd2d52 
0fca14c 0fc8848 0fd043c 
0fce67e 0fcc820 0fd4297 
0fd30c2 0fd1475 0fd8f82 
0fd18c1 0fd0328 0fd7fe6 
0fcbcb6 0fca951 0fd2685 
0fc9a4f 0fc818e 0fcfcde 
0fcdf22 0fcc102 0fd3ac1 
0fd28ae 0fd0c9b 0fd86e0 
0fd10dc 0fcfb83 0fd7775 
0fcb551 0fca23b 0fd1e6b 
0fc9308 0fc7ac6 0fcf4e0 
0fcd7b1 0fcba3d 0fd3292 
0fd2217 0fd06e4 0fd7f3b 
0fd0ab7 0fcf64a 0fd7060 
0fcaee7 0fc9b8f 0fd1882 
0fc8c20 0fc72ea 0fcef35 
0fcd04a 0fcb199 0fd2c9b 
0fd1a9a 0fcfdc5 0fd795d 
0fd02fd 0fcecb0 0fd6a49 
0fca747 0fc930f 0fd116e 
0fc8442 0fc6ab1 0fce74a 
0fcc88a 0fca974 0fd24cb 
0fd13be 0fcf686 0fd724e 
0fcfd57 0fce6a5 0fd6486 
0fca1cd 0fc8d57 0fd0bc3 
0fc7e5e 0fc649a 0fce12d 
0fcc2d0 0fca38a 0fd1edd 
0fd0ec8 0fcf140 0fd6d21 
0fcf7d8 0fce0f1 0fd5f45 
0fc9bdc 0fc8749 0fd0672 
0fc7885 0fc5ece 0fcdbf6 
0fcbc96 0fc9d8e 0fd1909 
0fd0907 0fcebe8 0fd6738 
0fcf361 0fcdcff 0fd5a27 
0fc97e6 0fc83a1 0fd021f 
0fc74b5 0fc5b06 0fcd7f5 
0fcb91e 0fc99fb 0fd158f 
0fd05fa 0fce8a1 0fd6461 
0fcf088 0fcd9e6 0fd57b6 
0fc95d1 0fc8177 0fd0016 
0fc7247 0fc5893 0fcd56e 
0fcb68e 0fc974f 0fd12d3 
0fd0422 0fce69e 0fd6288 
0fcefce 0fcd8e8 0fd56ec 
0fc95c0 0fc8124 0fcffd0 
0fc72d2 0fc5901 0fcd5eb 
0fcb772 0fc982b 0fd13d4 
0fd0413 0fce6a3 0fd62dd 
0fcf019 0fcd961 0fd57a6 
0fc961b 0fc81a7 0fd008b 
0fc726b 0fc58b3 0fcd5cc 
0fcb734 0fc9806 0fd13b2 
0fd04b6 0fce758 0fd6360 
0fcf168 0fcdac1 0fd58e0 
0fc986b 0fc841c 0fd02e4 
0fc7546 0fc5bac 0fcd8b9 
0fcba0a 0fc9add 0fd168d 
0fd08a3 0fceb0d 0fd66fa 
0fcf5f0 0fcdee6 0fd5cf9 
0fc9c32 0fc877d 0fd069c 
0fc793f 0fc5f47 0fcdc9d 
0fcbdad 0fc9e1c 0fd1a1f 
0fd0c75 0fcee86 0fd6aca 
0fcfa06 0fce2b4 0fd6155 
0fca03a 0fc8b3d 0fd0aea 
0fc7c83 0fc624a 0fce04a 
0fcc0ac 0fca0eb 0fd1d7a 
0fd0ecf 0fcf0b6 0fd6daf 
0fcfc3a 0fce4d4 0fd63d6 
0fca242 0fc8d54 0fd0d1e 
0fc7d8c 0fc637c 0fce177 
0fcc0cf 0fca144 0fd1daf 
0fd0e7c 0fcf0aa 0fd6d48 
0fcfb22 0fce3fd 0fd628d 
0fca01c 0fc8b6c 0fd0ab6 
0fc7a88 0fc60b1 0fcde1b 
0fcbd20 0fc9dc6 0fd19a5 
0fd0ab5 0fced06 0fd68d4 
0fcf703 0fce009 0fd5dc4 
0fc9b4d 0fc86d5 0fd055a 
0fc75c6 0fc5c23 0fcd8d8 
0fcb7f4 0fc98c3 0fd1415 
0fd05e7 0fce843 0fd63b0 
0fcf3e7 0fcdcef 0fd5a73 
0fc997d 0fc851a 0fd03c1 
0fc73d2 0fc5a57 0fcd744 
0fcb644 0fc9742 0fd12c9 
0fd04dc 0fce768 0fd62fe 
0fcf2e6 0fcdc18 0fd59d9 
0fc9883 0fc843a 0fd030e 
0fc7283 0fc5906 0fcd63b 
0fcb535 0fc9610 0fd11ed 
0fd0444 0fce68f 0fd628a 
0fcf313 0fcdbee 0fd5a11 
0fc9887 0fc83da 0fd0347 
0fc72a2 0fc58c4 0fcd69e 
0fcb4fd 0fc9572 0fd120d 
0fd0356 0fce558 0fd6264 
0fcf1e0 0fcda7c 0fd59a5 
0fc989f 0fc83b8 0fd03a0 
0fc72df 0fc58dc 0fcd70f 
0fcb520 0fc9579 0fd1271 
0fd03e4 0fce5c7 0fd6303 
0fcf2e6 0fcdb74 0fd5ac7 
0fc9943 0fc845f 0fd0498 
0fc7326 0fc592e 0fcd7b5 
0fcb558 0fc95bc 0fd12e8 
0fd051a 0fce6e3 0fd6433 
0fcf4ba 0fcdd24 0fd5c78 
0fc9a88 0fc8596 0fd05ea 
0fc73e9 0fc59de 0fcd863 
0fcb614 0fc9662 0fd1378 
0fd05c8 0fce790 0fd64c5 
0fcf61a 0fcde7b 0fd5daa 
0fc9c07 0fc8707 0fd0752 
0fc7562 0fc5b4b 0fcd9dd 
0fcb7ed 0fc9830 0fd154d 
0fd07e8 0fce9a2 0fd66ef 
0fcf844 0fce098 0fd5ff5 
0fc9e48 0fc8944 0fd09b4 
0fc776d 0fc5d5c 0fcdc19 
0fcb9d9 0fc9a12 0fd1763 
0fd0a3d 0fcebd5 0fd6931 
0fcfb1c 0fce356 0fd62c6 
0fca1da 0fc8cbf 0fd0d33 
0fc7b07 0fc60dd 0fcdf98 
0fcbd22 0fc9d49 0fd1a78 
0fd0e09 0fcefa4 0fd6d0c 
0fcff32 0fce772 0fd66cc 
0fca59e 0fc907c 0fd10c6 
0fc7e4c 0fc6417 0fce2ad 
0fcc008 0fca01b 0fd1d2d 
0fd1051 0fcf1d9 0fd6f53 
0fd01a5 0fce9ce 0fd6939 
0fca84e 0fc9323 0fd1361 
0fc8103 0fc66d2 0fce554 
0fcc2b1 0fca2c9 0fd1fd5 
0fd129f 0fcf430 0fd71b5 
0fd0475 0fcecaa 0fd6bfe 
0fcab89 0fc9671 0fd1695 
0fc83ed 0fc69db 0fce843 
0fcc544 0fca57a 0fd225c 
0fd1602 0fcf7a3 0fd74f1 
0fd0894 0fcf0d1 0fd6ff3 
0fcafa0 0fc9a91 0fd1a79 
0fc878b 0fc6d86 0fcebb0 
0fcc862 0fca89f 0fd2548 
0fd192e 0fcfad1 0fd7802 
0fd0bc4 0fcf408 0fd732b 
0fcb2a1 0fc9da0 0fd1d8f 
0fc8a7f 0fc708c 0fceebb 
0fccb7a 0fcabc7 0fd2875 
0fd1ba5 0fcfd69 0fd7a7b 
0fd0db4 0fcf61c 0fd7516 
0fcb3a6 0fc9ece 0fd1e99 
0fc8a50 0fc7094 0fceeab 
0fccaf6 0fcab75 0fd2801 
0fd1b13 0fcfcf7 0fd79e1 
0fd0de4 0fcf665 0fd7528 
0fcb524 0fca065 0fd1fec 
0fc8c72 0fc72c6 0fcf091 
0fccd32 0fcadb5 0fd2a06 
0fd1e62 0fd0039 0fd7cfa 
0fd1239 0fcfaac 0fd7964 
0fcb9fc 0fca539 0fd24be 
0fc916c 0fc77c0 0fcf5a0 
0fcd220 0fcb2a4 0fd2efd 
0fd2406 0fd05ed 0fd82ab 
0fd1893 0fd0123 0fd7fbc 
0fcc00e 0fcab6f 0fd2ad1 
0fc96b2 0fc7d37 0fcfae0 
0fcd6ec 0fcb7b3 0fd33ce 
0fd289c 0fd0ac4 0fd8751 
0fd1c35 0fd04fc 0fd834c 
0fcc2b1 0fcae51 0fd2d76 
0fc98e4 0fc7f9e 0fcfd16 
0fcd86f 0fcb958 0fd353d 
0fd29dd 0fd0c1f 0fd8871 
0fd1e0f 0fd06f3 0fd8509 
0fcc4a2 0fcb05f 0fd2f48 
0fc9a94 0fc816a 0fcfea1 
0fcda79 0fcbb74 0fd370d 
0fd2bae 0fd0dfd 0fd89fc 
0fd1fc3 0fd08b3 0fd8679 
0fcc63e 0fcb211 0fd30c2 
0fc9b72 0fc8273 0fcff86 
0fcdafc 0fcbc2e 0fd37a7 
0fd2c78 0fd0ef7 0fd8ad6 
0fd2100 0fd0a1b 0fd87ba 
0fcc7e5 0fcb3e7 0fd324d 
0fc9cbd 0fc83e5 0fd00a2 
0fcdbe5 0fcbd2c 0fd3840 
0fd2d13 0fd0fa4 0fd8b18 
0fd21ce 0fd0af7 0fd881f 
0fcc88c 0fcb4a1 0fd329c 
0fc9d0f 0fc8455 0fd00be 
0fcdc7f 0fcbde1 0fd389d 
0fd2f0c 0fd11af 0fd8cc2 
0fd2474 0fd0dc9 0fd8a9c 
0fccb95 0fcb7dd 0fd3563 
0fc9f9f 0fc8718 0fd02f4 
0fcde05 0fcbf9a 0fd39d3 
0fd3092 0fd1365 0fd8e0e 
0fd25fe 0fd0f7a 0fd8bfc 
0fccc60 0fcb8d3 0fd3620 
0fc9ff5 0fc87a0 0fd034d 
0fcde0f 0fcbfca 0fd39cd 
0fd2fe5 0fd12ce 0fd8d35 
0fd2586 0fd0f0b 0fd8b2d 
0fccc39 0fcb8b9 0fd3599 
0fc9fc1 0fc877f 0fd02b9 
0fcdddf 0fcbfb0 0fd3935 
0fd2fa0 0fd129d 0fd8c7f 
0fd2527 0fd0ec2 0fd8a7b 
0fccb9a 0fcb83a 0fd34b9 
0fc9f26 0fc86bf 0fd022b 
0fcdcdf 0fcbdf9 0fd38eb 
0fd2f27 0fd1144 0fd8cd4 
0fd25a9 0fd0e65 0fd8bdc 
0fccc35 0fcb805 0fd367b 
0fc9e95 0fc859d 0fd02a9 
0fcdc30 0fcbd37 0fd38ae 
0fd2eb4 0fd10c6 0fd8cb2 
0fd2586 0fd0e27 0fd8bda 
0fccc7d 0fcb81c 0fd36c6 
0fc9eb9 0fc85a1 0fd02c2 
0fcdc39 0fcbd2c 0fd389a 
0fd2f40 0fd1152 0fd8d32 
0fd2624 0fd0eca 0fd8c84 
0fcccf3 0fcb89c 0fd3764 
0fc9f4c 0fc8639 0fd0374 
0fcdd31 0fcbe2d 0fd398b 
0fd309f 0fd12bf 0fd8e3f 
0fd2853 0fd1106 0fd8e4f 
0fccf5b 0fcbb10 0fd3971 
0fca13b 0fc8843 0fd0527 
0fcde4d 0fcbf57 0fd3aaa 
0fd3196 0fd13a4 0fd8f7a 
0fd29b6 0fd1253 0fd9037 
0fcd0ef 0fcbc92 0fd3b8a 
0fca2c6 0fc89ad 0fd0739 
0fcdfff 0fcc0cf 0fd3cb6 
0fd3455 0fd1627 0fd924f 
0fd2ca7 0fd14fe 0fd9339 
0fcd389 0fcbee3 0fd3e5b 
0fca581 0fc8c20 0fd0a29 
0fce23d 0fcc2c1 0fd3f2e 
0fd3690 0fd180e 0fd946e 
0fd2f3f 0fd174f 0fd9560 
0fcd5ed 0fcc107 0fd40ae 
0fca6d3 0fc8d43 0fd0b7c 
0fce3a3 0fcc400 0fd4087 
0fd3806 0fd1965 0fd95e4 
0fd30c7 0fd18bc 0fd971c 
0fcd76b 0fcc288 0fd4277 
0fca873 0fc8efd 0fd0d5e 
0fce526 0fcc59d 0fd4241 
0fd39ca 0fd1b38 0fd97e6 
0fd332d 0fd1b3e 0fd99bc 
0fcd9e8 0fcc527 0fd451a 
0fcaa04 0fc90b1 0fd0f30 
0fce572 0fcc60c 0fd42cb 
0fd397d 0fd1b16 0fd97df 
0fd32cc 0fd1b04 0fd9986 
0fcd98e 0fcc4f6 0fd44bd 
0fca93f 0fc9009 0fd0e55 
0fce498 0fcc54f 0fd41d8 
0fd3871 0fd1a30 0fd96a0 
0fd3126 0fd1990 0fd979d 
0fcd75d 0fcc2fc 0fd4281 
0fca5c4 0fc8cea 0fd0b01 
0fcdefa 0fcc021 0fd3c70 
0fd3135 0fd134b 0fd8fe8 
0fd287f 0fd1142 0fd8fb6 
0fccbfe 0fcb81a 0fd3777 
0fc9505 0fc7cb0 0fcfa84 
0fcc8c2 0fcaa4d 0fd266b 
0fd195b 0fcfb83 0fd77b4 
0fd1158 0fcfa0a 0fd7817 
0fcb78e 0fca38b 0fd227e 
0fc8681 0fc6df0 0fceb42 
0fcc1a0 0fca2fa 0fd1ea8 
0fd15ba 0fcf7e0 0fd73e2 
0fd10f7 0fcf9a9 0fd7784 
0fcb9b6 0fca5b7 0fd248b 
0fc8915 0fc708a 0fcedca 
0fcc42e 0fca58c 0fd212c 
0fd194d 0fcfb77 0fd775f 
0fd14cb 0fcfd89 0fd7b71 
0fcbd00 0fca90c 0fd2810 
0fc8c84 0fc73f5 0fcf170 
0fcc73c 0fca879 0fd2464 
0fd1bb0 0fcfda0 0fd79e6 
0fd16e6 0fcff5e 0fd7daf 
0fcbf25 0fcaae0 0fd2a45 
0fc8e00 0fc7525 0fcf318 
0fcc8a5 0fca99a 0fd25f7 
0fd1dc6 0fcff70 0fd7c1f 
0fd1964 0fd018d 0fd8044 
0fcc18d 0fcacff 0fd2ccb 
0fc90d3 0fc77b8 0fcf608 
0fccb9d 0fcac59 0fd2914 
0fd2090 0fd01f7 0fd7efb 
0fd1c96 0fd0480 0fd836f 
0fcc534 0fcb07f 0fd3071 
0fc9411 0fc7af0 0fcf95d 
0fcce36 0fcaeeb 0fd2bb2 
0fd2365 0fd04d3 0fd81da 
0fd1fbc 0fd07cd 0fd8699 
0fcc8c5 0fcb443 0fd3403 
0fc974f 0fc7e60 0fcfc8c 
0fcd117 0fcb209 0fd2e77 
0fd263a 0fd07dc 0fd8486 
0fd22b4 0fd0adf 0fd8952 
0fccb00 0fcb696 0fd3607 
0fc9918 0fc8040 0fcfe24 
0fcd2c6 0fcb3d0 0fd2ff3 
0fd27ef 0fd09a8 0fd8608 
0fd24da 0fd0d1d 0fd8b37 
0fccd8e 0fcb948 0fd3866 
0fc9b45 0fc829b 0fd0047 
0fcd4ce 0fcb5fd 0fd320b 
0fd2a05 0fd0be2 0fd8836 
0fd272c 0fd0f9a 0fd8dc6 
0fccfb5 0fcbb96 0fd3ace 
0fc9d74 0fc84e8 0fd02b4 
0fcd681 0fcb7a5 0fd33d8 
0fd2c0a 0fd0dc2 0fd8a3e 
0fd2933 0fd115f 0fd8fbe 
0fcd17e 0fcbcfe 0fd3c6d 
0fc9e74 0fc857e 0fd037f 
0fcd6f8 0fcb7c7 0fd3428 
0fd2c1e 0fd0d8d 0fd8a47 
0fd29d9 0fd11cd 0fd9067 
0fcd2cf 0fcbe35 0fd3dce 
0fc9f3a 0fc863b 0fd0478 
0fcd7d0 0fcb899 0fd353c 
0fd2dc3 0fd0f20 0fd8c14 
0fd2b59 0fd133a 0fd9219 
0fcd3c9 0fcbf24 0fd3f02 
0fca07b 0fc8783 0fd05f8 
0fcd8e0 0fcb9b4 0fd3678 
0fd2e70 0fd0fde 0fd8ce5 
0fd2ca2 0fd149b 0fd9378 
0fcd509 0fcc081 0fd4062 
0fca122 0fc883e 0fd06aa 
0fcd92c 0fcb9f9 0fd369a 
0fd2ed6 0fd1029 0fd8cf7 
0fd2cea 0fd14c0 0fd9360 
0fcd5d2 0fcc134 0fd40d5 
0fca1ed 0fc88ff 0fd0730 
0fcd988 0fcba5d 0fd36c3 
0fd2edf 0fd1044 0fd8ce6 
0fd2da4 0fd159a 0fd9419 
0fcd6de 0fcc268 0fd41e0 
0fca25d 0fc89a3 0fd07a9 
0fcd9f3 0fcbb01 0fd374b 
0fd304c 0fd11e6 0fd8e4a 
0fd2f31 0fd1752 0fd9583 
0fcd7ec 0fcc397 0fd42e6 
0fca38c 0fc8aeb 0fd08e7 
0fcdb32 0fcbc40 0fd3887 
0fd3206 0fd138e 0fd8f86 
0fd31d7 0fd19ce 0fd977d 
0fcdb36 0fcc6a0 0fd45eb 
0fca6e8 0fc8e0d 0fd0bfb 
0fcddd7 0fcbebb 0fd3aea 
0fd3432 0fd1592 0fd9194 
0fd3448 0fd1c2f 0fd99d1 
0fcdd33 0fcc89c 0fd47f3 
0fca88a 0fc8faa 0fd0db2 
0fcdf90 0fcc059 0fd3c96 
0fd36ac 0fd17f4 0fd9429 
0fd36c9 0fd1e9c 0fd9c7a 
0fcdfa5 0fccb0a 0fd4a84 
0fcaa5c 0fc918b 0fd0fcc 
0fce10c 0fcc1f5 0fd3e6a 
0fd3835 0fd1995 0fd95fa 
0fd38fa 0fd20d3 0fd9ee9 
0fce272 0fccde1 0fd4d63 
0fcad98 0fc94db 0fd1310 
0fce443 0fcc538 0fd4190 
0fd3aec 0fd1c4f 0fd9896 
0fd3b9f 0fd2378 0fda18d 
0fce597 0fcd10e 0fd5072 
0fcb077 0fc97c1 0fd15e8 
0fce6d5 0fcc7d9 0fd441e 
0fd3e08 0fd1f75 0fd9bba 
0fd3f48 0fd2729 0fda525 
0fce8f3 0fcd47d 0fd5397 
0fcb347 0fc9aa9 0fd1892 
0fce97a 0fcca93 0fd469c 
0fd4074 0fd21f3 0fd9e15 
0fd41e7 0fd29e1 0fda7d1 
0fcec06 0fcd7a7 0fd56a9 
0fcb5da 0fc9d4e 0fd1b18 
0fcebb6 0fcccdf 0fd48c5 
0fd4299 0fd2423 0fda01d 
0fd4464 0fd2c73 0fdaa23 
0fceeda 0fcda95 0fd5953 
0fcb8b7 0fca04e 0fd1ddd 
0fcee34 0fccf76 0fd4b1d 
0fd458c 0fd271d 0fda2ec 
0fd4785 0fd2f8c 0fdad1f 
0fcf131 0fcdcf3 0fd5b9b 
0fcbb29 0fca2d3 0fd205c 
0fcf0d0 0fcd220 0fd4db4 
0fd4847 0fd29e2 0fda59a 
0fd4ab6 0fd32c7 0fdb054 
0fcf519 0fce0e7 0fd5f89 
0fcbe55 0fca610 0fd23c7 
0fcf32a 0fcd492 0fd5033 
0fd4a46 0fd2bfe 0fda7bb 
0fd4cc4 0fd34ed 0fdb290 
0fcf7af 0fce392 0fd624e 
0fcc100 0fca8d5 0fd26a3 
0fcf623 0fcd7a0 0fd5327 
0fd4d0a 0fd2ec6 0fdaa65 
0fd4f43 0fd376c 0fdb4f4 
0fcf9f1 0fce5d7 0fd6476 
0fcc2ac 0fcaa72 0fd2832 
0fcf750 0fcd8b3 0fd5430 
0fd4e67 0fd3017 0fdab9b 
0fd50fc 0fd3925 0fdb681 
0fcfbde 0fce7c9 0fd6637 
0fcc420 0fcabfe 0fd299e 
0fcf820 0fcd9ae 0fd5511 
0fd4f12 0fd30e0 0fdac59 
0fd51fb 0fd3a26 0fdb792 
0fcfc71 0fce860 0fd66e2 
0fcc478 0fcac64 0fd2a1a 
0fcf86d 0fcda07 0fd5568 
0fd4ef8 0fd30c4 0fdac3b 
0fd5230 0fd3a5f 0fdb7b2 
0fcfc96 0fce894 0fd66f2 
0fcc401 0fcabf9 0fd2998 
0fcf773 0fcd912 0fd5467 
0fd4eb8 0fd308a 0fdabd6 
0fd5253 0fd3a92 0fdb7bf 
0fcfd33 0fce94b 0fd6786 
0fcc571 0fcad97 0fd2b18 
0fcf8a1 0fcda6f 0fd5592 
0fd5035 0fd323f 0fdad60 
0fd542d 0fd3cae 0fdb9ae 
