0fe79e3 0fbc84f 001779c 
0fe9da2 0fd15e0 0019fec 
0fe2381 0fd2471 0010dea 
0fd97cf 0fcc5fb 000469a 
0fd6e93 0fc7f9e 0006800 
0fe2ef0 0fcb444 0013c3e 
0fe9f86 0fd1ce2 001a0c8 
0fe2977 0fd2c65 00111e7 
0fda085 0fccedc 000474b 
0fd73b2 0fc880c 00066d2 
0fe2db6 0fcbc79 0013b87 
0fe9f8b 0fd2549 0019eb0 
0fe2eed 0fd356f 0011416 
0fda939 0fcd7ad 0004857 
0fd7936 0fc9024 00066f5 
0fe2d50 0fcc52d 00139c6 
0fea2bc 0fd2fb2 0019e2c 
0fe378f 0fd40c0 0011935 
0fdb5af 0fce437 0004bba 
0fd82a4 0fc9d56 000684a 
0fe2cd5 0fcd1f1 00139ba 
0fea3d2 0fd3bc8 0019bb0 
0fe3f14 0fd4c0d 0011c00 
0fdbf2b 0fcedf5 0004c87 
0fd8728 0fca42b 0006645 
0fe28c6 0fcd65d 00136f8 
0fea06e 0fd3f3d 0019827 
0fe3fdb 0fd4efb 0011975 
0fdc1a9 0fcf077 00049c7 
0fd87fc 0fca5ba 00063a9 
0fe2742 0fcd6c4 0013495 
0fea142 0fd3f13 00197fb 
0fe415d 0fd4f91 0011b22 
0fdc35e 0fcf233 0004b1f 
0fd89d6 0fca793 0006355 
0fe2851 0fcd898 00133d1 
0fea24f 0fd40ae 0019693 
0fe42f3 0fd516d 00119fb 
0fdc3ae 0fcf28e 00047f1 
0fd8685 0fca538 0005cf4 
0fe2202 0fcd397 0012eac 
0fe9e2d 0fd3ae7 0019772 
0fe3e1d 0fd4b77 00119df 
0fdbe7f 0fced42 00048bc 
0fd83d1 0fca13a 0005f95 
0fe2448 0fcd0ca 00131bc 
0fe9fe0 0fd3832 0019a1a 
0fe3cdc 0fd489a 0011a98 
0fdbaf5 0fce9b3 00046bc 
0fd7e24 0fc9b84 00059b7 
0fe1cfd 0fcc7ad 0012b94 
0fe9782 0fd2c11 00195c5 
0fe2fe0 0fd39de 0010f4e 
0fda7b3 0fcd6a0 0003d5a 
0fd679a 0fc82a4 0004ea1 
0fe0b4d 0fca90e 0011f76 
0fe854d 0fd09df 0018dd4 
0fe12c4 0fd1515 00100d1 
0fd819f 0fcb018 00038a0 
0fd503f 0fc5ec7 0004ffa 
0fe15ed 0fc88e7 00127b7 
0fe9225 0fced71 0019b00 
0fe0eb0 0fcfd43 0010ca1 
0fd6ef2 0fc9c09 0003fba 
0fd443d 0fc4a39 000515c 
0fe1389 0fc72c2 0012443 
0fe8e38 0fcd6bd 001979c 
0fe048b 0fce757 0010b90 
0fd5b7e 0fc873a 0004118 
0fd3b9e 0fc3664 000540a 
0fe1912 0fc6038 0012813 
0fe92f9 0fcc661 0019cd4 
0fe02cc 0fcd976 00110e5 
0fd50e3 0fc7b0f 00045d6 
0fd380b 0fc2b70 0005752 
0fe1ea3 0fc561a 0012c7e 
0fe9b2b 0fcbf34 001a3d8 
0fe0a51 0fcd6f7 0011bab 
0fd54e3 0fc7d5c 0005232 
0fd40a0 0fc31cc 000625f 
0fe2ab0 0fc6081 00136ee 
0fea6e1 0fccce3 001ad91 
0fe16eb 0fce7a7 0012346 
0fd6682 0fc903c 0005682 
0fd4aca 0fc4600 000639a 
0fe2abf 0fc745c 001363d 
0fea6e8 0fce0c7 001abc5 
0fe1d3d 0fcfb12 0012185 
0fd770d 0fca2c9 00051d2 
0fd4f91 0fc56ef 0005cc4 
0fe206a 0fc82c5 0012efb 
0fe9f4a 0fceca2 001a533 
0fe1dd9 0fd050f 0011d29 
0fd7d34 0fca9f4 0004d6f 
0fd4fb5 0fc5ad4 00057e1 
0fe1a42 0fc8533 001297e 
0fe9aa5 0fced64 001a0ad 
0fe1a0f 0fd0377 001177f 
0fd79b7 0fca6be 000460a 
0fd4892 0fc5467 0004f39 
0fe100b 0fc7abc 0011fcc 
0fe902f 0fcdfbb 0019650 
0fe0cc0 0fcf347 0010d12 
0fd678c 0fc9422 000406d 
0fd3b26 0fc4034 0004aa7 
0fe0cf3 0fc65c0 0011b97 
0fe8f1c 0fcca1c 001956d 
0fe057d 0fcde01 0010d64 
0fd53a4 0fc7e75 0003d4c 
0fd2d39 0fc2820 0004404 
0fe0b3c 0fc4b5d 0011658 
0fe8dc0 0fcaeba 0019270 
0fdfcde 0fcc29c 0010d14 
0fd3d10 0fc640d 0003f7c 
0fd2540 0fc0fe3 00047c4 
0fe1122 0fc354e 0011aa0 
0fe93a1 0fc9b98 00197a9 
0fdfef2 0fcb3df 0011267 
0fd35e2 0fc5864 0004414 
0fd25f1 0fc05ad 0004b31 
0fe1776 0fc2be4 0011d83 
0fe9883 0fc9406 0019a6e 
0fe018a 0fcadaa 00115c8 
0fd3390 0fc5383 0004643 
0fd247b 0fc00da 0004a7f 
0fe16f0 0fc271c 0011b5a 
0fe99e2 0fc9059 00199db 
0fe0231 0fcab36 0011568 
0fd3286 0fc5160 0004665 
0fd23f6 0fbfeb1 0004aef 
0fe16c6 0fc24cc 0011bad 
0fe9a27 0fc8d3d 0019ac1 
0fe03fd 0fca8b3 00117a9 
0fd31f6 0fc4f62 00047a9 
0fd22e9 0fbfc2f 00048bc 
0fe178e 0fc21db 00118f9 
0fe9bc9 0fc8a6d 00198ad 
0fe058a 0fca68d 00116ab 
0fd30da 0fc4d1a 000454a 
0fd209a 0fbf911 0004626 
0fe148a 0fc1e27 00115f7 
0fe9ab7 0fc8692 00196fd 
0fe054e 0fca337 00115d4 
0fd2f0e 0fc4a0c 000442e 
0fd1f94 0fbf577 0004474 
0fe14e8 0fc19bb 001153d 
0fe9bf4 0fc8219 0019879 
0fe0573 0fc9eb4 0011840 
0fd2cda 0fc45d6 0004621 
0fd1d33 0fbf014 0004471 
0fe1202 0fc1235 0011349 
0fe988d 0fc7958 0019611 
0fe01d3 0fc951f 0011671 
0fd2422 0fc39e9 0004425 
0fd1758 0fbe36d 000435c 
0fe10aa 0fc062c 0011530 
0fe990c 0fc6df2 00199cc 
0fe0273 0fc8b84 0011bf2 
0fd2244 0fc32ce 00049fa 
0fd1779 0fbdbe4 000467c 
0fe110e 0fbfd76 00116dd 
0fe9932 0fc64cb 0019ba1 
0fe01d9 0fc81e8 0011e39 
0fd1ef8 0fc2884 0004b54 
0fd1626 0fbd073 00046b2 
0fe0e04 0fbf166 001162b 
0fe96b5 0fc58e1 0019aea 
0fdffe7 0fc7698 0011e51 
0fd1c8d 0fc1e2d 0004b8d 
0fd165c 0fbc637 0004701 
0fe0d43 0fbe610 001166c 
0fe9629 0fc4d60 0019bac 
0fdfeb2 0fc6b50 0011f11 
0fd195b 0fc1341 0004c12 
0fd172e 0fbba84 000460f 
0fe0b16 0fbd94f 0011402 
0fe9582 0fc40a4 0019a38 
0fdff86 0fc5fac 0011f5e 
0fd18f3 0fc083f 0004cf3 
0fd1917 0fbaf2d 00045a0 
0fe0af0 0fbcddf 00113fe 
0fe96ba 0fc357d 0019ca6 
0fe011c 0fc5541 001233d 
0fd19e8 0fbff17 000508f 
0fd1c99 0fba6d0 0004923 
0fe0e88 0fbc5a2 001185b 
0fe9bad 0fc2e1f 001a267 
0fe0627 0fc4fb4 00129c3 
0fd1d05 0fbfa7b 000560a 
0fd1ec9 0fba275 0004ca7 
0fe0f35 0fbc276 0011a74 
0fe9ca1 0fc2bd4 001a43b 
0fe0873 0fc4d8b 0012c86 
0fd1f5a 0fbf843 000589e 
0fd1f90 0fba049 0004de8 
0fe0e8c 0fbbf32 0011b5a 
0fe9bf0 0fc2832 001a546 
0fe084a 0fc4aae 0012d53 
0fd1df4 0fbf615 0005876 
0fd1c37 0fb9dca 0004bb0 
0fe0c2e 0fbbc94 00118fc 
0fe9c26 0fc259e 001a476 
0fe0a85 0fc487e 0012ed8 
0fd20fc 0fbf481 0005b67 
0fd1ecc 0fb9c0f 0004df8 
0fe0cce 0fbb9e0 0011a15 
0fe9ca7 0fc227b 001a58e 
0fe0b27 0fc45ee 0013028 
0fd2067 0fbf220 0005ad2 
0fd1d93 0fb9907 0004c2b 
0fe0c8f 0fbb636 00118ad 
0fe9e58 0fc1f93 001a55a 
0fe0d00 0fc4371 001303b 
0fd21b4 0fbefea 0005a8b 
0fd1d18 0fb967b 0004a2a 
0fe0a58 0fbb315 00115a7 
0fe9c48 0fc1bde 001a338 
0fe0ba9 0fc406b 0012edc 
0fd203c 0fbece1 0005990 
0fd1b70 0fb9307 0004971 
0fe0881 0fbaf08 00114cc 
0fe9b38 0fc17ed 001a38d 
0fe0c5e 0fc3ce6 001310d 
0fd1f97 0fbe927 0005a8e 
0fd19a7 0fb8e24 00048d8 
0fe0842 0fba923 001156b 
0fe9eaf 0fc1277 001a69a 
0fe11d0 0fc38d4 0013627 
0fd23cd 0fbe6dc 0005f31 
0fd1b7f 0fb8cbd 0004b20 
0fe0642 0fba803 0011420 
0fe9aab 0fc10cf 001a385 
0fe0ed2 0fc3693 001333d 
0fd20f2 0fbe397 0005c1d 
0fd1723 0fb879b 0004699 
0fe01b6 0fba0f9 0010f1f 
0fe968c 0fc0875 0019edd 
0fe096a 0fc2d87 0012ed2 
0fd1a7e 0fbd950 000574d 
0fd0f99 0fb7b30 0004005 
0fdf934 0fb91c9 001071e 
0fe9016 0fbf72d 00197ab 
0fe06b1 0fc1b27 0012a93 
0fd19b5 0fbc690 000550a 
0fd1034 0fb68cf 0003f51 
0fdfb4d 0fb8031 0010889 
0fe94cb 0fbe744 0019ba2 
0fe0b2d 0fc0d8c 0012dda 
0fd1c9b 0fbba8f 0005777 
0fd10fe 0fb5d0a 0003f25 
0fdfb0a 0fb73b5 0010827 
0fe94d3 0fbda15 0019c4c 
0fe0e7e 0fc0087 00131c7 
0fd2031 0fbad9d 0005c0c 
0fd12c7 0fb5031 00041bf 
0fdfce9 0fb66b6 0010a0a 
0fe9820 0fbcdc7 0019eed 
0fe10b4 0fbf506 00133cc 
0fd20fb 0fba252 0005d19 
0fd1435 0fb442e 000434d 
0fdfe11 0fb5af0 0010bc4 
0fe9a0d 0fbc27f 001a160 
0fe138d 0fbeac2 001371d 
0fd22eb 0fb998a 0005f5e 
0fd14a0 0fb3c42 0004465 
0fdfc9f 0fb52d7 0010aa2 
0fe97e3 0fbba85 0019f78 
0fe1160 0fbe2b2 0013532 
0fd2081 0fb9112 0005d52 
0fd1061 0fb3260 00040c2 
0fdf723 0fb46e2 001068b 
0fe94e0 0fbada0 0019d83 
0fe12e1 0fbd5ce 001369e 
0fd233c 0fb8486 0005fd9 
0fd1335 0fb2622 0004323 
0fdfb2c 0fb3bcc 00109ff 
0fe98ce 0fba36a 001a115 
0fe1516 0fbcc9d 001392d 
0fd2589 0fb7be5 00062bf 
0fd14b3 0fb1e27 0004500 
0fdfbd3 0fb337d 0010a3c 
0fe9b06 0fb9bf3 001a206 
0fe1a00 0fbc669 0013c4c 
0fd28d0 0fb76ba 0006444 
0fd1512 0fb18f8 0004527 
0fdfb09 0fb2e52 0010a4a 
0fe9b3e 0fb96f3 001a2b7 
0fe1b18 0fbc336 0013d60 
0fd2aa4 0fb7401 0006625 
0fd176f 0fb1689 000465e 
0fdfd18 0fb2c18 0010b22 
0fe9cc0 0fb956f 001a417 
0fe1d39 0fbc1fa 001400e 
0fd2bef 0fb7324 00067f5 
0fd15fd 0fb14f6 00045ae 
0fdfbc4 0fb2a2b 00109ef 
0fe9dc7 0fb934d 001a3ea 
0fe1eb8 0fbc0ae 0013f40 
0fd2c8f 0fb7273 0006639 
0fd165f 0fb1421 000445f 
0fdfcae 0fb2899 001098f 
0fe9f2e 0fb917d 001a4ab 
0fe21b3 0fbbeb2 0014216 
0fd2f86 0fb714b 00068b1 
0fd1747 0fb135c 00044a0 
0fdfbe8 0fb2771 0010806 
0fe9f0c 0fb9086 001a2d7 
0fe229b 0fbbe9d 0014135 
0fd3072 0fb7181 0006918 
0fd16df 0fb130b 000446f 
0fdfab4 0fb2682 0010757 
0fe9e59 0fb8f96 001a2f3 
0fe222e 0fbbea7 00140f3 
0fd309c 0fb71f6 0006875 
0fd1639 0fb1304 000422b 
0fdfa18 0fb263b 001049c 
0fe9fea 0fb8fdc 001a24e 
0fe2549 0fbbf02 00142b6 
0fd318a 0fb7243 0006917 
0fd14ff 0fb133b 0004116 
0fdf8d1 0fb25bf 00103a4 
0fe9f02 0fb8ef1 001a1c7 
0fe25b4 0fbbe66 00142d9 
0fd327c 0fb7274 00068f6 
0fd158a 0fb13d5 000410d 
0fdf80b 0fb25df 00102f0 
0fe9e94 0fb8ee8 001a1d8 
0fe2531 0fbbf60 0014370 
0fd3252 0fb7453 0006a55 
0fd13b9 0fb1562 000409b 
0fdf68d 0fb2740 0010152 
0fe9f42 0fb9093 001a109 
0fe2759 0fbc197 00143f2 
0fd33cb 0fb7684 0006a23 
0fd138f 0fb174c 0003f3a 
0fdf4c0 0fb289e 000ff31 
0fe9c1c 0fb9161 0019e0c 
0fe25c4 0fbc2dc 0014199 
0fd32d6 0fb7949 00067e7 
0fd12c3 0fb1a4f 0003cce 
0fdf49b 0fb2b65 000fd71 
0fe9d96 0fb94bc 0019ede 
0fe2823 0fbc6a6 0014410 
0fd345e 0fb7c7d 0006a40 
0fd1164 0fb1d76 0003ca8 
0fdf290 0fb2dee 000fbf5 
0fe9dbf 0fb96b2 0019d99 
0fe28f8 0fbc93e 001431a 
0fd34d2 0fb7fde 0006921 
0fd1224 0fb2025 0003c83 
0fdf2a2 0fb3099 000fc2a 
0fe9d8d 0fb99c7 0019df3 
0fe299b 0fbccc7 00143df 
0fd3543 0fb83fa 0006993 
0fd118c 0fb2434 0003b8a 
0fdf2dd 0fb3386 000fb02 
0fea05d 0fb9d20 0019ee6 
0fe2eca 0fbd15a 0014720 
0fd39de 0fb88ad 0006d01 
0fd140c 0fb2849 0003d46 
0fdf347 0fb3724 000fbc4 
0fe9f36 0fb9f93 0019ea5 
0fe2d42 0fbd3c7 0014661 
0fd38db 0fb8c5f 0006c04 
0fd1169 0fb2b9b 0003a92 
0fdef86 0fb3955 000f765 
0fe9cf7 0fba1de 0019b8a 
0fe2bf7 0fbd6af 0014493 
0fd356b 0fb8ee4 0006906 
0fd0c9f 0fb2dce 00035c7 
0fdec76 0fb3b30 000f2d6 
0fe9b96 0fba30a 001980c 
0fe2e16 0fbd7f1 0014422 
0fd38fd 0fb906b 00069d9 
0fd0f22 0fb2ec3 000369a 
0fdee48 0fb3b84 000f435 
0fe9d97 0fba3e7 00199b4 
0fe3013 0fbd9c4 00145a5 
0fd3a7d 0fb92ab 0006ab6 
0fd0f8d 0fb3152 0003693 
0fdecec 0fb3dd5 000f1d2 
0fe9dd6 0fba5ad 00198dd 
0fe31a5 0fbdba9 00146a1 
0fd3b7b 0fb9503 0006b97 
0fd0da8 0fb3348 00034a5 
0fde9d7 0fb3eef 000eeda 
0fe9c5d 0fba681 00196ed 
0fe32b9 0fbdcc5 001468c 
0fd3d39 0fb967e 0006c4b 
0fd0e7c 0fb34a9 0003568 
0fdea3f 0fb3fec 000efc0 
0fe9c7c 0fba7bd 00197a1 
0fe3330 0fbde30 001476a 
0fd3d9e 0fb988f 0006d06 
0fd0ec1 0fb36b3 0003554 
0fdea70 0fb418b 000eecd 
0fe9d6e 0fba958 00196f1 
0fe358c 0fbe069 0014892 
0fd3f27 0fb9b7b 0006e33 
0fd0e02 0fb398e 000349b 
0fde881 0fb4436 000ed5c 
0fe9c5c 0fbac4c 001963d 
0fe3579 0fbe420 00147c4 
0fd3ee5 0fb9f09 0006c10 
0fd0d6a 0fb3c85 0003193 
0fde7eb 0fb4665 000ea60 
0fe9c50 0fbae0c 00194cc 
0fe35f0 0fbe67a 001476d 
0fd4129 0fba22a 0006dc6 
0fd0da1 0fb3f49 00031c8 
0fde6ec 0fb4908 000e91e 
0fe9de9 0fbb047 0019496 
0fe3936 0fbe878 001485f 
0fd4248 0fba40e 0006ccb 
0fd0d65 0fb4135 0003081 
0fde645 0fb49fb 000e7ed 
0fe9c89 0fbb129 001935f 
0fe3844 0fbea07 0014830 
0fd41c8 0fba5e0 0006ce7 
0fd0b8d 0fb42d6 0002f1d 
0fde3f2 0fb4a4a 000e634 
0fe9bf9 0fbb0e8 0019390 
0fe39c4 0fbea04 0014b44 
0fd41c5 0fba656 0007074 
0fd0a5c 0fb42e0 0003277 
0fde2ad 0fb49fa 000e920 
0fe9b85 0fbb061 00196e8 
0fe3a7a 0fbe9d8 0014f35 
0fd433a 0fba67a 0007492 
0fd09e9 0fb41f8 00034c5 
0fde169 0fb4862 000eb63 
0fe9a86 0fbaf1e 0019a20 
0fe39aa 0fbe877 00152cd 
0fd4219 0fba547 000777a 
0fd079b 0fb40c3 00035e2 
0fddf25 0fb46f7 000eb42 
0fe9a42 0fbad2d 0019a2b 
0fe3af2 0fbe7a3 001530e 
0fd434e 0fba592 0007712 
0fd082c 0fb411d 000357e 
0fddd94 0fb4657 000e9e1 
0fe97db 0fbacc5 0019906 
0fe39b4 0fbe773 0015337 
0fd424b 0fba56f 0007740 
0fd0714 0fb40bd 00034c8 
0fdddb7 0fb4573 000e964 
0fe9aec 0fbabd1 0019ab8 
0fe3d47 0fbe77a 0015601 
0fd445d 0fba51f 0007a3b 
0fd06f6 0fb3fc1 00036e6 
0fddc2e 0fb43b5 000eac8 
0fe998a 0fbaa2c 0019bfb 
0fe3e27 0fbe692 001585c 
0fd46ba 0fba605 0007d21 
0fd084a 0fb4130 0003888 
0fddc7c 0fb4548 000eac2 
0fe9965 0fbab64 0019bad 
0fe3e01 0fbe860 00158f7 
0fd46aa 0fba831 0007d84 
0fd07f1 0fb4384 000385d 
0fddd5d 0fb474a 000ebe2 
0fe9c02 0fbad62 0019dfd 
0fe4223 0fbea9d 0015cfa 
0fd49b0 0fbaa74 0008150 
0fd080d 0fb4581 0003a7b 
0fdda79 0fb48b4 000ec12 
0fe99c0 0fbae5a 0019f62 
0fe40d1 0fbebda 0015e67 
0fd48ae 0fbac7f 00081fb 
0fd0642 0fb479a 0003936 
0fdd90a 0fb4a44 000ea32 
0fe983f 0fbb01e 0019d87 
0fe4144 0fbeea1 0015ecc 
0fd4a34 0fbb06c 000840e 
0fd05a5 0fb4af0 0003a1e 
0fdd78e 0fb4d25 000ea98 
0fe97a5 0fbb300 0019e09 
0fe41a5 0fbf1dc 0015f40 
0fd49cf 0fbb3df 00082da 
0fd05e0 0fb4e9a 00038d7 
0fdd66a 0fb503e 000e7f0 
0fe9764 0fbb5ef 0019c90 
0fe42ed 0fbf55f 0015fd7 
0fd4ad8 0fbb896 00084f6 
0fd04c3 0fb535c 00039ab 
0fdd6b7 0fb5443 000e97a 
0fe98d1 0fbb999 0019e0a 
0fe460d 0fbf8f3 00161f5 
0fd4e04 0fbbb14 000870b 
0fd058e 0fb55f8 00039e2 
0fdd457 0fb5698 000e79e 
0fe971c 0fbbc03 0019db5 
0fe451b 0fbfc1a 001633c 
0fd4db8 0fbbf69 000885d 
0fd04cd 0fb59e9 0003aea 
0fdd53c 0fb5a1f 000e91a 
0fe9a81 0fbbf7a 001a076 
0fe4a01 0fc0050 001671e 
0fd51d0 0fbc3f8 0008c04 
0fd0686 0fb5e39 0003cce 
0fdd328 0fb5d78 000e8d1 
0fe96cc 0fbc1f6 0019f15 
0fe4752 0fc02fb 0016614 
0fd5015 0fbc6d8 0008ac8 
0fd0455 0fb6060 0003a9d 
0fdd0f1 0fb5f18 000e5d0 
0fe9655 0fbc3a4 0019d53 
0fe471b 0fc052a 0016617 
0fd4ed6 0fbc921 0008b68 
0fd020f 0fb62dc 0003a17 
0fdcf00 0fb6106 000e56c 
0fe9566 0fbc4ed 0019d96 
0fe487c 0fc0686 001676e 
0fd5117 0fbcbda 0008c96 
0fd02e1 0fb6543 0003a39 
0fdcf4b 0fb6264 000e4b5 
0fe9572 0fbc658 0019d21 
0fe4a1d 0fc0843 001692e 
