0fabc17 0fa2b4b 0fa0fb6 
0fa8f0e 0f9f91a 0f9e33b 
0fa7be4 0f9e9d8 0f9cd0d 
0fa277e 0f997e4 0f9780b 
0fa0433 0f97220 0f9577b 
0fa4136 0f9ab1a 0f996b5 
0fa872d 0f9f102 0f9db4a 
0fa745c 0f9e224 0f9c571 
0fa1ea9 0f98ee8 0f96f27 
0f9fa01 0f967d4 0f94d4c 
0fa35b4 0f99f92 0f98b42 
0fa7a7c 0f9e448 0f9cebd 
0fa67d3 0f9d58b 0f9b91f 
0fa128f 0f982be 0f9634f 
0f9ef1d 0f95cda 0f942a6 
0fa2be9 0f995a1 0f9819b 
0fa7109 0f9dab0 0f9c564 
0fa5e3d 0f9cbc8 0f9af84 
0fa0961 0f9795e 0f95a06 
0f9e570 0f952f6 0f938d2 
0fa2212 0f98b97 0f977a6 
0fa67e5 0f9d15e 0f9bc24 
0fa54f1 0f9c256 0f9a645 
0fa000e 0f96fe6 0f950d5 
0f9dc18 0f9497e 0f92f9b 
0fa1811 0f98176 0f96db7 
0fa5d3f 0f9c69d 0f9b191 
0fa4acd 0f9b818 0f99c1e 
0f9f5b4 0f9656a 0f9465b 
0f9d1f7 0f93f39 0f9254e 
0fa0e50 0f97794 0f963dd 
0fa54ef 0f9be28 0f9a934 
0fa4375 0f9b0a4 0f994c3 
0f9ef95 0f95f34 0f9404f 
0f9cd48 0f93a75 0f920cd 
0fa0b44 0f97477 0f96105 
0fa52a8 0f9bbcc 0f9a709 
0fa414d 0f9ae5e 0f992a6 
0f9eed0 0f95e4d 0f93f89 
0f9cd53 0f93a5f 0f920c6 
0fa0c21 0f97525 0f961bf 
0fa54d0 0f9bdc8 0f9a912 
0fa456f 0f9b24f 0f996a9 
0f9f422 0f96373 0f944c6 
0f9d422 0f94101 0f92787 
0fa1445 0f97d29 0f969d6 
0fa5dc4 0f9c69e 0f9b1ec 
0fa4ea8 0f9bb7e 0f99fd7 
0f9fd30 0f96c83 0f94dd7 
0f9dca6 0f94991 0f93015 
0fa1bc6 0f984c7 0f97179 
0fa63f4 0f9ccf4 0f9b852 
0fa537d 0f9c065 0f9a4cd 
0fa00e7 0f97041 0f95192 
0f9df64 0f94c52 0f932c7 
0fa1e2c 0f98720 0f973b5 
0fa65f3 0f9ced7 0f9ba19 
0fa548a 0f9c162 0f9a5b0 
0fa00f4 0f9704a 0f95189 
0f9de8e 0f94b79 0f931ed 
0fa1c77 0f98564 0f97218 
0fa63ca 0f9cca4 0f9b805 
0fa52fe 0f9bfbf 0f9a42e 
0fa0009 0f96f45 0f950aa 
0f9de3f 0f94b15 0f931ad 
0fa1d1f 0f985fa 0f972c5 
0fa6558 0f9ce29 0f9b9a4 
0fa5495 0f9c153 0f9a5e3 
0fa01c6 0f97100 0f9528d 
0f9e03b 0f94d06 0f933c6 
0fa1f6b 0f98838 0f97526 
0fa6836 0f9d0f2 0f9bc94 
0fa58c8 0f9c56a 0f9aa23 
0fa0754 0f9765c 0f9581b 
0f9e7e1 0f95470 0f93b61 
0fa295a 0f991ee 0f97f18 
0fa74a6 0f9dd23 0f9c913 
0fa678b 0f9d3eb 0f9b8f9 
0fa192a 0f987e3 0f96a04 
0f9fd12 0f9694a 0f950b4 
0fa41f4 0f9aa2b 0f997d4 
0fa9090 0f9f8a9 0f9e50d 
0fa8718 0f9f309 0f9d88b 
0fa3c0c 0f9aa66 0f98cf1 
0fa22f3 0f98ed4 0f976af 
0fa6b10 0f9d2f5 0f9c107 
0fabc64 0fa2435 0fa1108 
0fab4c0 0fa206d 0fa0656 
0fa6af9 0f9d90e 0f9bbf5 
0fa51c5 0f9bd71 0f9a587 
0fa9739 0f9fef4 0f9ed1f 
0fae3d8 0fa4b98 0fa3845 
0fad619 0fa41d1 0fa276c 
0fa8499 0f9f2d1 0f9d54e 
0fa6339 0f9cf17 0f9b6b7 
0faa23b 0fa0a32 0f9f7ec 
0fae9e3 0fa51d0 0fa3e23 
0fad83f 0fa4422 0fa2979 
0fa8443 0f9f29e 0f9d4f3 
0fa6319 0f9cf08 0f9b699 
0faa289 0fa0a84 0f9f83e 
0faeb3a 0fa533e 0fa3f95 
0fadb43 0fa473f 0fa2c99 
0fa89f3 0f9f85c 0f9dab7 
0fa6b4f 0f9d750 0f9bee1 
0faacde 0fa14f4 0fa02a4 
0faf714 0fa5f38 0fa4b7e 
0fae856 0fa5472 0fa39c3 
0fa980f 0fa0699 0f9e8e4 
0fa79c9 0f9e5e3 0f9cd62 
0fabbcf 0fa2403 0fa1199 
0fb0711 0fa6f4c 0fa5b78 
0faf8b0 0fa64d9 0fa4a19 
0faa867 0fa1701 0f9f940 
0fa8a20 0f9f64b 0f9ddb8 
0facc32 0fa346d 0fa2205 
0fb1726 0fa7f64 0fa6ba6 
0fb0919 0fa753a 0fa5a98 
0fab972 0fa27ff 0fa0a51 
0fa9b39 0fa0761 0f9eede 
0fadbf6 0fa4436 0fa31d9 
0fb249b 0fa8ce9 0fa7917 
0fb1389 0fa7fce 0fa64f5 
0fabf17 0fa2dd4 0fa0fef 
0fa9bf7 0fa0854 0f9ef94 
0fad978 0fa41ec 0fa2f46 
0fb1e71 0fa86f5 0fa72e0 
0fb09ae 0fa7625 0fa5b0e 
0fab314 0fa21fc 0fa03dd 
0fa8edd 0f9fb60 0f9e274 
0facbb0 0fa3449 0fa217b 
0fb118c 0fa7a28 0fa6614 
0faff2e 0fa6bac 0fa50b7 
0faab18 0fa19f7 0f9fc15 
0fa8964 0f9f5d0 0f9dd21 
0fac830 0fa30a4 0fa1e0e 
0fb0f6d 0fa77e4 0fa63eb 
0fafd09 0fa696f 0fa4e8a 
0faa911 0fa17e0 0f9fa05 
0fa8759 0f9f3c0 0f9db21 
0fac702 0fa2f6c 0fa1d02 
0fb0feb 0fa784f 0fa648a 
0fb009f 0fa6ce9 0fa5249 
0fab0ba 0fa1f68 0fa01e5 
0fa93eb 0fa001a 0f9e7ed 
0fad9cb 0fa41f7 0fa2ffd 
0fb29f3 0fa91fa 0fa7eba 
0fb219c 0fa8d73 0fa736b 
0fad882 0fa46b8 0fa29da 
0fac340 0fa2ef1 0fa178b 
0fb1170 0fa790e 0fa6818 
0fb6cdd 0fad447 0fac24d 
0fb740e 0fadf20 0fac69f 
0fb3e38 0faab66 0fa905a 
0fb4013 0faaa81 0fa9539 
0fba789 0fb0dc4 0faff1d 
0fc1ac5 0fb80ba 0fb7110 
0fc3699 0fba042 0fb89e6 
0fc1099 0fb7c81 0fb6354 
0fc1d08 0fb8659 0fb7291 
0fc8a89 0fbefdd 0fbe260 
0fcff22 0fc647a 0fc5569 
0fd16a7 0fc7ff0 0fc6983 
0fce84c 0fc541f 0fc3adb 
0fcea99 0fc5409 0fc3ffe 
0fd4bde 0fcb17f 0fca386 
0fdb10c 0fd16f0 0fd0761 
0fdb7da 0fd21dd 0fd0aed 
0fd7834 0fce4af 0fcca99 
0fd6aee 0fcd50b 0fcc01c 
0fdbc3f 0fd2299 0fd13c1 
0fe10bb 0fd7754 0fd66ca 
0fe071f 0fd71e5 0fd59f8 
0fdb954 0fd26b0 0fd0b63 
0fd9d58 0fd0859 0fcf23d 
0fde1cf 0fd4904 0fd3911 
0fe2b62 0fd92c8 0fd8121 
0fe1654 0fd81e8 0fd68da 
0fdbdeb 0fd2c12 0fd0f9d 
0fd9880 0fd0437 0fcecf7 
0fdd411 0fd3bf0 0fd2ad7 
0fe14c3 0fd7cd2 0fd6a21 
0fdf8a1 0fd64d6 0fd4acb 
0fd97be 0fd067a 0fce90c 
0fd6975 0fcd5c2 0fcbd8d 
0fd9c67 0fd04ea 0fcf2e6 
0fdd5e0 0fd3e98 0fd2afd 
0fdb23d 0fd1f08 0fd042a 
0fd4bf2 0fcbb1a 0fc9cc2 
0fd1a5b 0fc8707 0fc6de7 
0fd4a98 0fcb362 0fca0b8 
0fd82c4 0fceba9 0fcd788 
0fd5f22 0fccc04 0fcb09a 
0fcf938 0fc6877 0fc49e3 
0fcc757 0fc3417 0fc1afd 
0fcf97a 0fc6247 0fc4f55 
0fd3407 0fc9cdc 0fc8875 
0fd1291 0fc7f64 0fc63c7 
0fcae1b 0fc1d5b 0fbfed1 
0fc7e3c 0fbeaff 0fbd1cc 
0fcb1e7 0fc1ab5 0fc07c6 
0fceee9 0fc57be 0fc4373 
0fcd0c2 0fc3d90 0fc2227 
0fc6f3b 0fbde73 0fbbff7 
0fc4176 0fbae21 0fb94f8 
0fc77b8 0fbe067 0fbcd76 
0fcb5e5 0fc1e9a 0fc0a3a 
0fc981e 0fc04c7 0fbe94b 
0fc3678 0fba586 0fb8708 
0fc0878 0fb750c 0fb5bf4 
0fc3d8e 0fba62b 0fb935e 
0fc7bf7 0fbe498 0fbd05e 
0fc5fad 0fbcc3c 0fbb0fc 
0fc0076 0fb6f59 0fb5122 
0fbd62d 0fb4287 0fb29b5 
0fc10bb 0fb7911 0fb6695 
0fc557f 0fbbdcc 0fbaa06 
0fc3f87 0fbabb6 0fb90f7 
0fbe73e 0fb55c0 0fb3802 
0fbc241 0fb2e3f 0fb15c8 
0fbff1c 0fb6728 0fb54e0 
0fc43ee 0fbac09 0fb9849 
0fc2bb0 0fb97c6 0fb7cdc 
0fbcdd6 0fb3c5e 0fb1e53 
0fba1a7 0fb0dc4 0faf4f1 
0fbd67a 0fb3eac 0fb2c00 
0fc1359 0fb7b96 0fb6776 
0fbf47f 0fb60b1 0fb457d 
0fb922f 0fb00c8 0fae287 
0fb62b7 0facee5 0fab5eb 
0fb9570 0fafdb3 0faeaf9 
0fbd186 0fb39c5 0fb259f 
0fbb29b 0fb1eca 0fb0385 
0fb4feb 0fabe83 0faa031 
0fb1faa 0fa8bd3 0fa72d3 
0fb5158 0fab995 0faa6bc 
0fb8b59 0faf39a 0fadf50 
0fb6b0f 0fad73c 0fabbdc 
0fb05e9 0fa7488 0fa561d 
0fad26c 0fa3ea7 0fa257e 
0fb011b 0fa6970 0fa565e 
0fb38ee 0faa147 0fa8cb0 
0fb1523 0fa8175 0fa65d4 
0faad45 0fa1c04 0f9fd54 
0fa75ec 0f9e246 0f9c8c6 
0faa0ce 0fa0940 0f9f5ea 
0fad598 0fa3e07 0fa295c 
0fab09d 0fa1cf2 0fa015b 
0fa4adf 0f9b988 0f99b14 
0fa1ad8 0f986f4 0f96dee 
0fa4e97 0f9b6a9 0f9a3ee 
0fa8cc5 0f9f4c0 0f9e0c5 
0fa722d 0f9ddf4 0f9c315 
0fa14e7 0f9830e 0f9653b 
0f9e972 0f95524 0f93c8f 
0fa1f7c 0f98742 0f974de 
0fa5f45 0f9c6ff 0f9b336 
0fa44bf 0f9b054 0f99583 
0f9e6fb 0f954f2 0f9371c 
0f9babb 0f92651 0f90dba 
0f9f073 0f95819 0f945c2 
0fa2fc3 0f99755 0f983b8 
0fa15ad 0f98110 0f96683 
0f9b905 0f926d1 0f9094a 
0f98f7d 0f8fadd 0f8e299 
0f9c798 0f92efb 0f91cf8 
0fa0986 0f970d3 0f95d93 
0f9f298 0f95dbd 0f94397 
0f998f6 0f9067d 0f8e955 
0f9717a 0f8dca1 0f8c4a9 
0f9aaf5 0f9122a 0f90063 
0f9ee35 0f95558 0f94241 
0f9d86d 0f9436f 0f92974 
0f98058 0f8edbb 0f8d0c9 
0f95ab1 0f8c5af 0f8adfe 
0f99797 0f8fea3 0f8ed36 
0f9de70 0f9456a 0f932be 
0f9cc0e 0f936d2 0f91d46 
0f9771d 0f8e431 0f8c7ad 
0f9549a 0f8bf3b 0f8a7f1 
0f99482 0f8fb29 0f8ea19 
0f9de66 0f944fc 0f93292 
0f9ce84 0f938ed 0f91f9c 
0f97ba7 0f8e877 0f8cc2f 
0f95b31 0f8c597 0f8ae8b 
0f99c9f 0f90311 0f8f233 
0f9e662 0f94cbe 0f93a97 
0f9d675 0f940ac 0f927a2 
0f98445 0f8f0ed 0f8d4dd 
0f96398 0f8cddb 0f8b708 
0f9a479 0f90ada 0f8fa3b 
0f9ee9c 0f954f6 0f942fc 
0f9dea3 0f948d5 0f92fe2 
0f98c46 0f8f8df 0f8dce9 
0f96c27 0f8d655 0f8bf8d 
0f9acb0 0f912f3 0f9024e 
0f9f686 0f95cc0 0f94ad3 
0f9e665 0f9507c 0f937a8 
0f9939e 0f9001a 0f8e44c 
0f97332 0f8dd4f 0f8c6b9 
0f9b3ec 0f91a1d 0f909ab 
0f9fe42 0f96467 0f9528d 
0f9ee46 0f9584e 0f93f80 
0f99b62 0f907ce 0f8ebfc 
0f97a44 0f8e447 0f8cdb3 
0f9ba67 0f92077 0f9100e 
0fa0369 0f96976 0f957b6 
0f9f2d0 0f95cc2 0f9440c 
0f99f89 0f90bea 0f8f02a 
0f97dfb 0f8e7f9 0f8d166 
0f9bd2a 0f92338 0f912cd 
0fa05df 0f96bec 0f95a1c 
0f9f4a7 0f95e8f 0f945cd 
0f99fca 0f90c14 0f8f049 
0f97d16 0f8e6f4 0f8d05f 
0f9bb8f 0f92187 0f91117 
0fa0339 0f9692c 0f95759 
0f9f0d8 0f95aa5 0f941d8 
0f99b73 0f907a7 0f8ebd6 
0f977f5 0f8e1bf 0f8cb25 
0f9b5db 0f91bbf 0f90b4b 
0f9fc66 0f9624a 0f95079 
0f9e8b7 0f9527f 0f939b8 
0f991d6 0f8fe08 0f8e247 
0f96d4a 0f8d71a 0f8c086 
0f9a97a 0f90f63 0f8fee6 
0f9eead 0f9548e 0f942a4 
0f9da9d 0f9445f 0f92b81 
0f983e2 0f8f001 0f8d425 
0f95f50 0f8c908 0f8b256 
0f99b56 0f90132 0f8f099 
0f9e02e 0f94603 0f93413 
0f9cb92 0f93543 0f91c68 
0f9744f 0f8e061 0f8c487 
0f94fab 0f8b94d 0f8a2b0 
0f98b9c 0f8f155 0f8e0e3 
0f9d112 0f936bb 0f924f4 
0f9bddd 0f9276a 0f90ec0 
0f967d7 0f8d3c9 0f8b81e 
0f943a6 0f8ad2c 0f896b0 
0f980f0 0f8e693 0f8d644 
0f9c75b 0f92cf8 0f91b65 
0f9b3ef 0f91d66 0f904e5 
0f95e0e 0f8c9e6 0f8ae61 
0f93a17 0f8a390 0f88d3c 
0f9769d 0f8dc31 0f8cc07 
0f9bd42 0f922cb 0f9114e 
0f9aa97 0f913fa 0f8fb9b 
0f95585 0f8c14c 0f8a600 
0f9325c 0f89bba 0f885a1 
0f97098 0f8d60c 0f8c612 
0f9b7f2 0f91d57 0f90c03 
0f9a579 0f90eb7 0f8f680 
0f950b8 0f8bc57 0f8a130 
0f92f1f 0f89856 0f8825b 
0f96ef0 0f8d43c 0f8c464 
0f9b830 0f91d6f 0f90c54 
0f9a849 0f9114e 0f8f950 
0f955b6 0f8c11a 0f8a61c 
0f93532 0f89e31 0f88868 
0f975f3 0f8db12 0f8cb75 
0f9c036 0f9254b 0f91460 
0f9b106 0f919e8 0f90228 
0f95f50 0f8ca90 0f8afda 
0f94089 0f8a965 0f893d5 
0f982c6 0f8e7bd 0f8d84e 
0f9cde8 0f932cd 0f9220a 
0f9c006 0f928b2 0f91119 
0f9706a 0f8db6f 0f8c0ec 
0f9530a 0f8bbac 0f8a660 
0f996a5 0f8fb6a 0f8ec3e 
0f9e3a4 0f94858 0f937d5 
0f9d7ba 0f9403d 0f928df 
0f98969 0f8f44b 0f8da03 
0f96d1b 0f8d59f 0f8c091 
0f9b216 0f916ac 0f907bb 
0fa00ba 0f96548 0f95501 
0f9f5d2 0f95e2e 0f94716 
0f9a88c 0f91346 0f8f943 
0f98d4f 0f8f5a9 0f8e0e6 
0f9d27e 0f936ed 0f92852 
0fa20fd 0f9855a 0f97567 
0fa161e 0f97e43 0f96777 
0f9c887 0f93300 0f9194d 
0f9ad1b 0f91530 0f900ae 
0f9f283 0f956c2 0f9485b 
0fa40d7 0f9a510 0f9954c 
0fa34d2 0f99ce1 0f98639 
0f9e638 0f950ae 0f93705 
0f9c8da 0f930f5 0f91c66 
0fa0bae 0f96ffb 0f96167 
0fa57e9 0f9bc3c 0f9ac35 
0fa4a73 0f9b29e 0f99baa 
0f9fa6f 0f96505 0f94b0d 
0f9dbab 0f943ef 0f92f1e 
0fa1d25 0f981a1 0f972d5 
0fa6738 0f9cbbd 0f9bb88 
0fa584c 0f9c0ad 0f9a990 
0fa06ee 0f971ad 0f9579f 
0f9e768 0f94fd1 0f93ae6 
0fa278e 0f98c31 0f97d4e 
0fa708a 0f9d530 0f9c4e6 
0fa60ad 0f9c91c 0f9b1fe 
0fa0e95 0f97955 0f95f43 
0f9eecf 0f95733 0f94243 
0fa2ee1 0f99381 0f98487 
0fa76b0 0f9db5a 0f9caf1 
0fa6549 0f9cdc2 0f9b68a 
0fa131c 0f97dd2 0f963c0 
0f9f3a2 0f95bf4 0f94708 
0fa3446 0f998d0 0f989e6 
0fa7db9 0f9e247 0f9d202 
0fa6dbe 0f9d616 0f9bf0f 
0fa1e14 0f988bd 0f96edd 
0fa000e 0f96863 0f9539a 
0fa4107 0f9a596 0f996c7 
0fa89ff 0f9ee95 0f9de69 
0fa79f1 0f9e248 0f9cb4d 
0fa2975 0f9940f 0f97a29 
0fa0c06 0f97446 0f95f76 
0fa4d50 0f9b1cf 0f9a2f1 
0fa9667 0f9fae7 0f9eaaf 
0fa87c2 0f9f009 0f9d912 
0fa3870 0f9a301 0f9894a 
0fa1c0e 0f9844b 0f96fc6 
0fa5f32 0f9c3b2 0f9b517 
0faaa36 0fa0ebc 0f9fea6 
0fa9d02 0fa0542 0f9ee6c 
0fa507a 0f9baf0 0f9a15a 
0fa36c4 0f99ee0 0f98a7b 
0fa7c17 0f9e07a 0f9d202 
0fac98a 0fa2dee 0fa1e11 
0fabef2 0fa270b 0fa107b 
0fa7440 0f9de98 0f9c547 
0fa5c0d 0f9c406 0f9afdd 
0faa28a 0fa06c9 0f9f891 
0faf136 0fa5573 0fa45cd 
0fae7af 0fa4f99 0fa3939 
0fa9ded 0fa0809 0f9eef9 
0fa8713 0f9eed5 0f9daf5 
0faceaa 0fa32b8 0fa24c1 
0fb1e27 0fa8240 0fa72cd 
0fb1445 0fa7c14 0fa65ea 
0facb5d 0fa355d 0fa1c6f 
0fab528 0fa1ccc 0fa0908 
0fafd6a 0fa6153 0fa5377 
0fb4ce5 0fab0d5 0faa189 
0fb43c7 0faab6c 0fa956f 
0fafb4f 0fa6527 0fa4c77 
0fae54e 0fa4cc5 0fa3949 
0fb2dea 0fa91a4 0fa8415 
0fb7e1f 0fae1e0 0fad2d7 
0fb76ae 0fade22 0fac85c 
0fb2f3e 0fa98db 0fa806a 
0fb1b4a 0fa8278 0fa6f2e 
0fb65cb 0fac944 0fabbd3 
0fbb73a 0fb1ac5 0fb0bdf 
0fbb055 0fb1799 0fb0204 
0fb699f 0fad316 0fabac7 
0fb5570 0fabc84 0faa95b 
0fba000 0fb036b 0faf620 
0fbf14d 0fb54c9 0fb4605 
0fbe8c2 0fb4ff9 0fb3a78 
0fba095 0fb0a14 0faf1c8 
0fb8ac3 0faf1e3 0fadebb 
0fbd28b 0fb35f8 0fb28a8 
0fc20fa 0fb8484 0fb75c5 
0fc16eb 0fb7e39 0fb68bd 
0fbcdb3 0fb373e 0fb1f01 
0fbb6b8 0fb1deb 0fb0ad1 
0fbfe5a 0fb61e5 0fb54a0 
0fc4c75 0fbb026 0fba161 
0fc41dc 0fba94e 0fb93bb 
0fbf7d3 0fb6178 0fb4928 
0fbe00d 0fb475d 0fb3429 
0fc25fb 0fb899c 0fb7c2a 
0fc71d2 0fbd593 0fbc69a 
0fc6528 0fbcc9f 0fbb6f2 
0fc1910 0fb82b6 0fb6a49 
0fc00c5 0fb6800 0fb54b8 
0fc4698 0fbaa3c 0fb9cc0 
0fc9227 0fbf5e5 0fbe6f6 
0fc854d 0fbecc1 0fbd72b 
0fc3a08 0fba3b3 0fb8b64 
0fc21e6 0fb892a 0fb7601 
0fc66ec 0fbca70 0fbbd1b 
0fcb2ca 0fc1676 0fc0799 
0fca62c 0fc0d9c 0fbf802 
0fc5a93 0fbc429 0fbabd8 
0fc431a 0fbaa45 0fb9719 
0fc88d1 0fbec59 0fbdeff 
0fcd437 0fc37dd 0fc2906 
0fcc780 0fc2edf 0fc1958 
0fc7c10 0fbe59a 0fbcd59 
0fc63b9 0fbcad7 0fbb7c0 
0fca970 0fc0ce1 0fbff9a 
0fcf4d6 0fc5867 0fc4991 
0fce796 0fc4eef 0fc3954 
0fc9b75 0fc0504 0fbecac 
0fc82ef 0fbea23 0fbd6f0 
0fcc87b 0fc2bff 0fc1e92 
0fd1316 0fc76b9 0fc6790 
0fd04e5 0fc6c53 0fc566b 
0fcb7db 0fc217f 0fc090f 
0fc9df5 0fc052d 0fbf1e8 
0fce2a9 0fc4641 0fc38ac 
0fd2bfe 0fc8fc3 0fc80a0 
0fd1c20 0fc83ac 0fc6dbd 
0fccd9e 0fc375d 0fc1ee4 
0fcb33e 0fc1a9d 0fc0759 
0fcf656 0fc5a0a 0fc4c85 
0fd3e41 0fca219 0fc930d 
0fd2dd8 0fc9563 0fc7f7c 
0fcdf50 0fc490a 0fc307e 
0fcc431 0fc2b90 0fc1847 
0fd071c 0fc6ad5 0fc5d48 
0fd4ee5 0fcb2c8 0fca3b1 
0fd3d37 0fca4d6 0fc8ef1 
0fcee0e 0fc57ca 0fc3f34 
0fcd2d0 0fc3a25 0fc26d5 
0fd1568 0fc791b 0fc6b76 
0fd5d7a 0fcc15e 0fcb250 
0fd4c56 0fcb3ef 0fc9e12 
0fcfcab 0fc6660 0fc4dc1 
0fce144 0fc489b 0fc3552 
0fd23ac 0fc875d 0fc79de 
0fd6a69 0fcce45 0fcbf46 
0fd5864 0fcc00a 0fcaa3b 
0fd0859 0fc7227 0fc599a 
0fceca6 0fc5406 0fc40c6 
0fd2f73 0fc9332 0fc85ab 
0fd7679 0fcda64 0fccb66 
0fd6494 0fccc37 0fcb66c 
0fd1495 0fc7e5c 0fc65bb 
0fcf80c 0fc5f71 0fc4c0e 
0fd39a9 0fc9d5f 0fc8fbc 
0fd7f0c 0fce2f6 0fcd3e7 
0fd6b3c 0fcd2ed 0fcbd1c 
0fd1986 0fc835b 0fc6ab2 
0fcfc19 0fc6395 0fc5034 
0fd3c38 0fca012 0fc926b 
0fd80d5 0fce4da 0fcd5bb 
0fd6d15 0fcd4e2 0fcbef3 
