0fc52c0 0fbae85 0fd7b6f 
0fc44c9 0fba9b3 0fca84f 
0fc254a 0fb8512 0fcd60d 
0fc673e 0fbc1d1 0fd8671 
0fcb254 0fc0ea8 0fdb498 
0fca0f8 0fc03b5 0fd34f3 
0fc4c8b 0fbb191 0fcae78 
0fc2cc0 0fb8cb5 0fcd94f 
0fc6efb 0fbc9bb 0fd87a9 
0fcba0f 0fc167b 0fdb664 
0fca873 0fc0b3c 0fd3836 
0fc54a6 0fbb9b7 0fcb3eb 
0fc35e1 0fb95ed 0fcdb62 
0fc78ce 0fbd3a7 0fd893a 
0fcc534 0fc21ca 0fdb82b 
0fcb4a3 0fc17b4 0fd3d44 
0fc60b0 0fbc628 0fcbc47 
0fc412e 0fba1a2 0fcdae8 
0fc8460 0fbdf9c 0fd8831 
0fcd189 0fc2e6d 0fdb901 
0fcc11e 0fc246c 0fd425f 
0fc6c97 0fbd241 0fcc562 
0fc4caa 0fbad3d 0fcdb5b 
0fc8f96 0fbead8 0fd86cb 
0fcdcd3 0fc39bd 0fdb9d4 
0fcccf4 0fc3058 0fd47b3 
0fc7884 0fbde3d 0fccfb4 
0fc5898 0fbb937 0fcde02 
0fc9cb5 0fbf80b 0fd879a 
0fcead5 0fc47e4 0fdbe4d 
0fcdad9 0fc3e6f 0fd50a9 
0fc8635 0fbec2c 0fcdc97 
0fc65d8 0fbc6a7 0fce2e5 
0fca93a 0fc04ad 0fd867f 
0fcf71e 0fc542e 0fdbd7f 
0fce693 0fc4a18 0fd55da 
0fc9108 0fbf6e0 0fce649 
0fc7030 0fbd0d8 0fce44c 
0fcb3bf 0fc0f0a 0fd83b0 
0fd01cf 0fc5eca 0fdbe2a 
0fcf131 0fc54bc 0fd5c63 
0fc9b1e 0fc0115 0fcf022 
0fc79b1 0fbda7a 0fce8c1 
0fcbd47 0fc18a6 0fd85a8 
0fd0c31 0fc692d 0fdc31e 
0fcfbb5 0fc5f49 0fd648e 
0fca591 0fc0b9a 0fcfa6e 
0fc843b 0fbe519 0fcef4e 
0fcc888 0fc23fd 0fd875c 
0fd17da 0fc74eb 0fdc62a 
0fd07f9 0fc6b92 0fd6d1b 
0fcb1c9 0fc17cb 0fd0664 
0fc905b 0fbf138 0fcf526 
0fcd4bc 0fc3036 0fd85e7 
0fd254e 0fc8265 0fdc9b2 
0fd165e 0fc79eb 0fd7860 
0fcc13c 0fc2737 0fd15d8 
0fca0e3 0fc01c7 0fd014e 
0fce672 0fc41f3 0fd8a04 
0fd37e3 0fc94fc 0fdd10e 
0fd2a48 0fc8dd2 0fd88e2 
0fcd613 0fc3c03 0fd2a85 
0fcb60f 0fc16eb 0fd10f5 
0fcfc17 0fc579c 0fd8d2d 
0fd4dff 0fcab2b 0fdd928 
0fd4097 0fca439 0fd9b68 
0fcebdf 0fc51ec 0fd4055 
0fccb72 0fc2c6c 0fd218e 
0fd11b4 0fc6d4a 0fd8b5f 
0fd639b 0fcc0d2 0fddd1a 
0fd55ad 0fcb964 0fdad06 
0fcff94 0fc65b3 0fd5416 
0fcdd81 0fc3e88 0fd319a 
0fd226f 0fc7e09 0fd8b57 
0fd73e4 0fcd11a 0fde074 
0fd6532 0fcc8dd 0fdbad2 
0fd0ee3 0fc74e8 0fd62f7 
0fcec02 0fc4cf1 0fd3e31 
0fd30c4 0fc8c48 0fd90cd 
0fd822a 0fcdf4b 0fde662 
0fd7300 0fcd69f 0fdc7e3 
0fd1b35 0fc8142 0fd6f6b 
0fcf75a 0fc585e 0fd4945 
0fd3bee 0fc978d 0fd9692 
0fd8cc9 0fce9f4 0fdea67 
0fd7c8a 0fce031 0fdd0ba 
0fd2374 0fc8980 0fd7799 
0fcfda4 0fc5ea4 0fd4f11 
0fd40a2 0fc9c42 0fd9634 
0fd90d8 0fcee0c 0fde82e 
0fd803a 0fce3e9 0fdd3c4 
0fd2749 0fc8d5e 0fd7b56 
0fd028a 0fc6391 0fd53b8 
0fd45e6 0fca18c 0fd9962 
0fd9561 0fcf293 0fdea50 
0fd8423 0fce7bf 0fdd768 
0fd2974 0fc8f6d 0fd7d54 
0fd01b5 0fc62a4 0fd52ca 
0fd41ed 0fc9d7d 0fd93e2 
0fd8f43 0fcec5f 0fde2db 
0fd7cc8 0fce052 0fdd016 
0fd2063 0fc8662 0fd7486 
0fcf728 0fc582c 0fd48ae 
0fd3768 0fc9305 0fd8d8f 
0fd8565 0fce286 0fddde4 
0fd722d 0fcd5b3 0fdc5d5 
0fd1562 0fc7b54 0fd698d 
0fcec15 0fc4d18 0fd3dcc 
0fd2b9d 0fc8746 0fd843c 
0fd7987 0fcd6a9 0fdd559 
0fd6759 0fccadb 0fdbb2d 
0fd0b45 0fc7139 0fd5f60 
0fce236 0fc4332 0fd3451 
0fd220a 0fc7da5 0fd7eb6 
0fd6fa2 0fcccb8 0fdd170 
0fd5d12 0fcc080 0fdb194 
0fd006f 0fc6658 0fd54a5 
0fcd66d 0fc3764 0fd2928 
0fd1582 0fc711b 0fd784c 
0fd6315 0fcc02b 0fdcbd0 
0fd5071 0fcb3ec 0fda5bd 
0fcf412 0fc5a17 0fd4870 
0fcca20 0fc2b37 0fd1dda 
0fd09eb 0fc659a 0fd772a 
0fd589d 0fcb5bd 0fdcc55 
0fd46e3 0fcaa5f 0fd9da5 
0fcea42 0fc503a 0fd3e72 
0fcc022 0fc212a 0fd1488 
0fd0055 0fc5be3 0fd741f 
0fd4fb1 0fcaca6 0fdc908 
0fd3ea9 0fca1fb 0fd962e 
0fce2e9 0fc48c5 0fd36f8 
0fcb9a5 0fc1a93 0fd0ebb 
0fcfae4 0fc5661 0fd747b 
0fd4b58 0fca83e 0fdc92e 
0fd3b32 0fc9e7e 0fd933c 
0fcdf6d 0fc4543 0fd3350 
0fcb630 0fc1724 0fd0bf1 
0fcf701 0fc5285 0fd7545 
0fd4890 0fca578 0fdc959 
0fd38bc 0fc9c11 0fd9166 
0fcdd2a 0fc430e 0fd3162 
0fcb433 0fc1531 0fd0ac9 
0fcf4f1 0fc5076 0fd7655 
0fd45b7 0fca296 0fdc9c9 
0fd3623 0fc995a 0fd8fb0 
0fcdb0b 0fc40da 0fd2f4d 
0fcb1a4 0fc128c 0fd086a 
0fcf229 0fc4d97 0fd7590 
0fd430f 0fc9fd5 0fdc98e 
0fd33d0 0fc96ff 0fd8dd6 
0fcd8c2 0fc3e8d 0fd2cde 
0fcaebf 0fc0fb2 0fd0685 
0fceee0 0fc4a62 0fd77d4 
0fd3fe9 0fc9cc2 0fdcad1 
0fd3133 0fc9468 0fd8c27 
0fcd663 0fc3c3b 0fd2a84 
0fcaccd 0fc0dc9 0fd04ec 
0fcec5e 0fc47e8 0fd7732 
0fd3d45 0fc9a1d 0fdca0c 
0fd2f32 0fc926d 0fd8b03 
0fcd4a3 0fc3a7f 0fd2915 
0fcab1f 0fc0c28 0fd0420 
0fceb85 0fc4713 0fd7926 
0fd3d22 0fc99ed 0fdcbea 
0fd2f90 0fc92ad 0fd8b95 
0fcd552 0fc3b0c 0fd2997 
0fcab22 0fc0c03 0fd03a8 
0fceb6e 0fc46d2 0fd7795 
0fd3d3a 0fc99de 0fdcb8f 
0fd2fc1 0fc92bd 0fd8bff 
0fcd541 0fc3ae6 0fd29a4 
0fcaae4 0fc0bc4 0fd0457 
0fceb33 0fc469c 0fd7b3f 
0fd3d84 0fc9a2d 0fdcf24 
0fd3014 0fc9321 0fd8d3c 
0fcd540 0fc3aff 0fd29f7 
0fcaaf3 0fc0be6 0fd0547 
0fceb9b 0fc46ff 0fd7ee3 
0fd3e57 0fc9ae8 0fdd20c 
0fd319e 0fc948a 0fd8f34 
0fcd6c4 0fc3c5f 0fd2b8a 
0fcabf2 0fc0cbe 0fd061a 
0fcec83 0fc47ce 0fd7e1f 
0fd3f98 0fc9c22 0fdd207 
0fd3334 0fc9628 0fd90a5 
0fcd860 0fc3e09 0fd2d2b 
0fcaddd 0fc0eb0 0fd06ee 
0fcee02 0fc4948 0fd7c11 
0fd4085 0fc9d0d 0fdd126 
0fd33bb 0fc96b7 0fd90d7 
0fcd999 0fc3f4d 0fd2e8b 
0fcaec7 0fc0fa5 0fd0876 
0fceeb4 0fc4a14 0fd7ebc 
0fd4198 0fc9e31 0fdd38f 
0fd34d6 0fc97ca 0fd9247 
0fcd9be 0fc3f6a 0fd2ead 
0fcaea5 0fc0f8a 0fd07fa 
0fceeff 0fc4a51 0fd7d75 
0fd423e 0fc9ebd 0fdd389 
0fd35b7 0fc989a 0fd9324 
0fcdb65 0fc40fd 0fd306a 
0fcafd7 0fc10a6 0fd099a 
0fcef03 0fc4a4b 0fd7f82 
0fd41a4 0fc9e20 0fdd3a8 
0fd351a 0fc97eb 0fd925a 
0fcda9f 0fc4029 0fd2f6b 
0fcaf3e 0fc1006 0fd0862 
0fceebc 0fc49f9 0fd7cca 
0fd417d 0fc9dd7 0fdd232 
0fd35b4 0fc9858 0fd929e 
0fcdbc6 0fc4122 0fd3068 
0fcb029 0fc10cc 0fd091e 
0fcef0b 0fc4a2d 0fd7cc7 
0fd4246 0fc9e90 0fdd318 
0fd3742 0fc99f0 0fd948e 
0fcdd8e 0fc4306 0fd3289 
0fcb27e 0fc1344 0fd0b8d 
0fcf1fb 0fc4d36 0fd7efb 
0fd4577 0fca1c4 0fdd584 
0fd3a80 0fc9d24 0fd9773 
0fce02d 0fc4598 0fd34f2 
0fcb45f 0fc151d 0fd0ca5 
0fcf420 0fc4f55 0fd7d9d 
0fd484d 0fca4aa 0fdd4cf 
0fd3d87 0fca041 0fd9960 
0fce3c5 0fc4947 0fd3865 
0fcb7ac 0fc187c 0fd0eaf 
0fcf6e5 0fc5223 0fd7a73 
0fd4ada 0fca731 0fdd3e1 
0fd4012 0fca2bd 0fd9b0a 
0fce5bc 0fc4b37 0fd3a31 
0fcb957 0fc1a2c 0fd1016 
0fcf88e 0fc53cd 0fd7aba 
0fd4c92 0fca8e2 0fdd430 
0fd4184 0fca430 0fd9c5f 
0fce6d4 0fc4c51 0fd3b85 
0fcba66 0fc1b3c 0fd1128 
0fcf988 0fc54c7 0fd7b54 
0fd4d8d 0fca9e0 0fdd50f 
0fd4294 0fca549 0fd9d89 
0fce7ac 0fc4d36 0fd3c70 
0fcba8b 0fc1b66 0fd111e 
0fcf94f 0fc5485 0fd796e 
0fd4d76 0fca9ba 0fdd31e 
0fd424f 0fca4f1 0fd9c94 
0fce7c1 0fc4d47 0fd3c45 
0fcba5c 0fc1b42 0fd1097 
0fcf89a 0fc53f0 0fd77f1 
0fd4be9 0fca852 0fdd1eb 
0fd40b1 0fca370 0fd9b4d 
0fce5d0 0fc4b63 0fd3a57 
0fcb772 0fc1861 0fd0df6 
0fcf455 0fc4fa0 0fd7692 
0fd471d 0fca36b 0fdd0a0 
0fd3ca9 0fc9f49 0fd981b 
0fce181 0fc4710 0fd3625 
0fcb29b 0fc1395 0fd0a65 
0fcef8a 0fc4af6 0fd7796 
0fd428e 0fc9f03 0fdcfaf 
0fd3820 0fc9ae4 0fd9452 
0fcdde8 0fc4389 0fd328d 
0fcafc5 0fc10d2 0fd079a 
0fced0c 0fc487d 0fd7618 
0fd4104 0fc9d74 0fdcf00 
0fd375e 0fc9a2b 0fd93bb 
0fcdd04 0fc42bd 0fd318e 
0fcaf12 0fc1034 0fd0693 
0fced33 0fc48b5 0fd74d7 
0fd41ba 0fc9e34 0fdcee2 
0fd379f 0fc9a75 0fd9394 
0fcdd3d 0fc4303 0fd318f 
0fcaff8 0fc1128 0fd07c3 
0fcedf3 0fc4990 0fd77f0 
0fd4307 0fc9f99 0fdd27f 
0fd3a15 0fc9cf5 0fd96b1 
0fce01c 0fc45e6 0fd34a9 
0fcb23c 0fc136f 0fd09dc 
0fcf09b 0fc4c1f 0fd786d 
0fd4657 0fca2cb 0fdd402 
0fd3ef1 0fca1c0 0fd9b56 
0fce64b 0fc4c13 0fd3ad3 
0fcb92f 0fc1a68 0fd1062 
0fcf8cd 0fc5452 0fd7d3c 
0fd4f3b 0fcabb2 0fdd877 
0fd4736 0fcaa0c 0fda220 
0fcedce 0fc5394 0fd420f 
0fcc050 0fc2181 0fd15ae 
0fcff7b 0fc5b0b 0fd7a17 
0fd54fe 0fcb181 0fdd701 
0fd4ce6 0fcafbe 0fda680 
0fcf387 0fc594e 0fd47d3 
0fcc521 0fc264c 0fd19c6 
0fd02db 0fc5e5b 0fd78ed 
0fd57e6 0fcb458 0fdd684 
0fd4f2f 0fcb1f5 0fda81a 
0fcf563 0fc5b26 0fd49b6 
0fcc695 0fc27ce 0fd1b6d 
0fd0379 0fc5f07 0fd7a72 
0fd582c 0fcb4a9 0fdd7ae 
0fd4fc0 0fcb290 0fda903 
0fcf598 0fc5b5c 0fd4a2c 
0fcc664 0fc279c 0fd1b22 
0fd037b 0fc5f08 0fd781a 
0fd57c8 0fcb42f 0fdd5d7 
0fd4f6d 0fcb21f 0fda879 
0fcf5e7 0fc5b93 0fd4a2c 
0fcc734 0fc2853 0fd1b73 
0fd03ae 0fc5f20 0fd769a 
0fd5847 0fcb496 0fdd4b1 
0fd50f0 0fcb390 0fda963 
0fcf7d7 0fc5d6c 0fd4beb 
0fcc8f7 0fc2a0f 0fd1d2d 
0fd0601 0fc6172 0fd7997 
0fd5b9b 0fcb7f0 0fdd88b 
0fd53f1 0fcb69b 0fdac98 
0fcfaf6 0fc60a5 0fd4f50 
0fccbc5 0fc2cee 0fd1fdb 
0fd0880 0fc63f7 0fd7937 
0fd5dd8 0fcba27 0fdd7c6 
0fd5699 0fcb943 0fdaea8 
0fcfd39 0fc62ea 0fd5191 
0fccddc 0fc2f0a 0fd218b 
0fd0a15 0fc658c 0fd76f7 
0fd5fb6 0fcbbfe 0fdd658 
0fd5874 0fcbb14 0fdafc1 
0fcfed9 0fc6487 0fd52d8 
0fccecf 0fc2ffa 0fd2211 
0fd0b9b 0fc6706 0fd7764 
0fd61c5 0fcbe0b 0fdd793 
0fd5b57 0fcbdf8 0fdb28a 
0fd023f 0fc67f9 0fd563c 
0fcd1d0 0fc3316 0fd24fd 
0fd0d9d 0fc692d 0fd770d 
0fd6288 0fcbee4 0fdd659 
0fd5b37 0fcbde9 0fdb256 
0fd0170 0fc673d 0fd55a1 
0fcd0c0 0fc321c 0fd2406 
0fd0bd1 0fc6778 0fd75d3 
0fd6082 0fcbcf2 0fdd5a2 
0fd5902 0fcbbba 0fdb08f 
0fcfe46 0fc640e 0fd52ac 
0fccc7b 0fc2dc8 0fd1ffd 
0fd075a 0fc62ef 0fd72e6 
0fd5b8e 0fcb7e1 0fdd26c 
0fd5454 0fcb6f4 0fdac00 
0fcfa03 0fc5fc7 0fd4e3a 
0fcc828 0fc297d 0fd1ba2 
0fd02fc 0fc5e97 0fd6fb1 
0fd57dd 0fcb435 0fdcfd9 
0fd50e5 0fcb38a 0fda8da 
0fcf6bd 0fc5c85 0fd4ae4 
0fcc49f 0fc2608 0fd187a 
0fcfeff 0fc5aac 0fd6fde 
0fd53a4 0fcb013 0fdd06b 
0fd4d3b 0fcaffc 0fda63f 
0fcf317 0fc58fc 0fd476e 
0fcc109 0fc227f 0fd1574 
0fcfb78 0fc5737 0fd6ff9 
0fd5067 0fcacde 0fdcfb7 
0fd49b5 0fcac68 0fda305 
0fcf05c 0fc561f 0fd447d 
0fcbe49 0fc1fa9 0fd12a0 
0fcf7df 0fc538b 0fd6d39 
0fd4c6b 0fca8d0 0fdccf0 
0fd4618 0fca8c7 0fd9f91 
0fcec07 0fc51e5 0fd4023 
0fcb955 0fc1ad7 0fd0e0e 
0fcf378 0fc4f38 0fd6bd9 
0fd4877 0fca4e1 0fdcc1f 
0fd429e 0fca552 0fd9cde 
0fce8e9 0fc4ece 0fd3d03 
0fcb63e 0fc17c3 0fd0b53 
0fcf02d 0fc4bf8 0fd6c21 
0fd4536 0fca1b3 0fdccb9 
0fd3f3e 0fca201 0fd9a80 
0fce4fe 0fc4ae9 0fd394b 
0fcb24f 0fc13d1 0fd07df 
0fcebf5 0fc47ac 0fd6a73 
0fd4151 0fc9db2 0fdcaf9 
0fd3b7a 0fc9e1e 0fd9751 
0fce16b 0fc4744 0fd3599 
0fcae4d 0fc0fc8 0fd0437 
0fce790 0fc4346 0fd6931 
0fd3c70 0fc98c3 0fdc91e 
0fd3683 0fc991b 0fd931b 
0fcdc6e 0fc4247 0fd308b 
0fca87d 0fc0a05 0fcff31 
0fce0da 0fc3c9e 0fd683c 
0fd360f 0fc9270 0fdc87e 
0fd3071 0fc9313 0fd8ec5 
0fcd514 0fc3af0 0fd2948 
0fca00b 0fc018b 0fcf836 
0fcd82b 0fc33d4 0fd6885 
0fd2d79 0fc89b2 0fdc8c9 
0fd2878 0fc8af5 0fd8981 
0fcce6b 0fc3437 0fd22cf 
0fc9a7e 0fbfbf7 0fcf400 
0fcd2a7 0fc2e51 0fd687a 
0fd2732 0fc8368 0fdc76a 
0fd21a1 0fc8413 0fd8470 
0fcc6e0 0fc2c9a 0fd1b6f 
0fc91b1 0fbf320 0fcecda 
0fcc87f 0fc2422 0fd66aa 
0fd1c2b 0fc7862 0fdc4b0 
0fd1601 0fc7878 0fd7c34 
0fcba0d 0fc1fd8 0fd0ee1 
0fc8345 0fbe4c5 0fce242 
0fcb8ee 0fc149b 0fd65ba 
0fd0c2c 0fc6841 0fdc274 
0fd0613 0fc6867 0fd71f6 
0fcaac9 0fc106e 0fcffd5 
0fc74f9 0fbd663 0fcd971 
0fcab4e 0fc06ed 0fd68d3 
0fcff72 0fc5b7c 0fdc33b 
0fcf974 0fc5bc0 0fd6ad9 
0fc9d3c 0fc02f5 0fcf2c6 
0fc66ff 0fbc86b 0fcd150 
0fc9e78 0fbfa05 0fd6a96 
0fcf4c1 0fc50d1 0fdc481 
0fcf16f 0fc53c6 0fd6827 
0fc9822 0fbfdd5 0fcedf8 
0fc6381 0fbc4f8 0fccf3e 
0fc9b85 0fbf722 0fd6b4f 
0fcf23b 0fc4e52 0fdc556 
0fcef9b 0fc51f2 0fd6846 
0fc96f0 0fbfc93 0fcece8 
0fc6202 0fbc363 0fccf0d 
0fc999a 0fbf51b 0fd6c95 
0fcf056 0fc4c51 0fdc6e7 
0fcedc1 0fc4fff 0fd67d8 
0fc94ed 0fbfa87 0fceb03 
0fc606b 0fbc1c4 0fcce1d 
0fc9859 0fbf3d4 0fd6ce0 
0fcef92 0fc4b7e 0fdc75e 
0fced7e 0fc4fb2 0fd6876 
0fc94a3 0fbfa3b 0fcead8 
0fc5f87 0fbc0e8 0fcce04 
0fc973d 0fbf2bf 0fd6d0c 
0fcee91 0fc4a85 0fdc86f 
0fcecc8 0fc4f09 0fd692c 
0fc93ce 0fbf97c 0fcea38 
0fc5eb0 0fbc027 0fcce8f 
0fc968b 0fbf219 0fd6f67 
0fcedf3 0fc49e6 0fdca18 
0fcebf4 0fc4e27 0fd6950 
0fc92d0 0fbf86c 0fce982 
0fc5d92 0fbbef8 0fccdeb 
0fc9516 0fbf09c 0fd6e45 
0fcec62 0fc484b 0fdc853 
0fcea76 0fc4c9f 0fd67e5 
0fc91c9 0fbf74d 0fce847 
0fc5c0c 0fbbd5f 0fccc79 
0fc9312 0fbee8a 0fd6d4d 
0fceacb 0fc46af 0fdc7a2 
0fce97e 0fc4ba6 0fd6745 
0fc906e 0fbf606 0fce6fa 
0fc5a85 0fbbbf3 0fcca83 
0fc90fe 0fbec88 0fd6aa5 
0fce766 0fc4348 0fdc64b 
0fce61a 0fc4837 0fd65dd 
0fc8df4 0fbf382 0fce4bd 
0fc5802 0fbb96b 0fcc9bd 
0fc8e5e 0fbe9e9 0fd6ba1 
0fce579 0fc4160 0fdc721 
0fce455 0fc4670 0fd65a0 
0fc8bc2 0fbf14a 0fce2c7 
0fc5585 0fbb6e8 0fcc7e6 
0fc8b80 0fbe703 0fd6a95 
0fce2d9 0fc3eb9 0fdc66d 
0fce207 0fc4428 0fd63fd 
0fc8966 0fbef02 0fce07e 
0fc52c1 0fbb438 0fcc646 
0fc88e3 0fbe46e 0fd6abf 
0fce113 0fc3cea 0fdc67b 
0fce0bd 0fc42d3 0fd642a 
0fc884f 0fbeddc 0fcdf82 
0fc513d 0fbb2b0 0fcc4a4 
0fc874a 0fbe2d2 0fd68bb 
0fcdf02 0fc3ae5 0fdc5ed 
0fcdeca 0fc40f6 0fd6382 
0fc8644 0fbebf9 0fcddd3 
0fc4ef2 0fbb089 0fcc43e 
0fc8494 0fbe03b 0fd69db 
0fcdc43 0fc3833 0fdc674 
0fcdc55 0fc3e84 0fd626d 
0fc83c6 0fbe97c 0fcdb57 
0fc4cbd 0fbae5d 0fcc2ec 
0fc8282 0fbde2f 0fd69be 
0fcda45 0fc363a 0fdc5e8 
0fcda31 0fc3c62 0fd61a5 
0fc81ed 0fbe79f 0fcd996 
0fc4a42 0fbabda 0fcc098 
0fc7f7b 0fbdb1e 0fd679c 
0fcd767 0fc3351 0fdc581 
0fcd77f 0fc39ac 0fd6099 
0fc7eec 0fbe4ab 0fcd6df 
0fc475c 0fba90c 0fcbef0 
0fc7c41 0fbd803 0fd66c8 
0fcd3f6 0fc2ff0 0fdc4bf 
0fcd479 0fc36b0 0fd5ef9 
0fc7bed 0fbe1b5 0fcd420 
0fc4381 0fba536 0fcbd36 
0fc78f3 0fbd4b6 0fd67a6 
0fcd0cb 0fc2cce 0fdc549 
0fcd1d8 0fc3412 0fd5e52 
0fc797b 0fbdf44 0fcd219 
0fc4258 0fba417 0fcbdb3 
0fc777b 0fbd344 0fd686e 
0fccf03 0fc2afe 0fdc56e 
0fccfcf 0fc3200 0fd5ecf 
0fc788b 0fbde4e 0fcd199 
0fc40cd 0fba28d 0fcbde0 
0fc759b 0fbd16d 0fd695c 
0fccd69 0fc296f 0fdc5e0 
0fccebe 0fc30ef 0fd5eed 
0fc7779 0fbdd3e 0fcd0c1 
0fc3f81 0fba13f 0fcbccd 
0fc73c5 0fbcf88 0fd6881 
0fccbb8 0fc2795 0fdc5a5 
0fccdac 0fc2fb5 0fd5e38 
0fc75b5 0fbdb63 0fccee3 
0fc3d04 0fb9eb2 0fcba6a 
0fc717d 0fbcd2a 0fd6639 
0fcc9a5 0fc2576 0fdc4cb 
0fccb77 0fc2d7d 0fd5d26 
0fc7324 0fbd8cf 0fccc98 
0fc39de 0fb9b92 0fcb791 
0fc6e05 0fbc9b2 0fd639a 
0fcc6d6 0fc229d 0fdc28e 
0fcc8be 0fc2ab4 0fd5ba4 
0fc7006 0fbd5a3 0fcc9ec 
0fc36b2 0fb984d 0fcb648 
0fc6a98 0fbc63c 0fd6457 
0fcc2f4 0fc1ebb 0fdc40d 
0fcc4d0 0fc26d4 0fd5b8a 
0fc6c6d 0fbd216 0fcc76a 
0fc32ab 0fb9455 0fcb5d6 
0fc65f9 0fbc1a3 0fd65f5 
0fcbdc1 0fc198a 0fdc45b 
0fcbf50 0fc2142 0fd59bb 
0fc66dc 0fbcc7f 0fcc2f0 
0fc2cc2 0fb8e6e 0fcb397 
0fc5fad 0fbbb56 0fd6580 
0fcb788 0fc1351 0fdc458 
0fcba30 0fc1c32 0fd58b5 
0fc6262 0fbc81f 0fcbfc2 
0fc2800 0fb89d1 0fcb1d7 
0fc5a72 0fbb63a 0fd64f6 
0fcb29f 0fc0e76 0fdc352 
0fcb56b 0fc1772 0fd5720 
0fc5daa 0fbc362 0fcbc28 
0fc2317 0fb84f0 0fcafed 
0fc5511 0fbb0e8 0fd63d6 
0fcacee 0fc08c8 0fdc23b 
0fcafde 0fc11dd 0fd5525 
0fc5809 0fbbdb9 0fcb7cf 
0fc1d1f 0fb7eed 0fcad3d 
0fc4f3d 0fbab0e 0fd626d 
0fca6ec 0fc02c3 0fdc0d9 
0fcaa07 0fc0c05 0fd5322 
0fc531b 0fbb8d1 0fcb4ad 
0fc1897 0fb7a71 0fcac8a 
0fc4a5e 0fba638 0fd619e 
0fca287 0fbfe5e 0fdbfbf 
0fca62e 0fc082b 0fd521d 
0fc4ea5 0fbb45d 0fcb1af 
0fc13b6 0fb759d 0fcaa57 
0fc455d 0fba13a 0fd612c 
0fc9d8e 0fbf96d 0fdc070 
0fca15e 0fc036e 0fd5297 
0fc49e1 0fbafaf 0fcafdf 
0fc0e78 0fb7065 0fca9ae 
0fc40c1 0fb9ca7 0fd6139 
0fc99d2 0fbf5b8 0fdc106 
0fc9e2a 0fc0034 0fd527c 
0fc46d9 0fbaca4 0fcaea2 
0fc0b5e 0fb6d53 0fca9b0 
