0fb658b 0007a47 0fa9613 
0fb6c0e 0005245 0fa9bc4 
0fb1f71 0026d7b 0fa5b79 
0fbb80e 0ffd20e 0fafd79 
0fc5f8d 0fda544 0fba067 
0fc2f6c 0fdbe10 0fb62db 
0fb67d2 0006126 0fa977c 
0fb19bb 0027aa5 0fa55be 
0fbb0ca 0ffee51 0faf633 
0fc58db 0fda7a7 0fb99c3 
0fc2a7b 0fdc102 0fb5dfd 
0fb62d4 000749d 0fa9274 
0fb13b8 0028878 0fa4f9d 
0fbaafa 0000b43 0faf048 
0fc53dc 0fdab6d 0fb94af 
0fc26b4 0fdc38d 0fb5a31 
0fb5f40 0008341 0fa8ed0 
0fb0ebb 0029323 0fa4a82 
0fba468 00023bb 0fae9b9 
0fc4e6d 0fdae3b 0fb8f5b 
0fc2350 0fdc493 0fb56da 
0fb5c33 0008daa 0fa8ba3 
0fb0a41 0029be3 0fa45ae 
0fb9f05 0003883 0fae448 
0fc4a51 0fdb0a5 0fb8b5a 
0fc20a2 0fdc4fd 0fb5448 
0fb59a8 00095dd 0fa8912 
0fb06c6 002a274 0fa41f7 
0fb9adf 00048cc 0fae019 
0fc46cd 0fdb2ab 0fb87d1 
0fc1e2a 0fdc54a 0fb51cb 
0fb57b6 0009b77 0fa86f9 
0fb0454 002a74b 0fa3f19 
0fb9762 0005759 0fadc79 
0fc4376 0fdb4a0 0fb8486 
0fc1bf0 0fdc52c 0fb4fa3 
0fb55a4 000a068 0fa84ea 
0fb00b8 002acde 0fa3bb7 
0fb936f 0006421 0fad895 
0fc40b0 0fdb664 0fb81bd 
0fc1b58 0fdc404 0fb4f02 
0fb557c 0009ec6 0fa84b6 
0faff1b 002af4a 0fa3a42 
0fb913a 0006bec 0fad684 
0fc3ed4 0fdb721 0fb8018 
0fc1ab2 0fdc1a8 0fb4e97 
0fb555c 0009aa8 0fa8489 
0fafe6b 002b002 0fa3940 
0fb8f1c 0007007 0fad42f 
0fc3d33 0fdb6bb 0fb7e61 
0fc19de 0fdbe6b 0fb4db3 
0fb549a 00094f0 0fa83c4 
0fafc62 002b177 0fa3770 
0fb8ca0 00072e3 0fad1df 
0fc3b7e 0fdb5c0 0fb7cca 
0fc19c5 0fdbb1b 0fb4dc7 
0fb553a 0008d41 0fa8471 
0fafc4b 002b0e2 0fa373b 
0fb8b89 00073d1 0fad0a7 
0fc3b62 0fdb580 0fb7ca7 
0fc1b2e 0fdb88d 0fb4f2c 
0fb56cf 00083ba 0fa85fe 
0fafcb1 002af0c 0fa3784 
0fb8b95 0007011 0fad09f 
0fc3c1f 0fdb3b2 0fb7d6e 
0fc1da9 0fdb39e 0fb51a0 
0fb5995 00071b2 0fa888f 
0fafe80 002a9eb 0fa3914 
0fb8bee 0006732 0fad0de 
0fc3cb4 0fdb047 0fb7e14 
0fc1f5b 0fdac5f 0fb538e 
0fb5bde 000598d 0fa8afe 
0fb006f 002a29d 0fa3ae3 
0fb8d33 0005945 0fad22c 
0fc3e49 0fdabf5 0fb7fc1 
0fc22bf 0fda651 0fb56ec 
0fb5fca 00040cd 0fa8ec5 
0fb02c0 0029a08 0fa3d06 
0fb8e4c 0004997 0fad33f 
0fc407d 0fda7e3 0fb8213 
0fc25ec 0fd9fb1 0fb5a4e 
0fb63c5 0002418 0fa92f0 
0fb0622 0028f03 0fa4053 
0fb906d 00038d4 0fad559 
0fc42ae 0fda419 0fb845b 
0fc28de 0fd9a5c 0fb5d42 
0fb667e 0000ab7 0fa958f 
0fb0794 0028554 0fa41bc 
0fb9174 0002703 0fad65f 
0fc44b9 0fd9fa2 0fb8691 
0fc2cee 0fd954b 0fb6185 
0fb6b32 0ffedfc 0fa9a5b 
0fb0ae2 002781a 0fa453d 
0fb9419 00011e0 0fad903 
0fc4787 0fd9af6 0fb895f 
0fc3110 0fd8f7f 0fb65b8 
0fb6f9c 0ffcdb9 0fa9ed6 
0fb0ea4 00267e6 0fa4915 
0fb9784 0fff836 0fadc78 
0fc4b99 0fd9692 0fb8d99 
0fc3601 0fd8a90 0fb6aca 
0fb74f2 0ffab60 0faa40a 
0fb1352 0025376 0fa4d8a 
0fb9ac8 0ffdac4 0fadfa0 
0fc4f22 0fd9146 0fb910b 
0fc3b0a 0fd8591 0fb6fb2 
0fb7a74 0ff865f 0faa975 
0fb180f 0023c07 0fa520f 
0fb9e0f 0ffbf4d 0fae2cd 
0fc527c 0fd8d3f 0fb9491 
0fc3f2f 0fd8141 0fb7422 
0fb7ead 0ff642e 0faadd9 
0fb1ac5 00224cb 0fa54b8 
0fb9f89 0ffa4d0 0fae45c 
0fc5418 0fd881d 0fb9653 
0fc4259 0fd7d22 0fb7760 
0fb8329 0ff4514 0fab24e 
0fb1df7 0020d15 0fa57c1 
0fba194 0ff8e7d 0fae65c 
0fc56e5 0fd8515 0fb992e 
0fc4627 0fd7a2c 0fb7b44 
0fb867d 0ff25f3 0fab5b2 
0fb210e 001f1c0 0fa5a9d 
0fba40d 0ff75ad 0fae8c0 
0fc598d 0fd81a5 0fb9bd0 
0fc4a17 0fd7754 0fb7f2d 
0fb8b41 0ff05f2 0faba61 
0fb254f 001d1c9 0fa5e85 
0fba720 0ff5bd0 0faeba3 
0fc5cfb 0fd7ead 0fb9f2a 
0fc4ee5 0fd74bc 0fb83f0 
0fb9049 0fee389 0fabf40 
0fb29bb 001aada 0fa6277 
0fbaa01 0ff411e 0faee6e 
0fc6032 0fd7be7 0fba289 
0fc533e 0fd723b 0fb8869 
0fb9502 0fec0ad 0fac41a 
0fb2dbf 00172aa 0fa6611 
0fbacdd 0ff1d2e 0faf12c 
0fc62f4 0fd7880 0fba558 
0fc5741 0fd6fb4 0fb8c77 
0fb993b 0fea0e6 0fac859 
0fb313b 0013ac4 0fa6970 
0fbaf65 0fefee0 0faf3ae 
0fc6622 0fd75de 0fba8a5 
0fc5b4f 0fd6d94 0fb90ae 
0fb9e51 0fe8089 0facd66 
0fb3577 000fe34 0fa6d74 
0fbb2ab 0fee0af 0faf6e9 
0fc69df 0fd73c9 0fbac61 
0fc6084 0fd6c44 0fb95ed 
0fba389 0fe5fa5 0fad2cc 
0fb3a12 000bcbc 0fa7222 
0fbb5bd 0fec047 0fafa33 
0fc6cf2 0fd70cd 0fbafa6 
0fc64ed 0fd6a6e 0fb9a80 
0fba7fb 0fe411f 0fad74a 
0fb3d8b 0007cbd 0fa755a 
0fbb8c8 0fea187 0fafcf3 
0fc70b2 0fd6e8f 0fbb32c 
0fc69db 0fd6935 0fb9f40 
0fbade1 0fe2551 0fadcff 
0fb4246 0003e3b 0fa79df 
0fbbb21 0fe82cd 0faff40 
0fc7349 0fd6bca 0fbb5bd 
0fc6da8 0fd676d 0fba2f9 
0fbb17f 0fe0b2d 0fae09b 
0fb453b 000039e 0fa7c9e 
0fbbd51 0fe67ac 0fb0151 
0fc75b2 0fd6957 0fbb839 
0fc7154 0fd65a3 0fba6ce 
0fbb61b 0fdf318 0fae55e 
0fb490b 0ffca1d 0fa8082 
0fbc020 0fe4e5d 0fb044f 
0fc78ac 0fd67c1 0fbbb56 
0fc75c1 0fd6517 0fbab58 
0fbbaf8 0fddfe0 0faea42 
0fb4cc5 0ff983f 0fa841b 
0fbc27d 0fe395e 0fb0696 
0fc7b22 0fd6684 0fbbdd4 
0fc7988 0fd6468 0fbaf3b 
0fbbf10 0fdcfb2 0faee7c 
0fb4f46 0ff6d17 0fa86ad 
0fbc3a7 0fe2821 0fb07d3 
0fc7c4b 0fd64af 0fbbf0b 
0fc7baa 0fd62ba 0fbb168 
0fbc192 0fdc158 0faf103 
0fb5199 0ff4462 0fa88db 
0fbc52d 0fe1733 0fb0937 
0fc7e47 0fd63b9 0fbc10b 
0fc7ebe 0fd61fd 0fbb49e 
0fbc565 0fdb419 0faf50a 
0fb5478 0ff1a54 0fa8be3 
0fbc6d8 0fe05e2 0fb0afe 
0fc805f 0fd625a 0fbc342 
0fc82ca 0fd6151 0fbb8c0 
0fbca97 0fda66b 0fafa40 
0fb5896 0fee9aa 0fa9012 
0fbc9d3 0fdf1e6 0fb0e27 
0fc8399 0fd6136 0fbc6a8 
0fc87cd 0fd60ae 0fbbdea 
0fbd00f 0fd973c 0faffd3 
0fb5cfd 0feb135 0fa946d 
0fbcd3f 0fddb37 0fb1175 
0fc87d7 0fd602e 0fbcae7 
0fc8d27 0fd5fcb 0fbc351 
0fbd5da 0fd894a 0fb05a3 
0fb61ee 0fe79d7 0fa9985 
0fbd152 0fdc66d 0fb15d4 
0fc8c0a 0fd5f6a 0fbcf4d 
0fc9266 0fd5f2f 0fbc8b5 
0fbdb7c 0fd7d65 0fb0b62 
0fb66ba 0fe453d 0fa9e49 
0fbd528 0fdb3d9 0fb1972 
0fc8fb1 0fd5e9b 0fbd2bd 
0fc96ca 0fd5ea8 0fbccf8 
0fbe090 0fd7557 0fb105f 
0fb6a96 0fe1cb2 0faa23c 
0fbd790 0fda5b7 0fb1bfe 
0fc9224 0fd5dd1 0fbd560 
0fc9a41 0fd5dc2 0fbd09c 
0fbe3fa 0fd6e2f 0fb13db 
0fb6d36 0fdfa72 0faa4e8 
0fbd8f5 0fd99e7 0fb1d59 
0fc933d 0fd5cb3 0fbd67c 
0fc9c6f 0fd5cf1 0fbd2d5 
0fbe654 0fd69ae 0fb163f 
0fb6e71 0fde206 0faa640 
0fbd953 0fd911b 0fb1dc5 
0fc9471 0fd5c37 0fbd7b1 
0fc9df8 0fd5bf4 0fbd457 
0fbe7fe 0fd6690 0fb17f3 
0fb6efc 0fdd3e0 0faa6d8 
0fbd8af 0fd8c26 0fb1d19 
0fc9364 0fd5b10 0fbd6ae 
0fc9e61 0fd5b5f 0fbd4c0 
0fbe8d4 0fd6500 0fb18a1 
0fb6e40 0fdcd20 0faa5f8 
0fbd684 0fd894a 0fb1ae7 
0fc91fb 0fd5a24 0fbd553 
0fc9e1e 0fd5a60 0fbd4a6 
0fbe979 0fd637d 0fb1959 
0fb6ebd 0fdc71f 0faa67c 
0fbd662 0fd87b5 0fb1abf 
0fc9131 0fd59e9 0fbd493 
0fc9de5 0fd5a16 0fbd47e 
0fbe9f6 0fd6348 0fb19ef 
0fb6e95 0fdc7e3 0faa646 
0fbd4d7 0fd88d3 0fb18fa 
0fc8f54 0fd59be 0fbd27c 
0fc9cba 0fd59ac 0fbd324 
0fbe92d 0fd633e 0fb18ed 
0fb6cea 0fdce36 0faa451 
0fbd1c3 0fd8bed 0fb15c1 
0fc8be0 0fd5944 0fbcf23 
0fc9a6c 0fd597b 0fbd11b 
0fbe6c1 0fd6452 0fb16a3 
0fb699f 0fddefe 0faa0ff 
0fbcca1 0fd9320 0fb1086 
0fc864b 0fd5800 0fbc97a 
0fc9590 0fd57da 0fbcc0f 
0fbe2e1 0fd66fc 0fb128b 
0fb648f 0fdfd4b 0fa9b92 
0fbc5fb 0fda063 0fb09b3 
0fc7f3a 0fd573a 0fbc27c 
0fc8f9b 0fd570f 0fbc633 
0fbdda2 0fd6c86 0fb0d26 
0fb5ed8 0fe293e 0fa9582 
0fbbef3 0fdb3e1 0fb026b 
0fc77ae 0fd56b9 0fbbaf4 
0fc8952 0fd5670 0fbc011 
0fbd7d2 0fd7415 0fb0777 
0fb5750 0fe5f3d 0fa8de7 
0fbb56d 0fdce2a 0faf8e0 
0fc6dcd 0fd55a2 0fbb12c 
0fc804c 0fd54be 0fbb729 
0fbd026 0fd7ef9 0faffbb 
0fb4fbe 0fea3f3 0fa85f1 
0fbac4f 0fdf1f8 0faef70 
0fc643c 0fd55f6 0fba77f 
0fc778b 0fd5485 0fbae5c 
0fbc7c3 0fd8ec2 0faf73e 
0fb465b 0fef858 0fa7c55 
0fba141 0fe20fe 0fae40f 
0fc582d 0fd55ba 0fb9b68 
0fc6c76 0fd52c7 0fba348 
0fbbd00 0fda1eb 0faec5b 
0fb3aff 0ff5ad7 0fa70b2 
0fb94e6 0fe5e28 0fad76d 
0fc4c27 0fd582e 0fb8f5c 
0fc6139 0fd5247 0fb9820 
0fbb294 0fdbef0 0fae1de 
0fb3001 0ffcff8 0fa6590 
0fb890f 0feaa91 0facb5b 
0fc3f75 0fd5c3e 0fb8282 
0fc555b 0fd5185 0fb8c2b 
0fba785 0fde25d 0fad678 
0fb236f 0004bfd 0fa58ba 
0fb7b32 0fefff5 0fabd33 
0fc31ee 0fd6159 0fb74df 
0fc498c 0fd504c 0fb8055 
0fb9d72 0fe067a 0facc53 
0fb18f8 000beb9 0fa4e59 
0fb6ffd 0ff550a 0fab1e8 
0fc2731 0fd694a 0fb6a1e 
0fc4042 0fd507f 0fb7721 
0fb94a6 0fe2a76 0fac378 
0fb0f45 001244c 0fa449f 
0fb6589 0ffa296 0faa75e 
0fc1cb2 0fd7048 0fb5fb7 
0fc37e8 0fd4fc1 0fb6ee7 
0fb8dfc 0fe497d 0fabcc6 
0fb07f4 0017404 0fa3d5d 
0fb5d6a 0ffe643 0fa9f21 
0fc1542 0fd782c 0fb5827 
0fc315c 0fd4f03 0fb6870 
0fb883c 0fe61e7 0fab701 
0fb01da 001a8b6 0fa3777 
0fb56bc 0001af7 0fa98ac 
0fc0f2a 0fd7ee2 0fb5222 
0fc2c74 0fd4e36 0fb6389 
0fb8498 0fe71ed 0fab34b 
0fafde7 001c504 0fa3398 
0fb51f3 0003c64 0fa93cb 
0fc0a6a 0fd8468 0fb4d40 
0fc2989 0fd4d98 0fb60a8 
0fb82d6 0fe7b57 0fab188 
0fafb29 001d677 0fa30ed 
0fb4dab 000558c 0fa8fa7 
0fc0607 0fd8907 0fb490b 
0fc261f 0fd4c30 0fb5d71 
0fb807e 0fe821e 0faaf48 
0faf838 001e362 0fa2e02 
0fb4a8c 0006ac1 0fa8c65 
0fc033c 0fd8deb 0fb462e 
0fc2437 0fd4bef 0fb5b82 
0fb7f83 0fe8850 0faae40 
0faf60e 001ef12 0fa2be0 
0fb46b0 0007f67 0fa8899 
0fbffa9 0fd924e 0fb42a4 
0fc21f2 0fd4afe 0fb5963 
0fb7d9c 0fe8a28 0faac65 
0faf3fc 001f4a1 0fa29bc 
0fb4360 0008b14 0fa853e 
0fbfc84 0fd9426 0fb3f84 
0fc20a1 0fd497e 0fb581d 
0fb7e0d 0fe8497 0faacdf 
0faf498 001efae 0fa2a5d 
0fb42e8 0008a3e 0fa84d2 
0fbfc13 0fd9314 0fb3f38 
0fc21b7 0fd47b5 0fb595d 
0fb8056 0fe7388 0faaf2f 
0faf697 001dc07 0fa2c1e 
0fb4443 00079d7 0fa85fa 
0fbfdcf 0fd8e4d 0fb40f2 
0fc2519 0fd460a 0fb5cdc 
0fb8510 0fe5936 0fab413 
0fafc0d 001b76d 0fa3153 
0fb4905 000573b 0fa8aa6 
0fc01fc 0fd8545 0fb4548 
0fc2a9e 0fd445f 0fb6287 
0fb8bcf 0fe369c 0fabaf7 
0fb0285 0017600 0fa3749 
0fb4e7d 000180c 0fa8fab 
0fc0771 0fd790a 0fb4ada 
0fc3176 0fd4264 0fb6990 
0fb93dd 0fe0b14 0fac34f 
0fb0ad0 0010d53 0fa3fdf 
0fb562d 0ffc400 0fa97a8 
0fc0f94 0fd6c7c 0fb5321 
0fc3b48 0fd415e 0fb7362 
0fb9eaa 0fddc17 0face24 
0fb161f 0008ae0 0fa4adf 
0fb60a8 0ff6362 0faa206 
0fc1a52 0fd5fe3 0fb5e01 
0fc4747 0fd4032 0fb7f9a 
0fbab6c 0fdad1a 0fadb2d 
0fb233e 0fff238 0fa57fc 
0fb6d13 0fef50f 0faae85 
0fc2727 0fd537e 0fb6ae6 
0fc55b5 0fd3f40 0fb8e09 
0fbbab7 0fd822a 0faeaa6 
0fb3181 0ff4772 0fa665d 
0fb7aa6 0fe7e7d 0fabc41 
0fc3546 0fd483b 0fb792c 
0fc6561 0fd3dd8 0fb9dc4 
0fbcbd4 0fd610c 0fafbde 
0fb4228 0fe99aa 0fa772d 
0fb8aa4 0fe0df5 0facc51 
0fc45f1 0fd4155 0fb89b0 
0fc774c 0fd3d1e 0fbaf8b 
0fbde72 0fd4953 0fb0e68 
0fb5404 0fdf33f 0fa895d 
0fb9bbd 0fdabd3 0faddb3 
0fc5752 0fd3dcd 0fb9b2d 
0fc89dd 0fd3c8b 0fbc22f 
0fbf1c0 0fd3e10 0fb21dc 
0fb667a 0fd6da2 0fa9c73 
0fbacdc 0fd5ef2 0faef18 
0fc68a8 0fd3c03 0fbac69 
0fc9c13 0fd3bd0 0fbd45d 
0fc0457 0fd3bf2 0fb3460 
0fb776f 0fd3c07 0faadec 
0fbbd57 0fd3c05 0fb0010 
0fc7946 0fd3b64 0fbbd02 
0fcadfd 0fd3ba9 0fbe644 
0fc16dc 0fd3bd5 0fb46dc 
0fb88ed 0fd3b9d 0fabf51 
0fbcd04 0fd3b20 0fb0f84 
0fc88c3 0fd3aa5 0fbcc5f 
0fcbdc7 0fd3a6d 0fbf5f4 
0fc26df 0fd3a64 0fb56a9 
0fb9857 0fd3a64 0face7e 
0fbdb70 0fd3a30 0fb1ddc 
0fc9764 0fd3a1e 0fbdb02 
0fccda1 0fd3a47 0fc05d3 
0fc3765 0fd3a81 0fb672e 
0fba816 0fd3aae 0fade38 
0fbe9ed 0fd3a71 0fb2c59 
0fca5bf 0fd3a62 0fbe973 
0fcdce5 0fd3aae 0fc154a 
0fc470e 0fd3b22 0fb7705 
0fbb66e 0fd3afb 0faec95 
0fbf6fc 0fd3a86 0fb3943 
0fcb242 0fd3a27 0fbf5cb 
0fce9ef 0fd3a4d 0fc222b 
0fc5401 0fd3a71 0fb83c8 
0fbc2bd 0fd3a9e 0faf8ca 
0fc0257 0fd3a7b 0fb44ad 
0fcbe03 0fd3ac9 0fc0186 
0fcf6e2 0fd3b5f 0fc2ec5 
0fc6156 0fd3b49 0fb912b 
0fbcf38 0fd3b55 0fb053f 
0fc0d55 0fd3b0d 0fb4fb1 
0fcc8e3 0fd3b58 0fc0ca7 
0fd02c7 0fd3bf6 0fc3b24 
0fc6e29 0fd3c20 0fb9e1c 
0fbdb0c 0fd3bd0 0fb1118 
0fc182b 0fd3bc3 0fb5a92 
0fcd392 0fd3c0f 0fc1789 
0fd0e07 0fd3c81 0fc46b4 
0fc795f 0fd3c78 0fba978 
0fbe57e 0fd3c80 0fb1b83 
0fc2154 0fd3c93 0fb63ae 
0fcdc02 0fd3c77 0fc1ff5 
0fd170a 0fd3cd7 0fc4fb7 
0fc8370 0fd3d8c 0fbb36b 
0fbeeda 0fd3ddc 0fb24e6 
0fc28fa 0fd3db0 0fb6b60 
0fce2ed 0fd3d5e 0fc26f2 
0fd1edb 0fd3dfd 0fc57a4 
0fc8b84 0fd3eb9 0fbbb80 
0fbf5b4 0fd3eea 0fb2b95 
0fc2e39 0fd3e8c 0fb707c 
0fce7f6 0fd3e4c 0fc2bfb 
0fd24a5 0fd3ecd 0fc5d83 
0fc91c1 0fd3f7c 0fbc1d8 
0fbfaa8 0fd3f71 0fb30a1 
0fc3218 0fd3f79 0fb7475 
0fcebb8 0fd3f7c 0fc2ff1 
0fd296a 0fd401c 0fc627d 
0fc96d0 0fd4049 0fbc703 
0fbff2b 0fd403e 0fb3518 
0fc359f 0fd4073 0fb77e3 
0fcef43 0fd4044 0fc336f 
0fd2e14 0fd40ee 0fc672c 
0fc9c75 0fd41a1 0fbccac 
0fc0439 0fd41c9 0fb3a33 
0fc39ce 0fd4223 0fb7c30 
0fcf3b1 0fd420c 0fc37ff 
0fd3378 0fd4249 0fc6cac 
0fca28a 0fd42bf 0fbd2b0 
0fc09ee 0fd4331 0fb3fb7 
0fc3da5 0fd42f8 0fb7fe0 
0fcf794 0fd4338 0fc3be4 
0fd3846 0fd4384 0fc71a9 
0fca7ff 0fd442c 0fbd865 
0fc0ee9 0fd44ee 0fb44e2 
0fc4180 0fd44e4 0fb83cd 
0fcfa7d 0fd4459 0fc3edf 
0fd3ca1 0fd44f7 0fc7604 
0fcad17 0fd459d 0fbdd4f 
0fc1207 0fd4566 0fb47dd 
0fc4319 0fd455b 0fb8570 
0fcfc7f 0fd457a 0fc4119 
0fd3fdf 0fd4653 0fc797e 
0fcb125 0fd4765 0fbe181 
0fc1571 0fd4773 0fb4b1f 
0fc453a 0fd4747 0fb8751 
0fcfe70 0fd4737 0fc42e3 
0fd42b2 0fd4807 0fc7c39 
0fcb40b 0fd48a3 0fbe440 
0fc1734 0fd4862 0fb4ccd 
0fc460f 0fd4867 0fb8826 
0fcff19 0fd4870 0fc43a5 
0fd43dc 0fd48f3 0fc7d84 
0fcb5f1 0fd49b0 0fbe643 
0fc18e9 0fd49e7 0fb4e85 
0fc4679 0fd4a0c 0fb888c 
0fcff0d 0fd49e0 0fc439d 
0fd4484 0fd4a3c 0fc7e47 
0fcb798 0fd4b15 0fbe7fd 
0fc1a23 0fd4b58 0fb4fb9 
0fc465f 0fd4b48 0fb8873 
0fcfeb9 0fd4af9 0fc4352 
0fd4548 0fd4b42 0fc7f0b 
0fcb8d8 0fd4c0e 0fbe923 
0fc19da 0fd4ba0 0fb4f45 
0fc44c2 0fd4b8d 0fb86a2 
0fcfe27 0fd4c69 0fc42a8 
0fd462a 0fd4cfd 0fc7fdb 
0fcba2f 0fd4d86 0fbea64 
0fc1b1d 0fd4dd6 0fb506f 
0fc449b 0fd4dcf 0fb867a 
0fcfc9d 0fd4dac 0fc413b 
0fd455d 0fd4e0e 0fc7f33 
0fcba3b 0fd4ee5 0fbea75 
0fc1a08 0fd4ed8 0fb4f48 
0fc4270 0fd4ee2 0fb8434 
0fcfa65 0fd4f16 0fc3eee 
0fd43df 0fd4f48 0fc7dbd 
0fcb98e 0fd4fff 0fbe9cf 
0fc191b 0fd5070 0fb4e49 
0fc3fe8 0fd506d 0fb8191 
0fcf7cb 0fd50ed 0fc3c5a 
0fd42e9 0fd51be 0fc7cce 
0fcb966 0fd525e 0fbe9aa 
0fc1791 0fd51ff 0fb4c8c 
0fc3d75 0fd524d 0fb7ed9 
0fcf52f 0fd5296 0fc399d 
0fd40f0 0fd5312 0fc7ad8 
0fcb7af 0fd5383 0fbe7e9 
0fc1588 0fd539b 0fb4a96 
0fc3a22 0fd53c8 0fb7bac 
0fcf163 0fd53a1 0fc35f4 
0fd3e83 0fd545c 0fc7878 
0fcb6b7 0fd557f 0fbe6ec 
0fc13db 0fd556e 0fb48cd 
0fc36ea 0fd553d 0fb7864 
0fcedef 0fd553b 0fc3282 
0fd3b96 0fd55ac 0fc75b7 
0fcb365 0fd55bb 0fbe3c8 
0fc0ff4 0fd5595 0fb44f0 
0fc3284 0fd5609 0fb73eb 
0fce9c0 0fd566e 0fc2e3e 
0fd3889 0fd56ec 0fc7281 
0fcb1ba 0fd57ae 0fbe1e5 
0fc0dd2 0fd57e4 0fb428a 
0fc2e24 0fd5779 0fb6f62 
0fce487 0fd5766 0fc2906 
0fd3414 0fd57a0 0fc6e28 
0fcada7 0fd57ef 0fbddd7 
0fc08dc 0fd57f7 0fb3d94 
0fc2849 0fd57c8 0fb6986 
0fcdf26 0fd5856 0fc23ae 
0fd2f2f 0fd5832 0fc6965 
0fca959 0fd585d 0fbd9a6 
0fc0453 0fd58aa 0fb38ff 
0fc2330 0fd58e9 0fb646e 
0fcd9c4 0fd591c 0fc1e6b 
0fd2bc3 0fd59b8 0fc65fd 
0fca6de 0fd59d9 0fbd71a 
0fc00fa 0fd59a2 0fb357e 
0fc1ed2 0fd59f0 0fb5fc9 
0fcd537 0fd5a18 0fc19b1 
0fd27c0 0fd5a2e 0fc61df 
0fca40f 0fd5a81 0fbd42c 
0fbfe32 0fd5aa1 0fb32ab 
0fc1a4b 0fd5a51 0fb5b45 
0fcd0a1 0fd5a6d 0fc152f 
0fd24f8 0fd5ae2 0fc5f3e 
0fca23e 0fd5b2b 0fbd26f 
0fbfb66 0fd5aec 0fb2fbe 
0fc1685 0fd5af6 0fb5765 
0fcccce 0fd5b1f 0fc115b 
0fd2287 0fd5bab 0fc5cd6 
0fca0ac 0fd5bfc 0fbd0e2 
0fbf93f 0fd5bdf 0fb2d8d 
0fc12e2 0fd5b9d 0fb53b3 
0fcc8b9 0fd5b80 0fc0d4e 
0fd1fd0 0fd5c39 0fc5a2e 
0fc9ef5 0fd5c81 0fbcf1f 
0fbf694 0fd5c00 0fb2ad0 
0fc0f2d 0fd5bfb 0fb5000 
0fcc511 0fd5c13 0fc09c4 
0fd1c8b 0fd5c34 0fc5723 
0fc9d25 0fd5d18 0fbcd8c 
0fbf512 0fd5d60 0fb2958 
0fc0c23 0fd5d01 0fb4ce1 
0fcc152 0fd5cc2 0fc05e8 
0fd1a50 0fd5d3f 0fc54b8 
0fc9b55 0fd5d6a 0fbcb7e 
0fbf20e 0fd5cfa 0fb2619 
0fc07d8 0fd5c8d 0fb485e 
0fcbd65 0fd5caf 0fc01e6 
0fd17d6 0fd5d6d 0fc524c 
0fc9a31 0fd5e21 0fbca5f 
0fbf0a7 0fd5e21 0fb2496 
0fc0569 0fd5e15 0fb45e5 
0fcba81 0fd5df5 0fbff15 
0fd15f0 0fd5e8a 0fc507c 
0fc993d 0fd5f4c 0fbc98e 
0fbef30 0fd5f4c 0fb2327 
0fc026e 0fd5ef5 0fb42ee 
0fcb745 0fd5ee0 0fbfbe9 
0fd13b2 0fd5f64 0fc4e55 
0fc9775 0fd5fca 0fbc7d5 
