0fd2856 000dc1c 0fc6b48 0fc0127 0fb1abb 
0fc3c13 001e963 0fbad82 0fb0b61 001f2ef 
0fc4c60 001f964 0fba66e 0fb1d28 00202e8 
0fc778a 001d81c 0fbd991 0fb474b 001e19e 
0fbdf6c 0021f32 0fb4160 0fab003 00228e0 
0fc633f 001f016 0fbc08e 0fb367d 001f9a0 
0fbe1ec 0021834 0fb520c 0fab475 00221ea 
0fbf350 00226fd 0fb4e87 0fac7b4 00230a0 
0fc2789 0020717 0fb8f77 0fafa68 00210b7 
0fb9e93 00249e4 0fb03a7 0fa7273 00253a9 
0fc30ca 0021725 0fb882a 0fb05a8 00220ba 
0fbbddd 0023a1f 0fb2758 0fa9181 00243df 
0fbd2d2 0024701 0fb24bd 0faa84d 00250b6 
0fc0a31 0022337 0fb6951 0fade9b 0022ce6 
0fb7d03 0026681 0fadae7 0fa5247 0027052 
0fc0601 002360b 0fb55a8 0fadc7b 0023fb5 
0fb877e 0025d6f 0faea1e 0fa5cb8 0026742 
0fb9717 0026da8 0fae58d 0fa6e8e 002776e 
0fbc2db 0024fe2 0fb1d43 0fa9a56 00259a3 
0fb2ddf 00299b3 0fa860a 0fa06e2 002a397 
0fbb2f8 0026f26 0fafe69 0fa8d35 00278e3 
0fb37c2 0029a3f 0fa95e3 0fa1164 002a423 
0fb504f 002abe2 0fa9a6a 0fa2c1b 002b5b6 
0fb8c1a 0028cb9 0fae0b3 0fa6665 0029689 
0fb043c 002d45e 0fa5071 0f9dc97 002ddde 
0fb8bea 002ab92 0faccd4 0fa6294 002b553 
0fb0cdf 002d8e1 0fa6265 0f9e0b7 002e2dc 
0fb16a2 002f039 0fa5dd6 0f9eb1e 002fa40 
0fb4f39 002d0a4 0faa6eb 0fa21d8 002da1f 
0fabeeb 00316d7 0fa1703 0f99251 00320c8 
0fb3d00 002f0e4 0fa8871 0fa0ff5 002fb7d 
0fab8b9 0032456 0fa17de 0f98aa9 0032e52 
0fab6d1 0034459 0fa0259 0f98c06 0034e3c 
0fadaf9 003307d 0fa3383 0f9b045 0033a6d 
0fa32b8 00384b3 0f98a53 0f90919 0038eb9 
0faa2d9 00365d2 0f9ee9d 0f97abc 0036fc2 
0fa1605 0039a4e 0f9742d 0f8eda4 003a465 
0fa0dcc 003bac0 0f95908 0f8e80e 003c4cc 
0fa3232 003a68e 0f988d2 0f90c04 003b0a0 
0f991a3 003f85b 0f8e7d2 0f86cff 004027c 
0fa0ca9 003d426 0f957f1 0f8e958 003de33 
0f98e72 003ff0d 0f8ec6a 0f86a7b 0040931 
0f99869 00410a4 0f8e1af 0f87753 0041ac1 
0f9d640 003eb5a 0f92c84 0f8b42e 003f579 
0f9508e 0042c1a 0f8a81f 0f82f1b 0043653 
0f9e7f5 003f978 0f93247 0f8c702 0040395 
0f98661 0041619 0f8e1b6 0f863d2 0042054 
0f9a81b 0041eaa 0f8ef82 0f886e1 00428d2 
0f9fdd0 003f0ce 0f94faf 0f8da0a 003faf7 
0f98997 004293b 0f8db64 0f864ee 0043377 
0fa2fbe 003edad 0f97767 0f90a68 003f7d0 
0f9db20 00402f2 0f9375d 0f8b3d2 0040d31 
0f9ff1e 003c320 0f94614 0f8d9df 0041173 
0fa5757 000fc80 0f9a5bc 0f92ea2 003dedf 
0f9e1d7 000ba69 0f930d2 0f8b970 0041239 
0fa85b4 0fc1f6f 0f9ccf4 0f960fa 003d13d 
0fa36cc 0fb7c26 0f99467 0f91255 003de11 
0fa6306 0fb2d92 0f9acc5 0f940e8 003d868 
0fac8af 0fac84d 0fa1ab4 0f9a544 0039921 
0fa5e1e 0fa5cfd 0f9ad5c 0f93b9d 003c263 
0fb0b1b 0fa1f59 0fa4c50 0f9e900 003797e 
0fabfdd 0f9e920 0fa157c 0f99c4a 0038066 
0fae692 0f9d300 0fa2b1a 0f9c431 0037c54 
0fb459d 0f9e1aa 0fa94de 0fa2196 0033f8f 
0facf26 0f9ec60 0fa1f82 0f9ab93 0036d45 
0fb7872 0fa0570 0fabb05 0fa54fe 003264d 
0fb2908 0fa0e0c 0fa7f57 0fa03c1 0032e25 
0fb4cc2 0fa154f 0fa8fae 0fa28e1 00328b5 
0fbaef5 0fa2643 0fafcbe 0fa8a07 002e912 
0fb3dc6 0fa2776 0fa8ba4 0fa1965 003129d 
0fbed98 0fa3010 0fb2e56 0fac984 0018b88 
0fba2f7 0fa378b 0faf83e 0fa7d7f 000412a 
0fbc7bb 0fa417e 0fb0a1d 0faa38b 0ff15f1 
0fc2ce0 0fa53a1 0fb799f 0fb0760 0fd0eca 
0fbbe2f 0fa728c 0fb0bb7 0fa9931 0fcb713 
0fc70b3 0fabfe2 0fbb154 0fb4ca5 0fc3f0e 
0fc2a03 0fad52c 0fb7f93 0fb04ff 0fbf952 
0fc5136 0fae093 0fb916b 0fb2e48 0fbcb0a 
0fcb391 0faffd1 0fbfcb8 0fb8f17 0fbae12 
0fc333f 0fb184c 0fb7e73 0fb0eef 0fb93a0 
0fcd17f 0fb4318 0fc0dd1 0fbada8 0fb860c 
0fc7c44 0fb7ad7 0fbc9e4 0fb572b 0fb51bb 
0fc9a2b 0fbbe73 0fbd018 0fb777f 0faff54 
0fcf7d1 0fc1bba 0fc327d 0fbd326 0fab6b0 
0fc77cf 0fc247d 0fbb164 0fb53f3 0faa31a 
0fd1aa9 0fc3acf 0fc4268 0fbf7a9 0fa9a12 
0fcc2c1 0fc5758 0fbfb29 0fb9de8 0fa92a8 
0fcd617 0fc7978 0fbfcf3 0fbb336 0fa8d80 
0fd2f9b 0fcb633 0fc5e99 0fc0b98 0fa836c 
0fca9a1 0fce0e4 0fbd7af 0fb860c 0fa7091 
0fd46ba 0fd04a2 0fc5ed2 0fc23cc 0fa7a6a 
0fcee1d 0fd0d3b 0fc142b 0fbc9d1 0fa86b8 
0fcfb87 0fd1c51 0fc1214 0fbd94d 0fa9b16 
0fd52dc 0fd3dda 0fc7c8a 0fc2e92 0faabd6 
0fcc474 0fd4de8 0fbfe2e 0fba099 0faae71 
0fd5624 0fd764c 0fc8c97 0fc3314 0fac270 
0fcf755 0fd9c7e 0fc4819 0fbd1f3 0fad00e 
0fcfd81 0fdd0e2 0fc3ab1 0fbd967 0fadc11 
0fd5579 0fdf22d 0fc9de2 0fc3034 0fae747 
0fcc386 0fe0843 0fc150a 0fb9eb9 0fae21f 
0fd5383 0fe3ac5 0fc96a7 0fc2f3c 0faec65 
0fcf4e3 0fe4bd7 0fc4d91 0fbcfca 0fae85b 
0fcf773 0fe6779 0fc3bab 0fbd4db 0fae257 
0fd4b94 0fe96f8 0fc9772 0fc27f1 0fae715 
0fcba22 000fa88 0fc06df 0fb95e3 0fadff9 
0fd4a10 0fff935 0fc886a 0fc2632 0faf0b8 
0fce5eb 0011a9e 0fc3770 0fbc174 0fafb5b 
0fce0bd 0015d39 0fc1ed2 0fbbf3a 0fb02b9 
0fd346a 0012cd5 0fc77fe 0fc11bb 0fb0f15 
0fc9f66 0016cd9 0fbe3a2 0fb7cf1 0fb1036 
0fd2e0c 0013a71 0fc630c 0fc0c78 0fb1bb1 
0fcd4ee 0014cf0 0fc2083 0fbb1cd 0fb12d7 
0fcd70d 0015d72 0fc1348 0fbb5fd 0fb0a3e 
0fd3289 00128f5 0fc795f 0fc1084 0fb0515 
0fca97d 00161f1 0fbf2b7 0fb8820 0faf0b6 
0fd3d44 0012be3 0fc76b8 0fc1ce6 0faebdc 
0fce5c6 0013ccd 0fc31ee 0fbc358 0fad9ff 
0fce8ba 0014bde 0fc2024 0fbc7e9 0faca8e 
0fd42ba 00117cd 0fc7fad 0fc2081 0fac490 
0fcb2f9 00153fa 0fbf4cd 0fb909b 0faba21 
0fd4424 0011fc0 0fc78d6 0fc2330 0fac555 
0fceb62 0013258 0fc336a 0fbc8e4 0fac32a 
0fce729 001467a 0fc1bab 0fbc674 0fac032 
0fd3cea 00116e2 0fc7939 0fc1b4e 0fac908 
0fca9ae 0015621 0fbeba7 0fb8882 0fabf7b 
0fd368d 0012541 0fc6bd2 0fc16e1 0fac5bf 
0fcdf77 0013841 0fc2b82 0fbbe61 0fac74e 
0fcdc20 0014c31 0fc1918 0fbbcbe 0fac957 
0fd3847 00118fd 0fc7f8a 0fc17cb 0fad0a5 
0fca962 00155eb 0fbf5eb 0fb891c 0facdb6 
0fd38ab 001244f 0fc73b7 0fc187f 0fad67e 
0fce666 001350c 0fc3680 0fbc4ca 0fad0d3 
0fce782 00146de 0fc2391 0fbc768 0facd43 
0fd4656 001139a 0fc8abe 0fc24ac 0fad417 
0fcbb33 0014e3e 0fc04db 0fb9922 0facf5c 
0fd4a28 0011c4a 0fc841e 0fc2857 0fad5dc 
0fcf9a6 0012b69 0fc47d9 0fbd68e 0fad308 
0fcf5d0 0013c7b 0fc3049 0fbd4a5 0fad7cb 
0fd51b4 0010971 0fc94f2 0fc2fce 0fae41b 
0fcc67d 001433d 0fc0f03 0fba524 0fadc63 
0fd5513 00111a2 0fc8fe8 0fc33f6 0fae38f 
0fd07d0 0012027 0fc54fd 0fbe4b2 0fadfe6 
0fd0532 001322a 0fc4012 0fbe44c 0fad7a3 
0fd6346 000fc98 0fca622 0fc420a 0fad4f3 
0fcd2df 00136c8 0fc1a5c 0fbb228 0fabb3f 
0fd5cfa 001053f 0fc96f8 0fc3dbb 0fab6ee 
0fd0e01 00112c4 0fc5b3d 0fbed38 0fab2b2 
0fd05fb 001275d 0fc4111 0fbe6f4 0faab4a 
0fd62a9 000f3e2 0fca569 0fc4278 0faaa8c 
0fccef6 00131c7 0fc1705 0fbaea4 0faa424 
0fd5707 00102f6 0fc9314 0fc37f4 0faaae5 
0fd047f 001133a 0fc56a0 0fbe387 0faa7de 
0fcf4a1 0012d14 0fc34ee 0fbd517 0faa827 
0fd4b06 000fe3e 0fc92c5 0fc2a6c 0fab79d 
0fcb0d3 001407b 0fbfa3d 0fb8fe9 0fabdc7 
0fd30d5 001175d 0fc68a2 0fc10bf 0fad63a 
0fcd5e8 0012e07 0fc21db 0fbb404 0fae2c9 
0fcc0cb 0014c3f 0fbff59 0fba08d 0faeedb 
0fd1a2b 0011fe0 0fc6439 0fbf8a9 0fb04ed 
0fc7f4e 00164dc 0fbd14b 0fb5da3 0fb0a24 
0fd01fb 0013d3b 0fc44e4 0fbe051 0fb1cb5 
0fcadc4 0015279 0fc044f 0fb89e8 0fb1f08 
0fc9a65 0017052 0fbdff2 0fb7709 0fb26bf 
0fcf4f4 0014334 0fc40a4 0fbcfb5 0fb38e2 
0fc5789 0018811 0fba8c6 0fb321f 0fb3d6b 
0fcd856 0016167 0fc1898 0fbb417 0fb4856 
0fc8376 001765e 0fbd519 0fb5d23 0fb531e 
0fc6cc7 0019597 0fba92c 0fb47fa 0fb599a 
0fcd2cf 0016354 0fc141f 0fbaddb 0fb6445 
0fc44bf 0019f7e 0fb8eda 0fb2054 0fb5eb9 
0fcd5c2 0016e44 0fc1202 0fbb25b 0fb62e4 
0fc8f1b 00179e8 0fbdff4 0fb6a88 0fb5edb 
0fc8644 0018f72 0fbc516 0fb633b 0fb6175 
0fcf089 00157ab 0fc3619 0fbcc7a 0fb6f8f 
0fc5f64 00193fd 0fba98b 0fb3b4b 0fb6d41 
0fcee55 0016317 0fc29bf 0fbcb2e 0fb75a7 
0fca6f9 0016e3d 0fbf727 0fb8206 0fb755a 
0fc9b3f 001849c 0fbdd15 0fb7814 0fb6fdc 
0fd0720 0014b53 0fc52cb 0fbe21b 0fb73a4 
0fc74fe 0018786 0fbc8dc 0fb5097 0fb64c6 
0fd0597 0015563 0fc4fd6 0fbe2bf 0fb5e69 
0fcc1aa 0015dd6 0fc2a1e 0fb9db6 0fb49af 
0fcb774 00172b7 0fc1465 0fb9519 0fb453c 
0fd2207 0013979 0fc8c87 0fbfe73 0fb4612 
0fc8eb7 0017474 0fc0170 0fb6b5b 0fb359d 
0fd1712 00145ef 0fc7d9d 0fbf47f 0fb3a40 
0fcc995 00153e5 0fc4a08 0fba45a 0fb3df6 
0fcb04b 0017248 0fc2025 0fb8ce6 0fb3b98 
0fd0f39 001413e 0fc85c6 0fbeae4 0fb53b5 
0fc7216 001839b 0fbe97d 0fb4d5e 0fb38d9 
0fcf39f 0015907 0fc567f 0fbcf84 0fb287d 
0fca494 001676f 0fc165e 0fb7df0 0fb28f4 
0fc98f2 001809d 0fbf3c7 0fb72bc 0fb1267 
0fd06e6 0014763 0fc6a9e 0fbdff1 0faf337 
0fc74b5 00182d0 0fbdc12 0fb4e7b 0fadb92 
0fcfef1 0015403 0fc5529 0fbd94b 0fb06a9 
0fcaa3c 00163f8 0fc13b3 0fb83e8 0fb1baf 
0fc878a 001852a 0fbdea6 0fb6387 0faf590 
0fcda11 001597b 0fc381f 0fbb607 0fa82c0 
0fc303b 001a115 0fb9007 0fb0cb5 0fa5297 
0fca2ec 0017e99 0fbf4de 0fb81bb 0fa61eb 
0fc40e9 00196e4 0fba6d2 0fb1d2c 0fa750d 
0fc195d 001bc2f 0fb6ff0 0faf932 0fa74ef 
0fc664e 00196c1 0fbc24a 0fb4694 0fa687f 
0fbb174 001e7d5 0fb12a9 0fa930a 0fa30cf 
0fc177c 001d448 0fb600b 0faf8ce 0f9dcf3 
0fbae6b 001fb04 0fb043c 0fa8924 0f97256 
0fb7147 00234f3 0fab2c4 0fa4933 0f91e05 
0fbb1cc 00222a5 0fafc95 0fa853c 0f8d4cd 
0faf107 00285e1 0fa4b49 0f9c4d8 0f864db 
0fb4172 0028124 0fa9788 0fa17fb 0f8116b 
0facd87 002b1be 0fa4185 0f9a1c6 0f7c198 
0fa88ef 002f2ae 0f9f1c6 0f960f7 0f7b796 
0fabc09 002e398 0fa2a19 0f995ce 0f81114 
0f9f5d2 0034344 0f9619a 0f8cecf 0f86523 
0fa57c1 00337ba 0f9b096 0f932be 0f8b06f 
0f9f2b1 0036185 0f95da5 0f8cc20 0f8e377 
0f9bbec 003973e 0f916f3 0f898cd 0f8fe7b 
0fa04b7 0037c60 0f964c1 0f8e1ca 0f93e4b 
0f95400 003d43e 0f8b8ad 0f831d9 0f983a1 
0f9b9ec 003c407 0f912b7 0f89b83 0f9db9b 
0f95f24 003e55e 0f8cd5f 0f840fa 0fa2a85 
0f93b05 004169e 0f893fa 0f81cae 0fa61f3 
0f9a4db 003f095 0f8fd4c 0f88437 0fa7094 
0f913cc 0043a1b 0f86ee3 0f7f2b8 0fa5cd4 
0f9a33c 00414e7 0f8ed72 0f8830d 0fa1f9a 
0f970ee 0042001 0f8cc1e 0f84eea 0f9b0e3 
0f96571 0043cbf 0f8af84 0f8454c 0f9424c 
0f9dd64 00406fb 0f92bdc 0f8bbee 0f8f82b 
0f95347 00444ca 0f8a7aa 0f831a7 0f8c1b3 
0f9dba1 0041cba 0f920f7 0f8bb16 0f8ab3a 
0f99c5c 00428f7 0f8f508 0f87a68 0f890cb 
0f97f04 004497e 0f8c8a6 0f85f10 0f86e5a 
0f9e3e7 00419a4 0f93229 0f8c2fc 0f863d2 
0f946fd 0045e6f 0f898f0 0f82530 0f85afc 
0f9bc14 00441ea 0f8f890 0f89aa7 0f87e04 
0f96f24 0045832 0f8bd74 0f84cc2 0f8aadb 
0f9485e 00483f5 0f882ae 0f8273c 0f8c598 
0f9ae27 00459c1 0f8efc5 0f88d71 0f8c1b1 
0f92134 00499a5 0f86e9d 0f8013a 0f8845c 
0f9acad 0046f62 0f8ec28 0f88de6 0f851a3 
0f97b09 004739e 0f8cd70 0f85a57 0f82665 
0f96f99 0048965 0f8b35d 0f85082 0f7f713 
0f9f3d8 0041651 0f93b9e 0f8d2a9 0f7cf42 
0f972a6 0022ce6 0f8bf96 0f84e42 0f79766 
0fa020c 0fce22f 0f93f6c 0f8de6d 0f756d3 
0f9defe 0faf1ef 0f930c5 0f8bab5 0f6f46f 
0f9e0c0 0fa4a58 0f922ce 0f8bcf4 0f68c5c 
0fa6772 0f9cab6 0f9ae68 0f94448 0f6354c 
0f9eab0 0f90e22 0f937f0 0f8c7fa 0f5f923 
0fa87b0 0f7ee0f 0f9c57d 0f96720 0f62b07 
0fa6779 0f704d6 0f9b8d8 0f945ac 0f63686 
0fa5990 0f666cc 0f99a4a 0f939d1 0f64383 
0fad81c 0f6221b 0fa1d86 0f9b711 0f64397 
0fa5663 0f5f4bb 0f9a281 0f9351d 0f61a2a 
0faeca0 0f5e838 0fa27c1 0f9cc56 0f5fb5d 
0facbb9 0f5e4db 0fa1a39 0f9a953 0f5d3a0 
0fac532 0f5ec09 0fa059d 0f9a4f1 0f59c92 
0fb510b 0f5dfae 0fa96a9 0fa3042 0f5ae68 
0facf80 0f5c6e3 0fa1e50 0f9ae91 0f5d44b 
0fb5f19 0f5ec26 0fa9c14 0fa3ebc 0f601d8 
0fb3406 0f61e04 0fa8420 0fa11c2 0f62859 
0fb2146 0f66a3d 0fa6573 0fa0186 0f62173 
0fbaf63 0f6ced2 0faf932 0fa8ee1 0f60176 
0fb3a91 0f6f754 0fa8dac 0fa19f4 0f5e027 
0fbddb6 0f73302 0fb1ed7 0fabf24 0f5d0f1 
0fbd044 0f74bac 0fb21a3 0faafca 0f5cd44 
0fbd45b 0f77021 0fb111d 0fab4a6 0f5cece 
0fc6f7d 0f7a917 0fbab52 0fb4dce 0f5e597 
0fc00c5 0f7c7e1 0fb4167 0fade2f 0f5dcc7 
0fca45e 0f7f370 0fbd279 0fb8331 0f5dbb1 
0fc9420 0f82744 0fbd5b9 0fb7232 0f5c81d 
0fc9288 0f880c3 0fbc25a 0fb739f 0f589e4 
0fd305d 0f8fc31 0fc60bf 0fc1150 0f532ef 
0fcbf8f 0f96111 0fbf6da 0fba063 0f4c8bc 
0fd6209 0f9f8f9 0fc87cb 0fc4355 0f45332 
0fd4997 0fa935b 0fc825a 0fc296f 0f3f000 
0fd31dc 0fae0bc 0fc5fd9 0fc13bd 0f3ee3a 
0fdb868 0fb42ce 0fce651 0fc9897 0f40bb7 
0fd2c20 0fb96a4 0fc5a37 0fc09d7 0f4211a 
0fdb590 0fbca5b 0fcc5ab 0fc93b5 0f466e6 
0fd805d 0fbe365 0fca7cf 0fc5a7d 0f4db37 
0fcbee5 0fd8460 0fc0915 0fba4a4 0fa4e4e 
0fc45e5 0fd8331 0fba10d 0fb2a53 0fa4733 
0fc6f90 0fd8c7f 0fbb7a1 0fb55d8 0fa3f8c 
0fc9dfd 0fd9540 0fbf369 0fb82ae 0fa4050 
0fc22ea 0fd8a60 0fb75e4 0fb0885 0fa38a8 
0fcb586 0fd9129 0fbffcb 0fb9b61 0fa407c 
0fc3f23 0fd8ba2 0fb9a68 0fb2395 0fa3cfe 
0fc67ec 0fd89bc 0fbb050 0fb4e34 0fa3dc5 
0fc989e 0fd8f15 0fbee00 0fb7d42 0fa42bc 
0fc1d29 0fd83a8 0fb7042 0fb02a9 0fa3b17 
0fcb066 0fd89d0 0fbfaa4 0fb9622 0fa4346 
0fc3ac1 0fd837a 0fb9625 0fb1f18 0fa3e8b 
0fc64bd 0fd829b 0fbad28 0fb4acd 0fa404f 
0fc9754 0fd8736 0fbec8a 0fb7bc8 0fa4493 
0fc1bd6 0fd7d1d 0fb6eb2 0fb0132 0fa3ca4 
0fcaf71 0fd843f 0fbf91d 0fb9522 0fa434d 
0fc39c1 0fd7d86 0fb948e 0fb1e07 0fa3bd7 
0fc6246 0fd7c67 0fbaa6d 0fb484f 0fa3bd2 
0fc9603 0fd8100 0fbeb2a 0fb7a66 0fa4117 
0fc1827 0fd758d 0fb6b73 0fafd6c 0fa39d9 
0fcabf2 0fd7c81 0fbf629 0fb91a0 0fa42fa 
0fc388e 0fd772c 0fb9408 0fb1cb9 0fa3e76 
0fc6039 0fd76cd 0fba8e2 0fb463a 0fa3ec5 
0fc94eb 0fd7ced 0fbea2a 0fb7928 0fa42da 
0fc1674 0fd7277 0fb699f 0fafb8b 0fa3a1b 
0fca9fb 0fd79f0 0fbf3d0 0fb8f7d 0fa42a3 
0fc3713 0fd7308 0fb9207 0fb1b40 0fa3e67 
0fc5cff 0fd713b 0fba5b0 0fb431b 0fa400b 
0fc92d4 0fd75c8 0fbe837 0fb774d 0fa45d0 
0fc141d 0fd6973 0fb67d0 0faf974 0fa3f00 
0fca77c 0fd7190 0fbf1da 0fb8d3c 0fa49f1 
0fc3483 0fd6c2e 0fb905c 0fb18f8 0fa46ea 
0fc5925 0fd6b38 0fba242 0fb3f7e 0fa499a 
0fc9069 0fd7158 0fbe5e6 0fb7529 0fa4f51 
0fc1292 0fd6850 0fb6640 0faf811 0fa48bf 
0fca6aa 0fd726a 0fbf08a 0fb8c82 0fa52fd 
0fc34fd 0fd6dcf 0fb9081 0fb1992 0fa4e83 
0fc5674 0fd6dca 0fb9f7d 0fb3cf1 0fa4f7b 
0fc8fc0 0fd7782 0fbe50b 0fb74a0 0fa579f 
0fc0fb1 0fd6f71 0fb637b 0faf56d 0fa5463 
0fca1d2 0fd7ba3 0fbeb9f 0fb880f 0fa61ac 
0fc3009 0fd7e8a 0fb8b5e 0fb14ea 0fa61de 
0fc512f 0fd82d8 0fb9a0c 0fb37db 0fa698d 
0fc8976 0fd8eab 0fbde72 0fb6e81 0fa74f3 
0fc08c0 0fd8dff 0fb5c67 0faeea8 0fa7355 
0fc9d07 0fd9cd1 0fbe642 0fb8350 0fa800b 
0fc2d8f 0fd9c58 0fb8848 0fb1267 0fa80fb 
0fc4e5a 0fda11e 0fb9660 0fb350a 0fa844d 
0fc8a71 0fdae83 0fbdf29 0fb6fbd 0fa898e 
0fc0a8e 0fda83f 0fb5e92 0faf0d2 0fa8282 
0fc9b1e 0fdc038 0fbea59 0fb8212 0fa85fc 
