0fa4545 0fc479d 0f97ceb 0f9a7c8 0ff6a14 
0fc0401 0fccf3c 0fb3d19 0fb587e 001aea9 
0fb036e 0fcb406 0fa3d06 0fa535c 001e55d 
0fc1167 0fccc94 0fb4bae 0fb48b0 001bce1 
0fb5064 0fccbfd 0fa8904 0fab31f 001c933 
0fb6867 0fcc15a 0faa2e6 0fa9ebd 001e240 
0fbf1ad 0fcd325 0fb2a5e 0fb45bf 001b3d3 
0fae960 0fca0bb 0fa2271 0fa3be5 001ee2c 
0fbf6b0 0fc7b02 0fb3085 0fb31b0 001c7e8 
0fb3e5c 0fc1d18 0fa76ab 0faa59f 001d1a8 
0fb5a47 0fbdecd 0fa947d 0fa9485 001e947 
0fbeead 0fbe91b 0fb276e 0fb46ef 001b71e 
0faf0c5 0fbb6b0 0fa2a25 0fa42fa 001ec97 
0fbfca2 0fbd70a 0fb36aa 0fb3418 001c474 
0fb3dfd 0fbf89f 0fa7654 0faa15e 001d0ed 
0fb4396 0fc399b 0fa7dfc 0fa7922 001eea2 
0fbd2ec 0fc6645 0fb0c45 0fb25d9 001c0f0 
0facfed 0fc42f5 0fa09f6 0fa227b 001f9e3 
0fbe3d5 0fc43dc 0fb1e8b 0fb1d39 001d249 
0fb3273 0fc3a6c 0fa6b70 0fa980f 001dad6 
0fb42c3 0fc3b9c 0fa7def 0fa7a0a 001f562 
0fbd9bf 0fc59e4 0fb12ca 0fb2d4f 001c583 
0fad8ba 0fc7a1f 0fa1231 0fa2a15 001fbdd 
0fbe8dd 0fcea32 0fb2374 0fb1f05 001d42f 
0fb3190 0fd65d5 0fa6a85 0fa9479 001de14 
0fb418d 0fdbefa 0fa7cbc 0fa725e 001f96f 
0fbe246 0fee570 0fb1ae2 0fb3159 001c598 
0fae20f 001ec28 0fa1c1f 0fa308d 001fa84 
0fbfcec 001c5a1 0fb3824 0fb2d88 001cf34 
0fb535f 001c92f 0fa8ce5 0fab2fc 001d2eb 
0fb6836 001dfe9 0faa3a9 0fa9936 001e98d 
0fc10c7 001a789 0fb4b0e 0fb5f8e 001b104 
0fb0a21 001da75 0fa44b6 0fa5a5e 001e42b 
0fc1fc7 001b06b 0fb5b0d 0fb5499 001b9e7 
0fb70d1 001b43e 0faaab4 0fad427 001bde5 
0fb769a 001ceae 0fab324 0faac3a 001d84d 
0fc1dba 00199a9 0fb5917 0fb6daf 001a323 
0fb0bac 001d195 0fa4745 0fa5d7f 001db53 
0fc1d31 001ad02 0fb59b5 0fb5516 001b682 
0fb6c78 001b419 0faa7ac 0fad091 001bdc5 
0fb6b68 001d3c8 0faa997 0fa9b98 001dd70 
0fc1694 001a1e3 0fb53ff 0fb605e 001ab6f 
0fafcfc 001df14 0fa3a7e 0fa4b69 001e8dc 
0fc08df 001c29e 0fb46dd 0fb3d28 001cc34 
0fb5ad0 001cdcb 0fa967e 0fac402 001d788 
0fb5477 001f03a 0fa91a7 0fa9003 001f9fb 
0fbfacb 001bb79 0fb3691 0fb4cd6 001c515 
0faea21 001f1fb 0fa264f 0fa35f1 001fbd3 
0fbf6d7 001cca2 0fb33cd 0fb2919 001d63d 
0fb3f7b 001d4e6 0fa79fd 0faa350 001deaf 
0fb2fd7 001f5cf 0fa6bf8 0fa62fd 001ff9b 
0fbd54e 001c19a 0fb10c2 0fb231a 001cb40 
0fab805 001f2b0 0f9f307 0fa09a6 002033b 
0fbcbdf 0febff3 0fb063f 0fb01b3 001dbe9 
0fb2a27 0fdae1e 0fa63ce 0fa92e9 001ddc1 
0fb2108 0fd8eea 0fa5cfa 0fa59c4 001fb5c 
0fbbfb9 0fdc446 0fafa9b 0fb1025 001c8ad 
0faa201 0fdd29f 0f9dcd4 0f9f43d 002054f 
0fba5df 0fe009d 0fae17b 0fad7f0 001e59b 
0fafa83 0feb51b 0fa335a 0fa5b88 001ef85 
0fae74a 0007a96 0fa2148 0fa18f4 002147a 
0fb85bf 0fef290 0fabe7f 0fad36c 001e831 
0fa65b5 000d33e 0f99e88 0f9b644 002273a 
0fb5dbe 000566b 0fa9795 0fa8eb2 0020c4a 
0faaad3 00066bd 0f9e2be 0fa0cc9 00219b8 
0fa9154 0010dc5 0f9cb42 0f9c4dd 00242a1 
0fb29df 0ff3c18 0fa625d 0fa7801 00219d2 
0fa07a8 0ffbf40 0f94029 0f95881 0025b41 
0faf985 0fdddb2 0fa347a 0fa2c57 0024345 
0fa4408 0fd6c03 0f97e45 0f9a87b 0025452 
0fa2085 0fd4980 0f95c27 0f95705 0028242 
0faadbf 0fd42c8 0f9e853 0f9ffb2 0025fa6 
0f97eae 0fd1725 0f8b9a9 0f8d3d0 002a8b4 
0fa59ef 0fd18b6 0f995e3 0f98e85 0029b7e 
0f99779 0fd0beb 0f8d172 0f8fc71 002b5e8 
0f963cc 0fe190b 0f89d64 0f898a9 002eccf 
0f9e362 0fea1c5 0f91b5f 0f932b6 002d4af 
0f8b330 00126b6 0f7eb73 0f805bd 00324ec 
0f99612 0010ff3 0f8cf1f 0f8c714 0031d70 
0f8e4eb 002927d 0f81d24 0f84705 00337fa 
0f8b985 0036385 0f7f557 0f7eefb 0036de4 
0f94b43 0034720 0f8857c 0f899b2 0035169 
0f82844 00390f3 0f762c0 0f77c6c 0039b6c 
0f910b6 00384d3 0f84c0b 0f843b8 0038f21 
0f8632d 0039a7c 0f79c85 0f7c852 003a4ea 
0f834bb 003cfa9 0f7700b 0f76cbd 003da1b 
0f8ccd4 003b16b 0f806b7 0f81d4e 003bbdb 
0f7ad5e 003fa06 0f6e7b3 0f703b4 00404d1 
0f89b95 0032579 0f7d4a3 0f7cec0 003f79e 
0f7ffd9 003a035 0f73795 0f762ef 0040aff 
0f7e90c 0042a91 0f7246b 0f71f13 0043973 
0f8a7e3 002c26b 0f7df2a 0f7f23a 0040f2f 
0f7a7d5 003fb17 0f6dffa 0f6f873 0044ae1 
0f8b4ac 002f145 0f7ed57 0f7e1b3 0042f46 
0f83fab 0021d1b 0f77602 0f79d1a 0043006 
0f83d69 0020ee2 0f7759e 0f76dea 0044e23 
0f90879 0ff687b 0f83f06 0f84fc5 0041761 
0f816d8 0fef329 0f74d6c 0f7643f 004456b 
0f9282d 0fcc42e 0f86151 0f854d0 0041ee2 
0f8b9bb 0fb87e4 0f7f3d3 0f819d3 0041526 
0f8be7e 0fb5d84 0f7fab9 0f7f28c 00429f4 
0f99359 0fb6043 0f8ce58 0f8de7c 003ead7 
0f8a856 0fb3a17 0f7e3b0 0f7fa29 00410db 
0f9c135 0fb3d66 0f8fd95 0f8f041 003e368 
0f959b5 0fb331a 0f89479 0f8b952 003d384 
0f95876 0fb1cf5 0f89545 0f88c33 003e518 
0fa2afc 0fb2946 0f9665a 0f9754c 003a1c2 
0f9341d 0fb1423 0f86fb0 0f88678 003c607 
0fa3f9b 0fb2c9e 0f97c64 0f96f7f 003998f 
0f9d025 0fb3858 0f90b3c 0f92f90 003890d 
0f9c18e 0fb31a0 0f8feeb 0f8f7c7 0039c46 
0fa8ca9 0fb4726 0f9c8ba 0f9d91f 0035aad 
0f98b1e 0fb3b3b 0f8c767 0f8dfee 0038184 
0fa8a29 0fb68a4 0f9c774 0f9bcfb 00358d7 
0fa0d2e 0fb9711 0f948b5 0f97039 0034db5 
0f9e92d 0fbd964 0f926df 0f9210d 0036a1d 
0faa7cb 0fc67e4 0f9e42b 0f9f4e7 0032f20 
0f9990b 0fd05ac 0f8d3b4 0f8eec4 0035d12 
0fa8b49 0fd36bc 0f9c698 0f9be03 0033c91 
0fa066b 0fe8037 0f93f22 0f96804 003388c 
0f9ddae 0013b3d 0f91830 0f91334 00359ea 
0faa098 001803b 0f9da36 0f9ea7a 00323a2 
0f99283 0033df9 0f8cea8 0f8e853 00353bc 
0fa8cd4 0032984 0f9ca42 0f9c081 0033393 
0fa105d 00321da 0f94bd8 0f97462 0032c01 
0f9e6af 0034150 0f9241b 0f92036 0034b71 
0faad04 0030844 0f9e923 0f9fa38 003124b 
0f99cf5 003376e 0f8d945 0f8f3e9 00341a4 
0fa95c6 0031736 0f9d375 0f9c9ca 003213e 
0fa1eec 0030f33 0f95ac9 0f98384 0031956 
0f9f3e4 0032f15 0f9318f 0f92dae 0033933 
0fac235 002f4bb 0f9fe51 0fa0f13 002feca 
0f9b5fc 0032475 0f8f1cd 0f90c46 0032ea7 
0fab1e0 0030450 0f9eec8 0f9e2a9 0030e76 
0fa401b 002fa0c 0f97aef 0f9a287 00304b5 
0fa1367 0031af2 0f950ad 0f94c9f 003250a 
0fae841 002dea0 0fa2403 0fa344c 002e8c5 
0f9da9f 0030b8e 0f9166e 0f930ca 00315bb 
0fad90a 002e97b 0fa15db 0fa09b2 002f36c 
0fa68ca 002dedc 0f9a3c3 0f9cb15 002e8a4 
0fa3935 002feff 0f9764e 0f97185 003091d 
0fb0e6d 002c273 0fa4a54 0fa5a4d 002cc21 
0fa038b 002ec2b 0f93f32 0f95aa0 002f69b 
0fb0281 002c8e3 0fa3fb0 0fa3510 002d2a9 
0fa99ac 002bb2a 0f9d521 0f9fe18 002c4eb 
0fa684f 002dab8 0f9a525 0f9a17c 002e4da 
0fb37b9 002a03d 0fa73ab 0fa8257 002aa1e 
0fa2142 002cf42 0f95d02 0f97814 002d8e6 
0fb141a 002b0e6 0fa5114 0fa45b0 002baa0 
0faa421 002a71d 0f9df4f 0fa074e 002b109 
0fa653a 002caff 0f9a284 0f99f9e 002d445 
0fb396d 002926c 0fa7596 0fa85e2 0029c43 
0fa2722 002c10d 0f96320 0f97f79 002ca92 
0fb1e8b 002a24b 0fa5bb7 0fa4f85 002ac1b 
0fabc4b 00296e3 0f9f777 0fa1e02 002a0d1 
0fa8c80 002b696 0f9c9c1 0f9c49d 002c086 
0fb6fdf 00213ac 0faa9ee 0fab597 00282bb 
0fa5518 0029e88 0f9902e 0f9ac12 002b091 
0fb3de7 00289f3 0fa7a70 0fa7039 00294c5 
0fad11a 0027b95 0fa0b04 0fa3327 0028bff 
0fa8d26 0028d80 0f9c8f8 0f9c553 002b160 
0fb59e6 001f79c 0fa93d8 0faa284 00279f8 
0fa347b 002a464 0f96feb 0f98bb7 002ae69 
0fb1b55 0028c03 0fa5824 0fa4bb4 00295d8 
0fab112 0028385 0f9ebf4 0fa12ae 0028d77 
0fa6862 002ac9d 0f9a51e 0f9a174 002b695 
0fb3eba 0027653 0fa7a56 0fa8848 0028026 
0fa2775 002a763 0f962d5 0f97ea7 002b164 
0fb0e5f 0028f30 0fa4afc 0fa3ed1 0029909 
0faaa27 00285e9 0f9e4da 0fa0c16 0028fd2 
0fa60d2 002ae08 0f99d5e 0f99a9a 002b7fd 
0fb37a1 002781c 0fa7346 0fa8118 00281f1 
0fa1fdf 002a807 0f95b76 0f978af 002b206 
0fb00cc 0029186 0fa3dcb 0fa32a0 0029b5c 
0fa9b28 0028977 0f9d640 0f9fdac 0029355 
0fa4d37 002b294 0f98a21 0f987cd 002bc7f 
0fb29b3 0027bde 0fa657e 0fa72c8 00285a4 
0fa1687 002ac3b 0f951e2 0f96e55 002b635 
0fb0025 002947c 0fa3c9d 0fa2fad 0029e4a 
0faad76 00286c2 0f9e7c5 0fa0d0d 00290a2 
0fa6b3e 002ab53 0f9a745 0f9a32f 002b538 
0fb55db 0026ec5 0fa90f6 0fa9bba 0027886 
0fa4fd2 002979e 0f98abe 0f9a62a 002a192 
0fb3fb7 00279bc 0fa7bf4 0fa6e72 0026c89 
0faed71 0026579 0fa274e 0fa4e66 001ae5f 
0fa9e70 0028c6f 0f9da9c 0f9d998 0029207 
0fb7e4a 001dab7 0fab747 0fac630 000ef76 
0fa6343 0027bc9 0f99da2 0f9bd52 00251c6 
0fb4375 002488a 0fa7e98 0fa734b 0021952 
0fae99c 001e682 0fa2160 0fa4936 0016ef2 
0fa900d 00282ca 0f9cb8b 0f9caec 0028ce5 
0fb6c56 001679a 0faa4bf 0fab36f 00114e9 
0fa4d77 0025eec 0f986c5 0f9a6ea 00260d5 
0fb2625 0021fa5 0fa609c 0fa55e5 002788f 
0fac575 0020ff0 0f9fda9 0fa268d 002643e 
0fa636e 002981e 0f99f30 0f9a017 002a256 
0fb3f84 001a30d 0fa782f 0fa87aa 0026e5c 
0fa1ea4 00284cc 0f958a3 0f979dc 002a1b7 
0faf61c 0028526 0fa31b7 0fa28d1 00290e0 
0fa9a1d 0027ce6 0f9d3db 0f9fd3d 00288d5 
0fa3732 002af3d 0f97324 0f97292 002b93a 
0fb173e 0027d35 0fa5245 0fa5e44 002870e 
0f9fd5f 002afcc 0f9380c 0f956a7 002b9d7 
0fad922 0028f1b 0fa14fb 0fa08e3 002a837 
0fa88b3 0012534 0f9c045 0f9e851 0029d09 
0fa28c0 0ffdb9e 0f96243 0f9615d 002c9b2 
0fb0cca 0fd314b 0fa4806 0fa53e8 00293dc 
0f9edd7 0fcfbd7 0f9291e 0f948de 002c4ce 
0fac638 0fcf742 0fa0306 0f9f72a 002b32a 
0fa70af 0fcef25 0f9ab95 0f9d23c 002a950 
0fa07be 0fcd324 0f9448c 0f942b2 002d9ed 
0faf0ef 0fce803 0fa2ce1 0fa3778 002a619 
0f9d2b3 0fccac8 0f90e3c 0f92d7c 002d97f 
0faad1a 0fcd07f 0f9ea0a 0f9de15 002c9ab 
0fa61aa 0fcd424 0f99c81 0f9c4fe 002bc44 
0f9f9ee 0fcba5f 0f936a7 0f936a4 002eb02 
0fae320 0fcc47e 0fa1ed4 0fa2abb 002b603 
0f9c39e 0fc9d09 0f8ff0e 0f91e3f 002e7ad 
0fa9c28 0fc8a2f 0f9d94d 0f9cb70 002d686 
0fa4d08 0fc7186 0f98810 0f9adbe 002c9fd 
0f9d8b6 0fc4942 0f91590 0f915c4 002fc61 
0fab45d 0fc55fb 0f9f04a 0f9fd49 002cadc 
0f9850c 0fc40e3 0f8c09a 0f8e2f9 00301f7 
0fa4c54 0fc45b7 0f9896c 0f97fa4 002f944 
0f9f7ef 0fc4dfb 0f932fa 0f95b23 002f2d5 
0f989be 0fc3764 0f8c6b2 0f8c5a6 0032752 
0fa7936 0fc4771 0f9b50e 0f9bfc5 002f406 
0f95a1a 0fc3667 0f89587 0f8b493 003285a 
0fa2723 0fc404b 0f963fb 0f9559c 0031bfb 
0f9d52b 0fc4b84 0f90fd7 0f9359e 00313e5 
0f95ebb 0fc3f58 0f89b83 0f899c2 00348f8 
0fa426a 0fc524c 0f97e6d 0f987fe 00318ec 
0f92099 0fc380d 0f85c18 0f87b76 0034e55 
0f9e8bc 0fc3b15 0f925ad 0f918f7 00345a6 
0f99d6d 0fc33c2 0f8d841 0f8fee9 0033fd2 
0f92857 0fc0dc6 0f864e5 0f8649f 0037650 
0fa09c6 0fc0964 0f94543 0f95064 00347ca 
0f8e038 0fbd6fc 0f81b20 0f83d3c 0037df3 
0f99a68 0fbc8e4 0f8d6fc 0f8cafb 00376f7 
0f948bf 0fba88e 0f8830a 0f8ac7f 0037226 
0f8c431 0fb6e81 0f7ff6b 0f80711 003acbd 
0f97a49 0fbac76 0f8b47c 0f8c672 003896c 
0f821c7 0fb9ffd 0f75ad9 0f783ad 003d4b8 
0f8a941 0fbbb78 0f7e33a 0f7e0da 003e84f 
0f83d33 0fbb442 0f775ce 0f7a474 003f8b2 
0f7b22d 0fb55da 0f6ed01 0f6f423 004402b 
0f875b5 0fb5594 0f7af8a 0f7bf1d 004255d 
0f735a7 0fc4dba 0f66d41 0f6936b 0047050 
0f7cf30 0fbf682 0f70864 0f70246 0047fcc 
0f765bd 0fb09d7 0f69ee7 0f6ccce 0048e97 
0f6cdec 0facf9a 0f607ac 0f60fbf 004d9b0 
0f79092 0faab9e 0f6cae9 0f6dbc6 004c177 
0f65f3f 0fa9c81 0f59876 0f5c023 0050a44 
0f70744 0faff22 0f6406c 0f63af5 00516f4 
0f6b58f 0fa9556 0f5ee15 0f61b70 005206c 
0f62f6d 0fbfc73 0f56775 0f56fe6 0056593 
0f703a6 0fb90f7 0f63aab 0f64b6d 005478a 
0f5e239 0fd7d8e 0f515ab 0f53ceb 0058b7c 
0f69e33 0fd32e5 0f5d35c 0f5caff 0059153 
0f66cbc 0fc1d01 0f5a0a0 0f5c9b7 0058fd4 
0f60305 0fcb006 0f53865 0f53ca0 005cabd 
0f70075 0fac2af 0f63670 0f64173 0059d40 
0f60213 0fbb484 0f536fb 0f5586d 005cef2 
0f6d792 0fafdd2 0f60e9a 0f601ae 005c42a 
0f6bb5b 0f9d192 0f5f29b 0f6180e 005b2a5 
0f65f9b 0f9ac8e 0f597bd 0f598fd 005ddab 
0f766d5 0f9a46a 0f69f2c 0f6a6b9 005a51e 
0f66ac8 0f983f2 0f5a2e3 0f5c304 005ce44 
0f740b5 0f981d3 0f67a77 0f66be3 005bc97 
0f727c5 0f972f9 0f65fd5 0f68422 005a408 
0f6c3e5 0f93d1b 0f5fdc5 0f5ff4a 005cc27 
0f7cb3f 0f933a9 0f7047c 0f70c41 0058f9e 
0f6cb9e 0f90739 0f6045d 0f624e0 005b544 
0f7a336 0f8f35a 0f6dd8c 0f6ce15 005a04c 
0f79676 0f8e299 0f6cecb 0f6f1af 0058282 
0f73f23 0f8ba06 0f67932 0f67858 005a3a1 
0f85972 0f8c89f 0f792c9 0f797ae 0055d5d 
0f76a92 0f8b989 0f6a383 0f6c202 00577dc 
0f84980 0f8ca20 0f783e2 0f77536 0055a1e 
0f83fbd 0f8dec0 0f77801 0f79b7b 0053369 
0f7dee2 0f8df58 0f718f8 0f71946 0055084 
0f8f4b2 0f91b90 0f82e04 0f8337b 0050893 
0f7feb5 0f93870 0f7379e 0f75613 0051ffb 
0f8d044 0f972c7 0f80ac4 0f7faf0 00503bc 
0f8b815 0f9b5f5 0f7f0fc 0f8140c 004e139 
0f83cab 0f9e900 0f77885 0f77a94 005039c 
0f93adc 0fa4702 0f87751 0f87e7e 004c017 
0f82e3b 0fa753f 0f76a3f 0f78a72 004e09a 
0f8ed7c 0fac2e3 0f82af9 0f81c1d 004cc80 
0f8cd3b 0fdda7c 0f8054d 0f82905 0022f89 
0f83e6b 004410c 0f77a4d 0f77ab0 0fd43ce 
0f931c4 0049d1f 0f86e86 0f87584 0fa8075 
0f81f5c 004c4b5 0f75bae 0f77ee0 0fa67a1 
0f8d89e 004b7a0 0f816d5 0f809f7 0fa7230 
0f8b8b0 0049f52 0f7f4f8 0f8199f 0fa7e54 
0f826e9 004d03d 0f764be 0f767e5 0fa8960 
0f9209a 00498ac 0f85d91 0f864b3 0fab956 
0f80e4e 004c09f 0f74ab5 0f76c60 0fbff68 
0f8c929 004b4da 0f8074a 0f7f983 0fe6df8 
0f8af91 0049b53 0f7ebaf 0f810e9 0001bea 
0f82bf3 004c9b9 0f76963 0f76c82 00374c0 
0f936f1 0048e49 0f87370 0f87855 001bd9b 
0f83042 004b329 0f76c4e 0f78ecd 0032a83 
0f8f124 004a472 0f82f41 0f82249 003694a 
0f8e3ef 0048626 0f82084 0f8464d 00240e8 
0f85c16 004b11b 0f79a5c 0f79f83 003b2be 
0f97127 0047322 0f8ad6e 0f8b465 000ee10 
0f87897 00492ef 0f7b3bf 0f7d42d 0014513 
0f947bb 0047eb2 0f884dd 0f87609 0ffe4fc 
0f94ba3 0045976 0f886d3 0f8a93d 0fd2101 
0f8d22f 0047cf3 0f80f0a 0f80f85 0fd8396 
0f9f587 001ee7f 0f92e7c 0f9321c 0fb3de3 
0f8f663 0001f6f 0f82dea 0f8503c 0fb28f6 
0f9b96f 0fde014 0f8f3b8 0f8e580 0fb30b4 
0f9b1a8 0fcaeeb 0f8eadc 0f91034 0fb23b4 
0f92262 0fe0477 0f85c80 0f861be 0fb096d 
0fa281e 0fdb07c 0f961e2 0f96879 0fb190e 
0f90fe4 0003fc3 0f84877 0f86cbe 0fb1ea0 
0f9c0a6 0002a87 0f8fb2a 0f8ed20 0fb3dc8 
0fa168f 0fcbe32 0f9525a 0f96f68 0029857 
0fb12fd 0fcccf8 0fa4fc4 0fa48ad 002784b 
0fa88d3 0fcca0c 0f9c3bc 0f9ef7d 002777b 
0fa6f63 0fcb5c6 0f9ac65 0f9aa2d 0029810 
0fb277c 0fcc841 0fa630f 0fa79d0 002646d 
0fa1b0f 0fcaf7b 0f956d6 0f974c5 0029a54 
0fb1925 0fcbbed 0fa55fa 0fa500f 00279f3 
0fa9080 0fcc0f6 0f9cb61 0f9f921 00279e6 
0fa75e8 0fcb3de 0f9b305 0f9b0bc 00299e1 
0fb324f 0fcca0a 0fa6dfd 0fa83ce 00262e5 
0fa24d1 0fcb0a7 0f960c7 0f97e43 0029710 
0fb20bb 0fcc1d1 0fa5db5 0fa56d6 00275c2 
0fa9baf 0fcc34c 0f9d6aa 0fa02e4 002747e 
0fa7bbb 0fcb4e4 0f9b8fd 0f9b5d0 00296b2 
0fb3a22 0fcc9ea 0fa7609 0fa8a89 00260b2 
0fa2cbe 0fcb216 0f968e1 0f985b2 0029502 
0fb27f2 0fcc023 0fa6513 0fa5d01 00274b0 
0faa6c7 0fcbee8 0f9e1db 0fa0de3 0027166 
0fa85db 0fcaf66 0f9c30f 0f9c05a 00292c8 
0fb4674 0fcc7fb 0fa8263 0fa96d6 0025b39 
0fa3903 0fcb05c 0f97515 0f99228 0028e92 
0fb34d3 0fcbc13 0fa7200 0fa69a6 0026d94 
0fab5f4 0fcbac5 0f9f109 0fa1cc5 0026981 
0fa91f7 0fca95d 0f9cf13 0f9ccdb 0028a2d 
0fb5564 0fcc023 0fa912d 0faa513 002515c 
0fa46f9 0fca956 0f982ef 0f9a080 00284a5 
0fb3f09 0fcb899 0fa7c3c 0fa73eb 002657b 
0fac2b7 0fcb886 0f9fde7 0fa29fc 00261d2 
0fa9c63 0fca1f0 0f9d9a5 0f9d775 0028347 
0fb618f 0fcb9e8 0fa9d86 0fab150 0024b1f 
0fa5347 0fca5ae 0f98f66 0f9ad48 0027d5c 
0fb48e9 0fcb4d3 0fa8639 0fa7db2 0025ed3 
0facedb 0fcb948 0fa0a02 0fa35bf 00259f1 
0faa516 0fcaa67 0f9e254 0f9e073 0027c0c 
0fb6cbc 0fcbf44 0faa891 0fabc1c 00243e6 
0fa5e00 0fca6a0 0f99a09 0f9b7f7 0027638 
0fb52d2 0fcb20e 0fa8ff6 0fa87af 0025765 
0fada8e 0fcb40e 0fa15a2 0fa4176 0025222 
0faaa92 0fca566 0f9e7ac 0f9e61a 0027593 
0fb7117 0fcbd0d 0faad03 0fac092 0023ede 
0fa6015 0fca715 0f99c12 0f9bb08 00271e2 
0fb524b 0fcb07b 0fa8f91 0fa87bd 002547a 
0fadef8 0fcaed0 0fa1a29 0fa466a 0024d87 
0faad10 0fc98c2 0f9ea2a 0f9e984 0027181 
0fb78ce 0fcae59 0fab4b2 0fac894 002393d 
0fa68ab 0fc9b53 0f9a484 0f9c45e 0026c2e 
0fb5986 0fcab01 0fa969a 0fa8f35 0024f48 
0fae894 0fca963 0fa23d7 0fa5025 002485c 
0fab4f9 0fc9544 0f9f256 0f9f2ce 0026c45 
0fb80fa 0fca9ff 0fabd17 0fad199 002350e 
0fa6f99 0fc8edf 0f9abe2 0f9cc38 0026788 
0fb5d0e 0fc9b91 0fa9a85 0fa94a2 0024aac 
0fae9e8 0fca239 0fa2539 0fa5306 0024523 
0faad70 0fc929b 0f9ead5 0f9ebc0 0026c61 
0fb7a5c 0fcaab4 0fab6b7 0faca55 00235b5 
0fa660b 0fc95c5 0f9a22f 0f9c2de 002694f 
0fb4f5e 0fca460 0fa8ce0 0fa85b6 0024f77 
0fae1db 0fcab1c 0fa1d9a 0fa4940 0024959 
0faa55b 0fc9d98 0f9e31f 0f9e405 0026f95 
0fb744b 0fcba4a 0fab0e7 0fac4f8 0023941 
0fa636f 0fca82b 0f9a008 0f9c13e 0026baa 
0fb4fd3 0fcb891 0fa8dbe 0fa86c4 0025075 
0fae7de 0fcbd1d 0fa23e3 0fa5016 0024819 
0faaa54 0fcae08 0f9e854 0f9e8c8 0026de4 
0fb7ea7 0fcc8c5 0fabb62 0face40 00234e1 
0fa6e00 0fcb3fc 0f9aab4 0f9cb80 0026695 
