0fc4527 0fe3b35 0fbbe91 0fb47bd 0fb7639 
0fb6d49 0014c72 0fae8af 0fa6d26 0faacf8 
0fb3188 0016ebb 0faa18d 0fa3739 0fa6796 
0fb8e1d 0015046 0fb065f 0fa92df 0fac9d0 
0fb0f3a 0017df3 0fa86df 0fa10e5 0fa4885 
0fb756e 00169c8 0fae23d 0fa7a2b 0fa9726 
0fb55fe 00165cd 0fad096 0fa56e7 0fa9011 
0fb2f83 0017ecc 0fa9d71 0fa34ef 0fa5a0e 
0fb9aa2 0015799 0fb093d 0fa9d78 0facd21 
0fb1804 00181f4 0fa8cd7 0fa197f 0fa4ff5 
0fb7da8 0016f1b 0fae784 0fa8287 0fa9eb0 
0fb56cb 00173f1 0facf3c 0fa567f 0fa8b51 
0fb2afd 0019248 0fa974b 0fa2e9b 0fa4f7e 
0fb90a3 0016ed3 0fb011d 0fa92d8 0fabc37 
0fb067d 0019b6a 0fa7d37 0fa07cb 0fa3e8c 
0fb619c 0018b10 0fac9c9 0fa6619 0fa87d2 
0fb345b 0019026 0faaca7 0fa3430 0fa6e14 
0fb03ce 001affc 0fa72ff 0fa07f0 0fa2b1c 
0fb6f7f 0018b7a 0fae2bf 0fa71ea 0fa9988 
0faf273 001b322 0fa6c11 0f9f3c3 0fa24c6 
0fb53a3 0019e21 0fac140 0fa58d9 0fa7480 
0fb27e8 001a045 0faa506 0fa2896 0fa5e03 
0faf583 001be44 0fa6671 0f9f9ed 0fa1d37 
0fb58f8 0019a7c 0facbb0 0fa5aac 0fa84b6 
0facf5f 001c5ef 0fa49c7 0f9d02b 0fa0421 
0fb2a0a 001b48e 0fa97be 0fa2e1e 0fa4aaa 
0fafe71 001b777 0fa79cb 0f9fdc6 0fa331e 
0face25 001d623 0fa3dc9 0f9d197 0f9f4ae 
0fb3145 001b436 0faa410 0fa32de 0fa5c2b 
0fa9fc1 001e475 0fa18a4 0f9a017 0f9d5a5 
0fae90b 001dc2b 0fa554e 0f9ecc8 0fa0d7a 
0faa5ae 001ed02 0fa20c3 0f9a4de 0f9e043 
0fa5dde 0021a27 0f9ce14 0f96126 0f98764 
0fab50d 0020387 0fa27eb 0f9b691 0f9e153 
0fa2b63 00237ab 0f9a534 0f92bfc 0f95fb5 
0fa81f6 0022e56 0f9f06a 0f98619 0f9a416 
0fa4a2d 0023c97 0f9c6ee 0f94996 0f98363 
0fa0624 0026830 0f977d5 0f90970 0f92f0a 
0fa54e8 00254df 0f9ca25 0f9568a 0f9825e 
0f9bc96 0028f9b 0f93869 0f8bd0c 0f8f184 
0fa055f 0028f85 0f9741b 0f9091a 0f92792 
0f9c3a5 002a504 0f9413c 0f8c26d 0f8fdde 
0f975b0 002d752 0f8e891 0f87848 0f89f0c 
0f9b60b 002cb4e 0f92d53 0f8b6b3 0f8e10b 
0f90b48 0030f50 0f8882e 0f80b0d 0f8437b 
0f9444b 003183f 0f8b4d1 0f8479f 0f8694c 
0f8f77a 00335b1 0f876cc 0f7f633 0f831f7 
0f8a0d6 0037004 0f815c8 0f7a3ca 0f7cb71 
0f8e2f6 0036887 0f859b7 0f7e3f8 0f810dd 
0f83a3e 003afe1 0f7b877 0f73a47 0f771e1 
0f86f6d 003bc5f 0f7e010 0f77266 0f79612 
0f81e49 003de33 0f79d97 0f71c89 0f75b33 
0f7c3bc 0041ca7 0f73912 0f6c656 0f6f07f 
0f80236 0041905 0f77884 0f702ce 0f734a4 
0f75859 0046318 0f6d5d5 0f657f1 0f693f1 
0f78ebf 00472d1 0f6ff69 0f691bf 0f6b6f7 
0f741a0 00495d6 0f6bfcb 0f63fd7 0f67f91 
0f6eb92 004d507 0f65ee5 0f5edc8 0f618ed 
0f73195 004d080 0f6a726 0f6323d 0f662e7 
0f692d3 0051751 0f60e37 0f5927c 0f5cd73 
0f6d713 00520ed 0f64699 0f5da65 0f5fdd9 
0f696dd 0053e62 0f614f1 0f5955d 0f5d162 
0f64860 00578e0 0f5bcab 0f54ac5 0f5728c 
0f690ef 0057227 0f60903 0f591e6 0f5c00d 
0f5efe1 005b920 0f56f2e 0f4f00f 0f52a11 
0f6352a 005c30c 0f5a5e6 0f538c9 0f55c62 
0f5f9df 005dea4 0f57847 0f4f8af 0f53680 
0f5b06a 00616f3 0f526e2 0f4b3e0 0f4dd43 
0f60763 0060a21 0f5801c 0f508b5 0f5370e 
0f57316 0064a8f 0f4efa6 0f47305 0f4ac17 
0f5c732 0064c06 0f534b4 0f4cb13 0f4ed40 
0f5a10b 0065c64 0f51e05 0f4a06f 0f4d8a4 
0f57164 00686c4 0f4e162 0f4746c 0f49888 
0f5e5cd 00669b9 0f557ee 0f4e743 0f50f86 
0f5750c 0069653 0f4ee86 0f47598 0f4a940 
0f5eeae 00680e5 0f559c8 0f4f29b 0f5115a 
0f5ea64 0067a15 0f566b9 0f4ea24 0f52198 
0f5d537 0068f41 0f54763 0f4d991 0f4f9a2 
0f66613 0065c00 0f5da33 0f568cf 0f58955 
0f609c4 006752d 0f5825e 0f50b52 0f538f0 
0f69199 0065028 0f5fae6 0f59726 0f5b1d6 
0f69d5e 00638ea 0f61508 0f59e35 0f5d31c 
0f69122 00640e9 0f5fee1 0f595ec 0f5b5b8 
0f7293f 00601dd 0f69966 0f62c0f 0f64e13 
0f6d338 0060ea5 0f64ac9 0f5d4a9 0f60122 
0f7605c 005de86 0f6cae0 0f6655b 0f679c0 
0f76fa9 005be4e 0f6e839 0f6700e 0f6a09e 
0f76b6c 005bc76 0f6d9cc 0f66ff7 0f68af1 
0f81295 0057031 0f780f7 0f715d9 0f735c1 
0f7c911 005705e 0f73eda 0f6cb62 0f6f6ad 
0f862d8 0053407 0f7ca28 0f76948 0f77d0c 
0f8771c 005096c 0f7ebce 0f77856 0f7a823 
0f86dca 0050143 0f7d6e7 0f772b0 0f78e8d 
0f907d8 004b4e6 0f874bc 0f80b42 0f82bba 
0f8b1ff 004b650 0f82635 0f7b3d6 0f7e0a8 
0f93d84 0047d36 0f8a393 0f842a1 0f8561d 
0f94b57 0045388 0f8c1a4 0f84c7d 0f8790c 
0f939c5 0044f15 0f8a7a5 0f83efe 0f856a0 
0f9d058 0040415 0f93fbc 0f8d419 0f8efbc 
0f97562 00408ce 0f8ee3d 0f87879 0f89fe9 
0fa00bd 003d246 0f96c5c 0f9083c 0f917eb 
0fa18d8 0030517 0f98dd7 0f9197b 0f94462 
0fa1489 00045eb 0f97d09 0f91780 0f92dc3 
0faaedd 0fc5120 0fa204c 0f9b3f1 0f9cd45 
0fa5a20 0fc0ca5 0f9d47d 0f95e57 0f9847e 
0fae404 0fbea07 0fa5193 0f9eb3f 0f9fa67 
0faeffa 0fbd649 0fa6e9c 0f9f232 0fa184c 
0fad915 0fbca34 0fa4bc6 0f9dedb 0f9f064 
0fb6394 0fbc853 0fad67d 0fa6704 0fa7c5c 
0faf847 0fbcd0e 0fa71bf 0f9f9c0 0fa1b6f 
0fb6977 0fbe5d7 0fad4fd 0fa6ef1 0fa7b3e 
0fb602a 0fbf4b4 0fadcda 0fa613e 0fa8634 
0fb35c0 0fc04be 0faa95d 0fa3aa7 0fa4b5b 
0fbb278 0fc178e 0fb2386 0fab5a4 0fac9be 
0fb3abb 0fc0e9a 0fab799 0fa3d87 0fa6411 
0fb9dca 0fc07e6 0fb0fa0 0faa43f 0fab275 
0fb8a18 0fbfa7c 0fb0544 0fa8b91 0fab815 
0fb5d44 0fbe214 0facbde 0fa6246 0fa7bfe 
0fbd1f5 0fbe905 0fb410a 0fad536 0faf242 
0fb570a 0fbeae5 0facf25 0fa59e9 0fa83d6 
0fbbed5 0fbeb2f 0fb25ea 0fac50f 0fada0b 
0fbb099 0fbf606 0fb2718 0fab27f 0faddcc 
0fb83cd 0fc02f4 0faf41a 0fa8aef 0faa20c 
0fc0194 0fc0ba5 0fb70c8 0fb06ca 0fb22c0 
0fb8a1d 0fc10a2 0faff16 0fa8db0 0fabac7 
0fbf1d3 0fc276a 0fb581c 0faf911 0fb126c 
0fbeaf3 0fc3496 0fb5de9 0faed37 0fb247c 
0fbb9fc 0fc311e 0fb2397 0fabf10 0fae2d5 
0fc2c2e 0fc38f7 0fb9b46 0fb2f55 0fb52ff 
0fbaad0 0fc42fd 0fb2373 0faad7e 0faded0 
0fc0147 0fc4f40 0fb6c29 0fb07f7 0fb1e27 
0fbe0ba 0fc6434 0fb5ad1 0fae1a1 0fb11f4 
0fb9dec 0fc7da8 0fb0d19 0faa230 0fac0fa 
0fc0a31 0fc9165 0fb78cb 0fb0d50 0fb2f6b 
0fb8c02 0fc9647 0fb00c7 0fa8f8b 0fabdae 
0fbeb49 0fc9b67 0fb523b 0faf321 0fb0b23 
0fbd9f0 0fc9c97 0fb5060 0fadd68 0fb1147 
0fba259 0fc9e41 0fb1138 0faa95b 0facabc 
0fc14aa 0fca4a7 0fb84b4 0fb19f4 0fb3e47 
0fb9401 0fca48d 0fb0c3a 0fa9778 0fac99a 
0fbeb7b 0fcab52 0fb559c 0faf230 0fb0e0d 
0fbd322 0fcacc3 0fb4a63 0fad4f7 0fb09cf 
0fb9546 0fca0a4 0fb0425 0fa9b8b 0fabedc 
0fc00b2 0fc9612 0fb7785 0fb0736 0fb2e5d 
0fb8083 0fc7af3 0fafc2c 0fa8588 0faba15 
0fbd846 0fc726d 0fb42c3 0fae02f 0fafdd9 
0fbbe85 0fc66bc 0fb387d 0fac179 0faf89c 
0fb7bda 0fc60e7 0faecf6 0fa81ea 0faa6cf 
0fbe62d 0fc6aa1 0fb55e9 0faea7b 0fb1595 
0fb60c3 0fc5d55 0fad90e 0fa63cb 0fa9b0f 
0fbb60e 0fc67c8 0fb2034 0fabd0b 0fad8c4 
0fb99b3 0fc7b6e 0fb12eb 0fa9bf3 0fac980 
0fb574b 0fc82e8 0fac351 0fa5d45 0fa7f4e 
0fbc226 0fc8502 0fb30c5 0fac6ae 0faee46 
0fb39b7 0fc7c07 0fab247 0fa3c59 0fa6f44 
0fb8d23 0fc7169 0faf7c7 0fa931d 0faaf1e 
0fb7362 0fc60ef 0faeea1 0fa7474 0faa6d8 
0fb30aa 0fc4de2 0faa2c6 0fa355d 0fa53cb 
0fb9e1f 0fc4344 0fb0fc2 0faa17b 0fac65a 
0fb17e2 0fc2b40 0fa90ee 0fa1943 0fa4d1a 
0fb68c8 0fc1f50 0fad3c7 0fa6d8c 0fa88da 
0fb4707 0fc18fd 0fac1a1 0fa476b 0fa7dff 
0faf7ee 0fc0fb1 0fa693b 0f9fc33 0fa2149 
0fb5837 0fc1400 0fac947 0fa5b44 0fa83ae 
0fabed2 0fc0a16 0fa36aa 0f9c0e9 0f9f9ca 
0fb057a 0fbf5c7 0fa6cd9 0fa0ba6 0fa2db0 
0fadf7a 0fbd3ae 0fa55ce 0f9e148 0fa1d15 
0fa8ce0 0fbb26b 0f9fac6 0f9926e 0f9ba34 
0faeabc 0fbb62c 0fa5cc3 0f9ef36 0fa15f3 
0fa5071 0fbc742 0f9cb76 0f952ea 0f98331 
0fa934b 0fbed9a 0fa0021 0f99994 0f9b044 
0fa6e0d 0fbfce6 0f9ea5d 0f96fc7 0f9a06f 
0fa1f23 0fbfced 0f99011 0f92474 0f94339 
0fa845a 0fc03e0 0f9f36e 0f987bf 0f9aa74 
0f9f0da 0fc059d 0f9680e 0f8f295 0f9244a 
0fa37b8 0fc1f6d 0f9a099 0f93d52 0f95700 
0fa12a6 0fc3b56 0f98a1c 0f91367 0f94892 
0f9c1f6 0fc4edb 0f92f4e 0f8c653 0f8e9f4 
0fa2625 0fc654e 0f993ce 0f92923 0f94fef 
0f994e4 0fc6905 0f90bc5 0f8964d 0f8ca76 
0f9ddad 0fc6b7b 0f9465d 0f8e311 0f9002d 
0f9bab4 0fc706b 0f93188 0f8bb33 0f8f31c 
0f96f40 0fc722a 0f8dc12 0f8735e 0f89a02 
0f9dae9 0fc7b13 0f9476e 0f8ddc8 0f90796 
0f95588 0fc6e17 0f8cb30 0f856cd 0f88df5 
0f9a9c4 0fc66b0 0f91208 0f8af09 0f8ccb1 
0f990c4 0fc5983 0f907a2 0f89143 0f8c80a 
0f94a4e 0fc38e2 0f8b7e5 0f84e75 0f8728d 
0f9b4da 0fc080c 0f923b9 0f8b7cd 0f8dc2c 
0f92f92 0fbad31 0f8a570 0f830b3 0f86429 
0f98422 0fb42f0 0f8ebc2 0f88916 0f8a3f3 
0f96525 0fb2ef7 0f8dce7 0f8657b 0f89c91 
0f90ffb 0fb7fee 0f87ef1 0f813fd 0f83af8 
0f96791 0fbeb1a 0f8d7b5 0f86a3f 0f894b3 
0f8ce53 0fce5ee 0f84539 0f7ce33 0f80596 
0f91a0c 0fd18dc 0f87fef 0f81cfd 0f83a6d 
0f903cb 0fc2287 0f8792a 0f80420 0f83b60 
0f8bd34 0fc9654 0f8277d 0f7bf2d 0f7e626 
0f92083 0fc2ef2 0f88d19 0f8231a 0f84bbd 
0f89919 0ff21dd 0f80bb4 0f79703 0f7cc34 
0f8e715 0ffddcb 0f84c5e 0f7e8d0 0f803ad 
0f8cf48 0006e9a 0f843b4 0f7cc96 0f8003e 
0f88990 002e55a 0f7f638 0f78ba7 0f7ac4c 
0f8f6b6 001f828 0f8630c 0f7f6cd 0f819da 
0f86d5a 003d9ec 0f7e48a 0f76e55 0f7a07b 
0f8b7f9 003ec93 0f821bf 0f7bd1d 0f7d77e 
0f8986d 003f362 0f810a9 0f798c9 0f7cd7d 
0f845cd 00421eb 0f7b59e 0f749c7 0f76d18 
0f8a694 0040881 0f816dd 0f7a9b8 0f7cfcb 
0f81bac 00439ef 0f79512 0f71d62 0f75053 
0f8688c 0043371 0f7d3d4 0f76df8 0f7874e 
0f85123 00433a0 0f7cade 0f751e2 0f78551 
0f80a66 004576f 0f77b4f 0f70e96 0f73002 
0f8749e 004376b 0f7e5a9 0f7773d 0f79b72 
0f7ed5f 004672f 0f7670a 0f6ee48 0f72118 
0f838db 00460d8 0f7a4da 0f73d81 0f758f0 
0f8210b 00461d5 0f79aa6 0f72117 0f7557a 
0f7d652 0048b4d 0f74742 0f6da15 0f6fd77 
0f83d22 0046f03 0f7ae4f 0f73fc5 0f76612 
0f7b379 004a155 0f72cf4 0f6b43c 0f6e7c6 
0f7fd6e 0049d7a 0f768bd 0f70219 0f71eb7 
0f7e141 004a366 0f75bce 0f6e1a3 0f71757 
0f79506 004cf6a 0f705d6 0f698d1 0f6bc99 
0f7fc00 004b30c 0f76bab 0f6fe6b 0f723cf 
0f773de 004e299 0f6ebba 0f674df 0f6a8c6 
0f7c1f1 004db4a 0f72bd6 0f6c6f1 0f6e2d7 
0f7b0ae 004d9f2 0f72805 0f6b14c 0f6e6db 
0f76fcd 004fe7b 0f6de38 0f67430 0f69839 
0f7e50b 004d8e7 0f7537f 0f6e840 0f70d32 
0f76d62 004fe67 0f6e41a 0f66ed3 0f6a110 
0f7ca92 004edc7 0f732ad 0f6cfa8 0f6e8a4 
0f7c830 004e2a2 0f73e11 0f6c8be 0f6fb23 
0f790b7 004ff61 0f6fe33 0f6950a 0f6b6dd 
0f80da9 004d337 0f77bbf 0f710d0 0f733d2 
0f798c8 004f46e 0f70fd2 0f69a36 0f6cb1f 
0f7f25c 004e342 0f75c10 0f6f786 0f70f9c 
0f7ed1c 004d749 0f76579 0f6ede2 0f7204c 
0f7b1d0 004f4ee 0f72171 0f6b60a 0f6d885 
0f82f9e 004c882 0f79ea1 0f73299 0f7563c 
0f7be13 004e7d3 0f73649 0f6bf6c 0f6f0f0 
0f820d6 004d1b2 0f78b1c 0f7262d 0f73e68 
0f82791 004c005 0f7a012 0f72886 0f7596c 
0f7f807 004d726 0f766b4 0f6fc83 0f71ce0 
0f88071 004a410 0f7eedf 0f783a6 0f7a465 
0f817b6 004bd8d 0f78e50 0f71920 0f748fa 
0f88510 004a06d 0f7ed13 0f78a78 0f7a02f 
0f898fe 00485b8 0f80e50 0f799e3 0f7c83f 
0f87791 0049182 0f7e436 0f77c35 0f79946 
0f9141f 0045066 0f8806f 0f81805 0f83661 
0f8be57 0045a1e 0f833d6 0f7c06f 0f7ed1a 
0f93540 0043226 0f89ccd 0f83b75 0f84d22 
0f94ee1 0040edd 0f8c485 0f8509b 0f87b37 
0f92c97 0041626 0f899e9 0f831eb 0f84cb9 
0f9c238 003d593 0f92f99 0f8c670 0f8e200 
0f96273 003e0f4 0f8d89f 0f864c4 0f89037 
0f9d4d4 003b77c 0f93c17 0f8db3e 0f8eeb5 
0f9ed0e 003904c 0f961c4 0f8ef34 0f91d4a 
0f9c9d3 00379f7 0f934f0 0f8cfe4 0f8ef05 
0fa67db 0ff0612 0f9ceca 0f96a90 0f98ae0 
0fa0a9a 0fd75f0 0f97bb9 0f90bde 0f93a3d 
0fa7a75 0fc5044 0f9df2d 0f981e9 0f9964e 
0fa9421 0fc1cff 0fa0758 0f996d0 0f9c473 
0fa6b8f 0fbe273 0f9d693 0f97178 0f98eb3 
0fb015a 0fbb323 0fa6ba7 0fa0613 0fa23e5 
0fa9ce4 0fb87aa 0fa1157 0f99f7c 0f9cd03 
0fb0363 0fb765f 0fa68b5 0fa09cb 0fa1f31 
0fb0e1c 0fb6c63 0fa8320 0fa101f 0fa3d7b 
0fad4f7 0fb5974 0fa41cc 0f9daea 0f9f97c 
0fb602a 0fb4236 0facc0c 0fa656a 0fa84f8 
0faf357 0fb1981 0fa68e9 0f9f650 0fa2541 
0fb5413 0faf780 0fababa 0fa5aff 0fa6fbd 
0fb5e65 0fada97 0fad471 0fa607b 0fa8cc7 
0fb254a 0fac12e 0fa929c 0fa2ace 0fa46db 
0fbb02e 0fab846 0fb1c64 0fab4ad 0facfa5 
0fb3f49 0faa8e9 0fab5e4 0fa4194 0fa6bc1 
0fb9ba6 0fa9a0d 0fb03e4 0faa220 0fab3fe 
0fba5b8 0fa7e79 0fb1bd8 0faa794 0fad3f4 
0fb6bad 0fa680a 0fad9ae 0fa70ee 0fa8e34 
0fbf531 0fa75b4 0fb61d5 0faf983 0fb1869 
0fb87c1 0fa8422 0fafcff 0fa89a6 0fab833 
0fbe720 0fa9e9c 0fb4cee 0faed33 0faff05 
0fbf779 0fab590 0fb6b39 0faf98a 0fb2363 
0fbc881 0fab266 0fb32db 0facece 0faea55 
0fc6423 0fab134 0fbcbb4 0fb6ab3 0fb8614 
0fc0c4e 0fa8d5e 0fb7c4f 0fb110b 0fb3c03 
0fc80a6 0fa6e09 0fbe1bc 0fb89e5 0fb9b18 
0fca214 0fa44f4 0fc1168 0fba6b9 0fbd0a0 
0fc785d 0fa1f21 0fbe129 0fb8084 0fb99dd 
0fd0e68 0fa1c7c 0fc77b3 0fc1524 0fc2c36 
0fca4de 0fa42ce 0fc1b99 0fbab96 0fbd321 
0fd02c0 0fa7e80 0fc6af0 0fc0d50 0fc1ca4 
0fd1386 0fa9d06 0fc88cf 0fc1952 0fc43a3 
0fce3ab 0fa9279 0fc4f35 0fbeca5 0fc0996 
0fd79e2 0fa9376 0fce2d2 0fc81f8 0fc9dca 
0fd1f29 0fa8617 0fc920e 0fc24db 0fc4dc9 
0fd8be3 0fa726d 0fcf245 0fc962a 0fca4ad 
0fda106 0fa6419 0fd1828 0fca72a 0fccfab 
0fd67f8 0fa6880 0fcd97d 0fc715b 0fc8ad1 
0fde90c 0fa7019 0fd5a4f 0fcf118 0fd0975 
0fd6999 0fa6127 0fce45e 0fc6e63 0fc9781 
0fdae29 0fa811e 0fd1b9d 0fcb75c 0fcc6a0 
0fda5d3 0faa242 0fd2072 0fcaac5 0fcd3eb 
0fd5a14 0fab535 0fccb96 0fc6296 0fc7f91 
0fdd013 0facba2 0fd3e9e 0fcd7fc 0fcf52b 
0fd514e 0facee8 0fcc8a8 0fc56ea 0fc8476 
0fd9787 0fad4dd 0fcffe7 0fca138 0fcb5a9 
0fd94c5 0fad9ca 0fd0a4c 0fc99cc 0fcc7fb 
0fd4b0e 0fadea9 0fcb879 0fc530a 0fc724f 
0fdc7da 0faf4bb 0fd3457 0fccf25 0fcecc2 
0fd5179 0fb02f1 0fcc80d 0fc563e 0fc8473 
0fd9bab 0fb1f37 0fd041c 0fca445 0fcbaa4 
0fd98dc 0fb3e23 0fd0f9e 0fc9cbe 0fccd37 
0fd48fe 0fb4de3 0fcb858 0fc5005 0fc727a 
0fdbd99 0fb5c63 0fd2c4e 0fcc490 0fce571 
0fd455c 0fb4ef7 0fcbe08 0fc4a45 0fc7c1c 
0fd9135 0fb3d8c 0fcfb50 0fc9aa6 0fcb264 
0fd92db 0fb2abb 0fd0a67 0fc97d6 0fcc804 
0fd448f 0fb12a8 0fcb448 0fc4ce7 0fc6d88 
0fdbbb5 0fafa4d 0fd2a39 0fcc3f5 0fce239 
0fd401a 0fad351 0fcb7fb 0fc45e5 0fc74b3 
0fd81f8 0fabeff 0fcec30 0fc8bfa 0fc9ff5 
0fd78ca 0fab4b7 0fcf0d9 0fc7dfe 0fcab4e 
0fd1d39 0faab0e 0fc8cde 0fc24e3 0fc430c 
0fd89c2 0fac116 0fcf845 0fc90da 0fcac53 
0fd031d 0fae0a1 0fc7cb8 0fc079c 0fc317d 
0fd3c26 0fb128c 0fca78f 0fc44d1 0fc542c 
0fd31b4 0fb3c47 0fcaa12 0fc35cd 0fc5f56 
0fcd7f5 0fb550f 0fc488c 0fbdf6b 0fbfb2e 
0fd4907 0fb6e80 0fcb7d9 0fc502e 0fc6ab6 
0fc3372 0fd2fcf 0fbacd8 0fb37a5 0fb65c6 
0fc43e9 0fd3035 0fbaffb 0fb4cd6 0fb6262 
0fc7e06 0fd381b 0fbf353 0fb838f 0fba8e7 
0fc109f 0fd3430 0fb83ee 0fb1610 0fb38cb 
0fc871e 0fd3a9a 0fbf456 0fb8faa 0fba64f 
0fc32e9 0fd3999 0fbad4c 0fb37ad 0fb64e9 
0fc4297 0fd3b26 0fbaf6f 0fb4bdd 0fb60a6 
0fc7d74 0fd42ba 0fbf32c 0fb83a1 0fba936 
0fc0f4b 0fd3e8d 0fb8449 0fb16d6 0fb39ec 
0fc8840 0fd4811 0fbf552 0fb9144 0fba81d 
0fc3430 0fd43e0 0fbae71 0fb3983 0fb66eb 
0fc448b 0fd42f8 0fbb09b 0fb4e03 0fb6309 
0fc8028 0fd49e5 0fbf55a 0fb8625 0fbab00 
0fc1107 0fd453f 0fb85d0 0fb1847 0fb3abd 
0fc88e7 0fd4ea4 0fbf5e0 0fb91b6 0fba812 
0fc35d4 0fd4b50 0fbb005 0fb3b00 0fb6833 
0fc453a 0fd4a07 0fbb179 0fb4ebf 0fb63bb 
0fc81c6 0fd4e2a 0fbf689 0fb87d0 0fbad47 
0fc1205 0fd4396 0fb8636 0fb194a 0fb3c80 
0fc8afb 0fd4845 0fbf759 0fb93bc 0fbaa44 
0fc38cc 0fd4382 0fbb2eb 0fb3dfa 0fb6afd 
0fc471d 0fd42ce 0fbb3a6 0fb50a8 0fb6548 
0fc830d 0fd48e7 0fbf853 0fb8923 0fbae1b 
0fc13d4 0fd4130 0fb88ab 0fb1b27 0fb3e07 
0fc8cd5 0fd46b8 0fbf9c6 0fb9601 0fbacab 
0fc3ca5 0fd424e 0fbb77b 0fb42f4 0fb7053 
0fc4b57 0fd3f1a 0fbb861 0fb560d 0fb6ae6 
0fc886d 0fd4343 0fbfe41 0fb8fb9 0fbb483 
0fc198a 0fd3c99 0fb8ee7 0fb21b2 0fb445c 
0fc91d2 0fd442c 0fbff68 0fb9bb1 0fbb120 
0fc3fbb 0fd41f1 0fbbabf 0fb45e9 0fb720d 
0fc4dca 0fd4247 0fbbadf 0fb5858 0fb6c61 
0fc8b5f 0fd48cc 0fc00de 0fb9277 0fbb61a 
0fc1b47 0fd4476 0fb904b 0fb237e 0fb44ff 
0fc9461 0fd4ae1 0fc011b 0fb9e2d 0fbb267 
0fc461e 0fd4451 0fbbfda 0fb4c32 0fb7767 
0fc563d 0fd41d9 0fbc170 0fb60da 0fb747d 
0fc985a 0fd410b 0fc0ac1 0fb9fbe 0fbc4af 
0fc2c65 0fd2ce1 0fb9e67 0fb3549 0fb58ff 
0fca7cd 0fd26a6 0fc112b 0fbb2bf 0fbc9fd 
0fc5c39 0fd0a38 0fbd280 0fb635a 0fb9301 
0fc6bda 0fced35 0fbd526 0fb773e 0fb8d6e 
0fcabe5 0fcdffe 0fc1e59 0fbb3c4 0fbd826 
0fc3984 0fcd3f7 0fbaca8 0fb422b 0fb637a 
0fcad15 0fcdbe3 0fc1861 0fbb6fc 0fbca02 
0fc587f 0fcd035 0fbd21d 0fb5e33 0fb8733 
0fc5e71 0fccddc 0fbc960 0fb6839 0fb7908 
