0faf825 0f98247 0f94dd2 00274a6 0026f1e 
0fe4f10 0fcc925 0fc9e0a 0fd96dd 0fffb99 
0fd7aff 0fcb53e 0fbca79 0fd8fbf 0fffb98 
0fe679b 0fcce55 0fcba90 0fda01d 0fffb98 
0fdd3ff 0fce082 0fc2177 0fd9f94 0fffb97 
0fdedd9 0fcbea5 0fc4180 0fda137 0fffb99 
0fe69ad 0fcec1b 0fcb95c 0fdb89f 0fffb99 
0fd8e41 0fcc815 0fbde5f 0fdba21 0fffb95 
0fe714b 0fcdc69 0fcc4b8 0fdca8f 0fffb99 
0fdd02d 0fcea50 0fc1d7c 0fde08f 0fffb98 
0fdd873 0fccb55 0fc2bb6 0fdfea9 0fffb99 
0fe4650 0fd0b4e 0fc95bc 0fe2e2a 0fffb99 
0fd5c16 0fced9e 0fbabc0 0fe5409 0fffb97 
0fe376a 0fcf5bb 0fc8a31 0fe8dcd 0fffb95 
0fd9429 0fcfbba 0fbe0e2 0febb83 0fffb9a 
0fd971b 0fcd6cc 0fbe9aa 0feedd1 0fffb95 
0fe0aba 0fd0309 0fc58d5 0ff3114 0fffb9a 
0fd2036 0fcd741 0fb6e3e 0ff662e 0fffb9b 
0fdf7dd 0fce1d2 0fc48f1 0ffade4 0fffb99 
0fd4f84 0fcedc3 0fb9a2f 0ffee17 0fffb99 
0fd48ea 0fcc2d1 0fb9973 0fffe8c 0fffc29 
0fdb97a 0fcea1c 0fc05f5 0fffc75 0fffb9b 
0fcca96 0fcb9ef 0fb1968 0000c79 0000824 
0fda20c 0fcbfae 0fbf35d 0fffff5 0fffdd9 
0fcf87d 0fcc9e3 0fb4407 0000a2b 00006b3 
0fcec27 0fc9aa7 0fb3ea6 0002b90 00026b0 
0fd5608 0fcbf0c 0fba4c2 0000edf 00009ff 
0fc5bb6 0fc8e28 0faaad4 0004aa3 00045e2 
0fd2ccb 0fc8e49 0fb7ec5 0003593 00030a6 
0fc8151 0fc8e5a 0faccec 000462e 0004167 
0fc70cf 0fc5102 0fac264 00068dc 0006420 
0fcdd90 0fc6274 0fb2b91 0004a27 000455c 
0fbe21c 0fc208a 0fa3089 0008878 00083bd 
0fcae19 0fc1543 0fafef5 000779a 00072ce 
0fc028d 0fc0fcd 0fa4df8 0008ce4 0008826 
0fbf35d 0fbd58e 0fa4588 000b0d0 000abf3 
0fc641f 0fbe441 0fab236 00093b6 0008ee4 
0fb71e9 0fb9d9a 0f9c0c7 000cff9 000cb21 
0fc4225 0fb9494 0fa940a 000bdb3 000b8c9 
0fb9e37 0fb8e05 0f9ea40 000d1c0 000cce4 
0fb9906 0fb5296 0f9eb5e 000f756 000f265 
0fc1d14 0fb6acd 0fa6b19 000d6e1 000d1ec 
0fb3210 0fb37ee 0f9807f 001118b 0010c98 
0fc0a7d 0fb369f 0fa5c1a 000ff11 000fa12 
0fb6b26 0fb357e 0f9b6be 00111cb 0010cd4 
0fb5785 0faf3d6 0f9a92d 00139ad 001349c 
0fbc5ac 0faff9a 0fa13bc 0011ff5 0011aef 
0facc13 0fab84c 0f91b13 00160f4 0015be7 
0fb9dc5 0faad5c 0f9f031 001538b 0014e63 
0fb0ea9 0fab1f6 0f95bad 001653c 0016021 
0fb118a 0fa8152 0f96485 0018782 001824d 
0fb9faf 0faa7cb 0f9eec6 00163bd 0015e94 
0facf5d 0fa82a9 0f91ede 00192b6 0018d8b 
0fbc5f1 0fa82cc 0fa1894 0016dc6 0fff760 
0fb51fd 0fa932d 0f99e67 0016922 0fe0713 
0fb65ac 0fa67fe 0f9b7a4 00177c0 0fda416 
0fbfe70 0fa851c 0fa4d9b 0ffff7a 0fd89b1 
0fb27f1 0fa546c 0f97614 0fe5815 0fd6a0f 
0fc06c2 0fa631f 0fa5813 0fe0206 0fd6a6b 
0fb7cc5 0fa7c9a 0f9c84e 0fda9e2 0fd5d85 
0fb7c16 0fa6428 0f9cdb1 0fd598d 0fd4870 
0fc08ef 0fa98d0 0fa5672 0fd016d 0fd675d 
0fb2cd1 0fa7576 0f97a77 0fc9bb5 0fd6892 
0fc10ba 0fa8973 0fa6180 0fc6089 0fd8d3c 
0fb94e6 0faab13 0f9e001 0fc23eb 0fdb731 
0fb98a4 0faa234 0f9e94f 0fbe893 0fdc38e 
0fc2d98 0fae52d 0fa7a6d 0fbbafd 0fde601 
0fb5413 0faca11 0f9a110 0fb8f81 0fde5b4 
0fc3963 0fad0ec 0fa89c0 0fb9482 0fde0c8 
0fbc0ed 0fad37f 0fa0b2c 0fba69c 0fdc492 
0fbc5e7 0faa144 0fa158a 0fbbbd4 0fda15b 
0fc5dc6 0fac9e7 0faa93f 0fbe324 0fd9807 
0fb8748 0fa9f4c 0f9d229 0fc0563 0fd7b10 
0fc6ede 0faa573 0fabd01 0fc258b 0fd7fc3 
0fbfc5f 0faa882 0fa44b8 0fc2caf 0fda330 
0fc03a1 0fa7710 0fa51b5 0fc1a16 0fdcff0 
0fca6c7 0faa5b9 0faf136 0fc0fd1 0fe146a 
0fbd8cb 0fa9443 0fa2326 0fbf0fd 0fe3367 
0fcc742 0fab52e 0fb1514 0fbde39 0fe64f0 
0fc5ef3 0fae04a 0faa73d 0fbd07c 0fe84bc 
0fc74fd 0fad515 0fac31e 0fbabe7 0fe9683 
0fd2c56 0fb1a1d 0fb76c3 0fb8450 0fecd70 
0fc67f0 0fb06cc 0fab231 0fb53e4 0fef48e 
0fd5e3e 0fb1be6 0fbabfa 0fb36f0 0ff320e 
0fcfb07 0fb3e9e 0fb42ab 0fb19ef 000360a 
0fd0630 0fb2992 0fb5407 0fb0157 000a828 
0fdb35d 0fb6f46 0fbfe37 0faf92a 000687a 
0fce8f8 0fb66eb 0fb3389 0fae1b3 00080c6 
0fdd869 0fb8cf3 0fc2726 0fad8a6 0004ef7 
0fd76c2 0fbc5c6 0fbbf8c 0fac4e5 00038cb 
0fd710b 0fbc5f4 0fbbf28 0faa90a 0004383 
0fe118c 0fc1e6d 0fc5c97 0fa9220 0ffeb20 
0fd36ca 0fc2411 0fb80b9 0fa6988 00006d9 
0fe17e5 0fc2639 0fc667b 0fa42ab 0000774 
0fda891 0fc3c66 0fbf129 0f9f9d4 0fffee1 
0fda584 0fc1ca2 0fbf3cf 0f9af7a 0000a8f 
0fe4f15 0fc5df5 0fc9a3b 0f983fe 0fffb97 
0fd6dff 0fc4b90 0fbb828 0f968b5 0fffc3c 
0fe4263 0fc5e49 0fc9096 0f98887 0fffb9e 
0fdc5bb 0fc885b 0fc0e29 0f9b522 0fffb99 
0fdaa0b 0fc7623 0fbf883 0f9d8db 0fffb9a 
0fe455b 0fcaef5 0fc90a6 0f9faa5 0fffb97 
0fd5bce 0fc7b20 0fba60b 0f9f539 0fffb99 
0fe281f 0fc7579 0fc7695 0f9fe74 0fffb99 
0fda826 0fc8059 0fbf022 0fa10d7 0fffb98 
0fd7c2f 0fc4ac9 0fbc9d2 0fa30e8 0fffb9b 
0fe10b8 0fc6bfd 0fc5bcc 0fa62ed 0fffb96 
0fd1bc3 0fc3d89 0fb6633 0fa8222 0ffff1d 
0fdee1c 0fc3fd8 0fc3cff 0fa9efe 0fffc0b 
0fd77e6 0fc52a6 0fbc092 0fab70f 0fffbe4 
0fd4be4 0fc1bc2 0fb9a02 0fac433 000003e 
0fde154 0fc39e9 0fc2c54 0fadde3 0ffe6c7 
0fcdde3 0fc0451 0fb27ac 0faf62b 0ffc6ab 
0fda66a 0fbf2ba 0fbf467 0fb1423 0ffc312 
0fd2950 0fbf1ac 0fb7126 0fb2468 0ffb844 
0fcee3f 0fbb2b4 0fb3c24 0fb2a16 0ffa38d 
0fd8857 0fbcc57 0fbd358 0fb3385 0ffb3d2 
0fc8791 0fb9360 0fad1a6 0fb2cb9 0ffb085 
0fd47a4 0fb7e8e 0fb9657 0fb3c27 0ffc1a7 
0fccc09 0fb729f 0fb14a1 0fb4b79 00004e4 
0fc8eed 0fb122b 0fadcee 0fb5e90 00060a3 
0fd2972 0fb1790 0fb7426 0fb7e69 0003eab 
0fc20ad 0fada25 0fa6a5f 0fb8ee8 0007aa1 
0fcd7ca 0fad468 0fb25bd 0fba613 00072c0 
0fc5810 0fae0f8 0fa9fab 0fbaf8d 0007f4a 
0fc0cbe 0faaad2 0fa59e3 0fbaf0d 000b1a7 
0fca170 0fad243 0faec07 0fbb405 0009658 
0fb96fd 0faa469 0f9e0a5 0fbad76 000d5a8 
0fc4cf1 0fa9e0a 0fa9b40 0fbb7e7 000d262 
0fbd0b8 0faad42 0fa18f0 0fbc39b 000e0a7 
0fb825c 0fa7325 0f9d012 0fbc6fa 0011563 
0fc1f1d 0fa8c1b 0fa6a63 0fbce16 000f821 
0fb1c1e 0fa5c47 0f96690 0fbbd5e 0013406 
0fbd9ec 0fa51bb 0fa290d 0fbb94a 0012d14 
0fb6a8b 0fa5988 0f9b38d 0fbb393 0013557 
0fb2314 0fa1761 0f9715b 0fbaea0 00166e1 
0fbcb50 0fa2c57 0fa170f 0fbb224 0014806 
0fad1b0 0f9f481 0f91c67 0fba3d3 001826c 
0fb9628 0f9e867 0f9e59f 0fb9d5e 00179ed 
0fb38bb 0f9fc81 0f98258 0fb91c5 0017e25 
0fb0118 0f9c1cf 0f95060 0fb8537 001a8de 
0fbc190 0f9de8e 0fa0e4a 0fb84d9 0017ef9 
0fae10e 0f9b96c 0f92c51 0fb6863 001ad7f 
0fbb708 0f9b2e0 0fa06e2 0fb549d 0019a12 
0fb6982 0f9c6b4 0f9b34f 0fb3807 001911d 
0fb2fcd 0f99f1d 0f97eed 0fb1138 001b213 
0fbe4b0 0f9d12d 0fa3152 0fafc80 0018339 
0faf5a3 0f9c09c 0f94101 0fae8e0 001ae61 
0fbb9a0 0f9cbbd 0fa0978 0fae633 0019b70 
0fb643a 0f9f2d8 0f9ae24 0fad47d 00193b8 
0fb2095 0f9cefc 0f96fe6 0fac661 001b57a 
0fbd0d0 0f9f735 0fa1d76 0facc18 001898d 
0fadef1 0f9c6f2 0f929d8 0faccd0 001b5af 
0fb9b3e 0f9c693 0f9eaf9 0fad053 001a624 
0fb45ff 0f9ded9 0f9900c 0facbc3 001a159 
0fb05b1 0f9b8cc 0f95550 0fac954 001c618 
0fbc64d 0f9f75a 0fa1382 0fad795 001995c 
0fae6ef 0f9f386 0f9327e 0fad791 001c40b 
0fbb54e 0fa07d0 0fa052c 0faeb3f 001b084 
0fb7552 0fa318a 0f9bebe 0faf3b1 001a46d 
0fb40b6 0fa0657 0f98ee6 0faf899 001c300 
0fc0845 0fa2dc4 0fa5423 0fb07d6 0018efd 
0fb2f51 0fa1cf9 0f979f7 0fafbcb 001b0f3 
0fc0382 0fa30be 0fa5307 0fafdc2 001945a 
0fbcd29 0fa562c 0fa16be 0fafd3b 0017fdc 
0fb9a38 0fa36b9 0f9e8c5 0faf502 0019699 
0fc66db 0fa7554 0fab326 0faf88b 0015b5c 
0fb8d95 0fa720c 0f9d849 0fadf9a 00176f5 
0fc614c 0fa8dc5 0fab09e 0facf7c 00156db 
0fc31f3 0fabe1e 0fa7b1b 0fac1b8 0013eb2 
0fc075d 0fa9dd0 0fa5591 0fab13c 0015376 
0fce420 0fad65e 0fb3092 0faa976 001153c 
0fc154a 0fad3d3 0fa6058 0fa8e40 0012db3 
0fce67f 0fb004c 0fb3623 0fa74d8 0010a76 
0fcb99e 0fb541b 0fb0310 0fa5d6f 000eb81 
0fc8b15 0fb6d45 0fad9e1 0fa410e 000fc0b 
0fd63c3 0fbc3de 0fbb0cc 0fa34cb 000b81f 
0fc8ed4 0fbb0e4 0fada33 0fa182e 000cd58 
0fd5b47 0fbb468 0fbab83 0f9ff95 000ab34 
0fd25c3 0fbe7ab 0fb6fbe 0f9e5b0 0009165 
0fce855 0fbe062 0fb3763 0f9c6a3 000a818 
0fdb67f 0fc2d20 0fc03b6 0f9b988 0006ada 
0fcda87 0fc2878 0fb2598 0f9a987 00085e1 
0fd9daa 0fc37b1 0fbedc5 0f99941 0006855 
0fd6372 0fc65da 0fbadb4 0f98640 0005050 
0fd23ca 0fc4670 0fb732e 0f97691 00067fd 
0fdef0c 0fc770d 0fc3cbe 0f97ba2 0002c38 
0fd0be6 0fc51e6 0fb579f 0f974f8 00048f6 
0fdcda9 0fc3d56 0fc1e9d 0f9811a 0002d09 
0fd91b9 0fc58a7 0fbdc6e 0f988b2 00015c1 
0fd4a06 0fc3106 0fb99b0 0f98574 0002f25 
0fe132b 0fc5a61 0fc613c 0f998e9 0fffdf7 
0fd2c15 0fc506b 0fb7790 0f99771 00010cd 
0fdea59 0fc5ec6 0fc3b40 0f99da6 000020f 
0fdacf8 0fc964e 0fbf7af 0f99f40 0fffbb0 
0fd62b1 0fc7ee7 0fbb234 0f9996e 00000fa 
0fe2e5a 0fcba2a 0fc7c98 0f9a97a 0fffb99 
0fd4a05 0fc9f27 0fb965d 0f9afbc 0fffb9a 
0fe0e0f 0fc9c8e 0fc5fb7 0f9cac2 0fffb9a 
0fdd6f8 0fcc06b 0fc2271 0f9e609 0fffb98 
0fd8c18 0fc9ad3 0fbdc8f 0f9fc22 0fffb98 
0fe601f 0fcd561 0fcaefc 0fa209e 0fffb99 
0fd7ed3 0fcc550 0fbcb7b 0fa4528 0fffb99 
0fe41c0 0fccd1d 0fc93a5 0fa7ac1 0fffb9a 
0fe0d70 0fcfbd2 0fc593c 0faadc4 0fffb98 
0fdc381 0fcda4e 0fc146f 0fad773 0fffb98 
0fe9424 0fd139d 0fce393 0fb0e7f 0fffb99 
0fdb2da 0fd0953 0fc0004 0fb3a61 0fffb99 
0fe78a6 0fd1505 0fccb81 0fb6b8d 0fffb98 
0fe42db 0fd42e0 0fc8f31 0fb9bf5 0fffb95 
0fdf0ab 0fd1e4c 0fc41f7 0fbcc13 0fffb96 
0feb537 0fd594e 0fd0527 0fc0a3e 0fffb99 
0fdc019 0fd4b78 0fc0cff 0fc3334 0fffb97 
0fe7482 0fd4d37 0fcc68f 0fc5cfb 0fffb94 
0fe3854 0fd752d 0fc83f7 0fc74d3 0fffb99 
0fde6cf 0fd489a 0fc3749 0fc888e 0fffb99 
0feb7a9 0fd723a 0fd06e7 0fcab8e 0fffb98 
0fdd1db 0fd5da1 0fc1e4f 0fcba8f 0fffb99 
0fe930d 0fd5a13 0fce4eb 0fcd304 0fffb97 
0fe6245 0fd7f0c 0fcadbd 0fce8a7 0fffb97 
0fe1589 0fd5226 0fc65a5 0fcf4cb 0fffb95 
0fee794 0fd804a 0fd3611 0fd16c5 0fffb95 
0fe0091 0fd7046 0fc4ca7 0fd3418 0fffb97 
0febd5d 0fd74f8 0fd0f13 0fd6222 0fffb97 
0fe8864 0fd9d99 0fcd3ed 0fd8b04 0fffb95 
0fe3505 0fd7df2 0fc8599 0fda01f 0fffb96 
0ff0013 0fdb641 0fd4f39 0fdb86c 0fffb98 
0fe1318 0fd91ed 0fc5fe1 0fde0f6 0fffb98 
0fec0e8 0fd7cc8 0fd1231 0fe34e5 0fffb98 
0fe7dc0 0fd88c6 0fcc86c 0fe9e07 0fffb46 
0fe249c 0fd4bcc 0fc73ac 0fee6ee 0ffc775 
0fef16e 0fd7298 0fd3eb5 0ff1d26 0ff8583 
0fe08ec 0fd60cd 0fc52a3 0ff3a0c 0ff2daa 
0febfb6 0fd6188 0fd0e0d 0ff638b 0fee5b3 
0fe8b8b 0fd8790 0fcd37c 0ff7bb7 0fe9fb4 
0fe2c13 0fd56af 0fc7841 0ff8691 0fe627d 
0fee9fb 0fd7e4e 0fd3490 0ffa4f1 0fe4cb6 
0fdf5b6 0fd61b2 0fc3df3 0ffb63a 0fe22e8 
0fe94f8 0fd5499 0fce29f 0ffc131 0fe0bfa 
0fe4a43 0fd6f26 0fc913d 0ffd5d5 0fdfad0 
0fddddd 0fd3458 0fc28ef 0ffe42f 0fdd8b4 
0fe9726 0fd55b8 0fcdfd2 0fffa5e 0fdc04d 
0fda103 0fd344c 0fbe694 0fffc73 0fd773e 
0fe4994 0fd1fff 0fc9491 0fffc76 0fd3c06 
0fe16d3 0fd2dc3 0fc5b47 0fffc3a 0fd2725 
0fdb3a8 0fcee10 0fbfeac 0ffdbcd 0fd1f12 
0fe744d 0fd0e2a 0fcbe38 0ffad4a 0fd4375 
0fd7df1 0fcf33c 0fbc58b 0ff6f2c 0fd4a31 
0fe1c33 0fce4b0 0fc697b 0ff3b86 0fd6067 
0fde2cf 0fd00ca 0fc2a56 0ff067f 0fd79ad 
0fd7586 0fccd64 0fbc1cb 0fece13 0fd7e8f 
0fe3839 0fcf0e9 0fc8348 0fea66e 0fd9e67 
0fd49ff 0fcd5ef 0fb925f 0fe6b4e 0fda419 
0fdf076 0fcc7d1 0fc3e4d 0fe3eef 0fdb611 
0fdc34f 0fcef47 0fc0af0 0fe17f0 0fdc60a 
0fd5ab3 0fcc595 0fba678 0fdf6d8 0fdbe91 
0fe2530 0fcf113 0fc7011 0fdf091 0fdcaac 
0fd3d9e 0fcd77d 0fb8578 0fdde1c 0fdbc77 
0fde76e 0fcc6a2 0fc34c2 0fdcfd1 0fdba0b 
0fdbd67 0fce6e1 0fc0486 0fdbff4 0fdb9b6 
0fd4f43 0fcb5a4 0fb9a8d 0fda5ff 0fd9d77 
0fe0ddd 0fcda44 0fc57d3 0fd97ba 0fd9bc9 
0fd0e2a 0fcb9bb 0fb54de 0fd79d3 0fd82a0 
0fd9210 0fc9a4a 0fbde0e 0fd64cc 0fd7bc7 
0fd70eb 0fca892 0fbb78f 0fd4eca 0fd82d5 
0fd0fc5 0fc6d21 0fb5a8b 0fd31f8 0fd7abd 
0fdf2b3 0fc91d0 0fc3cba 0fd2fb4 0fd8c75 
0fd2645 0fc7c2c 0fb6d65 0fd24bf 0fd83a7 
0fdea19 0fc72db 0fc36e4 0fd1da7 0fd88ac 
0fdec54 0fc9759 0fc330a 0fd0c73 0fd9f36 
0fd9fe5 0fc679d 0fbeae0 0fce886 0fda97a 
0fe8f6b 0fc96b0 0fcd99b 0fccb4d 0fdd263 
0fdca3f 0fc8e29 0fc11b7 0fc950b 0fdea73 
0fe8cf3 0fc915d 0fcda1f 0fc6309 0fe1536 
0fe8f0c 0fcc56e 0fcd66d 0fc2f89 0fe4715 
0fe4322 0fca3c4 0fc8edf 0fbf4b2 0fe6852 
0ff30bf 0fcdb89 0fd7b61 0fbd119 0fea5ca 
0fe687a 0fcdd57 0fcb0a8 0fba2e7 0fec905 
0ff27fb 0fcedfb 0fd7557 0fb8aaa 0feef66 
0ff2a0f 0fd349b 0fd70da 0fb7b23 0ff13f0 
0fed945 0fd2701 0fd259c 0fb656c 0ff20ad 
0ffc62a 0fd7257 0fe0f64 0fb6a06 0ff46a2 
0fef9a2 0fd829a 0fd42a8 0fb68bb 0ff4feb 
0ffabd6 0fd964a 0fdfbe0 0fb73d7 0ff6720 
0ffa0a6 0fddbf8 0fde86d 0fb82d6 0ff830b 
0ff3fe6 0fdcc2c 0fd8c95 0fb8c77 0ff8b41 
0fff7b6 0fe0ab5 0fe64e4 0fbb37a 0ffb16d 
0ff3fb3 0fe0a31 0fd885d 0fbd783 0ffc0a5 
0ffd250 0fe0e58 0fe352b 0fbff5a 0ffddb3 
0ffc592 0fe4da2 0fe1a22 0fc2a19 0fff84d 
0ff63b7 0fe38e6 0fdb06c 0fc4c92 0fff74d 
0fffa11 0fe77f7 0fe7c58 0fc846e 0fffb95 
0ff421f 0fe76ad 0fd8a89 0fcb05e 0fffb99 
0ffc530 0fe6f9a 0fe1ab3 0fcdf3e 0fffb97 
0ff9c9f 0fe8d1d 0fde5a1 0fd1085 0fffb94 
0ff0f95 0fe4939 0fd5b10 0fd35d4 0fffb97 
0ffd1fd 0fe5f13 0fe1afd 0fd5e10 0fffb96 
0fedb4e 0fe43ba 0fd2309 0fd6fad 0fffb97 
0ff62fe 0fe26e6 0fdaf09 0fd865a 0fffb95 
0ff3d37 0fe382f 0fd8312 0fd9eab 0fffb96 
0feaa43 0fded68 0fcf425 0fda4d9 0fffb98 
0ff6cd5 0fdf978 0fdb478 0fdbda2 0fffb97 
0fe70c7 0fdd337 0fcb5d0 0fdc9da 0fffb97 
0feee0d 0fda972 0fd38b4 0fde020 0fffb97 
0feca8d 0fdaadb 0fd0f8f 0fe03fa 0fffb97 
0fe35d4 0fd4aa5 0fc7ece 0fe1ce2 0fffb99 
0fefd34 0fd4725 0fd4604 0fe3d58 0fffb9a 
0fdfbd4 0fd3599 0fc40ec 0fe3f58 0fffb9a 
0fe6fd4 0fd1989 0fcbaf8 0fe486c 0fffb95 
0fe457a 0fd3157 0fc89b5 0fe54a3 0fffb97 
0fd9300 0fce69f 0fbdb91 0fe5bdb 0fffb99 
0fe4399 0fcf1dd 0fc8ba9 0fe79d8 0fffb94 
0fd2ea1 0fcbe12 0fb72e3 0fe8f19 0fffb98 
0fd91d1 0fc8a52 0fbdc05 0fea92f 0fffb94 
0fd662e 0fc9138 0fbaa50 0febfc0 0fffb96 
0fcb33c 0fc3dd5 0fafb40 0fec9d7 0fffb9a 
0fb37eb 0fa0d11 0f97ae5 0fcdb30 001f91a 
0fbe6e9 0fa42d6 0fa26f9 0fcdeb5 001c544 
0fb07e6 0fa2689 0f94758 0fcd273 001eac3 
0fbd720 0fa30a9 0fa1ab3 0fcd4d5 001ce04 
0fb7e85 0fa5061 0f9bc25 0fcd11f 001c35f 
0fb57cf 0fa292e 0f99ace 0fccaaf 001dd11 
0fc08c7 0fa5fd8 0fa48dc 0fccf2e 001a972 
0fb2a27 0fa4625 0f96982 0fcc41e 001ce26 
0fbf7c0 0fa5097 0fa3b2e 0fcc675 001b1d5 
0fba1ba 0fa722c 0f9df1e 0fcc38c 001a5a9 
0fb7740 0fa4adb 0f9ba0f 0fcbc47 001c029 
0fc28b0 0fa80c8 0fa68a6 0fcc03a 0018cfe 
0fb49f9 0fa6640 0f98901 0fcb568 001b1ad 
0fc1673 0fa6ec7 0fa59c2 0fcb7a9 00195be 
0fbc15d 0fa8e2e 0f9fe9c 0fcb36a 0018a5f 
0fb939a 0fa643b 0f9d582 0fcaa05 001a72b 
0fc4897 0fa9b36 0fa87d7 0fcaf20 001727e 
0fb69bf 0fa82b1 0f9a80f 0fca488 0019653 
0fc3492 0fa8bb5 0fa773c 0fca639 0017b1b 
0fbe1ba 0faac52 0fa1e63 0fca29a 0016ee2 
0fbb1c9 0fa831f 0f9f3e2 0fc9ae4 0018a59 
0fc671e 0faba6a 0faa6bf 0fca0d7 0015553 
0fb892f 0faa214 0f9c834 0fc978a 001781a 
0fc5363 0faab00 0fa96c5 0fc99e3 0015cb2 
0fc012a 0facb96 0fa3e93 0fc96fd 0015080 
0fbcf36 0faa129 0fa11dc 0fc907b 0016c7b 
0fc858c 0fad6cf 0fac550 0fc9673 001383d 
0fba833 0fabd33 0f9e69b 0fc8d55 0015be0 
0fc7276 0fac2fc 0fab507 0fc90c7 00140a4 
0fc24e7 0fae3e4 0fa6156 0fc8f29 00132db 
0fbf1e3 0fabb99 0fa3365 0fc8847 0014e70 
0fca7d6 0faf420 0fae695 0fc8ac1 0011a92 
0fbc611 0fadbf0 0fa037a 0fc7c4c 0013f31 
0fc8983 0fae0c3 0facb4d 0fc7975 0012623 
0fc3ac4 0fb0083 0fa7670 0fc7490 0011925 
0fc032b 0fad5aa 0fa4408 0fc6ab6 00136e7 
0fcbd2c 0fb0e79 0fafb9c 0fc6cbb 00102f5 
0fbdf41 0fafc43 0fa1ca7 0fc60be 001269a 
0fca7e7 0fb05ca 0fae9c2 0fc644b 0010ba9 
0fc5db8 0fb2a7e 0fa99a4 0fc6282 000fcfa 
0fc24e1 0fb0481 0fa6650 0fc6158 0011966 
0fcddeb 0fb3803 0fb1d10 0fc6efa 000e569 
0fbfdd5 0fb173f 0fa3bed 0fc6fed 0010955 
0fcc2d5 0fb158a 0fb052f 0fc79fe 000f0b3 
0fc7bd4 0fb377e 0fab79a 0fc793d 000e30f 
0fc45e2 0fb157a 0fa86dc 0fc7780 000fe95 
