0fc442c 0fdcfc0 0fbbe91 0fb8f0d 0fb2318 
0f989e7 0fdad25 0f90024 0f8cc6b 0fa24d0 
0f9859f 0fcf272 0f8ff38 0f8c73c 0fa15e9 
0f92f74 0fdfeee 0f8a5eb 0f870ea 0f9efd4 
0f985a5 0fc750a 0f8fb87 0f8c7ae 0f9e4ff 
0f91bf3 0fce98f 0f8957b 0f85ce8 0f9cafb 
0f93a53 0fbbe7d 0f8b09e 0f87daf 0f9ba3a 
0f938a5 0fb1aa6 0f8b470 0f87c08 0f9b0e1 
0f8ddd7 0faf0ae 0f8580d 0f82219 0f98635 
0f92cf4 0fae9b3 0f8a627 0f87158 0f96e74 
0f8bd73 0fb363e 0f83963 0f80006 0f93fc5 
0f8dd30 0fb3f58 0f853ea 0f8206b 0f91b38 
0f8e1b7 0fae5c7 0f85d77 0f82507 0f90c42 
0f8935b 0fba492 0f80bfb 0f7d60b 0f8ec16 
0f8f7b1 0fa9ce2 0f87077 0f83c4f 0f8ea68 
0f89d85 0fa7ca1 0f81a15 0f7e19f 0f8d6cb 
0f8cd8f 0fa6833 0f845ac 0f81339 0f8cbb5 
0f8e0d4 0fa6bd8 0f85e61 0f82724 0f8c8c0 
0f899b2 0fa660e 0f816af 0f7e235 0f8b2e8 
0f90146 0fa708e 0f87ca8 0f84995 0f8bdcd 
0f8a9e8 0fa6987 0f828ea 0f7f180 0f8b1f9 
0f8d954 0fa7428 0f85416 0f82261 0f8a993 
0f8eb1e 0fa8501 0f8697f 0f832c1 0f8ab79 
0f8a4f3 0fafe50 0f81d02 0f7e89c 0f89a28 
0f906fa 0faa8ad 0f87f18 0f84c1e 0f89b8b 
0f8aed0 0fcb20e 0f827aa 0f7f081 0f88fd2 
0f8df59 0fcdabc 0f8534d 0f82225 0f88b09 
0f8ef72 0fe2bf5 0f865a1 0f83095 0f88cb0 
0f8a793 0ffca8b 0f81dac 0f7e90f 0f887e2 
0f90cd2 0fd9a8c 0f881f7 0f84ee2 0f8a08e 
0f8b54b 0fe91af 0f82d61 0f7f67c 0f89b87 
0f8e895 0fe20f5 0f85b80 0f82aaf 0f89429 
0f8faf2 0fd5b03 0f87217 0f83bd1 0f8aa24 
0f8b6c0 0fda1ee 0f82cbb 0f7f8be 0f8a033 
0f91a52 0fb48a6 0f88ff8 0f85d8d 0f8b39b 
0f8bea1 0fc2abe 0f83756 0f8006d 0f8b089 
0f8e7f3 0fb8724 0f85c90 0f82b9a 0f8b258 
0f8f5ea 0faa818 0f86ffc 0f839d5 0f8bd37 
0f8af9a 0fb6aa5 0f82833 0f7f4fc 0f8b05d 
0f91245 0fa8770 0f88be6 0f85a58 0f8bd66 
0f8bb07 0fac2c6 0f8374d 0f8012f 0f8b31c 
0f8ed23 0fa8916 0f86564 0f83544 0f8accc 
0f901de 0fa74f4 0f87e53 0f8494a 0f8b61c 
0f8b99a 0fa607e 0f8348f 0f801d0 0f8ac4a 
0f91dd0 0fa6065 0f89772 0f865e4 0f8bcb9 
0f8c2e8 0fa4f94 0f84043 0f80a25 0f8b6e8 
0f8ef8e 0fa4180 0f86857 0f8380b 0f8b550 
0f901d6 0fa3e10 0f87e59 0f84904 0f8bc96 
0f8b84e 0fa27e5 0f83390 0f80068 0f8abe7 
0f91e7c 0fa26e5 0f89852 0f8666a 0f8b69a 
0f8c654 0fa1099 0f843be 0f80d5f 0f8af83 
0f8f7ca 0fa026e 0f8706e 0f84019 0f8afec 
0f9123d 0f9fa4c 0f88e57 0f8593e 0f8bb5e 
0f8d14c 0f9e0ba 0f84be3 0f81943 0f8b218 
0f9416a 0f9dd87 0f8ba9d 0f8891d 0f8c101 
0f8f21e 0f9cd50 0f86f01 0f83904 0f8bb97 
0f925ba 0f9cadf 0f89de4 0f86dfa 0f8bf0d 
0f93e83 0f9d7fb 0f8ba37 0f88564 0f8cde7 
0f8f8df 0f9d377 0f87370 0f840ad 0f8bf74 
0f9665b 0f9e2b5 0f8df5d 0f8ae26 0f8cb3e 
0f91679 0f9e091 0f892dd 0f85da3 0f8c993 
0f94e19 0f9e529 0f8c5b9 0f8968a 0f8cee7 
0f96ddb 0f9f1dc 0f8e948 0f8b4d9 0f8df36 
0f92b11 0f9e503 0f8a574 0f872e0 0f8daf4 
0f9971e 0f9e840 0f90ff9 0f8deb0 0f8f2a9 
0f944ed 0f9d953 0f8c149 0f88b92 0f8f5b0 
0f97a3f 0f9ce4a 0f8f1ce 0f8c22b 0f8f9ce 
0f99bce 0f9cd9c 0f916d0 0f8e249 0f90413 
0f95bde 0f9bc78 0f8d592 0f8a35b 0f8f67a 
0f9cced 0f9c38d 0f9451e 0f91475 0f90573 
0f97a50 0f9c060 0f8f651 0f8c0ed 0f90237 
0f9a7e7 0f9c73b 0f91f43 0f8efca 0f907be 
0f9bf15 0f9d9ce 0f93a08 0f905bc 0f91b96 
0f9749b 0f9d873 0f8ee11 0f8bc22 0f91ba3 
0f9ddf4 0f9f109 0f955d5 0f92599 0f936b8 
0f98974 0fa0099 0f9050a 0f8d050 0f93666 
0f9b974 0fa11c3 0f93039 0f901dd 0f93c9e 
0f9d4eb 0fa2daa 0f94f7b 0f91c08 0f9515e 
0f98df6 0fa33d0 0f9078c 0f8d61f 0f954ba 
0f9ff16 0fa42bf 0f97729 0f94761 0f972ce 
0f9b2e2 0fa3bda 0f92f1c 0f8fa95 0f979b2 
0f9ed40 0fa41ad 0f964d7 0f93663 0f97b40 
0fa1833 0fa54c4 0f99382 0f95fe6 0f984b5 
0f9dcad 0fa52b4 0f9567e 0f9252c 0f97585 
0fa55ae 0fa5ff2 0f9cd41 0f99e15 0f980d4 
0fa0c5b 0fa6194 0f987f3 0f953b9 0f97658 
0fa430c 0fa60bc 0f9ba54 0f98bb0 0f96f04 
0fa65c9 0fa6fb5 0f9e0f6 0f9ad48 0f97cab 
0fa1f4f 0fa730f 0f99986 0f967f4 0f974e3 
0fa9037 0fa8b25 0fa08a9 0f9d8d7 0f98be2 
0fa43c9 0fa9594 0f9bfe4 0f98b6a 0f9901e 
0fa7872 0fa9f19 0f9ef54 0f9c112 0f99d31 
0fa9c12 0faae56 0fa1650 0f9e387 0f9bd9a 
0fa5668 0faad10 0f9cfd6 0f99ede 0f9c4bd 
0faca57 0fac567 0fa417d 0fa129f 0f9e3a5 
0fa7d13 0fad1f7 0f9f931 0f9c426 0f9e9ed 
0fab1a1 0fad745 0fa29a9 0f9fa10 0f9f74f 
0fad8aa 0fadff7 0fa542f 0fa2034 0fa0e2d 
0fa9349 0fadec3 0fa0d1b 0f9dba2 0f9fffe 
0fb03e9 0fafa5a 0fa7b34 0fa4bab 0fa0cdc 
0fab1fe 0fb0736 0fa2d4f 0f9f8b7 0fa09ca 
0fadd48 0fb10f7 0fa54b2 0fa25af 0fa0fe6 
0fafc25 0fb188f 0fa77e7 0fa4329 0fa1eb1 
0faae17 0fb1842 0fa287e 0f9f5da 0fa10d3 
0fb1a4b 0fb283d 0fa93c5 0fa619c 0fa23c2 
0fac53d 0fb1b48 0fa43cc 0fa0ba1 0fa2d54 
0faeb03 0fb16ad 0fa65c9 0fa32bd 0fa3c07 
0fb036c 0fb1977 0fa8227 0fa4a3f 0fa5c1f 
0faaeac 0fb0c0f 0fa2cb3 0f9f682 0fa5f51 
0fb0eaa 0fb284a 0fa8ade 0fa5606 0fa6c6d 
0faaeff 0fb4ae0 0fa2cf0 0f9f41c 0fa73a2 
0fac840 0fb5b11 0fa4221 0fa0e38 0faa7d4 
0fad39f 0fba0f1 0fa50d3 0fa17e1 0fadc89 
0fa7d7f 0fbaa7c 0f9fa4d 0f9c349 0facd96 
0fae305 0fbbcb2 0fa5b74 0fa28bc 0faca41 
0fa878e 0fbd249 0fa03f3 0f9ccf7 0faad62 
0faa164 0fc0983 0fa1873 0f9e72d 0fa8a54 
0fab360 0fc1cd6 0fa2eeb 0f9f691 0fa7ca0 
0fa5a98 0fbfe15 0f9d398 0f99e3f 0fa6948 
0fab826 0fbe342 0fa2d46 0f9fcb3 0fa6b34 
0fa67f2 0fbcb1e 0f9e4bc 0f9ad47 0fa4236 
0fa9cb7 0fbac0d 0fa134c 0f9e31d 0fa3f02 
0fad19f 0fb93bd 0fa4a05 0fa14df 0fa56b0 
0faa4c6 0fb581e 0fa1d33 0f9e919 0fa4e7a 
0fb16ec 0fb840e 0fa8f6a 0fa5c95 0fa6983 
0fac738 0fbb79c 0fa4393 0fa0bd6 0fa79e0 
0faf6fb 0fbbe95 0fa6f30 0fa3d13 0fa93cf 
0fb1e59 0fbc001 0fa99d3 0fa6332 0fabdce 
0fadcca 0fba4d9 0fa56de 0fa2270 0faca02 
0fb5310 0fba70b 0facab8 0fa98b7 0fae282 
0fb0ee4 0fb9e10 0fa8a51 0fa541a 0fae172 
0fb4458 0fb9d81 0fabb2c 0fa8b28 0fae08e 
0fb7239 0fba626 0faec3f 0fab804 0fae84c 
0fb323e 0fbb0c1 0faabf9 0fa7974 0fad95e 
0fba324 0fbf637 0fb1b86 0faeac1 0fae067 
0fb5d01 0fc1c32 0fad8b7 0faa375 0fad722 
0fb8d64 0fc3d19 0fb04a1 0fad53b 0fada9e 
0fbb561 0fc6547 0fb3035 0fafc11 0faee54 
0fb714f 0fc6d6f 0faeb0d 0fab8b2 0faf168 
0fbe1d0 0fc8d7b 0fb5922 0fb292f 0fb0996 
0fb95f2 0fca696 0fb10ec 0fadc8b 0fb072f 
0fbc393 0fcb30e 0fb39d6 0fb0ba6 0fb06e8 
0fbe926 0fcb81d 0fb62e0 0fb2ff5 0fb17bd 
0fb9b8d 0fcba01 0fb1550 0fae353 0fb04da 
0fbf7bf 0fce9a9 0fb70bc 0fb3f83 0fb068e 
0fb92f2 0fd00f7 0fb109b 0fada27 0fb01f6 
0fba2a3 0fd1fd6 0fb1bef 0faeb3b 0fafeda 
0fbacb7 0fd3df3 0fb29a5 0faf3de 0fb0698 
0fb4e4b 0fe2e95 0fac82d 0fa93fc 0faf91a 
0fbb089 0fd5897 0fb2a01 0faf7ff 0fb06ff 
0fb678a 0fd63a0 0fae3bb 0faad34 0fb0754 
0fb9b25 0fd2c00 0fb136d 0fae2f9 0fb09b8 
0fbcd60 0fd2179 0fb4951 0fb145d 0fb15c1 
0fb8f7f 0fd1304 0fb0ac6 0fad78e 0fb09ef 
0fc04f6 0fd2fb8 0fb7dbe 0fb4c7a 0fb14b4 
0fbbc0c 0fd3b66 0fb390e 0fb02dd 0fb0812 
0fbe612 0fd44cf 0fb5ec3 0fb2e8c 0fafe12 
0fc0679 0fd5018 0fb82dd 0fb4d93 0fb02a2 
0fbaed9 0fd3f78 0fb2aa3 0faf6d5 0faf2a5 
0fc0869 0fd44af 0fb82a9 0fb508f 0fafbb5 
0fb9e15 0fd3a7a 0fb1bbd 0fae485 0faf4d2 
0fba372 0fd2e8d 0fb1c93 0faeb52 0faf3f4 
0fba365 0fd3301 0fb1ea3 0fae8ad 0faf9d5 
0fb301e 0fd1588 0faac25 0fa77a6 0fae3da 
0fb7895 0fd0957 0faf23d 0fac02f 0faedf6 
0fb007c 0fcf2aa 0fa7e6d 0fa4747 0faddc4 
0fb0193 0fce5ce 0fa7a71 0fa49ac 0fac653 
0faff9b 0fcdc3e 0fa7bb3 0fa4636 0fabf3b 
0fa8e57 0fd4690 0fa074f 0f9d3ad 0faa545 
0fad80d 0fc98dd 0fa50d1 0fa1f31 0faa87d 
0fa6855 0fc6141 0f9e403 0f9adf2 0fa9ed5 
0fa70da 0fc43c3 0f9e5a8 0f9b7be 0fa8ae7 
0fa7809 0fc4066 0f9eccf 0f9bd71 0fa7af7 
0fa0faa 0fc2e97 0f98532 0f955b2 0fa5804 
0fa67e2 0fc372a 0f9de5d 0f9af28 0fa4990 
0fa0c9b 0fda1e9 0f985ff 0f9509f 0fa1dcd 
0fa27b4 0fd88ff 0f99cca 0f96d7a 0fa0c96 
0fa42bf 0fc7497 0f9bc02 0f9887f 0fa151e 
0f9ee58 0fdee33 0f964bf 0f93274 0fa008a 
0fa537c 0fc52c4 0f9c8dc 0f99916 0fa013e 
0f9fe47 0fd521a 0f9777f 0f941ed 0f9f1ef 
0fa1ea1 0fd1de3 0f9943b 0f96450 0f9e77e 
0fa3bd8 0fc3cf8 0f9b72f 0f981db 0f9ec0b 
0f9eb7b 0fdbac8 0f963b0 0f92fff 0f9d7d3 
0fa55d5 0fc2a09 0f9cdd9 0f99c7f 0f9dc3d 
0fa0584 0fcf00f 0f97fb5 0f94989 0f9d01c 
0fa2899 0fc95f1 0f99d89 0f96ddc 0f9c229 
0fa47cc 0fc094d 0f9c0a8 0f98d73 0f9c072 
0f9f81f 0fd297d 0f97095 0f93d57 0f9a9a1 
0fa6199 0fc0aef 0f9dae9 0f9a8b2 0f9b325 
0fa12d4 0fbec5d 0f98f53 0f9589e 0f9af08 
0fa3b1c 0fbdca3 0f9b226 0f981dd 0f9a7f4 
0fa617a 0fbdb0c 0f9d9a4 0f9a4a7 0f9a77c 
0fa107e 0fbc7d8 0f9880f 0f954c4 0f990d3 
0fa7a0c 0fbc563 0f9ef3d 0f9be58 0f99377 
0fa238f 0fbb78f 0f99ccd 0f96714 0f98467 
0fa4015 0fbacc4 0f9b497 0f984df 0f97dad 
0fa5811 0fbaead 0f9cffa 0f99ba7 0f984b7 
0f9fa0f 0fb9a95 0f97132 0f93e64 0f970db 
0fa5614 0fb9f3c 0f9cb13 0f99a4f 0f9790a 
0f9f563 0fb9023 0f96e98 0f938c0 0f96ecc 
0fa0b56 0fb854c 0f97fb7 0f9501f 0f964f9 
0fa223e 0fb8922 0f99a4f 0f9659a 0f969f9 
0f9c757 0fb7989 0f93e4c 0f90b86 0f95619 
0fa2713 0fb84a2 0f99cfb 0f96b60 0f9603c 
0f9ca06 0fb7e25 0f94487 0f90f3c 0f956bb 
0f9e224 0fb6fde 0f958ee 0f92a04 0f957d7 
0f9f652 0fb71fd 0f97077 0f93cbc 0f95dce 
0f9976b 0fb6f0c 0f91063 0f8dec1 0f9457e 
0f9f3c0 0fb7c65 0f96b65 0f93b47 0f94c96 
0f99843 0fb7756 0f913fc 0f8de75 0f94e79 
0f9b423 0fb7e2d 0f92aec 0f8fb68 0f9489c 
0f9cd2d 0fb7e3d 0f947ec 0f913c4 0f94c6e 
0f9734c 0fbedad 0f8eb36 0f8b862 0f944c9 
0f9cd1c 0fb62a2 0f9450c 0f9142e 0f956e1 
0f96e7d 0fb907e 0f8e9f3 0f8b3df 0f9540d 
0f987cb 0fbb2f5 0f8fdd9 0f8cdf2 0f948ea 
0f9a335 0fb58bf 0f91e1f 0f8e9c0 0f94aa1 
0f9538f 0fbe2f9 0f8cb6f 0f89896 0f93896 
0f9bb8e 0fb4021 0f93337 0f902b9 0f942c0 
0f96e03 0fb35fa 0f8e981 0f8b43e 0f93aa8 
0f99517 0fb2b92 0f90b9b 0f8dc9c 0f93796 
0f9bcd9 0fb2dbf 0f936dc 0f90317 0f942f9 
0f971c6 0fb20e9 0f8eae8 0f8b8e2 0f93656 
0f9e16a 0fb2561 0f9585a 0f928ad 0f944dd 
0f999dd 0fb1b66 0f914d3 0f8e01f 0f942d4 
0f9c350 0fb14d3 0f939aa 0f90afc 0f943c4 
0f9ec65 0fb14a7 0f965e3 0f932b5 0f95420 
0f9a143 0fb0900 0f919ff 0f8e84b 0f95160 
0fa0f9a 0fb1032 0f9869e 0f956cf 0f96222 
0f9c6ff 0fb0754 0f94245 0f90d26 0f9654c 
0f9f17a 0fb0441 0f967dc 0f93907 0f969f0 
0fa1d36 0fb0df6 0f996eb 0f9636b 0f977ed 
0f9d488 0fb02d1 0f94da3 0f91b51 0f97319 
0fa443e 0fb0961 0f9bb65 0f98b32 0f988c0 
0f9fa31 0fb0649 0f9756a 0f9402f 0f98be7 
0fa1fa9 0fb08b9 0f996af 0f96730 0f98e22 
0fa4666 0fb15a3 0f9c092 0f98c83 0f99e8b 
0f9f914 0fb0d64 0f97283 0f93fe9 0f9958d 
0fa6687 0fb1b3d 0f9ddeb 0f9ad7f 0f9a713 
0fa1d55 0fb170c 0f998d1 0f9634c 0f9a8da 
0fa4744 0fb1436 0f9be18 0f98e8b 0f9acfa 
0fa741c 0fb1827 0f9ee14 0f9ba12 0f9c17b 
0fa2d5c 0fb0859 0f9a693 0f97416 0f9bd63 
0faa0d7 0fb107f 0fa17f6 0f9e7ad 0f9cf45 
0fa5ce5 0fb0dc5 0f9d825 0f9a2c4 0f9d0c1 
0fa883b 0fb0c5f 0f9fede 0f9cf57 0f9d549 
0fab68a 0fb10ea 0fa3081 0f9fc48 0f9eac7 
0fa6d74 0fb042a 0f9e6cf 0f9b3fc 0f9ea4a 
0fadcc7 0fb0fd0 0fa540b 0fa2369 0fa0214 
0fa9353 0fb11b3 0fa0d11 0f9d722 0fa069f 
0fabb0f 0fb15b4 0fa2f68 0f9ff5b 0fa0d58 
0fae749 0fb2421 0fa5eaa 0fa2a6c 0fa2052 
0fa9ee8 0fb26d2 0fa1553 0f9e2c0 0fa1a1d 
0fb11c3 0fb3cf4 0fa8612 0fa55be 0fa2cad 
0facdca 0fb406b 0fa463b 0fa10b6 0fa336d 
0faf933 0fb40f4 0fa6e87 0fa3f59 0fa4218 
0fb297c 0fb4d85 0faa342 0fa6f37 0fa5cf1 
0fae2cd 0fb49e1 0fa5bb7 0fa2911 0fa5b59 
0fb5783 0fb5f05 0face53 0fa9df0 0fa6fd3 
0fb154d 0fb6b1d 0fa906e 0fa5b10 0fa705b 
0fb41c7 0fb780c 0fab876 0fa8949 0fa75c9 
0fb72a7 0fb8d05 0faec42 0fab8e9 0fa8c58 
0fb2bb9 0fb88d4 0faa478 0fa7294 0fa8dfe 
0fba008 0fb97b6 0fb1686 0fae6d4 0faaa6c 
0fb5e3c 0fb961c 0fad8ad 0faa418 0fab94a 
0fb877f 0fb9748 0fafda6 0facea9 0fac530 
0fbb454 0fba268 0fb2e16 0fafa1d 0fadaa1 
0fb63e3 0fb9b4f 0fadd34 0faaa33 0fad72b 
0fbcf60 0fbb0b9 0fb4696 0fb15bb 0fae9bb 
0fb8218 0fbb19d 0fafd83 0fac7d5 0faf470 
0fb9fc2 0fbb49c 0fb165d 0fae74c 0fb0629 
0fbc21d 0fbce32 0fb3ba4 0fb088a 0fb25c2 
0fb66d5 0fbdab3 0fadfc2 0faae6c 0fb29f8 
0fbc833 0fbf48c 0fb3efc 0fb1026 0fb41d3 
0fb7436 0fbfae0 0faef8e 0fabae5 0fb415e 
0fb9285 0fbf3fb 0fb098c 0fada27 0fb3c91 
0fbb935 0fbf70d 0fb3355 0faff3c 0fb446e 
0fb64a3 0fbe9a3 0fade03 0faab53 0fb38cf 
0fbd145 0fbf050 0fb4885 0fb1814 0fb4a84 
0fb85ec 0fbec25 0fb017f 0facbf0 0fb4917 
0fba95f 0fbe56a 0fb1fb0 0faf0b1 0fb4c8a 
0fbd3b0 0fbf164 0fb4d57 0fb1a30 0fb6520 
0fb8330 0fbea6e 0fafcbc 0facab2 0fb664c 
0fbf921 0fbf4ae 0fb706c 0fb40d1 0fb7fdb 
0fbb83b 0fbfa0f 0fb339e 0fafecb 0fb8910 
0fbdf48 0fc0695 0fb5558 0fb2707 0fb90fe 
0fc0e34 0fc1dcc 0fb8736 0fb5487 0fba4a7 
0fbbc2b 0fc1a97 0fb3496 0fb031e 0fb9c73 
0fc27b2 0fc25b4 0fb9e19 0fb6ec4 0fbaa65 
0fbd74d 0fc223b 0fb52ab 0fb1d82 0fba590 
0fbeea6 0fc19f6 0fb65ac 0fb36ba 0fba2d8 
0fc105c 0fc1cc0 0fb8a5c 0fb5718 0fbb260 
0fbb12c 0fc1103 0fb29e6 0faf881 0fba441 
0fc58b4 0fd3bb9 0fbd46b 0fb9daa 0fc1c16 
0fc576a 0fd33ec 0fbce61 0fb9cd9 0fc137d 
0fc90ef 0fd3ea2 0fc0b1d 0fbd6a0 0fc20f1 
0fc33c6 0fd33ec 0fbad3d 0fb7874 0fc12ed 
0fc8d7a 0fd3927 0fc04e7 0fbd3a7 0fc1b41 
0fc56cc 0fd376e 0fbd233 0fb9b92 0fc1ad3 
0fc5484 0fd2dd6 0fbcc6b 0fb9af7 0fc122a 
0fc8fed 0fd38a3 0fc09b6 0fbd54a 0fc1f3b 
0fc3173 0fd2b15 0fbac39 0fb775c 0fc117c 
0fc8d16 0fd33e0 0fc046c 0fbd2fd 0fc1a2f 
0fc569e 0fd3450 0fbd1d7 0fb9b03 0fc1948 
0fc5276 0fd2b3b 0fbcab5 0fb991f 0fc0f7b 
0fc8eb8 0fd37c4 0fc0847 0fbd3be 0fc1b9f 
0fc2fd6 0fd2aec 0fbaa9a 0fb75ac 0fc0b68 
0fc8be5 0fd356f 0fc031b 0fbd1c9 0fc12b8 
0fc5546 0fd365f 0fbd06b 0fb99cd 0fc109d 
0fc5239 0fd2f00 0fbc9f9 0fb988f 0fc0869 
0fc8cba 0fd3a2c 0fc0696 0fbd24c 0fc15a4 
0fc2e7c 0fd2d11 0fba8f0 0fb743c 0fc086e 
0fc898a 0fd34b8 0fc00d6 0fbcf9d 0fc1209 
0fc523c 0fd351e 0fbcd79 0fb96d2 0fc126d 
0fc4e1d 0fd2e54 0fbc624 0fb94b4 0fc0af3 
0fc89ce 0fd3c2b 0fc03eb 0fbcf96 0fc17c2 
0fc2c31 0fd3071 0fba644 0fb7180 0fc0878 
0fc87ac 0fd35d7 0fbfe8c 0fbcd60 0fc10a2 
0fc515e 0fd33e1 0fbcc87 0fb9610 0fc108c 
0fc4d20 0fd29a0 0fbc547 0fb9405 0fc0859 
0fc8a0e 0fd34e4 0fc02de 0fbcebf 0fc14c8 
0fc2a40 0fd2438 0fba50c 0fb7077 0fc0554 
0fc85a4 0fd293c 0fbfd3f 0fbcc2c 0fc0da9 
0fc4ec6 0fd2691 0fbc7dc 0fb9149 0fc0d3b 
0fc47fc 0fd1f9d 0fbbd55 0fb8c06 0fc0a0a 
0fc8225 0fd32de 0fbf815 0fbc3ea 0fc1c57 
0fc1fb4 0fd2d0c 0fb9742 0fb62aa 0fc0ff7 
0fc77d1 0fd3d60 0fbec08 0fbbb23 0fc1811 
0fc3f87 0fd419e 0fbb85f 0fb8226 0fc1426 
