0fba443 0fae54d 0fb0923 0016925 00163df 
0fb96f1 0fad8a1 0fafc4b 0fde995 0fc1a1b 
0fbe161 0fb1937 0fb47cd 0fde50c 0fc53db 
0fbce44 0fb1029 0fb3373 0fddc9e 0fc3d5d 
0fba695 0fadf5c 0fb0d24 0fde0a1 0fc3179 
0fbfd65 0fb3997 0fb6379 0fde142 0fc5da2 
0fb982c 0fae391 0fafe01 0fdd85a 0fc2fbd 
0fbe92e 0fb2705 0fb4fea 0fdd30e 0fc3b0a 
0fbcb62 0fb0fe7 0fb308c 0fdd592 0fc5a41 
0fbb5ef 0faf0d6 0fb1c5f 0fdc51d 0fbf1a6 
0fc0cff 0fb4b7e 0fb72fc 0fdb58d 0fc11b5 
0fba427 0fae678 0fb0a0c 0fda4d8 0fbfbb7 
0fbf006 0fb2809 0fb56b8 0fda890 0fc0cec 
0fbd367 0fb1bdd 0fb38a5 0fda211 0fc1bed 
0fba0b8 0fadf8a 0fb06ee 0fd9df2 0fc341f 
0fbf2ce 0fb30c9 0fb5830 0fd9602 0fc7d7a 
0fb8016 0fac2df 0fae51c 0fd838f 0fc9f12 
0fbc586 0faf9f6 0fb2bba 0fd8814 0fcd4f7 
0fba500 0fae74c 0fb09c0 0fd85ab 0fd1316 
0fb75e8 0faaddb 0fadc2e 0fd75e3 0fd270d 
0fbce7b 0fb0a12 0fb33df 0fd6335 0fd5af9 
0fb49e1 0fa8f1f 0faaf74 0fd4f00 0fddb92 
0fb90eb 0facbd6 0faf73e 0fd3bc5 0fe2d49 
0fb7dab 0fac406 0fae283 0fd29b2 0fe2738 
0fb4fc3 0fa90b9 0fab64d 0fd1d62 0fe0d7b 
0fbac8c 0faf13b 0fb132d 0fd19a3 0fe11c6 
0fb3f30 0fa8598 0faa5ac 0fceeb1 0fe0b76 
0fb92f7 0fad098 0fafa8e 0fcc972 0fdfb14 
0fb9218 0fadda3 0faf85c 0fccf75 0fd601a 
0fb7121 0fab051 0fad84a 0fcd56d 0fccf2d 
0fbd936 0fb1df0 0fb3fb4 0fcde3d 0fc8104 
0fb71d8 0fabf30 0fad7c6 0fcca45 0fc41ba 
0fbc0a5 0fb0359 0fb2882 0fcb6cf 0fc3b4d 
0fbab3a 0faf88d 0fb1157 0fc995c 0fc5ad9 
0fb6f2d 0fab1c3 0fad6ce 0fc8589 0fc8995 
0fbd027 0fb17b1 0fb36ec 0fc798a 0fca5e3 
0fb59c8 0faa60e 0fac047 0fc5aaa 0fcd802 
0fb95d2 0fad709 0fafea0 0fc40a8 0fd5ea2 
0fb7515 0fac318 0fadb8a 0fc3bfd 0fdd9ea 
0fb4540 0fa88a2 0faac9c 0fc2c35 0fde42a 
0fbac40 0faf343 0fb133b 0fc2708 0fdeaee 
0fb436a 0fa91c1 0faa9c9 0fc1b65 0fdccc0 
0fb97aa 0fad7c7 0faff37 0fc1218 0fdc5f2 
0fb8b33 0fad76d 0faf118 0fc02a1 0fdc822 
0fb54a6 0fa966d 0fabbd0 0fbf257 0fdd5b7 
0fbba4e 0fafbc6 0fb20ee 0fbe4c4 0fdf6f6 
0fb4b8a 0fa97be 0fab18e 0fbc2ea 0fe0b58 
0fba066 0fadc23 0fb07c9 0fbbd86 0fe088b 
0fb97b0 0fae2e8 0fafd6f 0fbc22f 0fdf596 
0fb61c4 0faa2c3 0fac904 0fbafda 0fdff01 
0fbcdb2 0fb0e6f 0fb34e7 0fb9cf3 0fe029e 
0fb5fce 0faa747 0fac67a 0fb8b1c 0fdfbf0 
0fbad8d 0fae725 0fb15ae 0fb829f 0fe024d 
0fba3eb 0faed8f 0fb0a90 0fb8246 0fdfaab 
0fb701f 0faaec6 0fad822 0fb8113 0fdde06 
0fbe31c 0fb2330 0fb4a86 0fb6ad4 0fdc3e6 
0fb84ea 0facb69 0faeba8 0fb431a 0fd878e 
0fbde1d 0fb1838 0fb4626 0fb3970 0fd4802 
0fbdbe1 0fb212a 0fb4248 0fb4139 0fd0e7d 
0fbabbf 0fae8fc 0fb1348 0fb51a5 0fcc57e 
0fc1fc7 0fb5c26 0fb86c9 0fb6b4d 0fc7a34 
0fbb727 0faf951 0fb1dad 0fb8699 0fc398f 
0fc0532 0fb39cb 0fb6d4a 0fb9d8b 0fc1ea8 
0fc0046 0fb3f2b 0fb66c7 0fba7e7 0fc0d89 
0fbc904 0fb0179 0fb30d6 0fba57e 0fbf5d8 
0fc36ed 0fb6f7c 0fb9e64 0fb9f7d 0fbebc3 
0fbcce8 0fb0d8e 0fb3385 0fb9306 0fbd4b6 
0fc1980 0fb4d08 0fb81aa 0fb89dd 0fbc5d8 
0fc1655 0fb56bc 0fb7d32 0fb7504 0fbabda 
0fbe2d9 0fb1ad9 0fb4b13 0fb6203 0fb6fad 
0fc5302 0fb8a78 0fbbb02 0fb5beb 0fb3be5 
0fbf7bc 0fb34b6 0fb5eea 0fb4717 0fabc56 
0fc42b5 0fb7180 0fbab1d 0fb3a74 0fa9185 
0fc3c53 0fb766c 0fba338 0fb2f8e 0fa7c92 
0fbfc51 0fb2cbc 0fb643f 0fb27b9 0fa6840 
0fc69e1 0fb9f5b 0fbd1a4 0fb2236 0fa406e 
0fc010e 0fb3dfd 0fb6848 0fb10ac 0fa0e0f 
0fc49d3 0fb7838 0fbb291 0fb0841 0f9ea2f 
0fc4675 0fb7efa 0fbad9a 0fb0504 0f9c63b 
0fc0814 0fb36a5 0fb706f 0fb0349 0f99684 
0fc737d 0fb9ed1 0fbdb9d 0fb0c77 0f96b72 
0fc0b2b 0fb37f6 0fb7288 0fb15be 0f92125 
0fc4f9f 0fb6efa 0fbb88b 0fb2e9b 0f8e697 
0fc4947 0fb7b46 0fbb050 0fb4e4e 0f89ddd 
0fc0e38 0fb3d70 0fb7632 0fb6efe 0f83c38 
0fc82fb 0fbb3c8 0fbeaa3 0fb868b 0f7cb1b 
0fc2dd5 0fb6460 0fb9535 0fb76cb 0f72b5a 
0fc90a4 0fbbbb6 0fbf99a 0fb4e8d 0f69254 
0fcb9f8 0fbf159 0fc21c2 0fada3b 0f5f5b1 
0fca40d 0fbd5f5 0fc0d15 0faa0e1 0f534b1 
0fd206b 0fc5370 0fc88cc 0fa979c 0f4c4b5 
0fcbf66 0fbfba5 0fc26c3 0fa9381 0f46ac5 
0fd051f 0fc337f 0fc6dbc 0fa88ed 0f42812 
0fcfd1e 0fc39b3 0fc63ea 0fa7f8c 0f3f843 
0fcb8fb 0fbeec5 0fc2103 0fa75f3 0f3c50f 
0fd1d38 0fc5309 0fc84be 0fa7569 0f3a69f 
0fcac46 0fbea43 0fc1390 0fa67f2 0f39110 
0fce7d8 0fc187e 0fc506a 0fa6214 0f38e0e 
0fcdb28 0fc1a3b 0fc4212 0fa6117 0f39d89 
0fc9047 0fbc8cb 0fbf843 0fa6014 0f3acf7 
0fcf10e 0fc289f 0fc58d2 0fa65ad 0f3cb12 
0fc819e 0fbc289 0fbe881 0fa603a 0f3d643 
0fcbfcf 0fbf497 0fc27fd 0fa5d96 0f3dd9a 
0fcbe2f 0fc00db 0fc24bf 0fa587c 0f3dab5 
0fc79f4 0fbb66f 0fbe16d 0fa52fc 0f3cc44 
0fce1a2 0fc1e25 0fc48c3 0fa5550 0f3cb5a 
0fc761b 0fbbcb0 0fbdc3b 0fa50bc 0f3c190 
0fcb438 0fbed8b 0fc1b5f 0fa56cb 0f3c0cf 
0fcb12b 0fbf905 0fc16e1 0fa5910 0f3c21c 
0fc6af1 0fbac6d 0fbd187 0fa5b10 0f3bf04 
0fcd21a 0fc1412 0fc389e 0fa6193 0f3c195 
0fc6619 0fbb18b 0fbcbb0 0fa60b9 0f3b765 
0fca20a 0fbe0de 0fc0931 0fa68a1 0f3b42b 
0fca1b8 0fbeafb 0fc075a 0fa6ae3 0f3aea2 
0fc5bf9 0fb9e9b 0fbc2a5 0fa6828 0f3a275 
0fcc3f5 0fc0432 0fc2a70 0fa6bc1 0f3a701 
0fc570b 0fba134 0fbbccc 0fa693b 0f3a45c 
0fc9470 0fbd00a 0fbfb98 0fa6b2b 0f3a5f3 
0fc9a0e 0fbe10c 0fbffc1 0fa58d4 0f39c93 
0fc53be 0fb8ff6 0fbba9d 0fa50c8 0f391df 
0fcbc0e 0fbf86b 0fc22d8 0fa5555 0f394bb 
0fc53e0 0fb987e 0fbb9f0 0fa4fda 0f38656 
0fc8f75 0fbc521 0fbf743 0fa4fbe 0f37e3b 
0fc937b 0fbd44a 0fbf9e0 0fa51e6 0f37685 
0fc4dab 0fb86f5 0fbb525 0fa4e66 0f363ee 
0fcb83e 0fbef91 0fc1f88 0fa528e 0f35eed 
0fc5023 0fb8ffb 0fbb6ad 0fa4d4c 0f34b7f 
0fc8d20 0fbbf71 0fbf510 0fa4d7d 0f33b87 
0fc936e 0fbd1b2 0fbf9ee 0fa4d81 0f32861 
0fc4c43 0fb8363 0fbb3c6 0fa4dca 0f30afb 
0fcb77f 0fbed06 0fc1ee9 0fa5435 0f2f83f 
0fc5062 0fb8ece 0fbb5f0 0fa518b 0f2d7cf 
0fc8b77 0fbbcc4 0fbf288 0fa57cf 0f2c286 
0fc9272 0fbcfe1 0fbf810 0fa5cbb 0f2b03a 
0fc4a12 0fb80f2 0fbb0a7 0fa5ef8 0f29937 
0fcb3ca 0fbe992 0fc1a62 0fa6845 0f28fdd 
0fc4ccf 0fb8b50 0fbb28f 0fa69d1 0f27af9 
0fc8686 0fbb7ce 0fbedc2 0fa7131 0f26d18 
0fc8fcc 0fbcd2c 0fbf572 0fa7573 0f260bf 
0fc45a1 0fb7c89 0fbac3e 0fa7499 0f24dbb 
0fcaff4 0fbe551 0fc167b 0fa7ae1 0f245c9 
0fc4972 0fb882e 0fbaf16 0fa7850 0f233f3 
0fc8145 0fbb2e9 0fbe851 0fa7b48 0f22cc8 
0fc87d8 0fbc5b6 0fbed70 0fa7b29 0f226f7 
0fc3c1b 0fb73db 0fba2b0 0fa78b1 0f21ca8 
0fca5de 0fbdc14 0fc0cbf 0fa7f28 0f220c3 
0fc3eab 0fb7e8c 0fba527 0fa7e17 0f21a3c 
0fc73cf 0fba6ab 0fbdbb1 0fa8204 0f2189b 
0fc7b40 0fbba49 0fbe1ab 0fa8408 0f21565 
0fc2d5d 0fb6660 0fb94d7 0fa8219 0f20a1d 
0fc9613 0fbcd35 0fbfd5d 0fa8949 0f20b21 
0fc2d29 0fb6dec 0fb9386 0fa89ae 0f2002a 
0fc6133 0fb9485 0fbc917 0fa90a0 0f1fa24 
0fc6a1e 0fba8db 0fbd083 0fa9616 0f1f4ae 
0fc1bbe 0fb542c 0fb82ed 0fa98cd 0f1e550 
0fc8508 0fbbb45 0fbec3a 0faa2f3 0f1e152 
0fc1e94 0fb5e61 0fb8506 0faa3ac 0f1cf70 
0fc51d4 0fb8442 0fbb9c4 0faa8ba 0f1c950 
0fc5d93 0fb9bbd 0fbc40a 0faadae 0f1be61 
0fc0ef1 0fb471b 0fb7649 0faaf0b 0f1abcb 
0fc7930 0fbaefa 0fbe074 0fab4bc 0f1a6a4 
0fc12ea 0fb526a 0fb7937 0fab270 0f197a9 
0fc4603 0fb77fa 0fbadce 0fab582 0f19012 
0fc528a 0fb9069 0fbb8db 0fab5ba 0f18bab 
0fc0193 0fb3951 0fb68ba 0fab123 0f18076 
0fc6b29 0fba036 0fbd23f 0fab4f5 0f183a2 
0fc0520 0fb4415 0fb6b4b 0fab018 0f17dac 
0fc35ca 0fb6759 0fb9d6c 0fab071 0f17dca 
0fc4418 0fb817a 0fbaa61 0faafcc 0f17d08 
0fbf353 0fb2b7c 0fb5a76 0faac30 0f17426 
0fc5d50 0fb92c1 0fbc471 0fab105 0f1753d 
0fbf74f 0fb36da 0fb5d76 0faaf37 0f16d42 
0fc2634 0fb5873 0fb8db5 0fab3d1 0f1685f 
0fc3500 0fb7360 0fb9b20 0fab914 0f16413 
0fbe296 0fb1be9 0fb49a5 0faba68 0f155fa 
0fc4efc 0fb855e 0fbb5fb 0fac1ba 0f15087 
0fbeaeb 0fb2b3a 0fb50ec 0fac20e 0f14079 
0fc19f3 0fb4ce6 0fb814c 0fac67a 0f132c9 
0fc2b18 0fb69b4 0fb90e4 0fac98e 0f1292f 
0fbd97c 0fb1300 0fb4028 0fac6e7 0f113b3 
0fc45da 0fb7c31 0fbacae 0facafc 0f10ea2 
0fbe302 0fb23a6 0fb4901 0fac5e1 0f0ffa6 
0fc1165 0fb44c6 0fb78e4 0fac596 0f0f554 
0fc2519 0fb64a7 0fb8b06 0fac6ab 0f0ecbe 
0fbd091 0fb0ab8 0fb3753 0fac391 0f0de4b 
0fc3d02 0fb73a3 0fba3eb 0fac703 0f0e118 
0fbd927 0fb1a7f 0fb3eea 0fac1b0 0f0dc0d 
0fc03ed 0fb3821 0fb6b2d 0fac51b 0f0dd1f 
0fc1635 0fb55e1 0fb7c1b 0fac723 0f0e38f 
0fbbf8d 0fafa86 0fb2632 0fac33a 0f0df84 
0fc2956 0fb617a 0fb900e 0fac572 0f0e4cb 
0fbc721 0fb0a08 0fb2cda 0fac07e 0f0dde5 
0fbf171 0fb26ec 0fb58b0 0fac0f1 0f0db6e 
0fc05de 0fb46f4 0fb6bb5 0fac1e3 0f0d9c0 
0fbb0a7 0faed5d 0fb1743 0fac05c 0f0ce1d 
0fc1cb3 0fb55d0 0fb835a 0fac6ac 0f0cb89 
0fbbc40 0fb000c 0fb21d5 0fac566 0f0bcd6 
0fbe5fc 0fb1c62 0fb4d10 0fac7d2 0f0b1e4 
0fbfd46 0fb3f0b 0fb62ee 0fac9fe 0f0aa41 
0fba72c 0fae46c 0fb0d81 0fac6b8 0f09a21 
0fc148c 0fb4e69 0fb7b12 0facb56 0f098f2 
0fbb606 0fafaf1 0fb1b7d 0fac7c4 0f08cfe 
0fbdfe4 0fb1673 0fb46d6 0fac93d 0f085e7 
0fbf914 0fb3ab1 0fb5ecc 0facc14 0f080ef 
0fba2be 0fadfea 0fb093b 0faca80 0f073f3 
0fc104c 0fb4928 0fb76e9 0facf1c 0f075c3 
0fbb113 0faf48d 0fb1693 0faca75 0f06e6b 
0fbd8d5 0fb0e59 0fb3fd1 0facbc7 0f06ec4 
0fbf2ab 0fb3304 0fb584e 0faccf2 0f072a1 
0fb9b0e 0fad741 0fb017f 0fac85e 0f06b44 
0fc093a 0fb4140 0fb6ff2 0facbd8 0f06fff 
0fbab6f 0faee54 0fb1127 0fac6fc 0f066e8 
0fbd31d 0fb0854 0fb3a49 0fac870 0f06039 
0fbf029 0fb3038 0fb55f6 0faca3b 0f05a63 
0fb9960 0fad577 0faffd4 0fac670 0f047f3 
0fc08ce 0fb40f5 0fb6f82 0facae1 0f040c3 
0fbad4c 0faf08c 0fb12d2 0fac7e7 0f02ec4 
0fbd4b6 0fb0a1c 0fb3bc9 0faca33 0f021a6 
0fbf485 0fb3464 0fb5a30 0facb71 0f0170e 
0fb9cc0 0fad876 0fb0351 0fac779 0f0029d 
0fc0cbe 0fb4430 0fb738b 0faca7d 0effb6b 
0fbb1cc 0faf44c 0fb176c 0fac4c1 0efebbe 
0fbd72f 0fb0c2f 0fb3e5c 0fac4ef 0efe22b 
0fbf72a 0fb36fe 0fb5d02 0fac5ca 0efdd72 
0fb9ed2 0fadad2 0fb0558 0fac1e8 0efcfc6 
0fc0e03 0fb456b 0fb74d9 0fac53d 0efced4 
0fbb378 0faf5d1 0fb191d 0fabfce 0efc34b 
0fbd893 0fb0d47 0fb3fb1 0fac000 0efbd83 
0fbf97f 0fb38ee 0fb5f4f 0fabf29 0efba73 
0fb9ffe 0fadbd7 0fb067b 0fab995 0efae06 
0fc0f21 0fb464a 0fb75e5 0fabbb0 0efae05 
0fbb5f7 0faf859 0fb1b92 0fab661 0efa2d5 
0fbd813 0fb0cf9 0fb3f2b 0fab52e 0ef99a4 
0fbfb70 0fb3af5 0fb613b 0fab682 0ef9506 
0fba04f 0fadc69 0fb06c8 0fab254 0ef8478 
0fc0f85 0fb46b5 0fb763a 0fab71f 0ef8008 
0fbb6ab 0faf921 0fb1c50 0fab3f6 0ef7035 
0fbd7ff 0fb0cd7 0fb3f2c 0fab577 0ef63cf 
0fbfd06 0fb3c33 0fb62cd 0fab75b 0ef5b50 
0fba126 0fadd28 0fb07ac 0fab2f3 0ef46b0 
0fc1074 0fb4762 0fb7740 0fab793 0ef4052 
0fbb904 0fafb31 0fb1ea4 0fab4d2 0ef3151 
0fbd8d2 0fb0d65 0fb3ffd 0fab632 0ef2695 
0fbfda0 0fb3c4a 0fb6381 0fab7a4 0ef1f60 
0fba0f9 0fadc5b 0fb0753 0fab3b7 0ef0f6e 
0fc0fa0 0fb45ad 0fb763e 0fab77e 0ef0c9e 
0fbb833 0faf9d9 0fb1dce 0fab3e0 0eeffb3 
0fbd5ea 0fb0a09 0fb3d1e 0fab47f 0eef6a2 
0fbfd12 0fb3b43 0fb6304 0fab5a6 0eef21e 
0fb9f81 0fadad8 0fb0607 0fab02c 0eee1a4 
0fc0ea5 0fb44ba 0fb757c 0fab35d 0eeddb9 
0fbb91f 0fafad9 0fb1eb7 0faaed9 0eecf5e 
0fbd4cb 0fb08f7 0fb3bdb 0faad05 0eec246 
0fbfdea 0fb3c12 0fb63c2 0faad47 0eebb89 
0fba030 0fadbbe 0fb069a 0faa744 0eea868 
0fc0fee 0fb45ff 0fb76b2 0faaae8 0eea2c0 
0fbba34 0fafc19 0fb1fd4 0faa5fe 0ee91c3 
0fbd5e0 0fb0a67 0fb3d0c 0faa65b 0ee85ec 
0fbfffc 0fb3e72 0fb65de 0faa74a 0ee7ee8 
0fba168 0fadd2f 0fb07c3 0faa1e6 0ee6bf9 
0fc1039 0fb4657 0fb7704 0faa51c 0ee6892 
0fbbc44 0fafe34 0fb21d8 0faa139 0ee5cfe 
0fbd55d 0fb09f9 0fb3c6f 0faa01e 0ee5134 
0fc00ad 0fb3f2b 0fb6680 0faa1ed 0ee4e84 
0fba099 0fadcd9 0fb0701 0fa9d47 0ee3fa3 
0fc0f58 0fb45af 0fb760c 0faa18e 0ee3ec6 
0fbbbe5 0fafe16 0fb2155 0fa9d68 0ee3443 
0fbd3ee 0fb08e4 0fb3ae9 0fa9d13 0ee2ced 
0fc0007 0fb3ea8 0fb65dc 0fa9d50 0ee2adb 
0fb9f7a 0fadbd4 0fb05ea 0fa98f8 0ee1fb1 
0fc0cce 0fb4310 0fb73ac 0fa9cf7 0ee214f 
0fbbaf5 0fafd4b 0fb2090 0fa9958 0ee179d 
0fbd155 0fb0602 0fb3885 0fa9916 0ee0f40 
0fbffb5 0fb3da0 0fb659b 0fa9b92 0ee0c2a 
0fb9e87 0fada4e 0fb0505 0fa9846 0edfe59 
0fc0bef 0fb416d 0fb72d9 0fa9cf2 0edfbb3 
0fbbb1d 0fafc98 0fb20d5 0fa9afc 0edef02 
0fbd044 0fb0454 0fb379e 0fa9d1b 0ede475 
0fbfefe 0fb3c7b 0fb6514 0faa08d 0edde53 
0fb9d95 0fad926 0fb0439 0fa9d4d 0edcbd6 
0fc0c0c 0fb4117 0fb731c 0faa2b3 0edc5af 
0fbbc80 0fafd6f 0fb2243 0faa00c 0edb59b 
0fbd0f0 0fb0450 0fb385d 0fa9ff6 0eda8e0 
0fc01f9 0fb3e8d 0fb681b 0faa247 0eda1da 
0fb9f3e 0fada1b 0fb05d5 0fa9ca5 0ed9071 
0fc0e49 0fb42bc 0fb7573 0faa089 0ed8cf7 
0fbbebd 0faffa9 0fb24a6 0fa9b3f 0ed80c5 
0fbd055 0fb03c8 0fb37d8 0fa9ac3 0ed77b6 
0fc00b5 0fb3d94 0fb6714 0fa9d05 0ed76e3 
0fb9d52 0fad8f6 0fb0432 0fa9962 0ed6b20 
0fc09db 0fb3f30 0fb7138 0fa9e9c 0ed6d6d 
0fbbad8 0fafc8e 0fb20dd 0fa9cd7 0ed65cc 
0fbcbd7 0fb0030 0fb3360 0fa9d7a 0ed600e 
0fbfd55 0fb3ad2 0fb6394 0faa182 0ed6234 
0fb97b6 0fad43a 0fafd84 0fa9c03 0ed554c 
0fc043c 0fb3a86 0fb6a9a 0faa0f5 0ed5864 
0fbb654 0faf903 0fb1b74 0fa9ecb 0ed53df 
0fbc687 0fafbf4 0fb2d34 0fa9ffb 0ed4e31 
0fbf9eb 0fb384f 0fb5f6c 0faa365 0ed4d98 
0fb95f0 0fad31d 0fafbdc 0faa0ca 0ed3f42 
0fc02fd 0fb393c 0fb6978 0faa6fc 0ed3c5d 
0fbb5ee 0faf85e 0fb1b0f 0faa4f5 0ed3179 
0fbc5c9 0fafad5 0fb2c68 0faa74e 0ed2780 
0fbc5d1 0fafcde 0fb2c57 0fc9305 0e84e22 
0fb6479 0faa5bb 0fac9fd 0fc910e 0e849ae 
0fb93bd 0fac77f 0fafab8 0fc9428 0e84a38 
0fba891 0fae7d9 0fb0e13 0fc96f9 0e84dae 
0fb5708 0fa9122 0fabd4c 0fc94d4 0e84739 
0fbc3fc 0fafaf7 0fb2a4d 0fc99cc 0e84cae 
0fb6378 0faa4c9 0fac8d1 0fc9757 0e84701 
0fb91c4 0fac58c 0faf8ad 0fc9a28 0e846b9 
0fba85b 0fae78a 0fb0dd8 0fc9c55 0e84989 
0fb5568 0fa8fc4 0fabbca 0fc997d 0e8415f 
0fbc31d 0fafa1a 0fb29a0 0fc9f2e 0e846c1 
0fb633b 0faa4ba 0fac8c9 0fc9d4c 0e84135 
0fb8fcd 0fac3b3 0faf6c6 0fca050 0e840e6 
0fba76b 0fae68f 0fb0ce5 0fca2ac 0e843b2 
0fb5436 0fa8e94 0faba7e 0fca119 0e83d5a 
0fbc197 0faf859 0fb27f4 0fca6d7 0e84301 
0fb628a 0faa3e3 0fac7e5 0fca4f2 0e83e60 
0fb8d77 0fac154 0faf460 0fca819 0e83e81 
0fba68b 0fae592 0fb0c10 0fcaa7d 0e840ce 
0fb51a0 0fa8c16 0fab7f6 0fca824 0e83882 
0fbc05b 0faf711 0fb26e5 0fcae1d 0e83d10 
0fb6291 0faa409 0fac81f 0fcab6d 0e836d8 
0fb8cbc 0fac0bc 0faf3d9 0fcad9c 0e834cd 
0fba792 0fae6b0 0fb0d36 0fcafdf 0e83588 
0fb5347 0fa8e0c 0fab9ac 0fcae10 0e82d94 
0fbc194 0faf88d 0fb27fc 0fcb2b4 0e83183 
0fb64fa 0faa6bc 0faca60 0fcaff5 0e82b9d 
0fb8dc6 0fac1fe 0faf49f 0fcb1bf 0e829fc 
0fba975 0fae8bd 0fb0ef9 0fcb309 0e82bb4 
0fb5364 0fa8e63 0fab995 0fcafa6 0e82418 
0fbc1f1 0faf8ef 0fb2848 0fcb4c4 0e82993 
0fb64f4 0faa6e5 0faca48 0fcb205 0e823f8 
0fb8c77 0fac0bc 0faf35e 0fcb421 0e82370 
0fbaa01 0fae91f 0fb0f99 0fcb55e 0e826a6 
0fb52bc 0fa8dd2 0fab8fb 0fcb236 0e8203c 
0fbc101 0faf7e4 0fb274c 0fcb8bc 0e827a5 
0fb6467 0faa653 0fac99b 0fcb7f2 0e82411 
0fb8a49 0fabeb7 0faf114 0fcbb32 0e82272 
