0fc33d8 0fc8720 0fba313 0fb6d86 0fc1146 
0fc6988 0fc710c 0fbd9b9 0fb9d9c 0fc1fd4 
0fc0b33 0fc5eb1 0fb7c2f 0fb3f3e 0fc1150 
0fc5862 0fc61bc 0fbc731 0fb8d2b 0fc14aa 
0fc3d8f 0fc64ad 0fbae15 0fb70da 0fc1cdc 
0fc20df 0fc52e7 0fb8fc2 0fb5529 0fc0e99 
0fc6e12 0fc6234 0fbdd5d 0fba1dc 0fc23ce 
0fc0ff4 0fc53a6 0fb803c 0fb43bb 0fc1410 
0fc5b1f 0fc62ae 0fbc9bb 0fb900a 0fc1515 
0fc407b 0fc6e16 0fbb092 0fb73d1 0fc194d 
0fc23be 0fc5ddb 0fb926b 0fb584c 0fc019c 
0fc71c8 0fc6f44 0fbe0a4 0fba599 0fc0bd4 
0fc1895 0fc5d1e 0fb8861 0fb4c5c 0fbe0f6 
0fc7102 0fc5bf7 0fbde9c 0fba5e9 0fb8951 
0fc62e3 0fc6cdf 0fbd2ab 0fb96a2 0fb2611 
0fc324e 0fc7225 0fba175 0fb674c 0fb5248 
0fc6e44 0fcb8f6 0fbdda6 0fba2e4 0fb9a0a 
0fc0636 0fcab9d 0fb7714 0fb3b37 0fbdc54 
0fc43c9 0fc921b 0fbb272 0fb7969 0fc55c6 
0fc2142 0fcc690 0fb90e3 0fb558b 0fc74b0 
0fc2125 0fc5519 0fb8f15 0fb56e9 0fc2363 
0fc90c5 0fc0dff 0fc01c2 0fbc798 0fb9b8f 
0fc45e5 0fbb940 0fbb8a0 0fb7bec 0fb4124 
0fcb999 0fa2581 0fc287a 0fbee60 0fbb7b6 
0fc6917 0fa5404 0fbd9b8 0fb9cac 0fcd8e8 
0fc303d 0fb139f 0fba0a8 0fb65a5 0fcb059 
0fc63be 0fc3c67 0fbd5ba 0fb9acc 0fc5979 
0fbf995 0fcd0b4 0fb6c26 0fb3040 0fc0632 
0fc08d2 0ffbeeb 0fb77b6 0fb3e7f 0fc7dad 
0fbb6b7 0022d5e 0fb28ec 0faeb3b 0fcbbd7 
0fb79b2 0026722 0fae8e4 0faaee9 0fcc833 
0fbdc47 0023b1b 0fb4adb 0fb10d6 0fc52a0 
0fb84c4 00262c4 0faf457 0fab83c 0fc0a16 
0fbb962 002535c 0fb2796 0faedde 0fc4320 
0fb9627 0025f71 0fb0654 0fac8b4 0fc3349 
0fb72af 0027feb 0fae21c 0faa793 0fbfdda 
0fbd03c 0024b49 0fb41a8 0fb0678 0fbdf74 
0fb8350 0026b90 0faf67b 0fab92f 0fbba71 
0fbd935 00249b1 0fb4ad4 0fb0ff3 0fbbc60 
0fbcc46 0024395 0fb4109 0fb049a 0fbc38f 
0fbb1be 0025b0f 0fb21ed 0fae841 0fbd325 
0fc0ce1 0022ecd 0fb7bdd 0fb41db 0fbf8d7 
0fbc28a 002508b 0fb3306 0faf7b6 0fbe0cb 
0fc13ef 002283b 0fb87f0 0fb505f 0fbee06 
0fc05b4 0021afa 0fb75cc 0fb3b4d 0fc1890 
0fbebb3 002286d 0fb57bb 0fb1f71 0fc2618 
0fc3b93 001f5a0 0fba80c 0fb6e38 0fc83f9 
0fbe58b 00218a2 0fb5684 0fb198e 0fca82d 
0fc3714 001e8cb 0fba902 0fb6cd7 0fcc30f 
0fc2b23 0ff780d 0fb9ef3 0fb5f1f 0fcd167 
0fc0c76 0fdb573 0fb7f7c 0fb426d 0fcd2d8 
0fc6854 0fd6348 0fbd8df 0fb9c56 0fcde60 
0fc1290 0fd10b2 0fb825b 0fb45fe 0fcd010 
0fc5f2e 0fcc50d 0fbcdfd 0fb94dd 0fce6bc 
0fc4505 0fca5c1 0fbb564 0fb79a5 0fd1c51 
0fc16e7 0fc9784 0fb84a6 0fb4c20 0fd4747 
0fc56e3 0fcba45 0fbc588 0fb8bf3 0fda4ba 
0fbed59 0fcbd2c 0fb5c39 0fb21fb 0ff1484 
0fc2db6 0fd013d 0fb99ff 0fb626e 0fef478 
0fc13ee 0fd43ab 0fb81f8 0fb479a 0ff66c2 
0fbeac7 0fd7bf2 0fb58ad 0fb2081 0fe7278 
0fc4434 0fd4e63 0fbb1d7 0fb7933 0fdc915 
0fbed2e 0fd13e3 0fb5be1 0fb2320 0fda663 
0fc34de 0fd2ed0 0fba1d8 0fb6b9b 0fd93be 
0fc099e 0fe9bd8 0fb783c 0fb3da1 0fd97b6 
0fbd821 002235f 0fb46df 0fb0e32 0fd636e 
0fc2976 001fda7 0fb9896 0fb5f0d 0fd5b9e 
0fbcc37 0022a76 0fb3cdd 0fb017a 0fd3e5a 
0fc0fc9 002147f 0fb7cee 0fb44f5 0fd40af 
0fbfd5e 00210d7 0fb6cfb 0fb31c0 0fd5ebb 
0fbe041 0022453 0fb4f70 0fb16da 0fd5fcc 
0fc44a8 0fee1fd 0fbb2be 0fb79e8 0fd8bbe 
0fbf6a9 0fd5cbb 0fb6633 0fb2c35 0fd940d 
0fc4d0f 0fd1610 0fbba95 0fb83c0 0fd844d 
0fc44d5 0fd17fe 0fbb5ad 0fb7aa9 0fd36ae 
0fc2925 0fd0aca 0fb98a1 0fb5f97 0fcd36c 
0fc835a 0fcf701 0fbf218 0fbb897 0fcc24f 
0fc243e 0fcf576 0fb95bb 0fb59d8 0fc7cce 
0fc6d3a 0fcfa4f 0fbdc0b 0fba33c 0fc6cdf 
0fc5e26 0fd07ba 0fbd05e 0fb942e 0fc3bb5 
0fc3dec 0fcf239 0fbadd8 0fb7456 0fc0625 
0fc9522 0fcfe6d 0fc04f1 0fbcb0f 0fbfe86 
0fc34b4 0fcef40 0fba6c1 0fb6a3c 0fbf03d 
0fc7940 0fd01ab 0fbe91d 0fbafac 0fc0101 
0fc679d 0fd0b63 0fbd9a9 0fb9cb9 0fc013e 
0fc44c8 0fd0098 0fbb53f 0fb7b1f 0fbd8d5 
0fc9e40 0fcffb8 0fc0de6 0fbd2b3 0fbed56 
0fc4382 0fccd0b 0fbb488 0fb7827 0fbf2d8 
0fc8f06 0fcb004 0fbfdf5 0fbc4d4 0fc0166 
0fc7eb0 0fca299 0fbeed3 0fbb28c 0fc15dc 
0fc52e5 0fca15e 0fbbfe4 0fb85ec 0fc002c 
0fca763 0fcb59d 0fc144e 0fbd925 0fc0c67 
0fc44b9 0fc9ef3 0fbb91b 0fb7ada 0fbf8ee 
0fc9286 0fca37c 0fc0192 0fbc8d1 0fbe5b4 
0fc99d2 0fc6eea 0fc0aad 0fbcd85 0fba7ad 
0fc6e5f 0fcae21 0fbddf1 0fba201 0fb5355 
0fcbf86 0fd7ece 0fc2e5b 0fbf33d 0fac525 
0fc9964 0fd851d 0fc08ba 0fbce43 0f9387d 
0fcd984 0fd3771 0fc463a 0fc0cf1 0f9762a 
0fcaa5a 0fcfce5 0fc1863 0fbdcf4 0fa6a92 
0fc8d74 0fbfb42 0fbf44d 0fbbc65 0fb20cb 
0fceefb 0fb3061 0fc5ad2 0fc2258 0fb8ef1 
0fc9b99 0fac80b 0fc0afc 0fbd074 0fb76bf 
0fcff99 0fa6403 0fc66d9 0fc30cd 0fb29e7 
0fce940 0fa6869 0fc529d 0fc19df 0fb3e1d 
0fcbae5 0fa4b3e 0fc2078 0fbecad 0fb6744 
0fd15e2 0fa2393 0fc7af8 0fc4631 0fb9aff 
0fcb713 0fa0ad6 0fc1ebb 0fbe94a 0fba95e 
0fcf70d 0fa2b9a 0fc6266 0fc2a89 0fbcf7a 
0fce000 0fa40d2 0fc517a 0fc14fc 0fbfcd0 
0fcc29c 0fa1907 0fc2d7a 0fbf487 0fbe411 
0fd2645 0f9f423 0fc92de 0fc5765 0fbcd31 
0fccee8 0f9fdb0 0fc3f2f 0fc02f8 0fb77e3 
0fd15ad 0fa32fa 0fc839d 0fc4b72 0fb4c2e 
0fd00d0 0fa6d0d 0fc7006 0fc3568 0fb4d39 
0fce03b 0fa49f2 0fc4dbd 0fc1530 0fb2ea8 
0fd3ea1 0fa0e40 0fcae21 0fc737b 0fb4679 
0fce1f5 0f9dc27 0fc523f 0fc1644 0fb4396 
0fd299a 0f9a96b 0fc96f7 0fc5e53 0fb54f2 
0fd1da8 0f963b9 0fc8c0c 0fc5000 0fb7ed8 
0fcf5e4 0f908ee 0fc635d 0fc291a 0fb9652 
0fd451e 0f90523 0fcb2c3 0fc77c2 0fbc369 
0fce0d6 0f92252 0fc504a 0fc1300 0fbaaa2 
0fd1fb6 0f96c04 0fc8bd8 0fc523c 0fb950a 
0fd090b 0f9ad3d 0fc77e9 0fc3a41 0fba793 
0fce0e7 0f9a58a 0fc4ce3 0fc121d 0fbb57e 
0fd287d 0fa11e1 0fc9a01 0fc5f78 0fbc3c6 
0fcc34a 0fa7986 0fc33ad 0fbf773 0fbb15b 
0fd01c8 0faca2d 0fc7085 0fc37e6 0fbb0b7 
0fcf756 0fb02e0 0fc649c 0fc2998 0fbb27c 
0fccc61 0fb1693 0fc38e1 0fc0086 0fbb806 
0fd1c67 0fb5955 0fc8894 0fc4fe0 0fbe7b6 
0fcbde2 0fb7c5c 0fc2dc5 0fbf216 0fbe111 
0fcfe7b 0fbaf35 0fc6d5c 0fc3449 0fbe51b 
0fced23 0fbe4d1 0fc5afd 0fc1f61 0fbfc84 
0fcc51f 0fbf2ce 0fc31e5 0fbf8a5 0fbe771 
0fd1b78 0fc19b8 0fc8873 0fc4e44 0fbf2b1 
0fcbeb7 0fc1d6e 0fc2cce 0fbf175 0fbe68b 
0fd03ec 0fc2d03 0fc6eff 0fc3700 0fbefd5 
0fcf5ac 0fc2eb8 0fc62ce 0fc26ea 0fc0d54 
0fccf4e 0fbfe7d 0fc3bad 0fc01d7 0fc0fc8 
0fd1f71 0fc1bff 0fc8d22 0fc5299 0fc32fd 
0fcb9e1 0fc3fe5 0fc2804 0fbed30 0fc355f 
0fcfe1f 0fc5364 0fc67ae 0fc30c7 0fc4236 
0fcefef 0fc5cd2 0fc5d6e 0fc21f4 0fc516d 
0fcc4c0 0fc5089 0fc33a7 0fbfa7d 0fc451f 
0fd1809 0fc6f92 0fc878b 0fc4d78 0fc6246 
0fcb8af 0fc683c 0fc29ee 0fbee47 0fc5e09 
0fcfb52 0fc7312 0fc69ec 0fc319b 0fc6971 
0fce8dd 0fc8c91 0fc594d 0fc1dfa 0fc7ae0 
0fcbcaf 0fc849b 0fc2b40 0fbf2d0 0fc6aa9 
0fd110f 0fc9b19 0fc7e2b 0fc455e 0fc824b 
0fcb267 0fc9005 0fc2276 0fbe7fb 0fc7b2a 
0fcf4a9 0fc9339 0fc62ae 0fc2b1d 0fc7df7 
0fce8cb 0fc97c4 0fc589e 0fc1dad 0fc8af0 
0fcc152 0fc7785 0fc2fce 0fbf745 0fc7a0c 
0fd16e5 0fc8539 0fc84e1 0fc4ba3 0fc918e 
0fcb843 0fc7cb5 0fc288f 0fbedb0 0fc8452 
0fcfb6c 0fc83d7 0fc695e 0fc317b 0fc82b7 
0fced56 0fc92e9 0fc5d83 0fc224c 0fc8c97 
0fcc156 0fc89de 0fc3095 0fbf7c2 0fc7775 
0fd1512 0fca94a 0fc835f 0fc49ea 0fc87c2 
0fcb7cc 0fc9e2c 0fc2820 0fbed43 0fc7882 
0fcfad4 0fc9dd7 0fc68a9 0fc30f0 0fc782a 
0fced03 0fca4e0 0fc5ccb 0fc21d0 0fc808b 
0fcc1b3 0fc8f0d 0fc3063 0fbf7c7 0fc6a1e 
0fd16d4 0fca008 0fc84b2 0fc4b8c 0fc7bdc 
0fcba3b 0fc8ea3 0fc2a35 0fbef67 0fc6e69 
0fcfd61 0fc8c1b 0fc6b0b 0fc333e 0fc70ad 
0fcef3b 0fc93bf 0fc5f03 0fc23e0 0fc7b72 
0fcc248 0fc8069 0fc3113 0fbf848 0fc685b 
0fd16b2 0fc9595 0fc84a3 0fc4b64 0fc7d76 
0fcb7d2 0fc8ab5 0fc27f4 0fbed1f 0fc7199 
0fcf914 0fc916c 0fc66a5 0fc2ef9 0fc7511 
0fcebb8 0fca025 0fc5b52 0fc205d 0fc8352 
0fcbe8e 0fc8dba 0fc2d34 0fbf491 0fc7277 
0fd1322 0fca012 0fc8081 0fc4766 0fc8cad 
0fcb52b 0fc8f99 0fc2560 0fbea96 0fc873e 
0fcf6df 0fc94f4 0fc6477 0fc2cd4 0fc89b2 
0fce925 0fca54f 0fc58c7 0fc1de6 0fc9483 
0fcbccf 0fc9b4b 0fc2b61 0fbf2eb 0fc7fbe 
0fd1181 0fcb309 0fc7ed4 0fc4605 0fc9451 
0fcb264 0fca896 0fc226c 0fbe7d4 0fc8929 
0fcf350 0fcaf6d 0fc60d8 0fc295b 0fc89c5 
0fce692 0fcbd4c 0fc566b 0fc1b79 0fc951e 
0fcb89c 0fcacef 0fc274e 0fbeeba 0fc82df 
0fd0da8 0fcc493 0fc7bed 0fc42e9 0fc9a63 
0fcb082 0fcb52f 0fc2087 0fbe5d1 0fc9196 
0fcf0d4 0fcb67e 0fc5e88 0fc26ef 0fc94b4 
0fce443 0fcc440 0fc53ed 0fc18d0 0fca010 
0fcb6b9 0fcb461 0fc22a2 0fbe9ad 0fc8ae5 
0fd0ad5 0fccc01 0fc7670 0fc3d38 0fc9f27 
0fcadce 0fcc0b8 0fc1af4 0fbdfe6 0fc936c 
0fced51 0fcbc50 0fc589d 0fc2073 0fc9790 
0fce1f8 0fcc17c 0fc4efb 0fc13a4 0fca51c 
0fcb3a6 0fcace7 0fc1f7e 0fbe645 0fc8f16 
0fd085e 0fcc17c 0fc7439 0fc3a95 0fca0b1 
0fcabf6 0fcb69c 0fc1960 0fbddd5 0fc9295 
0fcec0d 0fcbaad 0fc5721 0fc1ec2 0fc9132 
0fcdf59 0fccb20 0fc4c72 0fc10e5 0fc978c 
0fcb0ce 0fcbdf1 0fc1cd8 0fbe381 0fc7f9a 
0fd0453 0fcd1e5 0fc70aa 0fc36df 0fc90b0 
0fca743 0fcc64f 0fc1546 0fbd9bd 0fc812c 
0fce803 0fcccf1 0fc55f1 0fc1dec 0fc8351 
0fcdc3f 0fcd80f 0fc4bf3 0fc10c3 0fc8d17 
0fcad72 0fcc58b 0fc1c16 0fbe31f 0fc78e7 
0fd0219 0fcd806 0fc709b 0fc374d 0fc8bae 
0fca4f3 0fcc755 0fc1505 0fbd9df 0fc7f55 
0fce4c7 0fcbfe1 0fc52d9 0fc1aa8 0fc8163 
0fcda31 0fcc7a1 0fc4a24 0fc0e95 0fc8c86 
0fcab25 0fcb179 0fc19b7 0fbe094 0fc7947 
0fcfef7 0fcc3cd 0fc6da9 0fc341f 0fc8c58 
0fca1ed 0fcb8ff 0fc1211 0fbd6d3 0fc7fd3 
0fcdfd3 0fcbb51 0fc4de5 0fc15c3 0fc802e 
0fcd42b 0fcca80 0fc4455 0fc08df 0fc889c 
0fca4b6 0fcb8c9 0fc13ab 0fbda82 0fc735c 
0fcf808 0fccbcb 0fc66e9 0fc2d59 0fc8441 
0fc99d8 0fcbede 0fc0a30 0fbced7 0fc7545 
0fcd7bd 0fcbef6 0fc45dd 0fc0da4 0fc7385 
0fccca3 0fccae5 0fc3ccb 0fc0166 0fc7cc1 
0fc9bcb 0fcb835 0fc0ad4 0fbd1b3 0fc6702 
0fcef97 0fccd01 0fc5e77 0fc2522 0fc778b 
0fc9263 0fcc224 0fc02b7 0fbc79d 0fc6715 
0fccfee 0fcc1d4 0fc3e28 0fc0613 0fc614c 
0fcc593 0fcc7b0 0fc3591 0fbfa4b 0fc67a5 
0fc962e 0fca998 0fc04e3 0fbcbba 0fc511d 
0fcec9e 0fcb44d 0fc5b0e 0fc218e 0fc6027 
0fc8ec1 0fca3de 0fbfeaf 0fbc380 0fc4f4f 
0fccadb 0fca7c6 0fc38d6 0fc00a3 0fc49a6 
0fcc131 0fcb18f 0fc3144 0fbf5a5 0fc5030 
0fc8f98 0fc9fb3 0fbfe82 0fbc527 0fc34fb 
0fce372 0fcb8c9 0fc5219 0fc18a7 0fc3f91 
0fc85a6 0fcb18f 0fbf5db 0fbbaa1 0fc2b9b 
0fcc2f0 0fca874 0fc3100 0fbf8d3 0fc2f72 
0fcb8b6 0fcac20 0fc28f5 0fbed74 0fc3f89 
0fc85c1 0fc94cf 0fbf501 0fbbba6 0fc2e23 
0fcd8c7 0fcaedb 0fc4727 0fc0df5 0fc4491 
0fc7cf6 0fc92e1 0fbecde 0fbb19d 0fc3c7a 
0fcba4f 0fc883f 0fc286f 0fbf01c 0fc3a5f 
0fcae66 0fc9bca 0fc1ec1 0fbe367 0fc40bc 
0fc7a3a 0fc902e 0fbe95c 0fbb030 0fc2b86 
0fccf72 0fc9daa 0fc3e81 0fc04fa 0fc419f 
0fc714b 0fc90f2 0fbe1cc 0fba69b 0fc36ab 
0fcac09 0fc933d 0fc1a75 0fbe26a 0fc364a 
0fca214 0fc9e13 0fc1272 0fbd720 0fc434e 
0fc6e34 0fc8767 0fbdd3a 0fba43b 0fc307a 
0fcc319 0fc96a5 0fc31df 0fbf897 0fc44f7 
0fc6629 0fc8646 0fbd661 0fb9b45 0fc39d7 
0fca19d 0fc83c9 0fc0f99 0fbd7c1 0fc3a83 
0fc9744 0fc8d59 0fc0744 0fbcc2e 0fc4553 
0fc63b3 0fc7916 0fbd296 0fb99b7 0fc313b 
0fcb7ee 0fc8c44 0fc2698 0fbeda5 0fc4304 
0fc5a11 0fc80bb 0fbca51 0fb8f9c 0fc34a1 
0fc94da 0fc8546 0fc01f4 0fbca6b 0fc308f 
0fc8b12 0fc94b7 0fbf898 0fbbdbe 0fc3932 
0fc56ca 0fc7ffa 0fbc33b 0fb8a7e 0fc24f2 
0fcab8d 0fc9141 0fc1987 0fbe0e7 0fc38d0 
0fc4fc1 0fc8082 0fbbfe9 0fb8581 0fc2c9a 
0fc8a64 0fc7c17 0fbf897 0fbc142 0fc2969 
0fc815b 0fc87de 0fbf15f 0fbb6fe 0fc3124 
0fc4d1e 0fc741a 0fbbbeb 0fb83c1 0fc1943 
0fca285 0fc8621 0fc111f 0fbd8b6 0fc2899 
0fc43b5 0fc7866 0fbb3be 0fb7986 0fc17c5 
0fc7e15 0fc79ce 0fbec04 0fbb507 0fc148f 
0fc74ef 0fc8818 0fbe4df 0fbaab5 0fc1e5a 
0fc3efa 0fc7750 0fbadee 0fb75ea 0fc0695 
0fc92fc 0fc8ad8 0fc0184 0fbc96a 0fc16f0 
0fc3602 0fc79e4 0fba5ed 0fb6bf4 0fc09c2 
0fc716b 0fc75eb 0fbdf0b 0fba841 0fc090e 
0fc68c0 0fc7a3a 0fbd86d 0fb9e53 0fc1470 
0fc344b 0fc5e80 0fba2db 0fb6adc 0fbffdd 
0fc88d1 0fc6ace 0fbf70b 0fbbee0 0fc11fb 
0fc2b3e 0fc59d4 0fb9b07 0fb6104 0fc05be 
0fc65a9 0fc56e4 0fbd36c 0fb9c71 0fc0445 
0fc5def 0fc61d7 0fbcc3b 0fb91fb 0fc0de6 
0fc27a3 0fc5096 0fb9382 0fb5b3f 0fbf5af 
0fc7929 0fc6513 0fbe4ea 0fbac7f 0fc065b 
0fc1867 0fc5992 0fb85e1 0fb4b73 0fbf817 
0fc4f19 0fc55fa 0fbba99 0fb8341 0fbf5ad 
0fc4386 0fc5eab 0fbb130 0fb7687 0fbffb7 
0fc0aea 0fc4b00 0fb7722 0fb3ec0 0fbe842 
0fc5d37 0fc532a 0fbc8c7 0fb9061 0fbf799 
0fbfb8c 0fc3df0 0fb68ed 0fb2e82 0fbe6a4 
0fc2f74 0fc3bcb 0fb9ac0 0fb6389 0fbdfb1 
0fc2385 0fc47b8 0fb907f 0fb562d 0fbe676 
0fbeaa2 0fc28ff 0fb5678 0fb1e32 0fbcda6 
0fc3a9d 0fc3171 0fba655 0fb6ded 0fbdc01 
0fbd794 0fc2053 0fb44ea 0fb0aa3 0fbcb04 
0fc0b5b 0fc19ae 0fb7696 0fb3f67 0fbc566 
0fc00bd 0fc1eea 0fb6dad 0fb3341 0fbcd63 
0fbc469 0fc03e6 0fb308c 0faf82c 0fbb07f 
0fc14ba 0fc0fb2 0fb804c 0fb47e3 0fbbbc1 
0fbb11d 0fbfb1b 0fb1e87 0fae400 0fba899 
0fbe395 0fbf4b9 0fb4ed0 0fb178d 0fba131 
0fbd5ad 0fbfaae 0fb42fe 0fb086e 0fba64f 
0fe6f84 0febc8c 0fdddc7 0fdaa21 0fe4ae8 
0fe7c83 0fec399 0fdec51 0fdb5e2 0fe5b9a 
0fe32d3 0feaa0d 0fda1f3 0fd6ce5 0fe43ec 
0fe8a28 0feb169 0fdf853 0fdc3c4 0fe4f9a 
0fe36f2 0fea334 0fda7a2 0fd7068 0fe4301 
0fe5685 0fe9f66 0fdc4af 0fd90df 0fe3501 
0fe6551 0feb21a 0fdd51a 0fd9e84 0fe42e0 
0fe1b85 0fe9f43 0fd8ae2 0fd55c1 0fe28d4 
0fe72a4 0feab90 0fde0c0 0fdac58 0fe3417 
0fe1ec1 0fea037 0fd8f53 0fd585d 0fe2a42 
0fe3f86 0fe94e7 0fdad86 0fd79f5 0fe1f40 
0fe4fb1 0fea03c 0fdbf37 0fd88f9 0fe2d14 
0fe0690 0fe87c0 0fd7505 0fd406a 0fe1374 
0fe5ca1 0fe9b04 0fdc9dd 0fd95f5 0fe2360 
0fe0805 0fe8d87 0fd7897 0fd417e 0fe2595 
0fe28eb 0fe7c20 0fd966c 0fd6358 0fe26c7 
0fe3c62 0fe816e 0fdac66 0fd75ae 0fe303c 
0fdf37c 0fe690a 0fd62ed 0fd2d9e 0fe11fe 
0fe4b7c 0fe7acb 0fdb9a7 0fd856f 0fe1adc 
0fdf936 0fe71e5 0fd694b 0fd3289 0fe10be 
0fe19c8 0fe6801 0fd87d2 0fd544d 0fe0874 
0fe2b25 0fe7930 0fd9ada 0fd6485 0fe1308 
0fde1f6 0fe61ab 0fd5128 0fd1bfe 0fdf962 
0fe39c6 0fe6dd6 0fda829 0fd73c7 0fe022e 
0fde7d3 0fe665f 0fd5813 0fd211d 0fdf0d8 
0fe0682 0fe5daf 0fd7497 0fd40f6 0fddea9 
0fe179b 0fe6d15 0fd876f 0fd5106 0fde8e8 
