0faae69 0fa5814 0fa7f46 
0fa995a 0fa433f 0fa6b10 
0fada07 0fa8317 0faab79 
0fb3bf9 0fae4fd 0fb0d65 
0fb3a5b 0fae43b 0fb0c0f 
0fad6d9 0fa8149 0faa8b3 
0fa9dc1 0fa47c8 0fa6f6f 
0fadf28 0fa8858 0fab07b 
0fb41e7 0faeaff 0fb1317 
0fb4050 0faea4d 0fb11e9 
0fadccf 0fa8770 0faaeb2 
0faa40f 0fa4e40 0fa75cd 
0fae600 0fa8f45 0fab757 
0fb48e1 0faf208 0fb1a2f 
0fb4767 0faf166 0fb1918 
0fae4b5 0fa8f45 0fab6ac 
0faad39 0fa5761 0fa7f14 
0faefe6 0fa9918 0fac17f 
0fb53b0 0fafcc7 0fb252a 
0fb53d4 0fafdcd 0fb258d 
0faf191 0fa9c29 0fac373 
0fab9de 0fa6403 0fa8b8f 
0fafd81 0faa6bd 0facec8 
0fb622e 0fb0b47 0fb335f 
0fb623f 0fb0c34 0fb33cb 
0faffff 0faaa80 0fad1bd 
0fac884 0fa728f 0fa9a03 
0fb0bdf 0fab513 0fadcfb 
0fb70a1 0fb19bd 0fb419d 
0fb70f2 0fb1aed 0fb423f 
0fb0e4a 0fab8e4 0fadfc4 
0fad636 0fa806a 0faa78b 
0fb1976 0fac2d3 0faea78 
0fb7dde 0fb272a 0fb4eb5 
0fb7d53 0fb2781 0fb4e7b 
0fb1a7f 0fac54c 0faebcd 
0fae20d 0fa8c60 0fab323 
0fb2545 0faceab 0faf5dd 
0fb8a23 0fb3357 0fb5a79 
0fb8a53 0fb3431 0fb5a94 
0fb27d0 0fad1f9 0faf77f 
0faefc6 0fa9975 0fabefc 
0fb3238 0fadb1c 0fb01b4 
0fb9521 0fb3e11 0fb6506 
0fb9447 0fb3e54 0fb64e9 
0fb300a 0fadacb 0fb0139 
0faf690 0faa0c3 0fac78a 
0fb38f7 0fae23c 0fb0954 
0fb9bae 0fb44b7 0fb6bd5 
0fb9a5e 0fb4430 0fb6ad9 
0fb36a9 0fae10f 0fb0766 
0fafd43 0faa73f 0face0a 
0fb3f01 0fae818 0fb0f88 
0fba155 0fb4a46 0fb71b9 
0fb9f33 0fb48ff 0fb6fdd 
0fb3aa2 0fae50e 0fb0b8c 
0fb010f 0faab06 0fad1d3 
0fb42a0 0faebbb 0fb1313 
0fba518 0fb4e1f 0fb757f 
0fba27a 0fb4c62 0fb7349 
0fb3d11 0fae795 0fb0e29 
0fb02ab 0faacc3 0fad38d 
0fb43fd 0faed3a 0fb1479 
0fba640 0fb4f5e 0fb769e 
0fba28f 0fb4c89 0fb7352 
0fb3cbf 0fae74f 0fb0dc7 
0fb028e 0faacb2 0fad36d 
0fb43b9 0faed00 0fb1445 
0fba4f7 0fb4e2c 0fb7581 
0fba13c 0fb4b4f 0fb7227 
0fb3bea 0fae684 0fb0cf9 
0fb0105 0faab21 0fad1dc 
0fb4188 0faeab2 0fb11fe 
0fba256 0fb4b59 0fb72ad 
0fb9e32 0fb4808 0fb6ed6 
0fb37d7 0fae240 0fb08ae 
0fafd3a 0faa730 0facddc 
0fb3dbb 0fae6c8 0fb0df6 
0fb9ea8 0fb4792 0fb6ec5 
0fb9a55 0fb440c 0fb6ad2 
0fb33f5 0fade32 0fb04b7 
0faf936 0faa2fd 0fac9df 
0fb39c5 0fae2a9 0fb0a1d 
0fb9aa1 0fb436d 0fb6ae6 
0fb96a8 0fb404e 0fb6743 
0fb30cf 0fadb03 0fb0198 
0faf636 0fa9fe5 0fac6d0 
0fb3715 0fadfd7 0fb074a 
0fb97e3 0fb407e 0fb6802 
0fb9376 0fb3cdc 0fb63dc 
0fb2d24 0fad70c 0fafd9b 
0faf330 0fa9c99 0fac370 
0fb342c 0fadcaf 0fb0409 
0fb953b 0fb3da8 0fb64fb 
0fb90ae 0fb39ef 0fb60c3 
0fb2a98 0fad465 0fafad4 
0faf092 0fa99cc 0fac08f 
0fb314b 0fad98d 0fb00f0 
0fb9241 0fb3a50 0fb61e6 
0fb8cfa 0fb35db 0fb5d00 
0fb2670 0facff3 0faf6ab 
0faecab 0fa95b5 0fabc99 
0fb2dd0 0fad5e3 0fafd72 
0fb8e7a 0fb3673 0fb5e13 
0fb89d1 0fb32a9 0fb59b3 
0fb233d 0faccb7 0faf343 
0fae8f8 0fa9207 0fab8c9 
0fb2a86 0fad2b8 0faf9f8 
0fb8b3c 0fb335b 0fb5a89 
0fb858f 0fb2e9b 0fb551c 
0fb1ebf 0fac871 0faee6e 
0fae4fd 0fa8e2f 0fab451 
0fb265a 0faceb5 0faf533 
0fb868f 0fb2ed9 0fb553d 
0fb80bc 0fb29e4 0fb4f9f 
0fb19f4 0fac3b1 0fae8ee 
0fae0c0 0fa89fd 0faaf77 
0fb2315 0facb77 0faf15b 
0fb83e8 0fb2c44 0fb51fb 
0fb7e4b 0fb2796 0fb4ca7 
0fb1820 0fac1fb 0fae695 
0fadf73 0fa88d1 0faada1 
0fb225d 0facad6 0faf023 
0fb8307 0fb2b6f 0fb50be 
0fb7d72 0fb26c2 0fb4b80 
0fb179e 0fac17e 0fae5d0 
0fadf99 0fa8905 0faada6 
0fb2320 0facbad 0faf0d3 
0fb84d5 0fb2d4d 0fb5286 
0fb7f94 0fb28ef 0fb4dd9 
0fb19f0 0fac3d6 0fae8a2 
0fae2c0 0fa8c2e 0fab17d 
0fb26f1 0facf7b 0faf56f 
0fb88d2 0fb3140 0fb5763 
0fb836b 0fb2cb6 0fb5277 
0fb1ddd 0fac7bf 0faed3a 
0fae6fb 0fa905b 0fab645 
0fb2b3f 0fad3bd 0fafa47 
0fb8cdb 0fb354b 0fb5bea 
0fb8781 0fb30d1 0fb56f7 
0fb21b5 0facb90 0faf16f 
0faeace 0fa9424 0faba4e 
0fb2ed5 0fad746 0fafde9 
0fb8fc6 0fb381f 0fb5ed2 
0fb898d 0fb32c7 0fb58f6 
0fb232a 0faccec 0faf2b6 
0faeb89 0fa94cd 0fabae5 
0fb2f02 0fad76a 0fafe21 
0fb8fb7 0fb380b 0fb5ef0 
0fb88c3 0fb31ec 0fb5863 
0fb21de 0facb99 0faf1c1 
0fae9bf 0fa9308 0fab98e 
0fb2cf7 0fad575 0fafc8b 
0fb8d76 0fb35f0 0fb5d06 
0fb8642 0fb2fa6 0fb5640 
0fb1f23 0fac91d 0faef69 
0fae731 0fa90b5 0fab75a 
0fb2a7c 0fad31c 0fafa54 
0fb8ad0 0fb336a 0fb5aad 
0fb840d 0fb2d8d 0fb544c 
0fb1d98 0fac7a6 0faee0d 
0fae66b 0fa8ffe 0fab6ba 
0fb2b0a 0fad3c2 0fafb09 
0fb8be5 0fb349b 0fb5be3 
0fb8558 0fb2eea 0fb55ae 
0fb1f44 0fac952 0faefb2 
0fae846 0fa91cf 0fab882 
0fb2c8f 0fad545 0fafc8a 
0fb8d94 0fb3645 0fb5d92 
0fb86e0 0fb3074 0fb573e 
0fb2040 0faca69 0faf0da 
0fae962 0fa9318 0fab9eb 
0fb2df9 0fad6db 0fafe34 
0fb8ef6 0fb37d1 0fb5f28 
0fb8811 0fb31d4 0fb5899 
0fb2180 0facbc5 0faf21f 
0faea5d 0fa941a 0fabab7 
0fb2ecd 0fad7b0 0fafeda 
0fb8f56 0fb3831 0fb5f65 
0fb87c1 0fb317c 0fb5839 
0fb2101 0facb4f 0faf1c3 
0faea7e 0fa944f 0fabb1b 
0fb2eea 0fad7d8 0faff27 
0fb8f2d 0fb3803 0fb5f51 
0fb8776 0fb3122 0fb57ec 
0fb2081 0facaad 0faf11d 
0faea3a 0fa93df 0fabaad 
0fb2f4f 0fad811 0faff79 
0fb8f9e 0fb3848 0fb5fc2 
0fb87df 0fb3168 0fb585b 
0fb216a 0facb78 0faf20c 
0faeb9b 0fa951e 0fabc09 
0fb304c 0fad8e0 0fb0054 
0fb90bf 0fb3935 0fb60ae 
0fb8978 0fb32c4 0fb59c0 
0fb22d9 0faccb2 0faf368 
0faec9e 0fa95f8 0fabd11 
0fb316e 0fad9ea 0fb019d 
0fb91e6 0fb3a50 0fb6211 
0fb8aae 0fb33f7 0fb5b2d 
0fb244d 0face22 0faf4dd 
0faedff 0fa9750 0fabe4f 
0fb3342 0fadbb0 0fb0331 
0fb942c 0fb3c90 0fb6404 
0fb8cda 0fb3629 0fb5d14 
0fb25ed 0facfd0 0faf65c 
0faef76 0fa98de 0fabfab 
0fb3487 0fadd07 0fb0454 
0fb9522 0fb3d91 0fb64da 
0fb8d0f 0fb3667 0fb5d1b 
0fb2610 0facff8 0faf645 
0faefdd 0fa9943 0fabfda 
0fb34ea 0fadd79 0fb048c 
0fb951d 0fb3daf 0fb64c7 
0fb8cf4 0fb366d 0fb5d14 
0fb25e8 0facfee 0faf645 
0faef97 0fa991a 0fabfcc 
0fb34ac 0fadd53 0fb0497 
0fb94d9 0fb3d75 0fb64ae 
0fb8c44 0fb35c3 0fb5c77 
0fb24ef 0facef9 0faf564 
0faeeae 0fa983a 0fabf03 
0fb33cc 0fadc7a 0fb03b9 
0fb93e9 0fb3c8b 0fb63c2 
0fb8bb8 0fb353d 0fb5be8 
0fb243c 0face4f 0faf49c 
0faedb9 0fa974e 0fabdf1 
0fb3340 0fadbf3 0fb0333 
0fb939c 0fb3c45 0fb6389 
0fb8b97 0fb3523 0fb5bcd 
0fb24a4 0facebc 0faf507 
0faeed2 0fa9867 0fabf03 
0fb33e7 0fadc96 0fb03b8 
0fb9440 0fb3cdd 0fb63ff 
0fb8c5b 0fb35d4 0fb5c78 
0fb2509 0facf16 0faf575 
0faef14 0fa98a5 0fabf6f 
0fb34ad 0fadd5d 0fb04b4 
0fb94f8 0fb3d99 0fb64da 
0fb8c47 0fb35cb 0fb5c79 
0fb2527 0facf33 0faf582 
0faefa5 0fa9924 0fabfcc 
0fb3589 0fade2b 0fb055f 
0fb95c8 0fb3e63 0fb659e 
0fb8cbd 0fb363b 0fb5ce9 
0fb253a 0facf3c 0faf58a 
0faef35 0fa98ad 0fabf4c 
0fb34b6 0fadd51 0fb0482 
0fb9504 0fb3d9d 0fb64cf 
0fb8bc8 0fb354a 0fb5bf3 
0fb2491 0facea3 0faf4fb 
0faef55 0fa98ea 0fabf9e 
0fb3487 0fadd47 0fb0482 
0fb946b 0fb3d22 0fb6455 
0fb8b3c 0fb34cf 0fb5b77 
0fb2357 0facd6c 0faf3b9 
0faedb4 0fa973e 0fabde4 
0fb3365 0fadc08 0fb0340 
0fb935c 0fb3bfe 0fb634b 
0fb8a26 0fb33b1 0fb5a80 
0fb21fd 0facc17 0faf28a 
0faec22 0fa95ca 0fabca7 
0fb3238 0fadb0b 0fb0270 
0fb9205 0fb3acb 0fb6230 
0fb88a7 0fb3247 0fb592a 
0fb215f 0facb8d 0faf217 
0faeb1e 0fa94c9 0fabbb7 
0fb30c8 0fad997 0fb0120 
0fb9082 0fb3950 0fb60ed 
0fb8703 0fb30b5 0fb57c4 
0fb1ffc 0faca38 0faf0e2 
0faea60 0fa9420 0fabb1c 
0fb2fc7 0fad8a8 0fb002b 
0fb8f08 0fb37db 0fb5f4c 
0fb855c 0fb2f09 0fb55ef 
0fb1db6 0fac7f0 0faee89 
0fae822 0fa91dc 0fab8cf 
0fb2dc5 0fad69e 0fafe17 
0fb8d79 0fb3642 0fb5db9 
0fb83a7 0fb2d4a 0fb5437 
0fb1b9c 0fac5c0 0faec5a 
0fae5fb 0fa8f97 0fab683 
0fb2c55 0fad513 0fafc89 
0fb8ba5 0fb345b 0fb5bd0 
0fb8125 0fb2ac0 0fb51aa 
0fb1933 0fac357 0fae9e6 
0fae444 0fa8dde 0fab4bb 
0fb2ab8 0fad379 0fafaea 
0fb89e1 0fb3297 0fb5a14 
0fb7f3b 0fb28c7 0fb4fb3 
0fb170d 0fac11a 0fae7a8 
0fae201 0fa8b8d 0fab272 
0fb2808 0fad0ba 0faf827 
0fb8724 0fb2fd8 0fb573c 
0fb7c4b 0fb25e3 0fb4cba 
0fb1417 0fabe2d 0fae4ad 
0fadeec 0fa8871 0faaf3f 
0fb2527 0facdc2 0faf500 
0fb8381 0fb2c0c 0fb5339 
0fb7890 0fb21f9 0fb489c 
0fb10c0 0fababf 0fae10a 
0fadbf9 0fa8581 0faac1b 
0fb2258 0facb0b 0faf234 
0fb815b 0fb2a09 0fb5140 
0fb75f4 0fb1f85 0fb462e 
0fb0d4b 0fab765 0faddab 
0fad89b 0fa8233 0faa8da 
0fb1f76 0fac830 0faef5f 
0fb7dfe 0fb26b3 0fb4de4 
0fb7220 0fb1bb0 0fb425f 
0fb09cf 0fab3e8 0fada34 
0fad556 0fa7ee2 0faa576 
0fb1c53 0fac4fd 0faec05 
0fb7b80 0fb2426 0fb4b2e 
0fb6fda 0fb195b 0fb3fd0 
0fb0795 0fab19d 0fad7ac 
0fad348 0fa7cc9 0faa325 
0fb1a73 0fac31b 0fae9ff 
0fb7920 0fb21bc 0fb489c 
0fb6d72 0fb16f0 0fb3d3e 
0fb0572 0faaf79 0fad56f 
0fad187 0fa7b0d 0faa154 
0fb189f 0fac14f 0fae814 
0fb778c 0fb203b 0fb46f6 
0fb6c8b 0fb161f 0fb3c59 
0fb0417 0faae42 0fad42d 
0facf8c 0fa7934 0fa9f86 
0fb16ce 0fabf9e 0fae687 
0fb75d2 0fb1ea4 0fb457a 
0fb6a61 0fb1412 0fb3a56 
0fb01d9 0faac09 0fad1fa 
0face1b 0fa77c1 0fa9e1a 
0fb1555 0fabe20 0fae505 
0fb735b 0fb1c22 0fb430c 
0fb670f 0fb10b7 0fb3721 
0faff01 0faa92d 0facf41 
0facb4f 0fa74f6 0fa9b5d 
0fb129b 0fabb5f 0fae240 
0fb70eb 0fb19a3 0fb4087 
0fb64c6 0fb0e64 0fb34cf 
0fafc96 0faa6bd 0faccc4 
0fac9bc 0fa7357 0fa999b 
0fb1138 0fab9f8 0fae0ba 
0fb6fbc 0fb187f 0fb3f4b 
0fb63c5 0fb0d76 0fb33b9 
0fafba1 0faa5d5 0facbb2 
0fac825 0fa71c6 0fa97f3 
0fb105e 0fab91d 0fadfc4 
0fb6f23 0fb17dd 0fb3e77 
0fb62cd 0fb0c68 0fb3283 
0fafa98 0faa4be 0faca80 
0fac7b4 0fa7157 0fa977b 
0fb0fab 0fab86c 0fadf29 
0fb6e3d 0fb16ed 0fb3db9 
0fb6246 0fb0bd8 0fb321f 
0fafa2c 0faa441 0faca44 
0fac74e 0fa70db 0fa9734 
0fb0f50 0fab803 0fadec8 
0fb6d68 0fb161c 0fb3cec 
0fb610e 0fb0ab3 0fb3113 
0faf8de 0faa30b 0fac91f 
0fac656 0fa6ff8 0fa9668 
0fb0eb6 0fab77a 0fade69 
0fb6d94 0fb164f 0fb3d39 
0fb6130 0fb0ad1 0fb312c 
0faf98c 0faa3b4 0fac9b1 
0fac717 0fa70b9 0fa9710 
0fb0fa4 0fab864 0fadf4b 
0fb6e32 0fb16e8 0fb3dd8 
0fb619e 0fb0b37 0fb31aa 
0faf9d3 0faa3ea 0fac9fd 
0fac774 0fa70fd 0fa9761 
0fb0fc1 0fab86a 0fadf60 
0fb6eaf 0fb1751 0fb3e4d 
0fb6268 0fb0bf6 0fb3271 
0faf9fc 0faa414 0faca42 
0fac7bc 0fa7155 0fa97da 
0fb103d 0fab8f8 0fae003 
0fb6e89 0fb173f 0fb3e54 
0fb6159 0fb0af6 0fb3193 
0faf8d9 0faa2fa 0fac94e 
0fac6a9 0fa7040 0fa9703 
0fb0f06 0fab7c0 0fadf15 
0fb6d6a 0fb1627 0fb3d87 
0fb60bf 0fb0a61 0fb3143 
0faf860 0faa27d 0fac915 
0fac674 0fa6ffb 0fa96f0 
0fb0f67 0fab80d 0fadf87 
0fb6e2b 0fb16c7 0fb3e42 
0fb6144 0fb0abd 0fb31a7 
0faf906 0faa304 0fac99f 
0fac744 0fa70b5 0fa97a7 
0fb108b 0fab920 0fae08b 
0fb6f28 0fb17c3 0fb3f36 
0fb6176 0fb0afb 0fb31f2 
0faf91f 0faa31b 0fac9c2 
0fac7a5 0fa7110 0fa9810 
0fb10db 0fab967 0fae0e5 
0fb6f82 0fb1812 0fb3f89 
0fb6226 0fb0ba3 0fb3295 
0fafa0b 0faa410 0facabc 
0fac837 0fa71bc 0fa98c3 
0fb1178 0faba27 0fae1b8 
0fb7083 0fb1935 0fb40c4 
0fb635c 0fb0cf1 0fb33f8 
0fafb88 0faa597 0facc49 
0faca31 0fa73b6 0fa9ac1 
0fb138b 0fabc40 0fae3cf 
0fb722f 0fb1ae7 0fb4269 
0fb64d8 0fb0e78 0fb3578 
0fafd06 0faa72d 0facddd 
0facc4b 0fa75e6 0fa9ce9 
0fb1688 0fabf45 0fae6d1 
0fb7536 0fb1dfa 0fb4582 
0fb67eb 0fb1193 0fb3885 
0faff28 0faa954 0facff3 
0face7e 0fa781f 0fa9f10 
0fb1915 0fac1e7 0fae95e 
0fb77f0 0fb20ce 0fb4847 
0fb6a2f 0fb13f3 0fb3ae5 
0fb01c2 0faabfd 0fad296 
0fad150 0fa7afb 0faa1f3 
0fb1bda 0fac4b0 0faec36 
0fb7a2b 0fb2312 0fb4a7f 
0fb6c71 0fb1642 0fb3d1b 
0fb047d 0faaecc 0fad55e 
0fad3a4 0fa7d61 0faa45f 
0fb1dbe 0fac69a 0faee1d 
0fb7b84 0fb2455 0fb4bc1 
0fb6daa 0fb174f 0fb3e22 
0fb0563 0faaf7d 0fad5f6 
0fad4c1 0fa7e4d 0faa516 
0fb1f02 0fac7b0 0faef00 
0fb7d8a 0fb263c 0fb4d90 
0fb6f99 0fb192f 0fb4004 
0fb07ac 0fab1c3 0fad853 
0fad79e 0fa8124 0faa819 
0fb2279 0facb1f 0faf29b 
0fb80d0 0fb2976 0fb50ed 
0fb7271 0fb1bf9 0fb42e3 
0fb0a8e 0fab495 0fadb18 
0fada01 0fa8377 0faaa4a 
0fb245b 0faccfb 0faf44b 
0fb82c8 0fb2b6a 0fb52b4 
0fb7480 0fb1e0b 0fb44d3 
0fb0bf3 0fab5ef 0fadc69 
0fadb18 0fa8483 0faab61 
0fb2515 0facdae 0faf51d 
0fb8295 0fb2b32 0fb52a2 
0fb736d 0fb1cfc 0fb43c7 
0fb09f5 0fab415 0fad9e3 
0fad96f 0fa82fa 0faa903 
0fb239f 0facc53 0faf301 
0fb81a8 0fb2a5f 0fb50fd 
0fb72ba 0fb1c5a 0fb4269 
0fb0a35 0fab45c 0fad9ff 
0fada2b 0fa83bf 0faa9ac 
0fb255c 0face1a 0faf47b 
0fb837d 0fb2c48 0fb5298 
0fb748f 0fb1e40 0fb4417 
0fb0be6 0fab619 0fadb98 
0fadbbf 0fa855e 0faab35 
0fb25fc 0facebc 0faf519 
0fb83ad 0fb2c6c 0fb52b2 
0fb73d3 0fb1d78 0fb4327 
0fb0ac8 0fab4e8 0fada3f 
0fadacf 0fa8462 0faaa1e 
0fb24eb 0facd9b 0faf3f7 
0fb8252 0fb2b06 0fb5157 
0fb72fe 0fb1ca5 0fb4266 
0fb0a71 0fab49d 0fada11 
0fadb46 0fa84e4 0faab12 
0fb2718 0facfd3 0faf6d7 
0fb849c 0fb2d50 0fb5443 
0fb750c 0fb1e9c 0fb4505 
0fb0c27 0fab62f 0fadc49 
0fadcbb 0fa8631 0faaca7 
0fb27e9 0fad086 0faf78a 
0fb84f9 0fb2d9f 0fb54a7 
0fb7537 0fb1ed1 0fb4568 
0fb0c90 0fab6ac 0fadcf8 
0fadd01 0fa868e 0faad1f 
0fb2773 0fad027 0faf734 
0fb8551 0fb2e11 0fb551a 
0fb7598 0fb1f43 0fb45c6 
0fb0d00 0fab726 0fadd51 
0fadd7f 0fa870f 0faad8f 
0fb280b 0fad0bf 0faf7be 
0fb853c 0fb2dfe 0fb54ea 
0fb7571 0fb1f22 0fb457b 
0fb0cde 0fab708 0fadd13 
0fadd72 0fa8706 0faad75 
0fb2813 0fad0c2 0faf7c8 
0fb854c 0fb2dff 0fb54fa 
0fb7558 0fb1ef4 0fb4569 
0fb0c2f 0fab647 0fadc6f 
0fadbde 0fa8568 0faabf9 
0fb2656 0facf06 0faf61f 
0fb8334 0fb2be2 0fb52de 
0fb7291 0fb1c26 0fb4276 
0fb0922 0fab333 0fad935 
0fad9f3 0fa8379 0faa9d8 
0fb2513 0facdbd 0faf4a3 
0fb8206 0fb2ab2 0fb518c 
0fb71e7 0fb1b88 0fb41c5 
0fb087a 0fab294 0fad886 
0fad96c 0fa82f4 0faa937 
0fb24a2 0facd4d 0faf41f 
0fb81fa 0fb2aae 0fb518e 
0fb71b8 0fb1b59 0fb41ae 
0fb0877 0fab295 0fad89c 
0fad8d1 0fa826e 0faa8cb 
0fb23fc 0facccc 0faf3ad 
0fb8127 0fb29ff 0fb50d1 
0fb70d5 0fb1a97 0fb40de 
0fb07a2 0fab1e3 0fad7e2 
0fad8f4 0fa82a7 0faa8f9 
0fb2464 0facd38 0faf40d 
0fb80ec 0fb29c6 0fb5088 
0fb7010 0fb19ca 0fb4004 
0fb073b 0fab170 0fad760 
0fad814 0fa81b2 0faa806 
0fb2361 0facc1f 0faf2f7 
0fb8058 0fb290d 0fb4fd7 
0fb6f2b 0fb18c1 0fb3efb 
0fb05a0 0faafb1 0fad58d 
0fad6a1 0fa8026 0faa66f 
0fb21ac 0faca64 0faf14c 
0fb7df7 0fb26be 0fb4da7 
0fb6cd6 0fb1689 0fb3ce1 
0fb0394 0faadc4 0fad3d5 
0fad529 0fa7ec3 0faa531 
0fb2077 0fac931 0faf02c 
0fb7c44 0fb250a 0fb4c03 
0fb6b2e 0fb14df 0fb3b4d 
0fb0202 0faac2d 0fad249 
0fad365 0fa7cfb 0faa36c 
0fb1ecd 0fac786 0faee6b 
0fb7aed 0fb23a4 0fb4a79 
0fb6958 0fb12f2 0fb394f 
0faffc8 0faa9e0 0facffa 
0fad186 0fa7b07 0faa17a 
0fb1d69 0fac611 0faed04 
0fb79c1 0fb2268 0fb4957 
0fb67b5 0fb1143 0fb37b2 
0fafdf5 0faa7f4 0face07 
0facfbb 0fa7922 0fa9f85 
0fb1b73 0fac400 0faeadf 
0fb7812 0fb20ae 0fb477d 
0fb66bf 0fb104e 0fb368e 
0fafd27 0faa73e 0facd27 
0facf0a 0fa7891 0fa9ed9 
0fb1af7 0fac3af 0faea87 
0fb76d5 0fb1f99 0fb467c 
0fb6533 0fb0ed4 0fb352e 
0fafbde 0faa603 0facc0b 
0face5b 0fa77f8 0fa9e4f 
0fb1aaf 0fac377 0faea4f 
0fb76c5 0fb1f92 0fb4672 
0fb64af 0fb0e63 0fb34c6 
0fafba6 0faa5cf 0facbde 
0facd91 0fa771e 0fa9d7f 
0fb19e5 0fac292 0fae974 
0fb761e 0fb1ecd 0fb45ab 
0fb642d 0fb0dbc 0fb3410 
0fafb48 0faa54a 0facb5d 
0facddf 0fa7742 0fa9dae 
0fb1a7b 0fac306 0fae9e1 
0fb76c6 0fb1f66 0fb462e 
0fb643a 0fb0dcd 0fb3409 
0faf9ff 0faa416 0faca06 
0facc8a 0fa7616 0fa9c71 
0fb18ca 0fac180 0fae86d 
0fb757b 0fb1e44 0fb452d 
0fb63e5 0fb0d96 0fb33f8 
0fafacc 0faa4fd 0facb18 
0facdc7 0fa7766 0fa9de0 
0fb1a78 0fac34b 0faea45 
0fb768d 0fb1f72 0fb4658 
0fb6479 0fb0e43 0fb3492 
0fafb9f 0faa5db 0facbe0 
0faceb6 0fa7850 0fa9ebf 
0fb1b93 0fac445 0faeb35 
0fb77c2 0fb2075 0fb4761 
0fb653a 0fb0ecd 0fb354d 
0fafbe0 0faa5db 0facc1d 
0facef9 0fa784e 0fa9eec 
0fb1c63 0fac4db 0faebf1 
0fb7951 0fb21cf 0fb48d3 
0fb6671 0fb0fda 0fb3655 
0fafce7 0faa6cc 0facd00 
0fad029 0fa7971 0faa006 
0fb1d2c 0fac5a0 0faecba 
0fb7943 0fb21c3 0fb48db 
0fb663d 0fb0fb3 0fb3657 
0fafd56 0faa75d 0facdd4 
0fad149 0fa7acf 0faa1b1 
0fb1e34 0fac6f4 0faee6d 
0fb7a66 0fb233c 0fb4ac8 
0fb6791 0fb115b 0fb386d 
0fafec8 0faa90e 0facfdc 
0fad29a 0fa7c46 0faa383 
0fb1fe8 0fac8b9 0faf077 
