0fac81e 0fa69bc 0fa91d0 
0fae940 0fa8ac4 0fab1c3 
0faea2e 0fa8a7d 0fab225 
0fb5ed6 0fafe5a 0fb2673 
0fba671 0fb46b1 0fb6e51 
0fb5ea0 0fb002f 0fb2704 
0fae8d5 0fa8a7b 0fab15f 
0fae9b0 0fa8a1a 0fab18a 
0fb5f22 0fafec5 0fb2695 
0fba846 0fb489e 0fb6fd9 
0fb6099 0fb0242 0fb28be 
0faeb00 0fa8cb6 0fab344 
0faebb5 0fa8c1f 0fab362 
0fb6196 0fb0128 0fb28c6 
0fbabac 0fb4bfa 0fb731f 
0fb6569 0fb0706 0fb2d6d 
0faf000 0fa91aa 0fab82d 
0faf04d 0fa90b5 0fab7fa 
0fb65dc 0fb0579 0fb2d33 
0fbafdb 0fb5040 0fb7789 
0fb695a 0fb0b1b 0fb3199 
0faf38f 0fa9574 0fabc0f 
0faf3cb 0fa9484 0fabbce 
0fb69f4 0fb09e9 0fb3191 
0fbb642 0fb56f4 0fb7dd6 
0fb6fdd 0fb11ec 0fb3819 
0faf9cc 0fa9bff 0fac236 
0faf9d3 0fa9ac6 0fac1a6 
0fb6fc2 0fb0fdf 0fb3729 
0fbbade 0fb5ba7 0fb8278 
0fb75b0 0fb17b7 0fb3dbe 
0fb0082 0faa28a 0fac898 
0faffaa 0faa06b 0fac742 
0fb7602 0fb15e7 0fb3d2b 
0fbc117 0fb61b1 0fb8891 
0fb7a86 0fb1c6a 0fb42ac 
0fb0527 0faa710 0facd4b 
0fb042f 0faa4d0 0facbc7 
0fb79d8 0fb19a1 0fb4103 
0fbc561 0fb65e0 0fb8cc7 
0fb7fc7 0fb218a 0fb47b4 
0fb0a01 0faabcc 0fad1f4 
0fb08a3 0faa928 0fad070 
0fb7e20 0fb1dd3 0fb4747 
0fbc8ec 0fb6965 0fb92e9 
0fb831b 0fb24e1 0fb4daa 
0fb0cbf 0faae99 0fad75f 
0fb0a9e 0faab36 0fad4af 
0fb7f97 0fb1f55 0fb493f 
0fbcafb 0fb6b6b 0fb94e2 
0fb85da 0fb27a2 0fb505d 
0fb0f8d 0fab167 0fada1c 
0fb0d82 0faae1c 0fad774 
0fb82db 0fb22a3 0fb4c6d 
0fbcf2e 0fb6fad 0fb9905 
0fb89b2 0fb2b7b 0fb5414 
0fb1250 0fab428 0fadcc8 
0fb0e55 0faaee4 0fad83e 
0fb82d3 0fb228b 0fb4c5b 
0fbcece 0fb6f42 0fb98b5 
0fb8981 0fb2b3e 0fb5400 
0fb11fb 0fab3cd 0fadc90 
0fb0dcd 0faae5e 0fad7e1 
0fb8293 0fb224b 0fb4c55 
0fbcebc 0fb6f21 0fb98c4 
0fb8a0b 0fb2bbf 0fb54af 
0fb123c 0fab3f8 0fadcea 
0fb0d82 0faadeb 0fad797 
0fb821e 0fb21a5 0fb4bc1 
0fbcfc6 0fb6ff2 0fb99a1 
0fb8b34 0fb2ca4 0fb558f 
0fb129c 0fab413 0fadcf7 
0fb0e08 0faae34 0fad7cb 
0fb82db 0fb222a 0fb4c3e 
0fbd017 0fb7008 0fb99ba 
0fb8b33 0fb2c6c 0fb5569 
0fb12a6 0fab3f2 0fadcfa 
0fb0de9 0faade3 0fad7ad 
0fb827b 0fb2194 0fb4bd3 
0fbd091 0fb705b 0fb9a36 
0fb8cac 0fb2dcb 0fb56e1 
0fb1415 0fab556 0fade53 
0fb0ee8 0faaeed 0fad88f 
0fb8410 0fb2342 0fb4d51 
0fbd217 0fb7205 0fb9ba3 
0fb8dcd 0fb2f1f 0fb57ea 
0fb14bd 0fab63f 0fadee8 
0fb0e71 0faaec4 0fad806 
0fb82f2 0fb2278 0fb4c16 
0fbd145 0fb719a 0fb9ab4 
0fb8d46 0fb2f01 0fb5750 
0fb13a0 0fab584 0faddbc 
0fb0cc0 0faad70 0fad654 
0fb8105 0fb20e4 0fb4a34 
0fbcf34 0fb6fca 0fb989f 
0fb8bc2 0fb2db0 0fb55ae 
0fb126a 0fab480 0fadc52 
0fb0b83 0faac5d 0fad4cc 
0fb7f64 0fb1f67 0fb4851 
0fbcec4 0fb6f84 0fb9807 
0fb8b66 0fb2d8d 0fb554e 
0fb11da 0fab421 0fadbd2 
0fb0a7a 0faab80 0fad3e7 
0fb7eff 0fb1f35 0fb4815 
0fbcf07 0fb6ffd 0fb9848 
0fb8c97 0fb2ee1 0fb5653 
0fb12ff 0fab570 0fadcc5 
0fb0afc 0faac32 0fad42b 
0fb7fd2 0fb2019 0fb4879 
0fbd0a9 0fb7196 0fb9974 
0fb8ede 0fb310e 0fb5827 
0fb1587 0fab7c8 0faded6 
0fb0d7f 0faae74 0fad63c 
0fb824e 0fb224f 0fb4a9d 
0fbd3a9 0fb7449 0fb9c2b 
0fb9215 0fb33f4 0fb5b30 
0fb180f 0fab9fe 0fae125 
0fb0f65 0faaffb 0fad7d7 
0fb83fb 0fb23be 0fb4c20 
0fbd542 0fb761c 0fb9dd8 
0fb93ee 0fb3649 0fb5d83 
0fb1a1d 0fabc9c 0fae3fc 
0fb11b8 0fab2f6 0fadb0b 
0fb860c 0fb2665 0fb4ef6 
0fbd79c 0fb78a1 0fba0dd 
0fb96d0 0fb392e 0fb60bb 
0fb1d27 0fabfae 0fae745 
0fb14cf 0fab61e 0fade7d 
0fb89b6 0fb2a25 0fb5314 
0fbdbc0 0fb7cd1 0fba56f 
0fb9b9f 0fb3dfb 0fb65de 
0fb21fc 0fac467 0faec40 
0fb18fb 0faba0b 0fae29f 
0fb8d9a 0fb2db2 0fb56c1 
0fbe06b 0fb8111 0fba9bf 
0fba05b 0fb4248 0fb6a41 
0fb26dd 0fac8e1 0faf0e0 
0fb1d32 0fabdf6 0fae6b3 
0fb917b 0fb315f 0fb5a97 
0fbe416 0fb84a4 0fbad7b 
0fba40a 0fb45f2 0fb6e22 
0fb2a29 0facc2d 0faf458 
0fb2029 0fac0df 0fae9bd 
0fb9408 0fb33c5 0fb5d31 
0fbe6d2 0fb8724 0fbb042 
0fba6f5 0fb4897 0fb710b 
0fb2caa 0face74 0faf6e7 
0fb22a0 0fac329 0faec59 
0fb969c 0fb3640 0fb5ffd 
0fbe98c 0fb89cd 0fbb33a 
0fba944 0fb4ae0 0fb7395 
0fb2f22 0fad0ea 0faf999 
0fb24f5 0fac57f 0faeee2 
0fb98ae 0fb385c 0fb6243 
0fbeb1d 0fb8b83 0fbb50e 
0fbab99 0fb4d68 0fb762c 
0fb312a 0fad331 0fafbcf 
0fb25c8 0fac697 0faefe4 
0fb9879 0fb3868 0fb623f 
0fbeb5f 0fb8bfd 0fbb567 
0fbabb0 0fb4daf 0fb7653 
0fb30ad 0fad2d9 0fafb5f 
0fb250b 0fac5fe 0faef2e 
0fb9815 0fb3825 0fb61d7 
0fbeb4b 0fb8c01 0fbb549 
0fbabd3 0fb4dd7 0fb765b 
0fb30aa 0fad2cc 0fafb42 
0fb244e 0fac534 0faee5f 
0fb9624 0fb361c 0fb5fd0 
0fbe8dd 0fb8975 0fbb2bc 
0fbaa50 0fb4c3a 0fb74b1 
0fb2f18 0fad12e 0faf994 
0fb2200 0fac2e7 0faec0a 
0fb93d4 0fb33dd 0fb5d94 
0fbe72e 0fb87d4 0fbb131 
0fba7f0 0fb49ec 0fb7283 
0fb2be6 0face0b 0faf68b 
0fb1ee4 0fabfc5 0fae8fc 
0fb9169 0fb3155 0fb5b0a 
0fbe483 0fb8510 0fbae5b 
0fba5a6 0fb478f 0fb700f 
0fb2a1e 0facc31 0faf4a0 
0fb1cc1 0fabd96 0fae6c6 
0fb8ec5 0fb2ea8 0fb5864 
0fbe267 0fb82e2 0fbac4b 
0fba422 0fb45f3 0fb6e9f 
0fb286c 0faca67 0faf30b 
0fb1a31 0fabae4 0fae44d 
0fb8bae 0fb2b67 0fb5568 
0fbdfdd 0fb8028 0fba9c6 
0fba263 0fb43f7 0fb6cd7 
0fb2715 0fac8c2 0faf1ab 
0fb19cb 0faba2b 0fae3e6 
0fb8b9b 0fb2b0b 0fb555e 
0fbe048 0fb804e 0fbaa57 
0fba351 0fb44b7 0fb6e03 
0fb2817 0fac9ba 0faf2e1 
0fb19ba 0faba26 0fae404 
0fb8bf5 0fb2b78 0fb55e0 
0fbe113 0fb8139 0fbab46 
0fba468 0fb45e5 0fb6f1d 
0fb295f 0facb11 0faf429 
0fb1ac5 0fabb49 0fae514 
0fb8c53 0fb2beb 0fb5650 
0fbe26e 0fb828f 0fbaca4 
0fba682 0fb47eb 0fb714b 
0fb2b58 0faccec 0faf644 
0fb1cc7 0fabd26 0fae751 
0fb8ee1 0fb2e5b 0fb5933 
0fbe4c1 0fb84df 0fbaf6b 
0fba90b 0fb4a84 0fb744c 
0fb2e48 0facfe8 0faf997 
0fb1f84 0fabfe2 0faea35 
0fb9163 0fb30cd 0fb5b96 
0fbe815 0fb8813 0fbb26a 
0fbad1a 0fb4e7d 0fb77ff 
0fb31c8 0fad366 0fafcbb 
0fb2273 0fac2d2 0faecd4 
0fb946c 0fb33da 0fb5e5f 
0fbead7 0fb8add 0fbb4f3 
0fbafc9 0fb5128 0fb7a56 
0fb34a6 0fad63c 0faff22 
0fb251e 0fac589 0faef00 
0fb9686 0fb3611 0fb6000 
0fbecfe 0fb8d26 0fbb6a6 
0fbb192 0fb5323 0fb7bcb 
0fb35bc 0fad791 0fb0023 
0fb2669 0fac70f 0faf059 
0fb9842 0fb37f8 0fb61cb 
0fbeeaa 0fb8f05 0fbb86d 
0fbb371 0fb5534 0fb7ddb 
0fb382d 0fada27 0fb02b9 
0fb27bb 0fac883 0faf1d3 
0fb98a7 0fb387e 0fb6269 
0fbef75 0fb8fe3 0fbb97e 
0fbb42e 0fb55f6 0fb7ec5 
0fb37db 0fad9d5 0fb027e 
0fb2781 0fac843 0faf195 
0fb98b6 0fb387b 0fb6255 
0fbef9b 0fb8fe2 0fbb951 
0fbb544 0fb56d8 0fb7f81 
0fb391b 0fadae3 0fb0374 
0fb2817 0fac8a4 0faf1f8 
0fb9911 0fb38af 0fb628c 
0fbefea 0fb901b 0fbb99a 
0fbb54d 0fb56d7 0fb7f91 
0fb392f 0fadaee 0fb0391 
0fb27b8 0fac842 0faf18b 
0fb9838 0fb37d1 0fb61a4 
0fbef9d 0fb8fc4 0fbb945 
0fbb585 0fb56fc 0fb7fbb 
0fb395c 0fadb07 0fb03a7 
0fb281e 0fac896 0faf1dd 
0fb9833 0fb37b5 0fb6184 
0fbef2c 0fb8f3c 0fbb8bc 
0fbb4e7 0fb564a 0fb7f06 
0fb38e1 0fada7c 0fb0315 
0fb2791 0fac7eb 0faf12d 
0fb97b2 0fb370b 0fb60c7 
0fbeecf 0fb8eb5 0fbb80f 
0fbb532 0fb5678 0fb7f16 
0fb3952 0fadad5 0fb0305 
0fb286f 0fac8ba 0faefa4 
0fb98de 0fb382f 0fb5f02 
0fbf08b 0fb906e 0fbb6fc 
0fbb78e 0fb58cf 0fb7ea0 
0fb3b55 0fadcd2 0fb0282 
0fb28e8 0fac934 0faef7e 
0fb9960 0fb38ae 0fb5f6c 
0fbf1bf 0fb9196 0fbb7fe 
0fbb8ea 0fb5a1e 0fb7fb8 
0fb3cf8 0fade75 0fb03ee 
0fb2a38 0faca89 0faf0be 
0fb9a13 0fb396f 0fb6030 
0fbf22a 0fb921e 0fbb89f 
0fbb966 0fb5ab7 0fb8084 
0fb3cc6 0fade56 0fb0419 
0fb2a92 0facaee 0faf162 
0fb9a70 0fb39ca 0fb60b2 
0fbf360 0fb9343 0fbb9b6 
0fbbb54 0fb5c90 0fb8251 
0fb3f29 0fae0a8 0fb064e 
0fb2b42 0facb94 0faf1fc 
0fb9aea 0fb3a42 0fb612f 
0fbf3fd 0fb93f2 0fbba7b 
0fbbbcd 0fb5d2d 0fb82f8 
0fb3f4c 0fae0f8 0fb06b0 
0fb2be2 0facc58 0faf2a8 
0fb9a81 0fb39fc 0fb60d6 
0fbf414 0fb9417 0fbba75 
0fbbc9b 0fb5dfa 0fb8381 
0fb3f5f 0fae102 0fb0667 
0fb2a6d 0facae4 0faf103 
0fb9969 0fb38e9 0fb5f8c 
0fbf237 0fb9254 0fbb895 
0fbbad1 0fb5c59 0fb81cc 
0fb3e90 0fae058 0fb0599 
0fb298f 0faca1e 0faf014 
0fb9827 0fb37ba 0fb5e45 
0fbf140 0fb916f 0fbb7bf 
0fbba6c 0fb5bf9 0fb817f 
0fb3e0c 0fadfdf 0fb052e 
0fb282f 0fac8db 0faeef0 
0fb9653 0fb3602 0fb5cb8 
0fbf033 0fb9067 0fbb6bd 
0fbb98e 0fb5b16 0fb809a 
0fb3d62 0fadf2b 0fb0487 
0fb280a 0fac89b 0faee9f 
0fb9608 0fb359c 0fb5c31 
0fbeff5 0fb9014 0fbb645 
0fbb909 0fb5a8f 0fb7ffd 
0fb3c3f 0fade10 0fb0346 
0fb263c 0fac6de 0faecc4 
0fb947e 0fb3419 0fb5a9c 
0fbee61 0fb8e8e 0fbb4be 
0fbb7b3 0fb593b 0fb7ebe 
0fb3acb 0fadc94 0fb0206 
0fb253b 0fac5cc 0faebd7 
0fb939c 0fb332b 0fb59aa 
0fbee94 0fb8eac 0fbb4af 
0fbb8dc 0fb5a53 0fb7f90 
0fb3bc7 0fadd85 0fb02bd 
0fb2533 0fac5bc 0faeba0 
0fb935d 0fb32e8 0fb5957 
0fbee55 0fb8e61 0fbb470 
0fbb8c2 0fb5a2e 0fb7f7a 
0fb3bef 0fadda3 0fb02c4 
0fb2577 0fac5f9 0faebc2 
0fb93cf 0fb3352 0fb59a4 
0fbef1d 0fb8f28 0fbb531 
0fbb916 0fb5a83 0fb7fe2 
0fb3c62 0fade28 0fb0347 
0fb2570 0fac60c 0faebd2 
0fb9407 0fb33a3 0fb59c4 
0fbef28 0fb8f54 0fbb51e 
0fbba0a 0fb5b9f 0fb80a5 
0fb3dbb 0fadf9e 0fb0475 
0fb2656 0fac709 0faec98 
0fb941f 0fb33ce 0fb5a15 
0fbefcb 0fb9002 0fbb750 
0fbbb9d 0fb5d35 0fb84ff 
0fb3e9f 0fae088 0fb083f 
0fb2743 0fac7fd 0faf062 
0fb94f2 0fb34a6 0fb5d9c 
0fbf0d0 0fb9106 0fbb9a1 
0fbbcbc 0fb5e4d 0fb8641 
0fb3fe9 0fae1c8 0fb09a7 
0fb2817 0fac8d3 0faf16f 
0fb9622 0fb35e9 0fb5f19 
0fbf211 0fb926d 0fbbb4b 
0fbbe24 0fb5fe9 0fb87fc 
0fb4127 0fae34d 0fb0b30 
0fb290d 0faca17 0faf2b9 
0fb96ad 0fb36bb 0fb5ffe 
0fbf2c4 0fb9356 0fbbc51 
0fbbf06 0fb60eb 0fb8925 
0fb4280 0fae4ac 0fb0cbb 
0fb29f3 0facaee 0faf39d 
0fb973e 0fb3734 0fb605a 
0fbf3ea 0fb945b 0fbbd25 
0fbc095 0fb6256 0fb8a52 
0fb42fd 0fae50e 0fb0ce5 
0fb2a61 0facb3d 0faf3b9 
0fb97f2 0fb37bd 0fb60c6 
0fbf492 0fb94cf 0fbbd80 
0fbc1cb 0fb6365 0fb8b4b 
0fb4506 0fae6f8 0fb0eb2 
0fb2b7f 0facc58 0faf4b8 
0fb9868 0fb3849 0fb6135 
0fbf5b8 0fb961e 0fbbed0 
0fbc318 0fb64dd 0fb8cce 
0fb45f0 0fae80e 0fb0fec 
0fb2c28 0facd21 0faf5fc 
0fb98f0 0fb38e4 0fb6267 
0fbf66a 0fb96da 0fbc014 
0fbc40d 0fb65df 0fb8e53 
0fb4754 0fae986 0fb11c2 
0fb2d76 0face8a 0faf76f 
0fb9a1d 0fb3a2f 0fb63a4 
0fbf7d4 0fb9861 0fbc182 
0fbc57f 0fb6762 0fb8fbd 
0fb4887 0faeaba 0fb12e5 
0fb2e25 0facf2a 0faf7ff 
0fb9a82 0fb3a7e 0fb63e3 
0fbf835 0fb98af 0fbc1b7 
0fbc5a1 0fb6777 0fb8fb3 
0fb47f0 0faea1e 0fb1233 
0fb2ec7 0facfd4 0faf892 
0fb9ba4 0fb3bb4 0fb6502 
0fbf986 0fb9a13 0fbc309 
0fbc7f4 0fb69e6 0fb9214 
0fb4a8d 0faece7 0fb14e9 
0fb2f7f 0fad0b5 0faf971 
0fb9ba0 0fb3bce 0fb652b 
0fbf9a6 0fb9a51 0fbc36d 
0fbc8b9 0fb6abd 0fb931d 
0fb4b9e 0faedfc 0fb1625 
0fb3067 0fad1a8 0fafa6d 
0fb9beb 0fb3c20 0fb657d 
0fbfa08 0fb9ab1 0fbc3b5 
0fbc98f 0fb6b88 0fb93cf 
0fb4bc1 0faee0b 0fb1634 
0fb2fce 0fad0f6 0faf9cf 
0fb9bbc 0fb3bd8 0fb654a 
0fbfa10 0fb9aa9 0fbc3c2 
0fbc95c 0fb6b4c 0fb93a4 
0fb4bdb 0faee2c 0fb165b 
0fb2ff6 0fad126 0fafa08 
0fb9b8b 0fb3bae 0fb6525 
0fbfa5e 0fb9af1 0fbc41f 
0fbca4b 0fb6c38 0fb94a0 
0fb4cc9 0faef1a 0fb1744 
0fb30a6 0fad1d9 0fafaa6 
0fb9cb1 0fb3cd1 0fb6634 
0fbfb49 0fb9bd5 0fbc4dc 
0fbcb22 0fb6d06 0fb9533 
0fb4db9 0faefff 0fb1800 
0fb3154 0fad282 0fafb32 
0fb9cbc 0fb3cde 0fb662a 
0fbfb8b 0fb9c18 0fbc530 
0fbcbf3 0fb6dcd 0fb9636 
0fb4e94 0faf0bf 0fb18fe 
0fb3292 0fad394 0fafc70 
0fb9de2 0fb3dd0 0fb672e 
0fbfcfb 0fb9d51 0fbc651 
0fbcdb7 0fb6f5e 0fb978c 
0fb4fe0 0faf1db 0fb19d5 
0fb32b7 0fad39e 0fafc48 
0fb9dd1 0fb3db7 0fb6708 
0fbfd05 0fb9d6f 0fbc676 
0fbcda4 0fb6f76 0fb97aa 
0fb5010 0faf23b 0fb1a38 
0fb32b0 0fad3b8 0fafc63 
0fb9d5a 0fb3d55 0fb669c 
0fbfc9d 0fb9d00 0fbc60f 
0fbcde0 0fb6fa0 0fb97f4 
0fb5063 0faf282 0fb1ab2 
0fb327b 0fad388 0fafc5b 
0fb9d0d 0fb3d0a 0fb667c 
0fbfcfb 0fb9d61 0fbc685 
0fbce2b 0fb6fe5 0fb9832 
0fb5020 0faf237 0fb1a48 
0fb31e6 0fad2e8 0fafb99 
0fb9c56 0fb3c4c 0fb6596 
0fbfc15 0fb9c81 0fbc57f 
0fbce01 0fb6fcf 0fb97f8 
0fb505d 0faf28d 0fb1a7b 
0fb3196 0fad2bb 0fafb3f 
0fb9b80 0fb3b99 0fb64a9 
0fbfb7d 0fb9c05 0fbc4c5 
0fbcdeb 0fb6fd9 0fb97ca 
0fb50b2 0faf302 0fb1aba 
0fb31d1 0fad307 0fafb6b 
0fb9b08 0fb3b2d 0fb6440 
0fbfb9b 0fb9c32 0fbc50b 
0fbce0d 0fb6ffc 0fb9818 
0fb4fea 0faf22f 0fb1a13 
0fb306a 0fad189 0fafa13 
0fb99f8 0fb39fa 0fb6327 
0fbfaf5 0fb9b4e 0fbc43d 
0fbcdf9 0fb6fa8 0fb97cd 
0fb4faf 0faf1c8 0fb19bf 
0fb2fea 0fad0e2 0faf97f 
0fb9964 0fb3948 0fb6287 
0fbfaf3 0fb9b44 0fbc441 
0fbcec8 0fb7072 0fb98a2 
0fb50cd 0faf2cf 0fb1ad5 
0fb305c 0fad145 0faf9f3 
0fb98e7 0fb38c5 0fb6219 
0fbfa5f 0fb9aa9 0fbc3b8 
0fbcef0 0fb709a 0fb98d1 
0fb5180 0faf394 0fb1b84 
0fb30dc 0fad1dc 0fafa6a 
0fb9985 0fb397b 0fb629f 
0fbfaff 0fb9b61 0fbc43f 
0fbcf0b 0fb70cd 0fb98e0 
0fb5114 0faf336 0fb1b15 
0fb3034 0fad13d 0faf9ca 
0fb991c 0fb3913 0fb6248 
0fbfaf9 0fb9b5e 0fbc44a 
0fbcf64 0fb7127 0fb9941 
0fb51de 0faf407 0fb1bef 
0fb3118 0fad221 0fafaac 
0fb9a25 0fb3a1a 0fb6337 
0fbfc39 0fb9c99 0fbc569 
0fbd0ff 0fb72b4 0fb9ac5 
0fb5375 0faf58e 0fb1d72 
0fb32b4 0fad3b7 0fafc3b 
0fb9b81 0fb3b73 0fb6490 
0fbfe12 0fb9e6a 0fbc736 
0fbd31b 0fb74cc 0fb9cc2 
0fb54aa 0faf6b8 0fb1e76 
0fb3330 0fad420 0fafc85 
0fb9b99 0fb3b74 0fb6472 
0fbfdad 0fb9de1 0fbc6ad 
0fbd23c 0fb73c8 0fb9bd9 
0fb5414 0faf604 0fb1de3 
0fb3288 0fad359 0fafbe4 
0fb9b47 0fb3af9 0fb6415 
0fbfd60 0fb9d72 0fbc64b 
0fbd267 0fb73ce 0fb9be5 
0fb5469 0faf639 0fb1e27 
0fb3206 0fad2cc 0fafb6a 
0fb99c0 0fb3981 0fb62c1 
0fbfbc9 0fb9bea 0fbc4ee 
0fbd145 0fb72c2 0fb9b01 
0fb5378 0faf55a 0fb1d61 
0fb30af 0fad178 0fafa32 
0fb989a 0fb384b 0fb61a4 
0fbfaea 0fb9aff 0fbc41f 
0fbd0b8 0fb722f 0fb9a92 
0fb5257 0faf43c 0fb1c83 
0fb2f76 0fad03e 0faf93f 
0fb96fe 0fb36b8 0fb600c 
0fbfa13 0fb9a1e 0fbc14f 
0fbd05d 0fb71b5 0fb9757 
0fb524f 0faf40d 0fb196e 
0fb2fab 0fad053 0faf643 
0fb974e 0fb36e6 0fb5d5f 
0fbf9fa 0fb99f8 0fbc039 
0fbd044 0fb719c 0fb9737 
0fb52b8 0faf47a 0fb19e2 
0fb2f91 0fad03e 0faf64e 
0fb96ae 0fb3643 0fb5d03 
0fbfa26 0fb9a17 0fbc08e 
0fbd0e4 0fb721d 0fb97d5 
0fb526d 0faf40a 0fb1991 
0fb2ead 0facf51 0faf58c 
0fb95fe 0fb3589 0fb5c7c 
0fbf98b 0fb9974 0fbc01b 
0fbd116 0fb7257 0fb9831 
0fb537e 0faf529 0fb1acd 
0fb2f61 0facffa 0faf63a 
0fb96f4 0fb3679 0fb5d33 
0fbfad1 0fb9ab9 0fbc11f 
0fbd1df 0fb731f 0fb98c6 
0fb5446 0faf5f5 0fb1b6b 
0fb3084 0fad11e 0faf72d 
0fb9860 0fb37d5 0fb5e5b 
0fbfb8c 0fb9b5d 0fbc1b0 
0fbd2ad 0fb73df 0fb997c 
0fb5442 0faf5e6 0fb1b58 
0fb2f39 0facfc8 0faf5ef 
0fb95d4 0fb354b 0fb5c1c 
0fbf9ef 0fb99cf 0fbc064 
0fbd249 0fb7387 0fb9965 
0fb5446 0faf5f1 0fb1b9d 
0fb2f31 0facfbf 0faf61c 
0fb957d 0fb34ea 0fb5bf5 
0fbf9b6 0fb9986 0fbc059 
0fbd1a4 0fb72de 0fb990d 
0fb533d 0faf502 0fb1b2f 
0fb2eaa 0facf6e 0faf649 
0fb957a 0fb352f 0fb5c9f 
0fbfa3e 0fb9a52 0fbc17f 
0fbd38d 0fb74fa 0fb9b40 
0fb55bc 0faf7a5 0fb1db3 
0fb2f5b 0fad03a 0faf716 
0fb9519 0fb34e0 0fb5c55 
0fbf99c 0fb99bc 0fbc0e3 
0fbd2b5 0fb742b 0fb9a73 
0fb5525 0faf708 0fb1d16 
0fb2fd8 0fad0a7 0faf750 
0fb95bd 0fb356b 0fb5ca4 
0fbf9f7 0fb99fb 0fbc0dd 
0fbd24f 0fb73a1 0fb99ab 
0fb538d 0faf55a 0fb1b52 
0fb2dec 0faceba 0faf56c 
0fb93ed 0fb33aa 0fb5ae6 
0fbf810 0fb9832 0fbbf42 
0fbd121 0fb72a8 0fb98f1 
